NON $ % + - . 0 1 2 3
#NON	g	d	f	c	b	e	h	a	i
0.0	0.6661689666769588	0.6254383417357127	0.33122784577337516	0.11259618041911179	0.27484145162906004	0.806181322269606	0.6097268503155351	0.5294104741428295	0.8938670896321302
0.33557046979865773	0.475845227740164	0.27657848252646516	0.28236638439188305	0.18646304286642887	0.2525173490117789	0.4565220117780148	0.47275101365450956	0.3885689748210305	0.5662356359666528
0.6711409395973155	0.392380230275245	0.1328730803558748	0.2450460252615298	0.21160794631229962	0.24073678781381447	0.30521633689261346	0.36579689788881437	0.31386180133593883	0.41214311088490024
1.0067114093959733	0.3553388394481379	0.07084782524867321	0.21937012522417773	0.21950373261114653	0.23445598171221846	0.2394115163954145	0.28315753997521065	0.27418487076679826	0.33938589674249764
1.342281879194631	0.3386812101175431	0.04256583073993362	0.20324852322628031	0.22158001365173244	0.2310876856418412	0.2106200541359518	0.2199693467118843	0.2530926803551877	0.30488944880173285
1.6778523489932886	0.33108110010201125	0.028888239683072282	0.1938260891580361	0.22186000996252067	0.22927541479271416	0.19793333753471282	0.1721234056959336	0.2418716799773426	0.28846059226162185
2.0134228187919465	0.32755940961987157	0.02189004048086633	0.18860166457568492	0.2216879680802313	0.22829859410842707	0.19229639945684582	0.13621562777241084	0.2358983119002098	0.2805988091283616
2.348993288590604	0.325900971640824	0.018133261618627505	0.1858112865061859	0.2214709251975271	0.22777156911326435	0.18976763199828908	0.10948084409952093	0.23271663849537677	0.27681727756437974
2.684563758389262	0.3251070827533758	0.016041012795351067	0.18435933307245686	0.22130606297677416	0.2274870718770996	0.18862076428668448	0.08971362692603824	0.23102104345503707	0.27498835138882316
3.0201342281879198	0.3247208818653586	0.01484535375621297	0.18361724209949848	0.2211987438592331	0.22733345116644962	0.18809427335458534	0.07518474980982053	0.23011696397814108	0.27409865044638987
3.3557046979865772	0.32453010137627175	0.01415045147057539	0.18324249010046498	0.22113376975411803	0.2272504872938024	0.18784936781149728	0.06455931960935825	0.22963468322736616	0.273663209064049
