NON $ % + - . 0 1 2 3 4
#NON	a	b	h	g	d	c	f	i	e	j
0.0	0.9441764613369648	0.001571733064771541	0.02263679940725416	0.06100271621866615	0.7581655184250774	0.6311674836429011	0.5983799577683889	0.2642824188971701	0.724365061462701	0.8693585502449495
0.33557046979865773	0.6441138522694587	0.11617931718756878	0.1750886368815902	0.19982580571883934	0.48656814459023073	0.4085834368476746	0.43409803504032457	0.22621564098219898	0.3884268455954898	0.7070332872915774
0.6711409395973155	0.4520643397358247	0.15876176268769748	0.22082809480529722	0.25558291497836455	0.3381739791611396	0.3013530102326701	0.3379325106257875	0.2031395767855589	0.22842914550515434	0.58794489780869
1.0067114093959733	0.3249163441277657	0.17013454709175488	0.22564057960460798	0.2710511914538041	0.2550248859066548	0.2437032241309791	0.2784155246556792	0.1858960744451749	0.1472102999489832	0.4999936447000281
1.342281879194631	0.2392396036981065	0.16934355004838608	0.21715371538274825	0.26885996175806637	0.20733668569625027	0.20794186271901935	0.2402961461768445	0.17124884091631157	0.10346832755434403	0.4352140741761132
1.6778523489932886	0.1807068092431687	0.164893158768376	0.20632259581725876	0.2604286132362918	0.17949472300975694	0.1825343473023677	0.21552740816254856	0.15817097099534583	0.07832732877313048	0.3879382203132314
2.0134228187919465	0.14023669568438413	0.16024951177759794	0.19695325383696347	0.2510819440756991	0.16307244412288133	0.16272464481036947	0.19943077577529664	0.14641424679610168	0.0628823589906128	0.35387645553627184
2.348993288590604	0.11194862342976762	0.15656202499932273	0.18992777144879208	0.2429662734291714	0.15336518013536934	0.14654624118882023	0.18905948360094077	0.13596723017206072	0.052794586863204526	0.32968524383085995
2.684563758389262	0.0919733939663211	0.15399662561684477	0.1850535979139905	0.2366756042592126	0.1476586735682053	0.13313860257668825	0.18246739654316482	0.12685266498389136	0.04586264717011144	0.3127533089323332
3.0201342281879198	0.07773235508981628	0.15236638282513815	0.18184178132288767	0.23212367479591609	0.14434593363654563	0.12205071140371816	0.1783460562758341	0.11905764243886743	0.04091236516214532	0.3010691305794162
3.3557046979865772	0.06748802870718525	0.15140913431995415	0.17980688571440379	0.228985438019379	0.14246018643598768	0.11296709904390242	0.17581682708926336	0.11251854594238347	0.03728022080925972	0.29311430277899897
3.691275167785235	0.060057869398332776	0.15089360164175486	0.17856033577208816	0.22690207412041982	0.14141627359206296	0.10561214384709643	0.17429634411169198	0.10712890709864634	0.034567340915630525	0.2877672180047819
4.026845637583893	0.05462896808268703	0.15064756956152733	0.1778209116272478	0.22556281827872443	0.14086084238770769	0.09972580163911873	0.1734034077716005	0.10275523220371721	0.03251882279476161	0.28421638211072153
4.3624161073825505	0.05063674906274288	0.1505547214566141	0.17739706360306828	0.2247270925831476	0.14058241640476327	0.09506421731296866	0.17289330396681019	0.09925315846943902	0.03096248513243645	0.28188571509083943
4.697986577181208	0.04768496468162281	0.15054190339903722	0.17716375029426254	0.22422080257632854	0.1404562468925527	0.0914059590469288	0.172611820693947	0.09648043606192803	0.029776599468477848	0.2803732136476598
5.033557046979866	0.045492562188604785	0.15056590969411363	0.17704202698391105	0.22392374727759157	0.140410169618606	0.08855684031721354	0.17246360883399686	0.09430561951525498	0.028872125178706923	0.27940265641290285
5.369127516778524	0.04385816988472903	0.15060286076572643	0.17698348004977138	0.22375589003993385	0.14040349622705783	0.08635171393188334	0.17239087990828392	0.09261280621764294	0.02818242029336399	0.2787869035224006
5.704697986577181	0.04263615650538983	0.15064063538111844	0.17695923705622954	0.22366553733457176	0.14041405720764036	0.08465363003816369	0.17235936289084	0.0913033310555951	0.027656908498312736	0.2784008059782909
6.0402684563758395	0.041720324582886284	0.15067387156791537	0.1769525783487831	0.22362021040148916	0.14043034230244938	0.08335128905653148	0.17234923023323115	0.09029542488875253	0.027256921962755736	0.2781616818757208
6.375838926174497	0.04103269614549198	0.15070085381170745	0.1769541521834895	0.22360005482132433	0.14044681358189395	0.08235568047222946	0.1723493559609668	0.08952271703369759	0.026952812918506295	0.2780155557553481
6.7114093959731544	0.040515661766195414	0.15072166138619558	0.1769589471802149	0.22359326733993218	0.1404611485538971	0.08159650407000504	0.17235373044016009	0.08893219087370545	0.026721837745796246	0.2779275757888538
7.046979865771813	0.04012645564473733	0.15073713430100885	0.1769644413474408	0.22359305509838673	0.14047267186201476	0.0810187678269886	0.17235928379694387	0.08848200787224894	0.02654656571338615	0.2778754937510989
7.38255033557047	0.039833221796900374	0.15074832820392647	0.17696949305680293	0.22359566779916912	0.14048148347945158	0.08057980168607841	0.17236458488494483	0.08813948402722524	0.026413665938037557	0.27784528364313005
7.718120805369128	0.03961213027930917	0.15075624735008206	0.17697368064348984	0.22359913118792002	0.14048798437166451	0.08024668280650749	0.17236906611630534	0.08787927609834273	0.026312955563984806	0.27782817752538025
8.053691275167786	0.03944534317257962	0.150761749717154	0.17697695071265931	0.22360250491803593	0.14049265702858174	0.07999410943887952	0.172372609025247	0.08768181184034907	0.026236672649477818	0.27781880147828414
8.389261744966444	0.03931946714793739	0.15076551194510396	0.17697940092591413	0.22360539876516142	0.14049594359859055	0.0798027593356164	0.17237528658243764	0.08753211729425667	0.026178916300354037	0.2778138851616011
8.724832214765101	0.03922443224829127	0.15076804868140903	0.1769811827528102	0.22360771123215722	0.14049821487825903	0.07965786400631504	0.17237724641581623	0.08741870467309398	0.026135198023715035	0.27781147605077644
9.060402684563758	0.03915266578850832	0.15076973684249248	0.1769824481973252	0.22360947547912824	0.1404997601273412	0.0795482005452068	0.17237864548337262	0.08733283488462726	0.026102115210448893	0.2778104296054077
9.395973154362416	0.03909845508642236	0.15077084693523735	0.17698332973742645	0.22361077724521378	0.14050079710877392	0.07946522394440644	0.17237962429744452	0.08726784173738307	0.02607708322533073	0.27781008713535904
9.731543624161075	0.03905749001860995	0.15077156895564525	0.1769839340180537	0.2236117135635359	0.1405014845973947	0.07940244295416306	0.17238029773258887	0.08721865559577072	0.026058141588035946	0.2778100807600224
10.067114093959733	0.03902653691008068	0.15077203290721183	0.17698434231320212	0.22361237369623152	0.14050193477164383	0.07935496055834405	0.17238075427365834	0.08718144809476128	0.02604381293295412	0.2778102167042485
10.40268456375839	0.039003145981748644	0.1507723275658875	0.17698461439210145	0.22361283063885776	0.14050222604088852	0.07931905461238849	0.17238105942590118	0.08715330825441304	0.026032974869351286	0.277810392485879
10.738255033557047	0.03898546580871794	0.1507725126248511	0.17698479354230467	0.2236131422039989	0.14050241244129802	0.07929190196283277	0.17238126092372724	0.08713202638702273	0.026024776526395475	0.2778105608503202
11.073825503355705	0.038972102362191334	0.15077262736242159	0.1769849102029678	0.2236133520200175	0.14050253035547508	0.07927137064241181	0.17238139250485968	0.08711593190359891	0.026018575610723477	0.27781070438349265
11.409395973154362	0.038962006993674074	0.1507726971280028	0.17698498498825943	0.22361349115026996	0.1405026036658763	0.07925585666251664	0.17238147709627605	0.08710376932234565	0.026013888566966938	0.27781081864853235
11.74496644295302	0.03895436631770427	0.15077273963578108	0.17698503240043126	0.22361358167166642	0.1405026490980488	0.07924411733431952	0.17238153083447358	0.08709456832844084	0.02601034033575104	0.27781090123576857
12.080536912751679	0.03894858800592382	0.1507727650707978	0.1769850622989899	0.2236136404576177	0.14050267692340382	0.07923523922779058	0.17238156480949343	0.08708761196219514	0.026007655903905514	0.2778109613690404
12.416107382550337	0.038944221806241366	0.1507727799128226	0.1769850812833403	0.22361367920842481	0.14050269381679817	0.07922852418202454	0.17238158646712637	0.08708234497456191	0.026005625777175856	0.27781100720959145
12.751677852348994	0.038940921234657255	0.15077278828329943	0.17698509298591156	0.22361370404473466	0.1405027037633569	0.07922344617327934	0.17238159986786245	0.08707835644493657	0.026004090591312916	0.2778110400447247
13.087248322147651	0.03893842416848849	0.15077279276297112	0.176985099681542	0.2236137188456095	0.14050270925151234	0.07921961309921365	0.17238160755219864	0.08707535395207701	0.026002930124234054	0.2778110606809479
13.422818791946309	0.0389365366202948	0.15077279517120964	0.17698510384627814	0.22361372841624177	0.14050271244688223	0.07921671181076195	0.17238161235726576	0.08707308193180315	0.0260020520397669	0.27781107571972113
13.758389261744966	0.03893510934187959	0.1507727963568241	0.17698510628147793	0.2236137342898669	0.14050271418133461	0.07921451805629999	0.17238161518099526	0.08707136338831997	0.02600138796432276	0.27781108582032177
14.093959731543626	0.03893403014404778	0.15077279687446757	0.17698510766823433	0.22361373783269994	0.14050271507450743	0.07921285915721953	0.1723816167991514	0.0870700629360452	0.02600088576862049	0.27781109249822117
14.429530201342283	0.03893321349000122	0.15077279704534982	0.17698510843319226	0.22361373993358147	0.14050271549800544	0.07921160403419993	0.17238161769902025	0.0870690791654404	0.0260005057246722	0.27781109685595073
14.76510067114094	0.0389325964840982	0.15077279704763857	0.17698510883481078	0.2236137411479124	0.14050271566778424	0.07921065573904282	0.1723816181770865	0.08706833561025583	0.026000218566514167	0.27781109965797934
