NON $ % + - . 0 1 2 3 4 5 6 7
#NON	g	k	f	l	d	j	h	c	a	e	m	i	b
0.0	0.8617261882374093	0.6526729057663763	0.23782674004167126	0.3435626743643855	0.8026717443301649	0.053395527886545446	0.11074390140242063	0.8571092527030132	0.01801935593964077	0.45694179609777663	0.24795533777892753	0.7707226263159562	0.17537739177121048
0.33557046979865773	0.6097073041784239	0.42820210392924646	0.23618666793038628	0.3092269853408239	0.5423282373441348	0.10334640105405765	0.14557494509686578	0.5316994388608145	0.1874957502509751	0.34252926894374264	0.20008038519770033	0.5604582391771432	0.10045637911270863
0.6711409395973155	0.44654693366946263	0.31525544137843886	0.2324135722827327	0.2723995226396372	0.39604621090356706	0.13240912227083582	0.16135481991081183	0.3726889343583333	0.24556821950152816	0.2858392811027986	0.17248546654542318	0.42062545057357564	0.07580695485722788
1.0067114093959733	0.3388278420727196	0.25438334982055966	0.2265831656547187	0.24011971468279003	0.31362791391161354	0.14729093290349504	0.16801566804176474	0.2901555844602583	0.25960446300941387	0.2553005378031814	0.1564505288557602	0.3276856947152635	0.0656066228329895
1.342281879194631	0.2661334002027689	0.21833319646014393	0.21914646637524154	0.2147403814828977	0.2667345154506168	0.15286477686533964	0.17020966148247146	0.24336532983411155	0.256503405079261	0.23638660076847723	0.14679402178825626	0.26576166976884036	0.060020577114040255
1.6778523489932886	0.21596535412527812	0.19469563532363773	0.21071314604394709	0.19611290917722493	0.23953598019875888	0.1526219843619346	0.1701977959533661	0.21396959345508035	0.24727437488577855	0.2227517763342422	0.1406048663730972	0.22428959218649858	0.05613295992387228
2.0134228187919465	0.18059948888670002	0.17780257648776313	0.2018839093992849	0.18302750050816505	0.2232407877568586	0.14900169521483136	0.16910057919539928	0.1936813527331145	0.2365198394548877	0.21180924210033017	0.13629210300450714	0.19628647803939545	0.053101727862282434
2.348993288590604	0.15518462891452117	0.16500006211930318	0.19315444950769406	0.17405462904215022	0.2129930027993823	0.14365097220312334	0.16748611835575927	0.1786794196682657	0.22615314444540488	0.2025793647436859	0.13300732680074207	0.17715739626761395	0.050670139750539224
2.684563758389262	0.13661142709922885	0.15496790967772023	0.18488200455997592	0.16794134854592577	0.20612763691553201	0.1376367840390762	0.16565258400005256	0.16710932399198514	0.2169102482125843	0.19470043581459856	0.13031112071318784	0.163889893030003	0.04872314758426219
3.0201342281879198	0.12284217914523574	0.14697855089283043	0.17729131590040786	0.16373360634107686	0.2011934167016397	0.13161544411806925	0.1637641264920005	0.15798643666690965	0.2089978268519472	0.18801146743861025	0.12798439326533617	0.15451476383247023	0.047173863936928864
3.3557046979865772	0.11251118196364003	0.1405763925230946	0.17049855384868934	0.16076399014252102	0.19740682014895117	0.12596255278611646	0.16191593477198069	0.15072158030732316	0.20238651746545874	0.18239717336370048	0.1259231138136608	0.14774727348272215	0.045944526538219156
