NON $ % + -
#NON	a	c	d	b
0.0	0.44275310042270166	0.3040419930843221	0.7456024443110053	0.7358095422983839
0.33557046979865773	0.3120606298424866	0.2409204699502981	0.5414429594345259	0.4022365451082653
0.6711409395973155	0.24207756626617694	0.19928322176940333	0.41370520172137915	0.26738140447492625
1.0067114093959733	0.20322866957730965	0.17111640180457957	0.3333776347762709	0.20984068768361622
1.342281879194631	0.18063471898048417	0.15161019386883298	0.2827109590378542	0.1829853030378821
1.6778523489932886	0.1667842520352041	0.1378297326945426	0.2506498611272443	0.16883885057921302
2.0134228187919465	0.15783811217078567	0.1279373264746681	0.2302591196508058	0.16037883132350733
2.348993288590604	0.15178723247536507	0.12074740028600699	0.21719003693948993	0.15477208904244127
2.684563758389262	0.14754190420057328	0.11547224138378585	0.20872475423264517	0.15080002194225922
3.0201342281879198	0.14448257346164745	0.1115744824893593	0.20316942071175997	0.147880646342
3.3557046979865772	0.14223722459509802	0.10867926507929328	0.19946893615373795	0.1456960487204876
3.691275167785235	0.14056962702937217	0.10652030227330382	0.19696437289487412	0.14404836547353397
4.026845637583893	0.13932197390802045	0.10490569549287093	0.19524175307658534	0.1428019943834436
4.3624161073825505	0.13838441653071423	0.10369560163983337	0.1940385465340045	0.141858544918136
4.697986577181208	0.13767813000242676	0.10278723780137193	0.19318618556723927	0.1411445631258889
5.033557046979866	0.13714536244846917	0.10210456786504514	0.19257480587264691	0.14060453228166514
5.369127516778524	0.1367432325915818	0.10159107086113267	0.19213160964902626	0.1401963130208221
5.704697986577181	0.13643963701326378	0.10120457458605034	0.1918074983404335	0.13988789589077485
6.0402684563758395	0.13621042803728506	0.10091352945159243	0.191568786011123	0.13965498305000817
6.375838926174497	0.1360373957036363	0.10069428430151592	0.1913919788952677	0.13947915131699
6.7114093959731544	0.13590678919006066	0.1005290818628713	0.19126044548152488	0.13934644679256397
7.046979865771813	0.13580822135155063	0.10040457718555838	0.19116226194886524	0.1392463126493775
7.38255033557047	0.13573384255506576	0.10031072946842626	0.1910887817123687	0.1391707659268147
7.718120805369128	0.1356777249133901	0.10023998374923682	0.19103368316322522	0.13911377729431906
8.053691275167786	0.13563538936127753	0.1001866484596016	0.1909923067288794	0.13907079152315946
8.389261744966444	0.13560345486332936	0.10014643770486102	0.19096120235365138	0.13903837095447955
8.724832214765101	0.13557936885980967	0.10011612151780268	0.1909378006489141	0.13901392136247498
9.060402684563758	0.13556119954303192	0.10009325914989127	0.19092017823121674	0.13899547968039455
9.395973154362416	0.13554749647114145	0.10007602132128565	0.19090690823803472	0.13898157146292844
9.731543624161075	0.135537161764094	0.10006302292947071	0.19089690937828477	0.1389710829388473
10.067114093959733	0.13552936777290361	0.10005322120202219	0.19088937328679165	0.1389631742638518
10.40268456375839	0.13552348872033035	0.10004582909789117	0.1908836939473268	0.1389572073609719
10.738255033557047	0.13551905554129062	0.10004025530301826	0.19087941243864917	0.13895270749848143
11.073825503355705	0.135515713204698	0.10003605277871427	0.19087618386720437	0.1389493175618455
11.409395973154362	0.1355131924744785	0.10003288372972835	0.19087375027120324	0.1389467607480779
11.74496644295302	0.13551129249390637	0.10003049535047677	0.19087191665755476	0.1389448307053447
12.080536912751679	0.13550986038642154	0.1000286949057742	0.19087053399434264	0.13894337620822264
12.416107382550337	0.13550877974119924	0.10002733628893802	0.19086949063200156	0.1389422814808873
12.751677852348994	0.1355079624720724	0.10002630895421429	0.19086870197443345	0.138941453878654
13.087248322147651	0.13550734904725154	0.10002553790693786	0.19086811013278365	0.1389408308998936
13.422818791946309	0.13550688472358222	0.10002495422128171	0.19086766201757002	0.13894035936026025
13.758389261744966	0.13550653468943433	0.10002451421035151	0.19086732421358737	0.1389400040406503
14.093959731543626	0.13550627207611046	0.10002418409443918	0.19086707078108778	0.1389397375207552
14.429530201342283	0.13550607562000794	0.10002393714227314	0.19086688119551293	0.13893953815268884
14.76510067114094	0.1355059252573838	0.10002374813111757	0.19086673609083482	0.13893938551385926
15.100671140939598	0.13550581084122895	0.10002360430526407	0.19086662567394294	0.13893926929158798
15.436241610738255	0.1355057237888873	0.10002349487643594	0.190866541663371	0.1389391808114018
15.771812080536913	0.13550565598833345	0.10002340964902624	0.19086647623406103	0.13893911195425532
16.107382550335572	0.1355056101142984	0.10002335198502549	0.19086643196669426	0.13893906539805778
16.44295302013423	0.13550557347007428	0.10002330592504001	0.19086639661027158	0.13893902843838535
16.778523489932887	0.13550554526146466	0.10002327046949636	0.19086636939571225	0.1389390002551061
17.114093959731544	0.13550552488948162	0.1000232448650387	0.19086634974410588	0.13893898023208717
17.449664429530202	0.13550550957692747	0.10002322561927397	0.1908663349724789	0.1389389655150538
17.78523489932886	0.1355054986124679	0.10002321183776004	0.19086632439379747	0.13893895536721704
18.120805369127517	0.1355054901833777	0.10002320124146163	0.1908663162579274	0.13893894788817343
18.456375838926174	0.13550548384587024	0.10002319327260814	0.1908663101367866	0.1389389422721718
18.79194630872483	0.135505478739224	0.10002318685060667	0.19086630520269432	0.13893893532270146
19.12751677852349	0.13550547480391284	0.10002318190222836	0.19086630140161637	0.13893892895107346
19.46308724832215	0.13550547184789094	0.10002317818590693	0.19086629854786577	0.13893892515489709
19.798657718120808	0.13550546962443577	0.10002317539072329	0.19086629640166144	0.1389389231646382
20.134228187919465	0.13550546775737768	0.10002317304359366	0.19086629459950247	0.13893892154761012
20.469798657718123	0.13550546626047566	0.10002317116182456	0.19086629315469095	0.1389389202052175
20.80536912751678	0.13550546518548517	0.1000231698104938	0.19086629211721445	0.13893891912060843
21.140939597315437	0.1355054644795633	0.10002316892316027	0.1908662914360438	0.1389389182770173
21.476510067114095	0.13550546376621309	0.10002316802644236	0.19086629074760467	0.1389389175549917
21.812080536912752	0.13550546327822205	0.10002316741303119	0.19086629027669455	0.13893891702838881
22.14765100671141	0.13550546301559016	0.10002316708292679	0.1908662900233134	0.13893891669720873
22.483221476510067	0.1355054623810135	0.10002316628527125	0.19086628941098202	0.1389389159773204
22.818791946308725	0.1355054624471024	0.10002316636836417	0.19086628947479614	0.13893891602784084
23.154362416107382	0.13550546251319132	0.10002316645145708	0.19086628953861026	0.13893891607836129
23.48993288590604	0.13550546257928023	0.10002316653455	0.19086628960242438	0.13893891612888173
23.8255033557047	0.13550546259875312	0.10002316655903112	0.19086628962122296	0.13893891614587803
24.161073825503358	0.13550546261313504	0.10002316657711124	0.19086628963510535	0.1389389161592132
24.496644295302016	0.13550546262751698	0.10002316659519137	0.19086628964898777	0.13893891617254833
24.832214765100673	0.1355054626418989	0.10002316661327149	0.1908662896628702	0.1389389161858835
25.16778523489933	0.13550546265628083	0.1000231666313516	0.1908662896767526	0.13893891619921864
25.503355704697988	0.13550546267066274	0.10002316664943173	0.19086628969063502	0.1389389162125538
25.838926174496645	0.13550546268504468	0.10002316666751185	0.19086628970451744	0.13893891622588894
26.174496644295303	0.1355054626994266	0.10002316668559197	0.19086628971839983	0.1389389162392241
26.51006711409396	0.13550546271380853	0.10002316670367209	0.19086628973228226	0.13893891625255925
26.845637583892618	0.13550546272819045	0.10002316672175221	0.19086628974616465	0.1389389162658944
