NON $ % + - . 0 1 2 3 4 5 6 7 8
#NON	a	c	i	j	f	k	m	g	b	h	d	l	n	e
0.0	0.054849857993882645	0.0009870852016089504	0.19690798618253735	0.33673185367313474	0.6579129537383832	0.6855576702135444	0.13548972148177862	0.9401043462033778	0.4072561638040596	0.6956530420906426	0.022774055965575357	0.48026798946706084	0.19353308243377454	0.7833947292259018
0.33557046979865773	0.061263668290605595	0.13611632201711854	0.16722957238028327	0.26158475779075485	0.5509998264995513	0.4221351494680672	0.08244322455604308	0.7092608038639457	0.2853366599917626	0.4017546992997133	0.14035835835747934	0.3789939579351074	0.22628438913434543	0.540128265173877
0.6711409395973155	0.059611687272989704	0.19191087331175447	0.17105419297266322	0.2216714949589735	0.46288567953464066	0.3021727318665418	0.05527277529057678	0.5494842419121112	0.2421847858729369	0.2768383155616057	0.1721852393323124	0.31497824075338143	0.23107675631665964	0.3911535730573849
1.0067114093959733	0.05654916571501269	0.21246630989393372	0.17652800136954144	0.19720313732962738	0.39364162168577005	0.24410204375876352	0.041510817444285766	0.4389742619395167	0.22431243756749594	0.22000334668872873	0.17613026198564705	0.27480211692737255	0.22698998860120218	0.29937585288403934
1.342281879194631	0.05380160509277634	0.21814758740741655	0.17933042805989488	0.18105415474778808	0.3411833988793963	0.21464081923888745	0.0344706690636954	0.3626083282662989	0.21567577883007213	0.1926770297004117	0.17240515201118098	0.25006785005728716	0.2211557764421978	0.24256398321396413
1.6778523489932886	0.05171981893492585	0.21818040559157406	0.1800060168824694	0.1699488904612817	0.30250851423193503	0.19921145854012698	0.030802942338782974	0.3099404864533455	0.21078895696392497	0.1787773903810332	0.16772425212527858	0.23516324496800123	0.21604425005758504	0.20731780537257632
2.0134228187919465	0.05024525919880114	0.2165357883238218	0.1796242429945531	0.16216789322754305	0.27456211932909036	0.19096950132890028	0.028843425295420066	0.2737207765624815	0.20770684623075367	0.17133542982403088	0.16397211334442116	0.22635434574608643	0.21225697901260326	0.18545886254842056
2.348993288590604	0.04923343267363121	0.21476019864579585	0.17890754535726613	0.1566901694747502	0.25466678265106424	0.18651523423255367	0.02776475508792432	0.24889530551548533	0.20567328132320029	0.16719180092626085	0.16139063991644712	0.2212312971869185	0.2096967324152642	0.17193434223578605
2.684563758389262	0.04855208968088903	0.21333897048562142	0.17821135307645364	0.15284478463079407	0.24066051653820877	0.1840918850722821	0.027152997044721124	0.23193698920297928	0.2043278848460117	0.16482762917043803	0.1597503964889943	0.21828993473628855	0.20806811342808978	0.16359669465426327
3.0201342281879198	0.04810030054510748	0.21233575980025934	0.17766163436246743	0.15016204996136995	0.23088343429569008	0.18276851910216374	0.02679736005129237	0.22038915561264427	0.20345272380962226	0.16346329367056164	0.15875874134036216	0.2166181227076029	0.2070773261696738	0.1584784689451465
3.3557046979865772	0.04780528957451196	0.21167610285055666	0.17727215009984534	0.14830393349411464	0.22410281913212804	0.18204434142836187	0.026587133497023543	0.21254741175198397	0.20289660799982015	0.1626743913533201	0.15817941269880897	0.21567532680429186	0.20649514221316514	0.15535047486888373
3.691275167785235	0.04761570053882955	0.21126188547703068	0.17701444280172343	0.14702597855945979	0.21942397735399677	0.18164759735413097	0.026461817253839524	0.2072348738221864	0.2025515597472639	0.1622199856939239	0.15784933889553013	0.215146875722457	0.20616253407282453	0.15344711621502719
4.026845637583893	0.04749581957298548	0.21101009989030345	0.17685186702524597	0.1461525417276162	0.21620812317280605	0.18143010125847592	0.026387008347436625	0.20364278037916278	0.2023421339888545	0.16196009463335878	0.1576648021500807	0.21485206427727552	0.20597690305927682	0.15229369159472111
4.3624161073825505	0.04742121519426701	0.2108606958293361	0.17675286032126347	0.14555876281993319	0.21400464867954155	0.18131082786633612	0.026342507447656874	0.20121778215757954	0.20221747707667578	0.16181271379007814	0.15756312133616748	0.21468819648112322	0.20587533813795847	0.15159736761483136
4.697986577181208	0.04737549009849841	0.21077366918416554	0.17669418170055606	0.14515688183923325	0.21249854596082074	0.1812454052688611	0.026316211119529052	0.19958272180892836	0.20214452281372705	0.16172987450830026	0.157507719630355	0.21459737008171892	0.20582071135848393	0.15117843703052847
5.033557046979866	0.04734786291865923	0.21072370375578292	0.17666013960381022	0.14488585351548042	0.21147110803701508	0.18120951874236285	0.02630080280819034	0.1984813550330742	0.2021024435919323	0.16168371436227177	0.1574777891716956	0.21454714042320158	0.20579176242298933	0.15092717219216994
5.369127516778524	0.04733138979136586	0.2106953496865064	0.17664072909162334	0.1447035949916455	0.2107713008968839	0.18118983179727693	0.02629185587284641	0.19774004741070145	0.20207847378078203	0.16165819751814112	0.15746172493470026	0.2145194108736854	0.20577662160424462	0.15077688464080516
5.704697986577181	0.04732168538993469	0.21067940554799994	0.17662981457461355	0.14458130830338228	0.21029524078046613	0.18117903176280536	0.026286708921034165	0.19724137785043938	0.20206496412423886	0.16164419516127054	0.15745313983990922	0.21450412273699992	0.2057687904790349	0.15068721203048446
6.0402684563758395	0.04731603093762341	0.21067050625101422	0.17662374670454142	0.14449940498384065	0.20997171392311686	0.18117310660697566	0.026283774301834036	0.19690607815828684	0.20205741781628436	0.1616365597613636	0.15744856518468045	0.21449570289366185	0.20576477946182412	0.15063382172486578
6.375838926174497	0.04731276874089599	0.2106655678601595	0.1766204037926655	0.1444446243925365	0.20975202364920084	0.18116985587372006	0.02628211512575283	0.19668070225911782	0.2020532338218182	0.16163241858794303	0.157446130895242	0.21449106957891714	0.20576274155875673	0.1506020935316523
6.7114093959731544	0.04731090321039539	0.21066283978397507	0.17661857562787983	0.144408023645854	0.2096029391308733	0.18116807241947766	0.02628118424680095	0.19652925102812235	0.20205092848978368	0.16163018289794254	0.1574448354272066	0.21448852148742437	0.20576171267993612	0.15058326969100205
7.046979865771813	0.04730984470783363	0.2106613377469168	0.17661758143056974	0.14438358902539541	0.20950181905075857	0.18116709386883129	0.026280665603558313	0.1964274939511914	0.20204966456494738	0.16162898021652009	0.15744414510510074	0.21448712066636502	0.20576119549612829	0.15057211746724186
7.38255033557047	0.04730924846013655	0.210660513170526	0.17661704309748943	0.14436728756687456	0.20943326349971975	0.18116655710691051	0.026280378493219857	0.1963591383959397	0.20204897439034242	0.16162833499113635	0.15744377682985605	0.21448635117842502	0.2057609364186661	0.15056551988601563
7.718120805369128	0.04730891476157541	0.2106600615471907	0.17661675271370822	0.14435641821888884	0.2093868037976192	0.18116626283356013	0.026280220468830082	0.1963132283672965	0.20204859891003218	0.16162798976350537	0.15744357991386942	0.2144859288168848	0.20576080683505488	0.15056162228583117
8.053691275167786	0.04730872893775223	0.2106598141056375	0.17661659597147594	0.1443491731124724	0.20935532545719618	0.18116610118464202	0.026280133861282584	0.19628239413285375	0.2020483946420194	0.1616278046948472	0.15744347410136025	0.21448569663513767	0.20576074164336638	0.15055932068771735
8.389261744966444	0.04730862570305199	0.2106596784832206	0.17661651155610797	0.1443443442094135	0.2093339984595346	0.18116601233485272	0.02628008642178808	0.1962616823806036	0.20204828372264497	0.16162770562547082	0.15744341684763116	0.21448556890658582	0.20576070861150708	0.15055796200113564
8.724832214765101	0.0473085688285077	0.21065960455597416	0.17661646620480737	0.14434112747787428	0.2093195554541396	0.18116596379460162	0.026280060699015798	0.19624777504727808	0.2020482237348169	0.16162765280993796	0.15744338614471867	0.2144854990671089	0.20576069210120787	0.1505571622096807
9.060402684563758	0.04730853747598854	0.21065956404658487	0.1766164418207863	0.1443389848401762	0.20930977492892142	0.18116593705891199	0.026280046675411072	0.19623843581194436	0.202048191225041	0.16162762449250667	0.1574433693335866	0.21448546059534762	0.205760683532853	0.15055669092630827
9.395973154362416	0.04730852020647808	0.2106595419711719	0.17661642887486914	0.14433755780184088	0.20930315229728094	0.1811659226124847	0.026280039038059227	0.19623216441132355	0.20204817381850806	0.1616276096608519	0.15744336020512514	0.2144854397527489	0.205760679211204	0.15055641404159842
9.731543624161075	0.0473085109198642	0.21065952981187672	0.17661642139576475	0.14433660724515185	0.20929866789404047	0.1811659144612259	0.026280035052814912	0.19622795239578258	0.2020481639227008	0.1616276010732529	0.1574433554430108	0.21448542804471402	0.20576067698819497	0.15055625057689745
10.067114093959733	0.04730850575108897	0.2106595232251247	0.17661641767075542	0.1443359744697845	0.2092956323624383	0.18116591005094118	0.02628003279569421	0.19622512456409574	0.20204815882423185	0.16162759676964242	0.15744335267763773	0.21448542170448	0.20576067576083845	0.15055615477882728
10.40268456375839	0.047308502803835986	0.2106595194807682	0.1766164158652659	0.14433555317853378	0.20929357731819995	0.1811659077035103	0.026280031483873374	0.19622322562553457	0.20204815625430067	0.16162759475413063	0.1574433508585894	0.21448541828312187	0.20576067493903943	0.15055609850473753
10.738255033557047	0.04730850159168129	0.21065951766269184	0.17661641408999762	0.1443352725458419	0.20929218642547665	0.18116590629712614	0.026280031112053782	0.19622195076069004	0.20204815417342806	0.16162759276012859	0.15744335071681773	0.21448541630812018	0.20576067495671083	0.15055606543645114
11.073825503355705	0.04730850057657728	0.21065951651006085	0.17661641379544135	0.14433508581089205	0.2092912446457706	0.18116590563397394	0.02628003058896954	0.19622109445353378	0.2020481536012241	0.16162759241873084	0.15744334996520418	0.21448541533328178	0.20576067458360292	0.15055604608729314
