NON $ % + - .
#NON	e	a	c	d	b
0.0	0.9293727831603111	0.387177931142475	0.5835447047562234	0.676693241687331	0.908502074912003
0.33557046979865773	0.4784601407554592	0.35327674735293246	0.26816891266278353	0.32491815404359536	0.6529920602477268
0.6711409395973155	0.28294360668579627	0.3079009868831608	0.13956685395007862	0.17220755101537485	0.4737885092618202
1.0067114093959733	0.1900659332653859	0.26367410117347906	0.08349131645155351	0.10267298376227404	0.34820110020180733
1.342281879194631	0.14176611277159298	0.2260427353331996	0.05642321345470373	0.06859914149795356	0.26051820523681885
1.6778523489932886	0.11450727856761034	0.19608029248890307	0.04166671536631935	0.05025106984346065	0.19950184243437158
2.0134228187919465	0.09789031453273267	0.17287078925775773	0.03266024193477784	0.0393450906360989	0.1570527834606431
2.348993288590604	0.08697227417715968	0.1549839255741699	0.026682377506880472	0.03228833862916429	0.12740983377918366
2.684563758389262	0.0792978654792806	0.14111878968608388	0.022496814667873028	0.027430185204138154	0.10655591151270136
3.0201342281879198	0.07361212255362787	0.13027193991700942	0.019471091515062898	0.023946649861760587	0.09173731532476945
3.3557046979865772	0.06924961138083814	0.12171451141785918	0.01724080967600792	0.021384064172628548	0.08108575703987639
3.691275167785235	0.06583471290166915	0.11492235923200139	0.015575460034849052	0.01946800381064208	0.07333777000162525
4.026845637583893	0.06313557110774101	0.10951236894592087	0.014320018234444641	0.018019561990454895	0.06763647508120521
4.3624161073825505	0.06099444984625857	0.10519688932040287	0.013366322005916757	0.016915884118346814	0.06339630771497572
4.697986577181208	0.05929515304478368	0.10175414818105638	0.012637197224684345	0.016069731780073017	0.060212722890153864
5.033557046979866	0.05794769689529427	0.09900966455685768	0.012076738354529777	0.01541780344193731	0.057802650036760966
5.369127516778524	0.056880629780715904	0.09682435755045922	0.011643959112815856	0.014913474219513721	0.05596528564312664
5.704697986577181	0.056036706864035356	0.09508661374560466	0.011308504214056181	0.014522022201462212	0.05455626350736064
6.0402684563758395	0.055370012521974626	0.0937066205360139	0.01104767318041968	0.01421734483754914	0.05347041759480216
6.375838926174497	0.05484380191426053	0.09261211177845685	0.010844350628273845	0.01397967260572192	0.052630241970487074
6.7114093959731544	0.054428759459298245	0.0917450232212202	0.010685532683555547	0.013793930403282273	0.051978005768477026
