NON $ % + - . 0
#NON	e	f	b	d	c	a
0.0	0.7518173726364825	0.9324597243542119	0.02315347556096614	0.39239103640512485	0.6790843862658843	0.28473303220680335
0.5050505050505051	0.3463588219040647	0.565373954247466	0.09816762414780977	0.3777337228359002	0.31995584419526824	0.20830656342949258
1.0101010101010102	0.17919545395439349	0.4012358036103251	0.14420478257300934	0.34422620268624016	0.19888185868679706	0.1803332146954562
1.5151515151515151	0.10950608532600863	0.3226588321041432	0.1726691007154305	0.3157902930104031	0.16285770295242039	0.17426940316512032
2.0202020202020203	0.08025550107611462	0.283012254727487	0.19058672676871685	0.296289532056579	0.15565856447537232	0.17713626067563557
2.5252525252525255	0.06796376708507998	0.2622842172539518	0.20215307542622402	0.28411138170005573	0.1569741724864086	0.18263531626270002
3.0303030303030303	0.06283873994413704	0.25120491303223513	0.2098128458626813	0.27687926761772835	0.1599712004340026	0.18808781659365348
3.5353535353535355	0.060754325033236675	0.2452051188793237	0.21499276597499367	0.27270868629423123	0.1626686217981659	0.19260366974322007
4.040404040404041	0.0599565706470238	0.24193165300599986	0.2185484310473749	0.2703459712337793	0.16468965094021332	0.1960573374778419
4.545454545454546	0.059694971933549855	0.24013812851526697	0.22101288016232043	0.26902196706865594	0.16610964477702456	0.19859194461670102
5.050505050505051	0.05964785092834212	0.23915315083759067	0.22273077354684673	0.2682849992454935	0.1670845927476446	0.20040980964673097
5.555555555555556	0.059678450537570295	0.2386115111972695	0.22393183128244099	0.2678764801635409	0.16775005632585085	0.20169638149519384
6.0606060606060606	0.05973016419447853	0.23831344729640855	0.22477256953119765	0.2676505993021151	0.168204847243231	0.20259981440771346
6.565656565656566	0.05978104009331371	0.23814935904204856	0.22536117917131548	0.267525897786636	0.16851680561258284	0.20323125523402047
7.070707070707071	0.05982386193799007	0.23805900515209621	0.2257730957268102	0.2674571172030069	0.16873163841060024	0.20367137780554095
7.575757575757576	0.0598574156788549	0.23800924886630423	0.22606115387107234	0.2674192035831658	0.16888008137096452	0.20397765707684826
8.080808080808081	0.059882687366509604	0.23798184276473774	0.22626243356692438	0.26739830910988066	0.16898291116607184	0.20419060196973624
8.585858585858587	0.05990127243138598	0.23796674905246284	0.22640296227247236	0.2673867970624928	0.16905426976686488	0.20433858425652088
9.090909090909092	0.05991472642077752	0.23795843582011666	0.22650100245957333	0.26738045565333457	0.16910384415227628	0.20444139642348322
9.595959595959597	0.05992436323032957	0.23795385707535338	0.22656935522957655	0.26737696222238083	0.1691383087505165	0.20451282005894497
10.101010101010102	0.05993121389826873	0.23795133582049646	0.22661698165404456	0.26737503861477996	0.1691622767713813	0.20456243578403827
10.606060606060607	0.0599360577340118	0.2379499460339696	0.22665015348436565	0.2673739777025585	0.16917894954994064	0.2045969063893348
11.111111111111112	0.05993946869412631	0.23794918160490877	0.22667324591808458	0.2673733950545173	0.16919054612016177	0.2046208532782303
11.616161616161618	0.05994186369687359	0.23794876057360945	0.22668931617406865	0.2673730734288073	0.16919861228267857	0.20463749008804227
12.121212121212121	0.0599435410853057	0.23794852863746302	0.2267004966429948	0.2673728968326448	0.1692042219430612	0.2046490488864273
12.626262626262626	0.059944714215255754	0.23794840082490773	0.22670827357461426	0.26737279911140127	0.16920812328817963	0.2046570801801632
13.131313131313131	0.05994553376409753	0.23794833015582745	0.2267136851430777	0.2673727452387918	0.16921083747806737	0.20466266384355147
13.636363636363637	0.059946104667498216	0.2379482921304537	0.22671744482620373	0.26737271786061456	0.16921272261017872	0.20466654010636928
14.141414141414142	0.05994650274866553	0.23794827139438735	0.22672005747127852	0.2673727023492415	0.16921403297633927	0.20466923222895514
14.646464646464647	0.05994678107791727	0.23794825924058877	0.22672187479551761	0.26737269005025943	0.16921494507185522	0.204671104312169
15.151515151515152	0.05994697451819923	0.23794825244690015	0.22672313817063872	0.26737268366761896	0.16921557866069695	0.204672405313363
15.656565656565657	0.05994710748352462	0.23794824893645913	0.2267240165061528	0.26737268553604654	0.16921601825577368	0.20467330916941737
16.161616161616163	0.059947199711751505	0.23794824689718896	0.22672462698608514	0.26737268807267456	0.1692163240361048	0.20467393709224194
16.666666666666668	0.05994726650570705	0.2379482455451367	0.22672505114249378	0.2673726816551182	0.1692165378964801	0.2046743738682015
17.171717171717173	0.05994731538809277	0.23794824479501578	0.22672534602708266	0.2673726698795435	0.16921668732356784	0.20467467816109536
17.67676767676768	0.05994734657354579	0.2379482445496011	0.2267255511575362	0.26737267053456404	0.1692167895749757	0.20467488928682612
18.181818181818183	0.059947363796756775	0.2379482443741109	0.22672569388371408	0.2673726846348028	0.1692168589464267	0.2046750350357314
18.68686868686869	0.05994738220925539	0.23794824420483496	0.22672579319816033	0.2673726750173389	0.16921691038941084	0.20467513788464833
19.191919191919194	0.05994739138789918	0.23794824410178061	0.2267258622458397	0.26737267921945795	0.16921694441629923	0.2046752085194046
19.6969696969697	0.05994739876857807	0.23794824404486423	0.22672591028504846	0.2673726791747115	0.16921696855132434	0.20467525790639446
20.202020202020204	0.0599474037963947	0.23794824401360137	0.22672594366457935	0.2673726794526834	0.16921698525947484	0.2046752922024593
20.70707070707071	0.05994740734426425	0.2379482439964278	0.22672596684137084	0.2673726794808832	0.16921699688387257	0.20467531603022918
21.212121212121215	0.05994740983488408	0.23794824398688072	0.226725983100167	0.26737267949836746	0.1692170050368375	0.20467533274661392
21.71717171717172	0.059947411540743054	0.23794824398224337	0.22672599421116227	0.2673726795011064	0.16921701060841057	0.20467534417159025
22.222222222222225	0.0599474127208026	0.23794824397994252	0.22672600186933603	0.26737267949116894	0.16921701444995305	0.2046753520472832
22.72727272727273	0.059947413544924874	0.23794824397854958	0.22672600719822367	0.2673726794757327	0.1692170171247851	0.20467535752804308
23.232323232323235	0.05994741412018474	0.23794824397748496	0.22672601090610484	0.26737267945970095	0.16921701898759625	0.20467536134169642
23.73737373737374	0.05994741451903534	0.23794824397667869	0.22672601346969073	0.26737267944553794	0.16921702027680782	0.2046753639783587
24.242424242424242	0.05994741479823117	0.23794824397613684	0.22672601526479133	0.26737267943616577	0.16921702117982068	0.20467536582448195
24.747474747474747	0.059947414989412424	0.23794824397583833	0.2267260165015532	0.26737267943342213	0.16921702180136264	0.2046753670961434
25.252525252525253	0.059947415123072674	0.23794824397570805	0.22672601738378007	0.26737267943948745	0.16921702224288548	0.20467536800285227
25.757575757575758	0.05994741521419773	0.23794824397566433	0.22672601801013947	0.26737267945475807	0.1692170225538739	0.20467536864595276
26.262626262626263	0.05994741527332721	0.23794824397564818	0.2267260184489056	0.2673726794790538	0.16921702276874584	0.2046753690955693
26.767676767676768	0.05994741531072157	0.23794824397562006	0.22672601876198376	0.2673726795103663	0.16921702291935825	0.20467536941532558
27.272727272727273	0.059947415368654784	0.2379482439756279	0.22672601915032237	0.2673726795155188	0.1692170231126522	0.20467536981452056
27.77777777777778	0.05994741541944007	0.2379482439756347	0.22672601948375723	0.26737267951690474	0.16921702327923702	0.20467537015748707
28.282828282828284	0.05994741545971305	0.2379482439756359	0.22672601974647125	0.26737267951724525	0.16921702341068068	0.20467537042773928
28.78787878787879	0.059947415489473715	0.23794824397563152	0.22672601993846445	0.26737267951654037	0.16921702350698317	0.20467537062527724
29.292929292929294	0.059947415508722075	0.2379482439756216	0.2267260200597368	0.26737267951479005	0.16921702356814444	0.2046753707501009
29.7979797979798	0.059947415517458115	0.2379482439756061	0.22672602011028833	0.26737267951199434	0.16921702359416455	0.20467537080221027
30.303030303030305	0.05994741551568184	0.237948243975585	0.22672602009011902	0.2673726795081532	0.16921702358504345	0.20467537078160536
30.80808080808081	0.059947415503393255	0.23794824397555836	0.2267260199992289	0.26737267950326665	0.1692170235407812	0.20467537068828617
31.313131313131315	0.059947415499205355	0.2379482439755407	0.226726019965048	0.26737267950017085	0.16921702352445753	0.20467537065323757
31.81818181818182	0.05994741550556507	0.237948243975534	0.22672602000432865	0.26737267949923876	0.16921702354436516	0.20467537069367925
32.323232323232325	0.059947415508993906	0.2379482439755276	0.22672602002479314	0.26737267949841653	0.16921702355482515	0.20467537071475925
32.82828282828283	0.05994741550949184	0.2379482439755216	0.22672602002644143	0.2673726794977041	0.16921702355583756	0.20467537071647754
33.333333333333336	0.0599474155070589	0.23794824397551598	0.22672602000927355	0.26737267949710153	0.16921702354740237	0.20467537069883418
33.83838383838384	0.05994741550169506	0.23794824397551073	0.2267260199732895	0.26737267949660876	0.16921702352951956	0.2046753706618291
34.343434343434346	0.05994741549340034	0.23794824397550582	0.22672601991848926	0.26737267949622584	0.16921702350218915	0.20467537060546234
34.84848484848485	0.05994741548217472	0.23794824397550127	0.2267260198448728	0.2673726794959528	0.16921702346541115	0.2046753705297339
35.35353535353536	0.05994741547359748	0.23794824397547915	0.22672601978371107	0.2673726794935539	0.1692170234354622	0.20467537046686524
35.85858585858586	0.059947415469533194	0.23794824397548034	0.22672601975781814	0.2673726794937914	0.16921702342242492	0.20467537044022693
36.36363636363637	0.05994741546546892	0.23794824397548156	0.22672601973192522	0.2673726794940289	0.16921702340938763	0.2046753704135886
36.86868686868687	0.059947415461404634	0.23794824397548275	0.2267260197060323	0.26737267949426635	0.16921702339635034	0.2046753703869503
37.37373737373738	0.05994741545734036	0.23794824397548398	0.22672601968013936	0.2673726794945039	0.16921702338331304	0.204675370360312
37.87878787878788	0.05994741545327608	0.23794824397548517	0.22672601965424644	0.26737267949474136	0.16921702337027575	0.2046753703336737
38.38383838383839	0.0599474154492118	0.23794824397548636	0.2267260196283535	0.26737267949497884	0.16921702335723848	0.2046753703070354
38.88888888888889	0.05994741544514752	0.23794824397548758	0.22672601960246055	0.2673726794952163	0.1692170233442012	0.2046753702803971
39.3939393939394	0.05994741544108324	0.23794824397548878	0.22672601957656763	0.2673726794954538	0.1692170233311639	0.2046753702537588
39.8989898989899	0.05994741544025581	0.23794824397548903	0.2267260195712869	0.267372679495498	0.1692170233285059	0.20467537024832633
40.40404040404041	0.0599474154401283	0.23794824397548905	0.22672601957046326	0.26737267949550036	0.1692170233280923	0.2046753702474793
40.909090909090914	0.05994741544000078	0.23794824397548908	0.22672601956963961	0.2673726794955028	0.16921702332767868	0.20467537024663227
41.41414141414142	0.059947415439873274	0.23794824397548908	0.22672601956881597	0.2673726794955052	0.16921702332726507	0.20467537024578525
41.919191919191924	0.059947415439745765	0.2379482439754891	0.22672601956799232	0.2673726794955076	0.16921702332685146	0.2046753702449382
42.42424242424243	0.059947415439618255	0.23794824397548914	0.22672601956716865	0.26737267949551	0.16921702332643784	0.2046753702440912
42.929292929292934	0.05994741543949074	0.23794824397548917	0.226726019566345	0.2673726794955124	0.16921702332602423	0.20467537024324414
43.43434343434344	0.05994741543936323	0.2379482439754892	0.22672601956552135	0.2673726794955148	0.1692170233256106	0.20467537024239713
43.939393939393945	0.05994741543923572	0.23794824397548922	0.2267260195646977	0.26737267949551724	0.16921702332519697	0.20467537024155008
