NON $ % + -
#NON	d	c	b	a
0.0	0.26643777166738014	0.7144583554819297	0.05654757551000533	0.5892130395368673
0.5050505050505051	0.14151717243980638	0.32432028671697977	0.05515990953607859	0.23589346268987654
1.0101010101010102	0.10505069037891464	0.1525824821664255	0.04261263730691768	0.13545854827994327
1.5151515151515151	0.08782726268168176	0.07560233020173246	0.031733761379822874	0.10015551400007207
2.0202020202020203	0.0758484658780112	0.03996687831369614	0.023683768635910304	0.08283475933939759
2.5252525252525255	0.06621776670293365	0.022747003440533344	0.017919631801513337	0.07140625325011528
3.0303030303030303	0.05825840217145029	0.013999189847911946	0.013837778269277758	0.06266071011018426
3.5353535353535355	0.05172882953263682	0.009310202774459484	0.010961584398106346	0.055662677022069174
4.040404040404041	0.046455054208818174	0.006657410080912419	0.008936306871910805	0.05004782052662189
4.545454545454546	0.04226198185316693	0.0050775180174802625	0.007505603435630899	0.045586594360999204
5.050505050505051	0.03897217655518842	0.004091768582995226	0.006488524407651097	0.04208264299757457
5.555555555555556	0.036417239677400993	0.003451290946280084	0.005759492282811329	0.039357501728166454
6.0606060606060606	0.03444731776850521	0.003020700481294597	0.005232153811048181	0.03725354288761768
6.565656565656566	0.032935663243196654	0.002723000255433181	0.004847248925436656	0.035637235128736754
7.070707070707071	0.031779032607585175	0.002512499078519803	0.004563953081621869	0.03439943851576713
7.575757575757576	0.030895401393044957	0.0023609685216123767	0.004353886567417723	0.03345315762354441
8.080808080808081	0.03022076061389589	0.0022503426046470427	0.004197122957704724	0.03273031402239947
8.585858585858587	0.02970575506137878	0.002168709568726305	0.0040795302564149575	0.032178300423209245
9.090909090909092	0.02931262244752944	0.0021079598378787546	0.003990947880108179	0.0317567936207445
9.595959595959597	0.02901242217232621	0.002062457823813934	0.0039239888139149465	0.03143485825431877
10.101010101010102	0.028783111829579464	0.002028204531112066	0.0038732350861290094	0.03118890601230083
10.606060606060607	0.028607888788178628	0.002002319875266128	0.0038346812719670382	0.03100094411425596
11.111111111111112	0.028473972777094656	0.001982703512508239	0.003805348607752776	0.030857279368658105
11.616161616161618	0.02837160271176426	0.0019678026937200795	0.0037830008650825164	0.0307474489587873
12.121212121212121	0.028293312494766475	0.001956465446504687	0.003765959424538921	0.030663451415238668
12.626262626262626	0.028233468675822156	0.0019478271236666757	0.0037529518115566765	0.030599238465327788
13.131313131313131	0.028187694193787124	0.0019412390955881804	0.003743018387361303	0.03055012163470948
13.636363636363637	0.028152653690719422	0.001936210044514843	0.0037354292112831374	0.030512524695867262
14.141414141414142	0.02812587188786188	0.0019323697235522229	0.003729628618772458	0.03048378535420425
14.646464646464647	0.028105374431773127	0.0019294359480463983	0.003725195132751435	0.030461791220838776
15.151515151515152	0.028089695522778936	0.0019271934905609608	0.003721804704902116	0.030444966769025677
15.656565656565657	0.02807770206795557	0.0019254789411631114	0.0037192114043644825	0.030432096473983677
16.161616161616163	0.028068522517701915	0.0019241680159369024	0.0037172282518505967	0.03042224636859112
16.666666666666668	0.028061500806760543	0.0019231654979275773	0.003715711289680067	0.030414711508557558
17.171717171717173	0.02805612911751177	0.001922398647882242	0.003714550706521506	0.030408947066301567
17.67676767676768	0.028052021401310905	0.0019218123633749763	0.003713663282891718	0.03040453896689076
18.181818181818183	0.028048880069800428	0.001921364204805165	0.0037129848964575596	0.030401168014331514
18.68686868686869	0.028046475041268188	0.0019210212538874182	0.0037124657667219384	0.03039858730395394
19.191919191919194	0.0280446326552929	0.0019207585953083617	0.0037120681760122523	0.03039661037680364
19.6969696969697	0.028043222685922395	0.0019205575247113105	0.003711763782749322	0.03039509737052956
20.202020202020204	0.028042144851170177	0.001920403773246277	0.003711531002034772	0.03039394070997569
20.70707070707071	0.028041322420150595	0.0019202864542578041	0.0037113533645249516	0.030393058114901412
21.212121212121215	0.02804069387084862	0.0019201968326951386	0.003711217670127278	0.030392383620303273
21.71717171717172	0.028040215055652434	0.0019201286044292652	0.0037111143718709877	0.030391869843364512
22.222222222222225	0.028039846436213847	0.0019200760841676147	0.0037110348624564203	0.030391474322683416
22.72727272727273	0.028039564080592327	0.0019200358578868007	0.0037109739670845338	0.03039117136731961
23.232323232323235	0.028039345991662853	0.0019200047384368116	0.003710926847494895	0.03039093731950486
23.73737373737374	0.028039178357035583	0.0019199808114817754	0.0037108906166030088	0.03039075740925016
24.242424242424242	0.028039049789493183	0.0019199624559712509	0.0037108628189846437	0.030390619417904417
24.747474747474747	0.028038951528856812	0.0019199484483283108	0.003710841609463566	0.030390513973936686
25.252525252525253	0.028038878441304278	0.0019199380259365424	0.0037108258234320487	0.03039043553314147
25.757575757575758	0.02803882271252187	0.0019199300914530615	0.003710813809778247	0.03039037573819854
26.262626262626263	0.02803878092108245	0.0019199241537508945	0.003710804823512297	0.03039033091319485
26.767676767676768	0.02803875029286169	0.0019199198048194769	0.003710798241910364	0.030390298064542992
27.272727272727273	0.02803872475846561	0.0019199161577394775	0.0037107927206910096	0.03039027066236373
27.77777777777778	0.028038706047619134	0.0019199134876878505	0.0037107886802664066	0.030390250587401132
28.282828282828284	0.028038690236872277	0.0019199112243474966	0.003710785253575165	0.030390233615255686
28.78787878787879	0.028038676829415198	0.0019199092995600521	0.0037107823380871	0.030390219216030495
29.292929292929294	0.028038665916757043	0.0019199077338423185	0.0037107799665294086	0.03039020749637829
29.7979797979798	0.028038657156503707	0.0019199064885979283	0.003710778081470745	0.03039019809760078
30.303030303030305	0.028038650092212954	0.0019199054841731373	0.0037107765602338574	0.03039019051690226
30.80808080808081	0.02803864489788487	0.0019199047485503103	0.00371077544650629	0.030390184946473074
31.313131313131315	0.028038641345822565	0.0019199042487381107	0.003710774690124321	0.030390181140767466
31.81818181818182	0.028038638959615215	0.0019199039130253753	0.0037107741820059104	0.030390178584517123
32.323232323232325	0.02803863760056127	0.0019199037192488392	0.0037107738885728075	0.030390177127358947
32.82828282828283	0.028038638579627944	0.0019199038676408165	0.0037107741146789265	0.030390178189138375
33.333333333333336	0.02803864014347804	0.001919904096358265	0.0037107744621526313	0.030390179875612745
33.83838383838384	0.028038641044156026	0.0019199042233046476	0.0037107746543309015	0.0303901808417816
34.343434343434346	0.028038640115530932	0.0019199040790978893	0.003710774433934269	0.03039017983154901
34.84848484848485	0.028038639845738227	0.001919904029169513	0.003710774356628938	0.030390179529291763
35.35353535353536	0.02803863841821509	0.001919903811334618	0.0037107740242725198	0.030390177979779453
35.85858585858586	0.028038635459437872	0.0019199033756622116	0.003710773361456691	0.030390174784860675
36.36363636363637	0.028038631975179886	0.0019199028676970258	0.0037107725897198157	0.030390171028853354
36.86868686868687	0.028038628566215053	0.0019199023783934756	0.003710771847911706	0.030390167363418853
37.37373737373738	0.028038626036660345	0.001919902029783486	0.0037107713222856403	0.030390164660899197
37.87878787878788	0.028038624705205066	0.0019199018661470826	0.0037107710797511843	0.03039016326255036
38.38383838383839	0.02803862359251657	0.0019199017323178655	0.0037107708821522535	0.030390162098429204
38.88888888888889	0.028038623858505342	0.0019199017953798756	0.003710770983191576	0.030390162417192553
39.3939393939394	0.028038625812447628	0.0019199020910606302	0.003710771435542704	0.030390164541924305
39.8989898989899	0.0280386281894282	0.0019199024418756878	0.0037107719698880816	0.030390167113725778
40.40404040404041	0.028038630824582744	0.0019199028112193138	0.0037107725282590457	0.03039016994030423
40.909090909090914	0.028038632739498668	0.0019199030487307529	0.003710772880287771	0.03039017195629711
41.41414141414142	0.02803863420445356	0.0019199032082440547	0.0037107731110018662	0.030390173470361236
41.919191919191924	0.02803863528909261	0.0019199033172882666	0.00371077326603285	0.030390174578119475
42.42424242424243	0.02803863498894525	0.0019199032384826906	0.0037107731383321865	0.03039017420604289
42.929292929292934	0.028038633117542525	0.00191990295796505	0.0037107727097657832	0.03039017216926418
43.43434343434344	0.028038630950786656	0.001919902646992638	0.003710772238191959	0.030390169830746234
43.939393939393945	0.028038628500390492	0.001919902331020425	0.0037107717675501947	0.03039016723240003
44.44444444444445	0.028038626651532023	0.0019199021512056645	0.0037107715155182833	0.030390165346736425
44.949494949494955	0.02803862471060957	0.0019199019588715751	0.0037107712444226495	0.030390163365460188
45.45454545454546	0.028038623525205437	0.00191990186365579	0.003710771117799264	0.030390162188175474
45.959595959595966	0.02803862392833601	0.00191990195747859	0.0037107712685295036	0.030390162679410162
46.46464646464647	0.028038625731248944	0.0019199022076701402	0.003710771645550418	0.030390164626500495
46.969696969696976	0.028038627879796503	0.001919902481599615	0.003710772051787186	0.030390166910958746
47.47474747474748	0.028038630428885967	0.0019199027510953149	0.0037107724357166257	0.03039016954503639
47.979797979797986	0.028038632639941524	0.001919902912316883	0.0037107726403150447	0.03039017173126344
48.484848484848484	0.028038635070847678	0.0019199031125370562	0.0037107729066618886	0.030390174159055587
48.98989898989899	0.0280386363760441	0.0019199031966755174	0.003710773009054167	0.030390175420620908
49.494949494949495	0.028038635619515966	0.0019199030920445297	0.0037107728530108384	0.030390174581764226
50.0	0.02803863541683939	0.0019199030053108875	0.0037107727084659836	0.030390174268131707
