NON $ % + - . 0 1 2 3 4 5
#NON	c	e	h	b	g	k	j	f	d	i	a
0.0	0.2133207686587848	0.20557570339247966	0.13946631280932142	0.16361931172621313	0.2894791318287071	0.995291767100343	0.5035259994812556	0.9841755317899085	0.8641650294662231	0.6154690075183423	0.6566338703177904
0.5050505050505051	0.19001073274091865	0.22943329035836252	0.20906122118184142	0.1498753475972151	0.24201542391903283	0.5123207943208469	0.22782900962684477	0.3330528976338333	0.4198618557685039	0.18040099625743328	0.36255912808636376
1.0101010101010102	0.19661445155655044	0.23479963830422634	0.22650757975864078	0.15835853423772528	0.22727379031482445	0.3447650045262534	0.17474620068193042	0.131816554379602	0.2721410060473517	0.07497052205269386	0.2121397856907155
1.5151515151515151	0.20950194402745947	0.23198871151849454	0.22555875564091873	0.17187731208041346	0.2279331004775737	0.28100417253650156	0.17220274678880587	0.06872812803186738	0.21884194552759342	0.048668446134017974	0.13615323322501255
2.0202020202020203	0.22016581345872901	0.22725773480601588	0.22011630116711292	0.18312199761130188	0.23354924126760826	0.25520875660311226	0.17794653439588856	0.0487191552485179	0.1982598645540687	0.04199823637568498	0.09826400988531413
2.5252525252525255	0.22693652096561698	0.22310573365208897	0.21492082977497326	0.19043336982162454	0.2392210370501108	0.24442418785603237	0.18267551498836107	0.042322330385090444	0.18994430812926874	0.0403407972621012	0.0795850828399524
3.0303030303030303	0.2306844680832169	0.2201082853503344	0.21109655906737584	0.1945881476795558	0.2434692063508741	0.23984407165744862	0.1854265229563084	0.04026771959655999	0.18649343701659196	0.03996845801083606	0.07045634118340303
3.5353535353535355	0.23260491725478755	0.2181381111536982	0.20857209855279507	0.1967697708142279	0.24627093148523438	0.2378851307020159	0.18683832027491282	0.03960689734846281	0.18503947127994702	0.03991087048555081	0.06602251117796358
4.040404040404041	0.23354522042907738	0.21691060088456374	0.20700065060747538	0.19786097218268267	0.24799666353125105	0.23704467704230134	0.1875217423784417	0.03939496662085475	0.18442161793185594	0.03991892881696286	0.0638781948183334
4.545454545454546	0.23399286311247958	0.2161709866333605	0.20605681123506192	0.19838986052019927	0.2490162162001649	0.23668360784555165	0.18784268493183637	0.03932761818392384	0.18415778644448647	0.0399334743024452	0.06284415140974056
5.050505050505051	0.23420211834313012	0.21573514209191547	0.20550306312378827	0.19864078574667315	0.24960208851926685	0.23652839681064722	0.18799085680339164	0.039306624761842726	0.18404480806005127	0.03994364459205618	0.06234646736827953
5.555555555555556	0.2342987340629439	0.21548222027602743	0.20518337570746117	0.19875805135196017	0.24993222663355422	0.23646166065305854	0.18805856486006106	0.03930032137626104	0.18399634798569098	0.03994945734016418	0.06210722747528967
