NON $ % + - . 0 1
#NON	a	b	f	d	g	e	c
0.0	0.040426552493503354	0.5359786729903957	0.9007960620633327	0.14296182587906636	0.9754651477122671	0.07932866388052418	0.48821853391973324
0.5050505050505051	0.0371500477983017	0.26623599109177554	0.3782522089458457	0.12161564221874496	0.39341307767689393	0.1319116148097348	0.3289908711059443
1.0101010101010102	0.038507605521108795	0.18221980851201736	0.17908535201436293	0.09468058061472531	0.2370052520945569	0.16903851015365362	0.2370077666988962
1.5151515151515151	0.040677897737134566	0.1583533996001433	0.09818875326838168	0.07146070007602882	0.19955094289746003	0.19153508258172322	0.18429698630692057
2.0202020202020203	0.042387128862999425	0.15283952905986217	0.06280166726428961	0.05427980190212649	0.19266386587057174	0.20366715770078836	0.1541509058608934
2.5252525252525255	0.04347591616416521	0.15232675498537268	0.046145589534680245	0.04258544993831781	0.19248159698189712	0.20971072445322853	0.13688563536136422
3.0303030303030303	0.04410436566756471	0.15285056272889508	0.03780184232216891	0.03502327908253547	0.19321868735594103	0.21256347871705264	0.12697069057113103
3.5353535353535355	0.0444484987301317	0.15338377731818456	0.03342112045942321	0.030293756664689964	0.19376366961496827	0.21385683098319652	0.12125921521307101
4.040404040404041	0.04463131005319572	0.15374513032349107	0.031045027187161553	0.027401784420684517	0.1940548409438053	0.21442294602357687	0.1179589121532581
4.545454545454546	0.04472665569953543	0.15395913643378076	0.02972818834902806	0.02566078239296967	0.19418970419087184	0.21466195521561504	0.1160462271852134
5.050505050505051	0.04477581444363383	0.15407798874353368	0.028988041765092135	0.024624060436814726	0.19424612279494718	0.21475858421497604	0.11493469561071953
5.555555555555556	0.04480097306862403	0.15414168787290633	0.028568117019739245	0.024011437683302387	0.194267301065659	0.21479536116320838	0.11428713963897638
6.0606060606060606	0.044813787087955734	0.15417510688378136	0.0283283108788383	0.023651353207399972	0.19427400042352597	0.21480803837665088	0.11390904229370935
6.565656565656566	0.04482029278464262	0.15419240783291957	0.0281907092602393	0.02344047245157566	0.19427533294829766	0.2148115805192457	0.11368784217386174
7.070707070707071	0.04482358873933692	0.154201286765833	0.0281114565622008	0.02331726623089394	0.19427498766787127	0.21481199444139176	0.11355820707084584
7.575757575757576	0.04482525623095201	0.15420581869324443	0.028065668849456545	0.023245383642488866	0.19427431807757062	0.21481154505957167	0.1134821174536183
8.080808080808081	0.0448260989451455	0.15420812228203734	0.028039145201366994	0.023203475728148047	0.19427374017088567	0.21481100417877944	0.11343739764455842
8.585858585858587	0.04482652459532517	0.15420929090512078	0.0280237452263229	0.023179048347228903	0.1942733359987783	0.21481058210650006	0.11341108534082421
9.090909090909092	0.04482673950533525	0.15420988204951722	0.028014783500127743	0.023164805108992666	0.19427307523291604	0.21481029813922217	0.11339558625894354
9.595959595959597	0.04482684798723274	0.1542101814758372	0.028009559108437793	0.0231564965829008	0.1942729203914474	0.2148101212717421	0.11338644969405824
10.101010101010102	0.04482690260837898	0.1542103320516326	0.028006508837333362	0.02315164747986533	0.194272826587884	0.21481001560925828	0.11338106088251056
10.606060606060607	0.04482693022854735	0.15421040860861288	0.02800472420033084	0.02314881391704988	0.19427277694177075	0.21480995507382014	0.11337787907470566
11.111111111111112	0.04482694412063817	0.15421044694167538	0.028003678683224727	0.023147156598875406	0.19427274659338595	0.21480992073490082	0.11337599951135752
11.616161616161618	0.044826951117540696	0.15421046630785593	0.028003066342800368	0.023146187998086425	0.19427273141615414	0.21480990185065318	0.11337489040851838
12.121212121212121	0.04482695465902714	0.15421047608235441	0.028002705985598373	0.02314561923568265	0.1942727223413346	0.21480989147606325	0.1133742334219334
12.626262626262626	0.0448269564415012	0.15421048100624168	0.028002494411766585	0.02314528608701606	0.194272717693237	0.21480988588180078	0.11337384537518407
13.131313131313131	0.04482695734243406	0.15421048349761343	0.028002369601808852	0.023145090016301727	0.19427271519212042	0.21480988287557962	0.11337361524550436
13.636363636363637	0.04482695778528602	0.15421048472291427	0.028002296246239348	0.0231449750650496	0.19427271390833903	0.21480988129321074	0.11337347927433589
14.141414141414142	0.04482695798515701	0.15421048527617107	0.028002254482628445	0.02314490980512078	0.194272713283299	0.2148098805111714	0.11337340142193736
14.646464646464647	0.04482695809025034	0.15421048556693145	0.028002229860163083	0.02314487140164772	0.19427271293725096	0.21480988009656463	0.11337335539715425
15.151515151515152	0.04482695815978294	0.15421048575899513	0.02800221476025209	0.02314484786518516	0.19427271271251853	0.21480987985285768	0.11337332719229698
15.656565656565657	0.044826958204495275	0.15421048588236405	0.028002205503136368	0.023144833444165413	0.19427271257198145	0.2148098797091963	0.11337330990788519
16.161616161616163	0.04482695822807881	0.1542104859475143	0.02800219994260868	0.023144824790779256	0.19427271250174277	0.21480987962790765	0.11337329949960227
16.666666666666668	0.044826958238745065	0.1542104859771643	0.028002196630164584	0.023144819641332245	0.19427271247855074	0.2148098795818526	0.11337329327504962
17.171717171717173	0.044826958243997794	0.15421048599187556	0.028002194643844448	0.02314481655650125	0.194272712474643	0.21480987955581288	0.11337328953338224
17.67676767676768	0.044826958247315835	0.15421048600110335	0.028002193442447833	0.02314481469324473	0.19427271246883668	0.2148098795420335	0.11337328726945593
