NON $ % + - . 0 1 2 3 4 5 6
#NON	c	e	a	l	i	j	d	f	b	g	k	h
0.0	0.4737336635549837	0.006470032711370144	0.11273552745146087	0.17035063323877064	0.4013338744441346	0.4237691740926792	0.8653399539763568	0.8608144384392363	0.7259196456189916	0.5631513900045231	0.5153793832567529	0.827191691150358
0.5050505050505051	0.19148715115812082	0.1401658010723997	0.0747565989608732	0.1057133852778546	0.24515827782215058	0.2264652139588073	0.3883811407423224	0.3970799528233294	0.3980737597281244	0.3566912870845825	0.2700277009571265	0.4645174284042245
1.0101010101010102	0.1109773547140013	0.17917316569087635	0.048533220363911896	0.0703499883174713	0.17790217518801585	0.1422024167656846	0.20344444904679673	0.21436081811460012	0.2612596237643789	0.2698401209680728	0.1840299050835572	0.2923992384349047
1.5151515151515151	0.08135509108554859	0.18542580162898564	0.03491416358667383	0.05251826061339706	0.14124669748622196	0.10150187351382313	0.12652616639725864	0.13660929066745797	0.19752120066676787	0.22959728791677583	0.14677722749892474	0.20826818712931802
2.0202020202020203	0.06789155747767103	0.18145935884473888	0.028152035551188642	0.04356385887263377	0.12012706001461355	0.08054242277182583	0.09245549574121893	0.10130800684300868	0.16538541395208559	0.2084939914063016	0.12733949698393268	0.16540929044425354
2.5252525252525255	0.06102761747062811	0.17560615457042358	0.02468912138819686	0.03889946485214987	0.10803686409456968	0.06942444761503894	0.07653106887489568	0.08442984155593969	0.14841683550164997	0.19636059763968522	0.1162079366390269	0.14270064945664754
3.0303030303030303	0.05732285681186254	0.17061415137204314	0.022833919482303355	0.03636357284217397	0.10116074910637757	0.06340843989653977	0.06871992857331262	0.07599350181331138	0.13919463620629224	0.18909848369258314	0.10968639602201616	0.13031297488774526
3.5353535353535355	0.05525638897106146	0.16703019882944684	0.02180297515224353	0.03493849206545453	0.09723912325854779	0.06009223071193918	0.06471582226012577	0.0716057828757235	0.13407401362999155	0.18471728205565155	0.10587856980167357	0.12342289106553771
4.040404040404041	0.054078898770186075	0.16466118799966115	0.021215853873681443	0.034120334016558077	0.09498534265469173	0.05823224231401313	0.06258301516727545	0.06924412210083729	0.13118184327849425	0.1820840350287841	0.10366913795990701	0.11953971002406957
4.545454545454546	0.05339850039907942	0.16316456298340076	0.02087639410572918	0.03364464868883599	0.09367950489009366	0.05717346168359754	0.06141115202531651	0.06793727888165631	0.1295263646547259	0.180510221432726	0.10239037836322412	0.11732985936714056
5.050505050505051	0.05300182355880326	0.16224352681399554	0.020678351292861358	0.033366097787941716	0.09291786748843318	0.056563739807645876	0.060752004473658125	0.06719882124071488	0.12856925303431038	0.17957375785640545	0.10164941187183003	0.11606261235649337
5.555555555555556	0.052769285808383394	0.16168548541717212	0.02056219860763489	0.03320233392185914	0.09247151912377201	0.05620962226920121	0.060374988546174825	0.0667752274641747	0.12801191736989523	0.17901814291343568	0.10121870643959759	0.11533135340397317
