NON $ % + - . 0 1 2 3
#NON	c	d	f	b	g	h	e	i	a
0.0	0.6538718077278336	0.15655535118303032	0.49334178507908955	0.1660999715895074	0.1159980009094731	0.26363843013241517	0.4261035850979499	0.4542005692581387	0.9319027235706074
0.5050505050505051	0.4246413848061177	0.17447303503870554	0.3846918264420887	0.10459331077441081	0.2536671020494219	0.13362552758089238	0.28645914476734	0.2984174686299382	0.35090066956074867
1.0101010101010102	0.2725951315377945	0.17502722507454876	0.339227478476403	0.06511481091208784	0.3063353580426901	0.07123026012870382	0.21494722376905945	0.2459382888087643	0.13594219193851406
1.5151515151515151	0.17284364407367264	0.17155946424899923	0.31955089897295913	0.039649053362778526	0.325532112753713	0.038148795279941354	0.1804608855111142	0.22648892635554047	0.054380161166971086
2.0202020202020203	0.10831838239455722	0.16819656199067345	0.31088459913209937	0.023545981913880038	0.3320691257921149	0.02015531455313744	0.1643304852336661	0.2187366388167305	0.022472790978460003
2.5252525252525255	0.06718958316411394	0.16581695591608794	0.3070353875937118	0.013669045873397484	0.3340483350454505	0.010468972213656398	0.15692915550968156	0.21549375000655452	0.009572844773701518
3.0303030303030303	0.04132361346412352	0.16433124785279063	0.30531906500382816	0.00779223048399375	0.33450195402639016	0.005359014289193078	0.15357841320268562	0.21409689907425666	0.004187230127230274
3.5353535353535355	0.025240151204012535	0.1634642500790611	0.3045524221849526	0.004382916744329419	0.33450839799273197	0.0027141438400522817	0.15207705108436786	0.21348500163940665	0.0018724957657639486
4.040404040404041	0.015331327957775628	0.1629792353722236	0.3042097079991982	0.0024425573773256457	0.33442202681358296	0.0013650439719290162	0.15141010669326946	0.21321442266794133	0.000852566618228782
4.545454545454546	0.009271429499874547	0.16271562582766005	0.304056448995694	0.0013530998667778986	0.3343428760656965	0.0006837658268615969	0.1511160920583337	0.2130941506331551	0.0003938346566988134
5.050505050505051	0.005586996822742579	0.16257531649937684	0.303987901998534	0.0007469438177161089	0.3342890854110283	0.0003418777856882763	0.15098740432934696	0.2130405373217167	0.00018405498949396865
5.555555555555556	0.0033572066570249828	0.1625018061329487	0.3039572405651557	0.0004116174293597739	0.33425668252630114	0.00017088923465914023	0.15093146899876775	0.21301660029852604	8.683068787330527e-05
6.0606060606060606	0.0020127303875944647	0.1624637658826266	0.3039435255984677	0.00022673012348239368	0.33423840357383494	8.549122688319216e-05	0.1509073276092808	0.2130059042144732	4.1284711716216845e-05
6.565656565656566	0.0012044556832669655	0.16244427472438283	0.3039373909552725	0.00012495026257661033	0.334228510198107	4.2838048544295386e-05	0.1508969846041812	0.2130011226407425	1.975988427971843e-05
7.070707070707071	0.0007196948684926898	0.1624343685576044	0.3039346468847332	6.895217069936537e-05	0.33422330630201075	2.151344813385808e-05	0.15089258762642835	0.21299898448035867	9.51211216143545e-06
7.575757575757576	0.0004295071367251445	0.16242936695525254	0.3039334193535078	3.810666638929245e-05	0.33422062495951554	1.0830399055515687e-05	0.1508907341497002	0.21299802817106647	4.602442045586969e-06
8.080808080808081	0.0002560665949076958	0.16242685595958498	0.3039328702555382	2.1099459427741157e-05	0.3342192651867812	5.467055902947348e-06	0.1508899603673822	0.21299760043876714	2.237312302846734e-06
8.585858585858587	0.0001525360934607239	0.16242560141589474	0.30393262462953	1.1708750338294214e-05	0.33421858421171413	2.7677630869701243e-06	0.15088964088719936	0.21299740911283957	1.0922926429698537e-06
