,,,Slide ID,b,c,h,g,a,e,d,f
,,,Antibody Name,b,c,h,g,a,e,d,f
,,,HUGO ID,b,c,h,g,a,e,d,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.10383224237246613,0.8837267008266851,0.07284471586566199,0.8745933222890607,0.7086495627604951,0.13306669520949455,0.4822709469250299,0.36027804319108714
C1,no,Insulin,0.5050505050505051,0.16197956291974824,0.3700175262985622,0.09391122970842064,0.37066944598356255,0.5258339831330677,0.12413305706594165,0.24979109777190464,0.20222360550128582
C1,no,Insulin,1.0101010101010102,0.20587483216969837,0.2346454494575961,0.07215559277503251,0.17206397625303307,0.4012450110190667,0.0964315274157131,0.20471687656548612,0.15193807739379508
C1,no,Insulin,1.5151515151515151,0.23390572134158852,0.19927315443968902,0.0533439255879037,0.09031201169644147,0.3249471881675565,0.07213747248053508,0.20175119973414207,0.1382534186193968
C1,no,Insulin,2.0202020202020203,0.25033528164739444,0.19213635341038096,0.0413640870486355,0.05471082167726204,0.2805724972679965,0.054884239483433454,0.20547918440353635,0.13589633770151663
C1,no,Insulin,2.5252525252525255,0.2595958708822764,0.1927814695732184,0.034122782257591265,0.038139470875326924,0.2552796507965583,0.04354971292028149,0.20878954536485678,0.1365210522903443
C1,no,Insulin,3.0303030303030303,0.26472344972374817,0.19505264283216292,0.029785631532486537,0.029911060883134156,0.24096533891734248,0.03639630420441948,0.21089286427292045,0.13758603210786058
C1,no,Insulin,3.5353535353535355,0.2675390707343473,0.19716703006224828,0.02720104029953781,0.025602896103380294,0.23288007621132734,0.03199434426525758,0.212107454269969,0.1384445668134151
C1,no,Insulin,4.040404040404041,0.2690790572912539,0.1987327799916912,0.025669582068108352,0.02325865466782625,0.2283128114641422,0.029331739373440253,0.212784442250135,0.1390201313252611
C1,no,Insulin,4.545454545454546,0.26991973570295297,0.19978264320708422,0.02476685454586509,0.0219496246418511,0.22573051611582204,0.027740254460168378,0.21315652195023688,0.13937573281789292
C1,no,Insulin,5.050505050505051,0.27037823409930917,0.200448592431479,0.024236797620565582,0.02120643057240455,0.22426875551046177,0.026796719121063458,0.21335988200307573,0.13958591935876014
C1,no,Insulin,5.555555555555556,0.27062818002690414,0.2008567820981039,0.02392633183333514,0.02078006481224688,0.2234402150857139,0.026240387406360758,0.21347079022276244,0.1397068898317306
C1,no,Insulin,6.0606060606060606,0.2707644054632396,0.2011015633743969,0.023744722135079895,0.020533848423939897,0.2229699601603465,0.02591352674014878,0.21353123171846689,0.13977533740129117
C1,no,Insulin,6.565656565656566,0.27083864256591156,0.20124631226808104,0.023638542013541833,0.020391062728088726,0.22270270109390647,0.025721911839960605,0.21356416301802145,0.13981363034707273
C1,no,Insulin,7.070707070707071,0.27087909517872594,0.20133115554149367,0.023576463393539193,0.02030802608668009,0.22255061279236563,0.025609726433497862,0.21358210433000205,0.1398348878203107
C1,no,Insulin,7.575757575757576,0.27090113961320134,0.2013806187721239,0.02354015536637176,0.020259637602934824,0.22246394653830956,0.025544083290157383,0.2135918800654074,0.1398466256007159
C1,no,Insulin,8.080808080808081,0.27091315159419177,0.20140937042084409,0.023518908444583875,0.020231398487087614,0.22241449924748394,0.025505679264668162,0.2135972063661006,0.13985308276982766
C1,no,Insulin,8.585858585858587,0.27091969645997005,0.20142605595193258,0.023506467881188216,0.02021489931677182,0.2223862529355188,0.02548320921185932,0.21360010827640608,0.13985662526204184
C1,no,Insulin,9.090909090909092,0.27092326353371216,0.20143573098446102,0.023499179870353867,0.020205248536687485,0.22237009483940254,0.0254700569481886,0.21360168987106137,0.13985856517971781
C1,no,Insulin,9.595959595959597,0.2709252068997736,0.2014413451806137,0.023494905749378833,0.02019959938849098,0.22236084254858085,0.02546235528610933,0.21360255144886747,0.13985962609337474
C1,no,Insulin,10.101010101010102,0.2709262658552677,0.2014445985521549,0.023492400959787118,0.02019628993383056,0.22235553795540497,0.02545784368447016,0.21360302102015225,0.13986020548063002
C1,no,Insulin,10.606060606060607,0.27092684275645373,0.20144649012939142,0.0234909290795052,0.020194349781331025,0.22235249346501607,0.025455198848950592,0.21360327676732938,0.13986052183639586
C1,no,Insulin,11.111111111111112,0.27092715703865544,0.20144758910300523,0.02349006486237529,0.020193211773110332,0.22235074435671046,0.025453647906453325,0.2136034160944282,0.1398606943908461
C1,no,Insulin,11.616161616161618,0.270927328502465,0.2014482287443349,0.0234895566618296,0.020192543120126888,0.22234973718642148,0.025452736898682084,0.213603492110535,0.13986078861731202
C1,no,Insulin,12.121212121212121,0.2709274217415946,0.2014486005230543,0.02348925832257702,0.020192150910714073,0.22234915810494266,0.025452202704752222,0.21360353344786845,0.13986083989051953
C1,no,Insulin,12.626262626262626,0.27092747178963844,0.20144881462129832,0.023489084822389154,0.02019192301895154,0.22234882838151368,0.025451892420697404,0.2136035556367526,0.13986086742558848
C1,no,Insulin,13.131313131313131,0.27092750056811526,0.20144894351304754,0.02348897971805878,0.02019178503320143,0.22234863139433156,0.025451704595401827,0.21360356839568775,0.13986088325736346
C1,no,Insulin,13.636363636363637,0.27092751670543025,0.2014490204045644,0.023488916542524555,0.020191702157903994,0.2223485150493657,0.025451591816940608,0.21360357555010526,0.13986089213792624
C1,no,Insulin,14.141414141414142,0.27092752423988836,0.20144906176674326,0.023488882056163046,0.02019165699643917,0.22234845374015202,0.025451530387835257,0.21360357889061737,0.13986089629275028
C1,no,Insulin,14.646464646464647,0.27092752847809054,0.2014490867976958,0.023488861046734904,0.02019162950523174,0.22234841704928027,0.025451493003524978,0.2136035807699764,0.1398608986311614
C1,no,Insulin,15.151515151515152,0.2709275306436429,0.20144910082288053,0.023488849162882054,0.020191613958101037,0.22234839674594273,0.025451471871797745,0.2136035817303255,0.13986089982381586
C1,no,Insulin,15.656565656565657,0.27092753181075724,0.20144910889428308,0.02348884226164675,0.02019160491819938,0.2223483851325235,0.025451459589905464,0.21360358224769543,0.13986090046475638
C1,no,Insulin,16.161616161616163,0.2709275324964417,0.20144911373814947,0.02348883809523108,0.020191599450348895,0.22234837816149206,0.025451452161442584,0.21360358255136488,0.1398609008414901
C1,no,Insulin,16.666666666666668,0.2709275329004727,0.20144911666791634,0.023488835569323845,0.020191596137829403,0.2223483739685345,0.025451447660221865,0.2136035827301727,0.13986090106444213
C1,no,Insulin,17.171717171717173,0.27092753312896306,0.20144911844576074,0.023488834044714826,0.020191594153505212,0.22234837148628012,0.025451444963634197,0.21360358283141448,0.13986090119101263
C1,no,Insulin,17.67676767676768,0.2709275332548985,0.20144911954036765,0.023488833122400667,0.02019159297153529,0.22234837002898367,0.02545144335798759,0.21360358288748996,0.13986090126060788
C1,no,Insulin,18.181818181818183,0.27092753332474445,0.2014491202165207,0.02348883256584909,0.020191592268712834,0.222348369173692,0.025451442403877284,0.21360358291882098,0.13986090129885523
C1,no,Insulin,18.68686868686869,0.2709275333649154,0.20144912061748538,0.023488832235417426,0.020191591846685595,0.22234836866488977,0.025451441831181768,0.2136035829368525,0.13986090132071946
C1,no,Insulin,19.191919191919194,0.2709275333883171,0.2014491208219883,0.023488832050309022,0.020191591592035752,0.2223483683604185,0.025451441485485147,0.21360358294713905,0.13986090133356585
C1,no,Insulin,19.6969696969697,0.2709275334112973,0.20144912105418322,0.023488831858229055,0.020191591343904722,0.22234836806323735,0.025451441148774023,0.21360358295743787,0.1398609013460806
C1,no,Insulin,20.202020202020204,0.27092753343203574,0.20144912128220543,0.023488831678166094,0.02019159112023648,0.22234836779524722,0.025451440845336515,0.21360358296684365,0.13986090135731868
C1,no,Insulin,20.70707070707071,0.2709275334462623,0.2014491214354587,0.023488831553454454,0.020191590963118428,0.22234836760786136,0.025451440632158758,0.21360358297325774,0.1398609013650504
C1,no,Insulin,21.212121212121215,0.27092753345397713,0.201449121513943,0.023488831484094128,0.02019159087255057,0.2223483675010798,0.025451440509240756,0.21360358297668014,0.13986090136927568
