,,,Slide ID,d,h,e,b,f,a,g,c
,,,Antibody Name,d,h,e,b,f,a,g,c
,,,HUGO ID,d,h,e,b,f,a,g,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,9.090909090909092,0.08606792056749468,0.17401094400586853,0.1634786202806336,0.16805102010371684,0.23326768362384134,0.0828263166593077,0.10995671479563095,0.14163318777071193
C1,no,Insulin,9.595959595959597,0.08601741693387845,0.17399707235624218,0.16347643414148905,0.16804945314921105,0.23326721331589478,0.08281865497507165,0.10995621500993412,0.1416251974649338
C1,no,Insulin,10.101010101010102,0.08598637598608884,0.17398889358859798,0.16347492917455364,0.16804837317585955,0.23326688844485122,0.08281413789168596,0.10995587008825644,0.14162048623830242
C1,no,Insulin,10.606060606060607,0.08596732195541988,0.1739840676313463,0.16347389303788323,0.16804762903298984,0.23326666420108388,0.08281147264175118,0.10995563218537624,0.1416177065519102
C1,no,Insulin,11.111111111111112,0.08595564948604599,0.1739812224092783,0.16347317976222306,0.16804711646515724,0.23326650958549988,0.0828099013450573,0.10995546821366564,0.14161606758097495
C1,no,Insulin,11.616161616161618,0.08594850810943151,0.17397954423593032,0.1634726887291691,0.16804676346014358,0.23326640299422183,0.08280897457358412,0.1099553552250328,0.14161510105235617
C1,no,Insulin,12.121212121212121,0.08594414548873566,0.17397855461827244,0.16347235070667646,0.16804652038511234,0.233266329569017,0.08280842806221494,0.10995527740130376,0.14161453100378976
C1,no,Insulin,12.626262626262626,0.08594148234603252,0.1739779706010165,0.1634721179753391,0.16804635299221235,0.2332662789839228,0.0828081055445521,0.10995522379554865,0.14161419458273028
C1,no,Insulin,13.131313131313131,0.08593986061025735,0.17397762663496052,0.1634719577795576,0.16804623775438243,0.23326624420491301,0.08280791558945334,0.10995518690329806,0.14161399598320382
C1,no,Insulin,13.636363636363637,0.08593887544844882,0.17397742445236203,0.16347184754689603,0.1680461584492313,0.23326622021958746,0.08280780393658879,0.10995516149552485,0.14161387961200728
C1,no,Insulin,14.141414141414142,0.08593827547572146,0.17397730478520468,0.1634717716595602,0.1680461038499581,0.2332662035981017,0.08280773785656849,0.1099551439697401,0.1416138116840403
C1,no,Insulin,14.646464646464647,0.08593791085194846,0.17397723413950497,0.16347171942314953,0.16804606626550064,0.23326619228288856,0.08280769884152664,0.10995513194669204,0.1416137705325467
C1,no,Insulin,15.151515151515152,0.08593769041697084,0.17397719270265885,0.1634716835296984,0.16804604043867918,0.23326618468854188,0.08280767595623459,0.10995512373399717,0.14161374443672062
C1,no,Insulin,15.656565656565657,0.08593755654939482,0.17397716819088077,0.16347165882314915,0.16804602266067262,0.2332661794245343,0.08280766242350383,0.1099551180588044,0.14161372871063857
C1,no,Insulin,16.161616161616163,0.08593747338317853,0.17397715315849047,0.16347164173421225,0.1680460103643158,0.23326617546039363,0.08280765412603863,0.10995511403820132,0.14161372208215137
C1,no,Insulin,16.666666666666668,0.08593742261135179,0.17397714419879273,0.16347162993304643,0.16804600187288152,0.23326617246027886,0.08280764917599284,0.10995511120569783,0.14161372195457028
C1,no,Insulin,17.171717171717173,0.08593739289203886,0.17397713918938915,0.16347162185975928,0.16804599606351903,0.233266170748977,0.08280764640655097,0.10995510937322456,0.14161371939449122
C1,no,Insulin,17.67676767676768,0.08593737517631767,0.17397713630362205,0.16347161629565696,0.1680459920596029,0.23326616978181428,0.08280764481331027,0.10995510815376316,0.1416137147654769
C1,no,Insulin,18.181818181818183,0.08593736409894283,0.1739771345375225,0.16347161238027233,0.16804598924210068,0.233266168984326,0.08280764383812389,0.10995510726612873,0.14161371317922286
C1,no,Insulin,18.68686868686869,0.08593735638833443,0.173977133322494,0.16347160944867103,0.16804598713252653,0.2332661683743588,0.08280764316720958,0.10995510659802754,0.1416137121941137
C1,no,Insulin,19.191919191919194,0.08593735231789855,0.17397713270547602,0.16347160755902934,0.16804598577274393,0.23326616796155378,0.08280764282648234,0.10995510616190703,0.1416137118524886
C1,no,Insulin,19.6969696969697,0.08593734927440642,0.1739771322451914,0.1634716060937047,0.16804598471829907,0.2332661676447075,0.08280764257230837,0.10995510582462392,0.14161371156505848
C1,no,Insulin,20.202020202020204,0.08593734642286238,0.1739771318275825,0.16347160453849682,0.16804598359917422,0.2332661673000801,0.08280764234168796,0.1099551054643273,0.14161371138543835
C1,no,Insulin,20.70707070707071,0.08593734688184762,0.1739771319131458,0.16347160443158568,0.16804598352224095,0.23326616727339172,0.08280764238892938,0.10995510543870965,0.14161371146792387
C1,no,Insulin,21.212121212121215,0.08593734734083285,0.17397713199870907,0.16347160432467453,0.1680459834453077,0.23326616724670332,0.08280764243617078,0.10995510541309199,0.14161371155040936
C1,no,Insulin,21.71717171717172,0.08593734750927416,0.17397713202928689,0.1634716042792637,0.16804598341263008,0.23326616723606416,0.08280764245305441,0.10995510540240636,0.14161371157520058
C1,no,Insulin,22.222222222222225,0.08593734764398844,0.1739771320534819,0.16347160424099194,0.16804598338508978,0.23326616722728805,0.08280764246641403,0.10995510539345409,0.14161371159329453
C1,no,Insulin,22.72727272727273,0.08593734777870272,0.17397713207767687,0.1634716042027202,0.16804598335754944,0.23326616721851193,0.08280764247977365,0.10995510538450182,0.14161371161138844
C1,no,Insulin,23.232323232323235,0.085937347913417,0.17397713210187188,0.16347160416444848,0.16804598333000914,0.23326616720973578,0.08280764249313327,0.10995510537554953,0.14161371162948236
C1,no,Insulin,23.73737373737374,0.08593734803924885,0.17397713212444832,0.16347160412846853,0.168045983304118,0.23326616720149465,0.0828076425055992,0.10995510536713603,0.1416137116463048
C1,no,Insulin,24.242424242424242,0.08593734807873071,0.1739771321312902,0.16347160411476813,0.16804598329425918,0.23326616719845442,0.08280764250937724,0.10995510536396018,0.14161371165076633
C1,no,Insulin,24.747474747474747,0.08593734811821258,0.17397713213813212,0.16347160410106773,0.16804598328440037,0.23326616719541418,0.08280764251315527,0.10995510536078433,0.14161371165522788
C1,no,Insulin,25.252525252525253,0.08593734815769444,0.173977132144974,0.16347160408736733,0.1680459832745416,0.23326616719237395,0.0828076425169333,0.10995510535760847,0.14161371165968942
C1,no,Insulin,25.757575757575758,0.0859373481971763,0.1739771321518159,0.16347160407366693,0.16804598326468279,0.23326616718933368,0.08280764252071134,0.10995510535443262,0.14161371166415096
C1,no,Insulin,26.262626262626263,0.08593734822582574,0.17397713215677574,0.1634716040636539,0.16804598325747738,0.2332661671871126,0.0828076425234501,0.1099551053521118,0.1416137116673802
C1,no,Insulin,26.767676767676768,0.08593734822802526,0.17397713215714009,0.16347160406264444,0.168045983256751,0.23326616718689167,0.0828076425236513,0.10995510535187868,0.14161371166760048
C1,no,Insulin,27.272727272727273,0.0859373482302248,0.17397713215750443,0.16347160406163497,0.16804598325602457,0.2332661671866707,0.0828076425238525,0.10995510535164556,0.14161371166782077
C1,no,Insulin,27.77777777777778,0.08593734823242433,0.17397713215786878,0.1634716040606255,0.16804598325529815,0.23326616718644977,0.08280764252405369,0.10995510535141244,0.14161371166804104
C1,no,Insulin,28.282828282828284,0.08593734823462384,0.17397713215823313,0.16347160405961603,0.16804598325457176,0.23326616718622883,0.08280764252425489,0.10995510535117933,0.14161371166826134
C1,no,Insulin,28.78787878787879,0.08593734823682338,0.17397713215859748,0.16347160405860656,0.16804598325384534,0.23326616718600787,0.08280764252445609,0.10995510535094621,0.1416137116684816
C1,no,Insulin,29.292929292929294,0.0859373482390229,0.17397713215896182,0.16347160405759711,0.16804598325311892,0.23326616718578694,0.08280764252465729,0.1099551053507131,0.1416137116687019
C1,no,Insulin,29.7979797979798,0.08593734824122243,0.17397713215932617,0.16347160405658764,0.16804598325239253,0.233266167185566,0.08280764252485848,0.10995510535047998,0.14161371166892217
C1,no,Insulin,30.303030303030305,0.08593734824342195,0.17397713215969052,0.16347160405557817,0.16804598325166611,0.23326616718534504,0.08280764252505968,0.10995510535024687,0.14161371166914247
C1,no,Insulin,30.80808080808081,0.08593734824562148,0.17397713216005486,0.1634716040545687,0.1680459832509397,0.2332661671851241,0.08280764252526088,0.10995510535001375,0.14161371166936274
C1,no,Insulin,31.313131313131315,0.08593734824782101,0.1739771321604192,0.16347160405355923,0.1680459832502133,0.23326616718490317,0.08280764252546206,0.10995510534978063,0.14161371166958303
C1,no,Insulin,31.81818181818182,0.08593734825002053,0.17397713216078356,0.16347160405254976,0.16804598324948689,0.2332661671846822,0.08280764252566326,0.10995510534954751,0.1416137116698033
C1,no,Insulin,32.323232323232325,0.08593734825222006,0.1739771321611479,0.16347160405154032,0.16804598324876047,0.23326616718446128,0.08280764252586446,0.1099551053493144,0.1416137116700236
C1,no,Insulin,32.82828282828283,0.08593734825441958,0.17397713216151225,0.16347160405053085,0.16804598324803408,0.23326616718424034,0.08280764252606566,0.10995510534908129,0.14161371167024386
C1,no,Insulin,33.333333333333336,0.08593734825661911,0.1739771321618766,0.16347160404952138,0.16804598324730766,0.23326616718401938,0.08280764252626685,0.10995510534884817,0.14161371167046413
C1,no,Insulin,33.83838383838384,0.08593734825881863,0.17397713216224095,0.1634716040485119,0.16804598324658124,0.23326616718379845,0.08280764252646805,0.10995510534861505,0.14161371167068443
C1,no,Insulin,34.343434343434346,0.08593734826101816,0.1739771321626053,0.16347160404750244,0.16804598324585485,0.23326616718357748,0.08280764252666925,0.10995510534838193,0.1416137116709047
C1,no,Insulin,34.84848484848485,0.08593734826321768,0.17397713216296964,0.16347160404649297,0.16804598324512843,0.23326616718335655,0.08280764252687044,0.10995510534814883,0.141613711671125
C1,no,Insulin,35.35353535353536,0.08593734826541721,0.173977132163334,0.16347160404548353,0.16804598324440204,0.23326616718313561,0.08280764252707164,0.10995510534791571,0.14161371167134526
C1,no,Insulin,35.85858585858586,0.08593734826761674,0.17397713216369834,0.16347160404447406,0.16804598324367562,0.23326616718291465,0.08280764252727284,0.10995510534768259,0.14161371167156556
C1,no,Insulin,36.36363636363637,0.08593734826981626,0.1739771321640627,0.16347160404346459,0.1680459832429492,0.23326616718269372,0.08280764252747402,0.10995510534744947,0.14161371167178582
C1,no,Insulin,36.86868686868687,0.0859373482720158,0.17397713216442703,0.16347160404245512,0.1680459832422228,0.23326616718247278,0.08280764252767522,0.10995510534721636,0.14161371167200612
C1,no,Insulin,37.37373737373738,0.08593734827421531,0.17397713216479138,0.16347160404144565,0.1680459832414964,0.23326616718225182,0.08280764252787642,0.10995510534698325,0.1416137116722264
C1,no,Insulin,37.87878787878788,0.08593734827641485,0.17397713216515573,0.16347160404043617,0.16804598324076997,0.2332661671820309,0.08280764252807762,0.10995510534675013,0.14161371167244668
C1,no,Insulin,38.38383838383839,0.08593734827861436,0.17397713216552008,0.1634716040394267,0.16804598324004358,0.23326616718180995,0.08280764252827881,0.10995510534651701,0.14161371167266695
C1,no,Insulin,38.88888888888889,0.0859373482808139,0.17397713216588442,0.16347160403841726,0.16804598323931716,0.233266167181589,0.08280764252848001,0.1099551053462839,0.14161371167288725
C1,no,Insulin,39.3939393939394,0.08593734828301341,0.17397713216624877,0.1634716040374078,0.16804598323859074,0.23326616718136806,0.08280764252868121,0.10995510534605078,0.14161371167310752
C1,no,Insulin,39.8989898989899,0.08593734828521295,0.17397713216661312,0.16347160403639832,0.16804598323786435,0.23326616718114712,0.0828076425288824,0.10995510534581766,0.1416137116733278
C1,no,Insulin,40.40404040404041,0.08593734828741248,0.17397713216697747,0.16347160403538885,0.16804598323713793,0.23326616718092616,0.0828076425290836,0.10995510534558454,0.14161371167354808
C1,no,Insulin,40.909090909090914,0.085937348289612,0.1739771321673418,0.16347160403437938,0.1680459832364115,0.23326616718070523,0.0828076425292848,0.10995510534535143,0.14161371167376838
C1,no,Insulin,41.41414141414142,0.08593734829181153,0.17397713216770616,0.1634716040333699,0.16804598323568512,0.2332661671804843,0.082807642529486,0.10995510534511832,0.14161371167398865
C1,no,Insulin,41.919191919191924,0.08593734829401105,0.1739771321680705,0.16347160403236047,0.1680459832349587,0.23326616718026333,0.08280764252968718,0.1099551053448852,0.14161371167420894
C1,no,Insulin,42.42424242424243,0.08593734829621058,0.17397713216843486,0.163471604031351,0.16804598323423228,0.2332661671800424,0.08280764252988838,0.10995510534465208,0.1416137116744292
C1,no,Insulin,42.929292929292934,0.0859373482984101,0.1739771321687992,0.16347160403034153,0.1680459832335059,0.23326616717982143,0.08280764253008958,0.10995510534441896,0.1416137116746495
C1,no,Insulin,43.43434343434344,0.08593734829931272,0.17397713216894817,0.16347160402991587,0.16804598323319958,0.2332661671797283,0.08280764253017185,0.10995510534432068,0.14161371167473935
C1,no,Insulin,43.939393939393945,0.085937348299435,0.1739771321689676,0.16347160402984148,0.16804598323314607,0.2332661671797121,0.08280764253018257,0.10995510534430353,0.14161371167475073
C1,no,Insulin,44.44444444444445,0.08593734829955728,0.173977132168987,0.1634716040297671,0.16804598323309253,0.2332661671796959,0.08280764253019328,0.10995510534428636,0.1416137116747621
C1,no,Insulin,44.949494949494955,0.08593734829967956,0.1739771321690064,0.16347160402969274,0.16804598323303901,0.23326616717967968,0.08280764253020399,0.10995510534426921,0.14161371167477352
C1,no,Insulin,45.45454545454546,0.08593734829980183,0.1739771321690258,0.16347160402961836,0.1680459832329855,0.23326616717966348,0.0828076425302147,0.10995510534425205,0.1416137116747849
C1,no,Insulin,45.959595959595966,0.08593734829992411,0.1739771321690452,0.16347160402954397,0.16804598323293196,0.23326616717964724,0.08280764253022542,0.10995510534423489,0.14161371167479628
C1,no,Insulin,46.46464646464647,0.08593734830004637,0.1739771321690646,0.16347160402946959,0.16804598323287845,0.23326616717963103,0.08280764253023613,0.10995510534421774,0.14161371167480766
C1,no,Insulin,46.969696969696976,0.08593734830016865,0.173977132169084,0.16347160402939523,0.16804598323282494,0.23326616717961482,0.08280764253024685,0.10995510534420058,0.14161371167481904
C1,no,Insulin,47.47474747474748,0.08593734830029093,0.1739771321691034,0.16347160402932084,0.1680459832327714,0.2332661671795986,0.08280764253025756,0.10995510534418342,0.14161371167483044
C1,no,Insulin,47.979797979797986,0.0859373483004132,0.1739771321691228,0.16347160402924646,0.16804598323271788,0.2332661671795824,0.08280764253026827,0.10995510534416626,0.14161371167484182
C1,no,Insulin,48.484848484848484,0.08593734830053548,0.1739771321691422,0.16347160402917207,0.16804598323266437,0.23326616717956616,0.08280764253027899,0.10995510534414911,0.1416137116748532
C1,no,Insulin,48.98989898989899,0.08593734830065775,0.1739771321691616,0.16347160402909772,0.16804598323261083,0.23326616717954995,0.0828076425302897,0.10995510534413196,0.14161371167486458
C1,no,Insulin,49.494949494949495,0.08593734830078002,0.173977132169181,0.16347160402902333,0.16804598323255732,0.23326616717953375,0.08280764253030042,0.10995510534411479,0.14161371167487596
C1,no,Insulin,50.0,0.0859373483009023,0.1739771321692004,0.16347160402894895,0.1680459832325038,0.23326616717951754,0.08280764253031114,0.10995510534409764,0.14161371167488734
