,,,Slide ID,h,b,g,a,d,i,f,c,e
,,,Antibody Name,h,b,g,a,d,i,f,c,e
,,,HUGO ID,h,b,g,a,d,i,f,c,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,7.575757575757576,0.08308426780728063,0.32264728379709334,0.10387029117324605,0.09892468278465863,0.3638014243277199,0.19034159218159258,0.04542080667985602,0.17968638944516832,0.2427296907863653
C1,no,Insulin,8.080808080808081,0.08309203920740318,0.32266708225643553,0.10388009353751093,0.09893043735719181,0.36383595684416603,0.19035015540780897,0.04542341932573964,0.17969600368913907,0.24274138409343388
C1,no,Insulin,8.585858585858587,0.08309632978211838,0.3226796587723003,0.10388553574099131,0.09893492985039357,0.3638579046757829,0.19035480270630759,0.045424998569313556,0.1797022179717326,0.24274905695572216
C1,no,Insulin,9.090909090909092,0.08309867347170438,0.3226876497383849,0.10388853281352779,0.09893814693970339,0.3638718552266401,0.19035729060339715,0.0454259553772149,0.17970622866332003,0.24275407624551784
C1,no,Insulin,9.595959595959597,0.08309993187697941,0.32269272713722275,0.10389016534102748,0.09894033061280609,0.3638807200816775,0.19035859569229915,0.045426534670197964,0.1797088141226868,0.24275735169944113
C1,no,Insulin,10.101010101010102,0.08310059820899589,0.3226959520975877,0.10389104320302354,0.09894175612685391,0.36388635177615697,0.19035926463092642,0.0454268870811142,0.1797104771365491,0.2427594818086382
C1,no,Insulin,10.606060606060607,0.08310094227468012,0.3226980015264867,0.10389150814165247,0.09894266013086797,0.3638899306248029,0.19035959538608468,0.04542710116670293,0.17971154676811585,0.2427608649251881
C1,no,Insulin,11.111111111111112,0.0831011148871544,0.3226993035383332,0.10389174886388139,0.0989432201472046,0.3638922045049443,0.1903597505044089,0.045427231841633914,0.17971223336916228,0.2427617607510548
C1,no,Insulin,11.616161616161618,0.08310119771791769,0.3227001314100119,0.10389187053086851,0.09894355944073945,0.3638936502608384,0.19035981718253125,0.045427311502754864,0.17971267431253377,0.2427623403091694
C1,no,Insulin,12.121212121212121,0.08310123548084737,0.32270065949988774,0.10389193028060487,0.09894376176040709,0.36389457253002777,0.1903598417083634,0.04542736054244728,0.1797129581300114,0.24276271553926662
C1,no,Insulin,12.626262626262626,0.08310124972450503,0.3227009946305654,0.10389195636386787,0.09894388054740895,0.3638951579363794,0.19035984562642014,0.04542739077074528,0.1797131395346703,0.24276295736911185
C1,no,Insulin,13.131313131313131,0.08310125267674263,0.322701206975755,0.10389196585899883,0.09894394851059635,0.36389552883954257,0.19035984092556538,0.04542740915740195,0.17971325506327973,0.2427631129298695
C1,no,Insulin,13.636363636363637,0.08310125141315046,0.3227013428461932,0.10389196864230961,0.09894398639860619,0.36389576604698315,0.19035983412424484,0.04542742022270208,0.17971332937364198,0.24276321349238586
C1,no,Insulin,14.141414141414142,0.08310124890761614,0.32270142982674954,0.10389196850302876,0.09894400696195392,0.36389591787086883,0.190359827579653,0.045427426992661786,0.17971337755487446,0.24276327820438648
C1,no,Insulin,14.646464646464647,0.08310124623025114,0.3227014846215257,0.10389196669938414,0.09894401774134724,0.363896013620372,0.19035982214648187,0.04542743146094416,0.17971340872718847,0.2427633193114874
C1,no,Insulin,15.151515151515152,0.08310124384575962,0.32270151875646114,0.10389196423378043,0.09894402313915343,0.36389607339903285,0.19035981832469362,0.04542743461381344,0.17971342877373478,0.24276334566850508
C1,no,Insulin,15.656565656565657,0.08310124177690538,0.32270154064047313,0.1038919621664641,0.0989440254565727,0.3638961116880151,0.1903598157260592,0.045427436348504546,0.17971344148947702,0.24276336349593355
C1,no,Insulin,16.161616161616163,0.08310124005348961,0.3227015569778592,0.10389196049937238,0.09894402681566385,0.3638961402526896,0.1903598133446762,0.045427437598613694,0.17971345075454906,0.2427633765900319
C1,no,Insulin,16.666666666666668,0.08310123866541153,0.3227015678143746,0.10389195922118917,0.0989440272256528,0.3638961591731909,0.19035981113861178,0.04542743836542342,0.17971345659477045,0.24276338495345065
C1,no,Insulin,17.171717171717173,0.08310123754619958,0.3227015731917954,0.10389195832027973,0.09894402661183106,0.36389616850525425,0.19035980916148432,0.04542743850304154,0.17971345904010835,0.24276338885996793
C1,no,Insulin,17.67676767676768,0.08310123675271305,0.32270157792544174,0.10389195761359626,0.09894402630459813,0.363896176751937,0.1903598078925931,0.045427438743876135,0.1797134615247528,0.24276339249270995
C1,no,Insulin,18.181818181818183,0.08310123625699951,0.3227015796480681,0.10389195719112636,0.09894402564992015,0.3638961797330758,0.19035980709631117,0.045427438727870195,0.17971346236043154,0.24276339379522216
C1,no,Insulin,18.68686868686869,0.08310123560873912,0.3227015823129382,0.10389195663735833,0.09894402497194027,0.3638961843550915,0.19035980604659505,0.04542743875828711,0.17971346368032368,0.24276339581091244
C1,no,Insulin,19.191919191919194,0.08310123565499077,0.32270158114826003,0.1038919566703949,0.098944024554397,0.36389618231674886,0.19035980615938863,0.04542743864264545,0.17971346307215205,0.24276339494815838
C1,no,Insulin,19.6969696969697,0.08310123570030314,0.32270158002453514,0.10389195670296932,0.09894402415358745,0.36389618035011984,0.19035980626889426,0.04542743853141765,0.17971346248477504,0.24276339411533715
C1,no,Insulin,20.202020202020204,0.08310123573001063,0.32270157958119666,0.10389195672786564,0.09894402403078768,0.3638961795749223,0.19035980632377492,0.04542743849352039,0.17971346224287407,0.24276339377981176
C1,no,Insulin,20.70707070707071,0.08310123575971812,0.3227015791378582,0.10389195675276194,0.09894402390798791,0.3638961787997248,0.19035980637865557,0.04542743845562313,0.1797134620009731,0.24276339344428638
C1,no,Insulin,21.212121212121215,0.08310123578942559,0.32270157869451976,0.10389195677765826,0.09894402378518814,0.3638961780245273,0.19035980643353623,0.04542743841772587,0.17971346175907213,0.242763393108761
C1,no,Insulin,21.71717171717172,0.08310123581248943,0.32270157837808805,0.10389195679741606,0.09894402370367436,0.36389617747130126,0.1903598064747153,0.04542743839127837,0.1797134615855153,0.2427633928683788
C1,no,Insulin,22.222222222222225,0.08310123582781896,0.3227015782093973,0.10389195681119175,0.09894402367022449,0.3638961771764876,0.1903598064999434,0.04542743837816033,0.17971346149152256,0.24276339273875944
C1,no,Insulin,22.72727272727273,0.08310123584314848,0.3227015780407066,0.10389195682496742,0.09894402363677463,0.36389617688167397,0.1903598065251715,0.045427438365042296,0.17971346139752983,0.24276339260914004
C1,no,Insulin,23.232323232323235,0.083101235858478,0.32270157787201587,0.10389195683874311,0.09894402360332476,0.3638961765868603,0.19035980655039964,0.04542743835192426,0.1797134613035371,0.24276339247952067
C1,no,Insulin,23.73737373737374,0.08310123586280621,0.32270157783035264,0.1038919568427488,0.09894402359706474,0.36389617651405876,0.19035980655724571,0.04542743834879919,0.17971346128016855,0.24276339244727788
C1,no,Insulin,24.242424242424242,0.08310123586545218,0.32270157780811365,0.10389195684526051,0.0989440235949624,0.3638961764752057,0.19035980656128096,0.04542743834720217,0.17971346126759935,0.24276339242992528
C1,no,Insulin,24.747474747474747,0.08310123586809813,0.3227015777858746,0.10389195684777222,0.09894402359286007,0.3638961764363527,0.1903598065653162,0.04542743834560515,0.17971346125503015,0.24276339241257266
C1,no,Insulin,25.252525252525253,0.0831012358707441,0.32270157776363556,0.10389195685028395,0.09894402359075773,0.3638961763974996,0.19035980656935148,0.045427438344008135,0.17971346124246096,0.24276339239522005
C1,no,Insulin,25.757575757575758,0.08310123587339005,0.3227015777413966,0.10389195685279566,0.0989440235886554,0.3638961763586466,0.19035980657338672,0.045427438342411114,0.17971346122989176,0.24276339237786743
C1,no,Insulin,26.262626262626263,0.083101235876036,0.32270157771915753,0.10389195685530737,0.09894402358655305,0.36389617631979354,0.19035980657742196,0.04542743834081409,0.17971346121732257,0.2427633923605148
C1,no,Insulin,26.767676767676768,0.08310123587868197,0.3227015776969185,0.1038919568578191,0.09894402358445072,0.3638961762809405,0.1903598065814572,0.04542743833921708,0.17971346120475337,0.2427633923431622
C1,no,Insulin,27.272727272727273,0.08310123588132792,0.3227015776746795,0.10389195686033081,0.09894402358234837,0.3638961762420875,0.19035980658549248,0.04542743833762006,0.17971346119218418,0.2427633923258096
C1,no,Insulin,27.77777777777778,0.08310123588397388,0.32270157765244045,0.10389195686284253,0.09894402358024604,0.36389617620323444,0.19035980658952772,0.045427438336023036,0.17971346117961495,0.24276339230845698
C1,no,Insulin,28.282828282828284,0.08310123588661984,0.3227015776302014,0.10389195686535425,0.0989440235781437,0.3638961761643814,0.19035980659356297,0.04542743833442602,0.17971346116704576,0.24276339229110436
C1,no,Insulin,28.78787878787879,0.0831012358892658,0.3227015776079624,0.10389195686786597,0.09894402357604136,0.3638961761255283,0.1903598065975982,0.045427438332829,0.17971346115447656,0.24276339227375174
C1,no,Insulin,29.292929292929294,0.08310123589191176,0.3227015775857234,0.10389195687037768,0.09894402357393903,0.3638961760866753,0.19035980660163349,0.04542743833123199,0.17971346114190737,0.24276339225639912
C1,no,Insulin,29.7979797979798,0.08310123589455772,0.32270157756348433,0.10389195687288941,0.09894402357183668,0.36389617604782226,0.19035980660566873,0.045427438329634966,0.17971346112933817,0.2427633922390465
C1,no,Insulin,30.303030303030305,0.08310123589720367,0.32270157754124534,0.10389195687540112,0.09894402356973435,0.36389617600896923,0.19035980660970397,0.045427438328037945,0.17971346111676897,0.2427633922216939
C1,no,Insulin,30.80808080808081,0.08310123589910604,0.32270157752545253,0.10389195687721144,0.09894402356833605,0.36389617598137847,0.19035980661259672,0.0454274383269076,0.17971346110783828,0.2427633922093619
C1,no,Insulin,31.313131313131315,0.08310123589952477,0.3227015775225212,0.10389195687762229,0.09894402356834243,0.36389617597625806,0.19035980661320986,0.04542743832670835,0.17971346110616715,0.242763392207047
C1,no,Insulin,31.81818181818182,0.08310123589994352,0.3227015775195899,0.10389195687803315,0.0989440235683488,0.3638961759711377,0.190359806613823,0.045427438326509105,0.179713461104496,0.24276339220473211
C1,no,Insulin,32.323232323232325,0.08310123590036225,0.32270157751665857,0.103891956878444,0.09894402356835517,0.3638961759660173,0.19035980661443613,0.045427438326309855,0.17971346110282485,0.24276339220241724
C1,no,Insulin,32.82828282828283,0.083101235900781,0.32270157751372724,0.10389195687885487,0.09894402356836156,0.3638961759608969,0.19035980661504928,0.045427438326110604,0.17971346110115372,0.24276339220010235
C1,no,Insulin,33.333333333333336,0.08310123590119974,0.3227015775107959,0.10389195687926572,0.09894402356836793,0.36389617595577656,0.19035980661566243,0.045427438325911354,0.17971346109948255,0.24276339219778748
C1,no,Insulin,33.83838383838384,0.08310123590161848,0.3227015775078646,0.10389195687967659,0.0989440235683743,0.36389617595065615,0.19035980661627558,0.04542743832571211,0.17971346109781142,0.24276339219547258
C1,no,Insulin,34.343434343434346,0.08310123590203722,0.3227015775049333,0.10389195688008744,0.09894402356838068,0.36389617594553575,0.1903598066168887,0.04542743832551286,0.17971346109614028,0.2427633921931577
C1,no,Insulin,34.84848484848485,0.08310123590245597,0.32270157750200196,0.1038919568804983,0.09894402356838705,0.36389617594041535,0.19035980661750185,0.04542743832531361,0.17971346109446912,0.2427633921908428
C1,no,Insulin,35.35353535353536,0.0831012359028747,0.32270157749907064,0.10389195688090916,0.09894402356839344,0.363896175935295,0.190359806618115,0.04542743832511436,0.17971346109279798,0.24276339218852794
C1,no,Insulin,35.85858585858586,0.08310123590329345,0.3227015774961393,0.10389195688132002,0.0989440235683998,0.3638961759301746,0.19035980661872814,0.04542743832491511,0.17971346109112685,0.24276339218621304
C1,no,Insulin,36.36363636363637,0.08310123590371218,0.322701577493208,0.10389195688173088,0.09894402356840618,0.3638961759250542,0.1903598066193413,0.045427438324715866,0.1797134610894557,0.24276339218389814
C1,no,Insulin,36.86868686868687,0.08310123590413092,0.32270157749027667,0.10389195688214174,0.09894402356841256,0.36389617591993384,0.1903598066199544,0.045427438324516616,0.17971346108778455,0.24276339218158327
C1,no,Insulin,37.37373737373738,0.08310123590454967,0.32270157748734535,0.1038919568825526,0.09894402356841893,0.36389617591481344,0.19035980662056756,0.045427438324317365,0.1797134610861134,0.24276339217926837
C1,no,Insulin,37.87878787878788,0.0831012359049684,0.322701577484414,0.10389195688296346,0.0989440235684253,0.36389617590969303,0.1903598066211807,0.045427438324118115,0.17971346108444228,0.2427633921769535
C1,no,Insulin,38.38383838383839,0.08310123590505962,0.3227015774837828,0.10389195688305312,0.09894402356843127,0.36389617590859047,0.19035980662131397,0.04542743832407536,0.17971346108408223,0.24276339217645462
C1,no,Insulin,38.88888888888889,0.08310123590506914,0.32270157748372535,0.1038919568830627,0.09894402356843715,0.36389617590849005,0.1903598066213275,0.04542743832407163,0.17971346108404923,0.24276339217640872
C1,no,Insulin,39.3939393939394,0.08310123590507866,0.32270157748366785,0.10389195688307226,0.09894402356844302,0.36389617590838963,0.19035980662134105,0.0454274383240679,0.17971346108401623,0.24276339217636284
C1,no,Insulin,39.8989898989899,0.08310123590508817,0.32270157748361034,0.10389195688308184,0.09894402356844889,0.3638961759082892,0.19035980662135463,0.04542743832406417,0.17971346108398323,0.24276339217631693
C1,no,Insulin,40.40404040404041,0.08310123590509769,0.3227015774835528,0.1038919568830914,0.09894402356845476,0.36389617590818873,0.19035980662136817,0.04542743832406044,0.17971346108395023,0.24276339217627102
C1,no,Insulin,40.909090909090914,0.0831012359051072,0.32270157748349537,0.10389195688310096,0.09894402356846063,0.3638961759080883,0.19035980662138174,0.04542743832405671,0.17971346108391723,0.2427633921762251
C1,no,Insulin,41.41414141414142,0.08310123590511673,0.32270157748343786,0.10389195688311054,0.0989440235684665,0.3638961759079879,0.1903598066213953,0.04542743832405298,0.17971346108388422,0.24276339217617923
C1,no,Insulin,41.919191919191924,0.08310123590512623,0.32270157748338035,0.1038919568831201,0.09894402356847237,0.3638961759078875,0.19035980662140886,0.04542743832404925,0.17971346108385122,0.24276339217613332
C1,no,Insulin,42.42424242424243,0.08310123590513575,0.32270157748332284,0.10389195688312967,0.09894402356847824,0.36389617590778706,0.1903598066214224,0.04542743832404552,0.1797134610838182,0.24276339217608742
C1,no,Insulin,42.929292929292934,0.08310123590514527,0.3227015774832654,0.10389195688313924,0.09894402356848411,0.36389617590768664,0.19035980662143598,0.045427438324041794,0.1797134610837852,0.2427633921760415
C1,no,Insulin,43.43434343434344,0.08310123590515478,0.3227015774832079,0.1038919568831488,0.09894402356848998,0.3638961759075862,0.19035980662144952,0.04542743832403806,0.1797134610837522,0.24276339217599563
C1,no,Insulin,43.939393939393945,0.0831012359051643,0.32270157748315037,0.10389195688315837,0.09894402356849585,0.3638961759074858,0.1903598066214631,0.045427438324034335,0.1797134610837192,0.24276339217594972
C1,no,Insulin,44.44444444444445,0.08310123590517382,0.3227015774830929,0.10389195688316794,0.09894402356850172,0.3638961759073854,0.19035980662147664,0.0454274383240306,0.1797134610836862,0.2427633921759038
C1,no,Insulin,44.949494949494955,0.08310123590518334,0.3227015774830354,0.1038919568831775,0.0989440235685076,0.36389617590728496,0.1903598066214902,0.045427438324026875,0.1797134610836532,0.24276339217585793
C1,no,Insulin,45.45454545454546,0.08310123590519285,0.3227015774829779,0.10389195688318707,0.09894402356851346,0.36389617590718454,0.19035980662150376,0.04542743832402314,0.17971346108362019,0.24276339217581203
C1,no,Insulin,45.959595959595966,0.08310123590520237,0.3227015774829204,0.10389195688319663,0.09894402356851933,0.3638961759070841,0.19035980662151733,0.045427438324019416,0.17971346108358718,0.24276339217576612
C1,no,Insulin,46.46464646464647,0.08310123590521189,0.32270157748286293,0.10389195688320621,0.0989440235685252,0.3638961759069837,0.19035980662153087,0.04542743832401568,0.17971346108355418,0.2427633921757202
C1,no,Insulin,46.969696969696976,0.08310123590522141,0.3227015774828054,0.10389195688321577,0.09894402356853108,0.3638961759068833,0.19035980662154445,0.04542743832401195,0.17971346108352115,0.24276339217567433
C1,no,Insulin,47.47474747474748,0.08310123590523091,0.3227015774827479,0.10389195688322533,0.09894402356853695,0.36389617590678286,0.190359806621558,0.045427438324008224,0.17971346108348815,0.24276339217562842
C1,no,Insulin,47.979797979797986,0.08310123590524043,0.3227015774826904,0.10389195688323491,0.09894402356854282,0.36389617590668244,0.19035980662157156,0.04542743832400449,0.17971346108345515,0.24276339217558252
C1,no,Insulin,48.484848484848484,0.08310123590524995,0.32270157748263295,0.10389195688324447,0.09894402356854869,0.363896175906582,0.1903598066215851,0.045427438324000764,0.17971346108342215,0.2427633921755366
C1,no,Insulin,48.98989898989899,0.08310123590525947,0.32270157748257544,0.10389195688325405,0.09894402356855456,0.3638961759064816,0.19035980662159868,0.04542743832399703,0.17971346108338915,0.24276339217549073
C1,no,Insulin,49.494949494949495,0.08310123590526898,0.32270157748251793,0.10389195688326361,0.09894402356856043,0.3638961759063812,0.19035980662161223,0.045427438323993305,0.17971346108335615,0.24276339217544482
C1,no,Insulin,50.0,0.0831012359052785,0.3227015774824605,0.10389195688327317,0.0989440235685663,0.3638961759062807,0.19035980662162577,0.04542743832398957,0.17971346108332314,0.2427633921753989
