,,,Slide ID,a,e,f,d,c,b
,,,Antibody Name,a,e,f,d,c,b
,,,HUGO ID,a,e,f,d,c,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.47312824759630745,0.8702310283748799,0.11940393245358605,0.014138489978584357,0.003277654872992919,0.4959947317426946
C1,no,Insulin,0.42016806722689076,0.25263396564198953,0.556483775174268,0.07667683468740691,0.11571847760106474,0.0751471967947793,0.36473563658096725
C1,no,Insulin,0.8403361344537815,0.17718828112436874,0.3697583434964281,0.058834396045617625,0.1644561551425877,0.11560181844650125,0.2807438688065258
C1,no,Insulin,1.2605042016806722,0.1479921105021225,0.2586420099947234,0.048645495871523094,0.1836385066669802,0.13551783808833628,0.22502048242874365
C1,no,Insulin,1.680672268907563,0.1339610565569921,0.19191099792803834,0.04150041620759552,0.18754655344921098,0.1430540824955297,0.18695726173418345
C1,no,Insulin,2.100840336134454,0.1252124921544617,0.15109942472465232,0.03601595011019967,0.18436956932610976,0.14371094717855193,0.16038079659837218
C1,no,Insulin,2.5210084033613445,0.11864129325969436,0.12548448008851223,0.03172147758311464,0.17848931782535898,0.14091631642307093,0.14151177008677085
C1,no,Insulin,2.9411764705882355,0.11329634735556991,0.10890072647769156,0.028376347709867827,0.1720897795273335,0.13668347843914605,0.12793821463112626
C1,no,Insulin,3.361344537815126,0.10887337688447604,0.09780521104811012,0.025794175494363254,0.16615887599858653,0.13212809151164695,0.118071686782506
C1,no,Insulin,3.7815126050420167,0.10523592162288714,0.09014336884986593,0.023813083957748997,0.16106533029238307,0.12782207452121525,0.11084009272601508
C1,no,Insulin,4.201680672268908,0.1022787351139519,0.08470175069874784,0.022296664076335047,0.1568752599455426,0.12402059267813363,0.10550510206532042
C1,no,Insulin,4.621848739495799,0.0998998315902518,0.08074484853901556,0.021135378311814567,0.153519723308594,0.12080222971111582,0.10154947238922427
C1,no,Insulin,5.042016806722689,0.09800158226395245,0.07781275670506159,0.020244296318091912,0.15088011115213432,0.11815308264278515,0.09860548817769861
C1,no,Insulin,5.46218487394958,0.09649571707339086,0.07560814204127755,0.019558855476877687,0.14882946839554667,0.11601576055863522,0.09640844528610878
C1,no,Insulin,5.882352941176471,0.09530616724955904,0.07393229767090546,0.01903037162654134,0.14725081781134067,0.11431694783346544,0.0947657803937546
C1,no,Insulin,6.302521008403361,0.09436949288621786,0.07264823520016374,0.01862215143783366,0.14604385068019174,0.11298214288438098,0.09353618820354766
C1,no,Insulin,6.722689075630252,0.09363386960628216,0.07165886623539441,0.018306436033509073,0.14512600125585673,0.11194288289452341,0.09261525880581366
C1,no,Insulin,7.142857142857143,0.09305747920174125,0.07089372267607655,0.01806210741517199,0.1444310296883602,0.11113970184847116,0.09192542341337522
C1,no,Insulin,7.563025210084033,0.0926068451268534,0.07030061196092582,0.017873000380838035,0.14390670567829503,0.11052277527989068,0.09140879816624853
C1,no,Insulin,7.983193277310924,0.0922552468677662,0.06984030379375712,0.017726682667005486,0.1435123242082749,0.1100513447445206,0.09102208677507578
C1,no,Insulin,8.403361344537815,0.09198150708298149,0.0694829212119968,0.0176135494731133,0.14321647985087263,0.10969269142822043,0.09073282984986253
C1,no,Insulin,8.823529411764707,0.09176881452609356,0.06920551137451224,0.017526158209593308,0.14299508338864048,0.10942088556597343,0.09051666222061243
C1,no,Insulin,9.243697478991598,0.09160389847520577,0.06899032931782517,0.017458732066968397,0.14282977327692642,0.10921560701234527,0.09035529120766536
C1,no,Insulin,9.663865546218487,0.0914762709751579,0.06882356709247232,0.017406772912037304,0.14270657871763315,0.10906102897726194,0.09023494806244627
C1,no,Insulin,10.084033613445378,0.09137769394856114,0.06869448895644227,0.017366789562918174,0.14261495128911947,0.10894495318445173,0.09014531525686517
C1,no,Insulin,10.504201680672269,0.0913017071469078,0.06859472500970809,0.017336069598677343,0.14254694030231357,0.10885802232910931,0.09007865242503683
C1,no,Insulin,10.92436974789916,0.09124324278477532,0.06851772793771527,0.01731250101709769,0.14249654802843398,0.10879306970606642,0.09002913667421489
C1,no,Insulin,11.344537815126051,0.0911983283109601,0.06845839583325691,0.017294447671505196,0.14245927992668073,0.10874464959650429,0.08999241319856333
C1,no,Insulin,11.764705882352942,0.09116391690740402,0.0684127599351511,0.01728064351312035,0.14243178391408481,0.10870864739301396,0.08996523120072934
C1,no,Insulin,12.184873949579831,0.09113757576561374,0.0683776955932241,0.017270098155343833,0.142411512501435,0.10868191128328465,0.08994511952754056
C1,no,Insulin,12.605042016806722,0.09111744488761457,0.06835080537224374,0.017262057630865066,0.1423966048333157,0.10866210629858292,0.08993027349238365
C1,no,Insulin,13.025210084033613,0.09110208915906817,0.06833021674729244,0.017255936189819708,0.14238566356111365,0.10864746565100032,0.08991933305946537
C1,no,Insulin,13.445378151260504,0.0910903948751406,0.06831447836437606,0.01725128290348936,0.14237765013097148,0.10863666520404065,0.08991128535170463
C1,no,Insulin,13.865546218487395,0.09108150321407164,0.06830246680978536,0.017247751008718656,0.14237179385649962,0.1086287144402992,0.0899053767137315
