,,,Slide ID,a,e,f,d,c,b
C1,no,Insulin,14.285714285714286,0.09107475261171069,0.0682933133697224,0.01724507407853844,0.1423675233501359,0.10862287338970915,0.08990104671116221
C1,no,Insulin,14.705882352941178,0.09106963419849773,0.06828634725583117,0.017243047679875757,0.1423644155612414,0.1086185901867621,0.08989787905031375
C1,no,Insulin,15.126050420168067,0.09106575822302193,0.06828105257349106,0.017241515563540685,0.14236215868705443,0.10861545517527854,0.08989556581287803
C1,no,Insulin,15.546218487394958,0.09106282896721832,0.06827703634136797,0.01724035950604271,0.14236052609831407,0.10861316825611077,0.08989388227431312
C1,no,Insulin,15.966386554621849,0.09106062019972402,0.06827399686013177,0.017239489239743225,0.14235935043113263,0.10861150648988721,0.08989266185594577
C1,no,Insulin,16.386554621848738,0.09105895501426917,0.06827169719408205,0.01723883414991371,0.14235850399618954,0.10861029909493435,0.08989177706924903
C1,no,Insulin,16.80672268907563,0.09105770203387661,0.0682699599991999,0.017238341784960497,0.1423578967704055,0.10860942436206814,0.0898911374843523
C1,no,Insulin,17.22689075630252,0.091056760790853,0.06826864947740151,0.017237972247496243,0.14235746304948071,0.10860879270300808,0.08989067679937351
C1,no,Insulin,17.647058823529413,0.09105605446585215,0.06826766212650338,0.017237695287243664,0.14235715456748718,0.10860833802752942,0.08989034610718899
C1,no,Insulin,18.067226890756302,0.09105552566435894,0.06826692091448412,0.01723748852659386,0.14235693725436582,0.10860801332042969,0.08989011067326878
C1,no,Insulin,18.487394957983195,0.09105512852364207,0.06826636481641106,0.017237334230028253,0.14235678435461913,0.10860778170204818,0.08988994317504498
C1,no,Insulin,18.907563025210084,0.0910548291417113,0.0682659473793706,0.01723721895461021,0.14235667667779225,0.1086076163226492,0.08988982386597115
C1,no,Insulin,19.327731092436974,0.09105460432869678,0.06826563483390098,0.01723713299913672,0.14235660137145958,0.10860749881460571,0.0898897393423416
C1,no,Insulin,19.747899159663866,0.09105443832971556,0.06826539994528581,0.017237068657813787,0.14235654894540564,0.10860741520950291,0.08988967948903163
C1,no,Insulin,20.168067226890756,0.09105432307437,0.06826522629853786,0.017237021407158364,0.14235651446429648,0.10860735795153635,0.08988963879891032
C1,no,Insulin,20.58823529411765,0.0910542418224754,0.06826509595814233,0.017236986227590262,0.14235649136486792,0.10860731792261577,0.08988961052459368
C1,no,Insulin,21.008403361344538,0.091054166756522,0.06826499861326882,0.017236960100457423,0.14235647446736815,0.10860728937891635,0.08988959032759378
C1,no,Insulin,21.42857142857143,0.09105411834644676,0.06826492627170055,0.01723694075724633,0.14235646396034415,0.10860727010867763,0.08988957684754043
C1,no,Insulin,21.84873949579832,0.09105408048367093,0.06826487250211333,0.017236926468270308,0.14235645702470764,0.10860725694123612,0.08988956770179139
C1,no,Insulin,22.26890756302521,0.09105405296099882,0.06826483268424365,0.01723691594716445,0.14235645273753275,0.10860724815949838,0.08988956167280836
C1,no,Insulin,22.689075630252102,0.09105403274423807,0.06826480318314931,0.017236908199407933,0.14235645018101237,0.10860724237397372,0.08988955775774471
C1,no,Insulin,23.10924369747899,0.0910540179149531,0.06826478140832068,0.017236902517860843,0.14235644876988202,0.10860723865980487,0.08988955529336397
C1,no,Insulin,23.529411764705884,0.09105400698892008,0.06826476527924646,0.017236898337350075,0.14235644807963926,0.10860723632430126,0.08988955378568349
C1,no,Insulin,23.949579831932773,0.09105399888338778,0.06826475324787035,0.0172368952406339,0.14235644784064633,0.10860723490523286,0.08988955290799328
C1,no,Insulin,24.369747899159663,0.09105399326867065,0.06826474483746796,0.017236893099424746,0.14235644797307523,0.1086072342638009,0.08988955256240902
C1,no,Insulin,24.789915966386555,0.09105398916728048,0.06826473863224226,0.017236891532580484,0.1423564482381953,0.10860723398573931,0.0898895524566502
C1,no,Insulin,25.210084033613445,0.09105398633211272,0.06826473426480197,0.01723689044173282,0.14235644858163518,0.10860723397206258,0.08988955252140793
C1,no,Insulin,25.630252100840337,0.09105398425796267,0.06826473096483718,0.01723688962168861,0.14235644890432303,0.10860723403200066,0.08988955262423869
C1,no,Insulin,26.050420168067227,0.0910539828418835,0.06826472855881574,0.01723688902697342,0.14235644919465487,0.10860723413450554,0.0898895527444904
C1,no,Insulin,26.47058823529412,0.09105398190810318,0.06826472671943892,0.017236888573089082,0.14235644944888784,0.10860723424121568,0.08988955285876338
C1,no,Insulin,26.89075630252101,0.09105398081238956,0.06826472502338006,0.017236888156770006,0.142356449672457,0.10860723434224782,0.08988955296495293
C1,no,Insulin,27.310924369747898,0.09105397985703508,0.06826472366019067,0.01723688782405527,0.14235644986258789,0.10860723444070954,0.08988955306306749
C1,no,Insulin,27.73109243697479,0.09105397911458321,0.06826472267535891,0.017236887585993246,0.1423564500186147,0.10860723453734658,0.08988955315310908
C1,no,Insulin,28.15126050420168,0.09105397858503396,0.0682647220688848,0.01723688744258393,0.1423564501405374,0.10860723463215893,0.08988955323507768
C1,no,Insulin,28.571428571428573,0.09105397824596292,0.06826472178705364,0.0172368873802045,0.14235645023234922,0.10860723472389024,0.08988955330900694
C1,no,Insulin,28.991596638655462,0.09105397787890218,0.06826472130655424,0.017236887266135672,0.14235645033295302,0.10860723480030023,0.08988955337522465
C1,no,Insulin,29.411764705882355,0.09105397763669973,0.06826472099351388,0.01723688719323262,0.14235645041513093,0.1086072348699526,0.0898895534335015
C1,no,Insulin,29.831932773109244,0.09105397751935557,0.06826472084793259,0.01723688716149535,0.14235645047888296,0.10860723493284741,0.08988955348383747
C1,no,Insulin,30.252100840336134,0.09105397752686971,0.06826472086981035,0.017236887170923858,0.1423564505242091,0.10860723498898461,0.08988955352623255
C1,no,Insulin,30.672268907563026,0.09105397722116725,0.06826472048840385,0.01723688708507117,0.14235645065840266,0.10860723511482345,0.08988955362842466
C1,no,Insulin,31.092436974789916,0.0910539773405409,0.06826472064696287,0.017236887125036234,0.1423564506533486,0.10860723512300759,0.08988955363203156
C1,no,Insulin,31.51260504201681,0.09105397745991453,0.0682647208055219,0.017236887165001297,0.14235645064829452,0.10860723513119172,0.08988955363563846
C1,no,Insulin,31.932773109243698,0.09105397757928818,0.06826472096408093,0.017236887204966363,0.14235645064324046,0.10860723513937585,0.08988955363924536
C1,no,Insulin,32.35294117647059,0.09105397769866183,0.06826472112263997,0.017236887244931425,0.14235645063818642,0.10860723514755999,0.08988955364285227
C1,no,Insulin,32.773109243697476,0.0910539777594597,0.06826472120460064,0.017236887265514273,0.1423564506344881,0.10860723515056629,0.08988955364377793
C1,no,Insulin,33.19327731092437,0.0910539777741061,0.06826472122621001,0.017236887270826,0.14235645063185803,0.108607235149493,0.08988955364259107
C1,no,Insulin,33.61344537815126,0.09105397778875252,0.06826472124781936,0.01723688727613773,0.14235645062922797,0.1086072351484197,0.0898895536414042
C1,no,Insulin,34.03361344537815,0.09105397780339892,0.06826472126942873,0.01723688728144946,0.1423564506265979,0.1086072351473464,0.08988955364021733
C1,no,Insulin,34.45378151260504,0.09105397781804533,0.06826472129103808,0.017236887286761187,0.14235645062396785,0.1086072351462731,0.08988955363903046
C1,no,Insulin,34.87394957983194,0.09105397783269174,0.06826472131264745,0.017236887292072917,0.14235645062133778,0.1086072351451998,0.08988955363784361
C1,no,Insulin,35.294117647058826,0.09105397784733815,0.0682647213342568,0.017236887297384648,0.1423564506187077,0.10860723514412651,0.08988955363665674
C1,no,Insulin,35.714285714285715,0.09105397786198455,0.06826472135586617,0.017236887302696374,0.14235645061607763,0.10860723514305322,0.08988955363546987
C1,no,Insulin,36.134453781512605,0.09105397787663096,0.06826472137747552,0.017236887308008104,0.14235645061344757,0.10860723514197992,0.08988955363428301
C1,no,Insulin,36.554621848739494,0.09105397789127737,0.06826472139908489,0.01723688731331983,0.1423564506108175,0.10860723514090663,0.08988955363309614
C1,no,Insulin,36.97478991596639,0.09105397790592377,0.06826472142069426,0.01723688731863156,0.14235645060818744,0.10860723513983334,0.08988955363190927
C1,no,Insulin,37.39495798319328,0.09105397792057018,0.06826472144230361,0.01723688732394329,0.14235645060555735,0.10860723513876004,0.08988955363072242
C1,no,Insulin,37.81512605042017,0.09105397793521659,0.06826472146391298,0.01723688732925502,0.1423564506029273,0.10860723513768675,0.08988955362953555
C1,no,Insulin,38.23529411764706,0.091053977949863,0.06826472148552233,0.01723688733456675,0.14235645060029722,0.10860723513661344,0.08988955362834868
C1,no,Insulin,38.65546218487395,0.09105397796450941,0.0682647215071317,0.017236887339878475,0.14235645059766716,0.10860723513554014,0.08988955362716182
C1,no,Insulin,39.075630252100844,0.09105397797915582,0.06826472152874105,0.017236887345190206,0.1423564505950371,0.10860723513446685,0.08988955362597495
C1,no,Insulin,39.49579831932773,0.09105397799380223,0.06826472155035042,0.017236887350501936,0.14235645059240704,0.10860723513339356,0.08988955362478808
C1,no,Insulin,39.91596638655462,0.09105397800844864,0.06826472157195977,0.017236887355813663,0.14235645058977694,0.10860723513232026,0.08988955362360122
C1,no,Insulin,40.33613445378151,0.09105397802309505,0.06826472159356914,0.017236887361125393,0.14235645058714688,0.10860723513124697,0.08988955362241435
C1,no,Insulin,40.7563025210084,0.09105397803774146,0.0682647216151785,0.01723688736643712,0.14235645058451682,0.10860723513017367,0.08988955362122748
C1,no,Insulin,41.1764705882353,0.09105397804391091,0.0682647216243717,0.017236887368681706,0.14235645058320065,0.10860723512948783,0.08988955362054737
C1,no,Insulin,41.596638655462186,0.09105397804577271,0.06826472162725543,0.01723688736936768,0.14235645058255217,0.1086072351289989,0.0898895536201248
C1,no,Insulin,42.016806722689076,0.09105397804763452,0.06826472163013916,0.017236887370053657,0.1423564505819037,0.10860723512850996,0.08988955361970222
C1,no,Insulin,42.436974789915965,0.09105397804949632,0.06826472163302291,0.017236887370739636,0.1423564505812552,0.10860723512802103,0.08988955361927962
C1,no,Insulin,42.85714285714286,0.09105397805135812,0.06826472163590665,0.017236887371425612,0.1423564505806067,0.10860723512753209,0.08988955361885705
C1,no,Insulin,43.27731092436975,0.09105397805321992,0.06826472163879038,0.017236887372111587,0.14235645057995822,0.10860723512704315,0.08988955361843447
C1,no,Insulin,43.69747899159664,0.09105397805508171,0.06826472164167413,0.017236887372797563,0.14235645057930973,0.10860723512655422,0.08988955361801187
C1,no,Insulin,44.11764705882353,0.09105397805694351,0.06826472164455787,0.01723688737348354,0.14235645057866125,0.10860723512606528,0.0898895536175893
C1,no,Insulin,44.53781512605042,0.09105397805880532,0.06826472164744161,0.017236887374169514,0.14235645057801274,0.10860723512557635,0.0898895536171667
C1,no,Insulin,44.957983193277315,0.09105397806066712,0.06826472165032535,0.01723688737485549,0.14235645057736426,0.10860723512508741,0.08988955361674413
C1,no,Insulin,45.378151260504204,0.09105397806252892,0.06826472165320908,0.017236887375541465,0.14235645057671578,0.10860723512459848,0.08988955361632155
C1,no,Insulin,45.79831932773109,0.09105397806439072,0.06826472165609283,0.01723688737622744,0.1423564505760673,0.10860723512410954,0.08988955361589895
C1,no,Insulin,46.21848739495798,0.09105397806625252,0.06826472165897657,0.017236887376913416,0.1423564505754188,0.10860723512362061,0.08988955361547638
C1,no,Insulin,46.63865546218487,0.09105397806811431,0.06826472166186032,0.017236887377599392,0.1423564505747703,0.10860723512313167,0.08988955361505378
C1,no,Insulin,47.05882352941177,0.09105397806997612,0.06826472166474405,0.017236887378285368,0.14235645057412183,0.10860723512264274,0.0898895536146312
C1,no,Insulin,47.47899159663866,0.09105397807183792,0.06826472166762779,0.017236887378971343,0.14235645057347335,0.1086072351221538,0.08988955361420863
C1,no,Insulin,47.89915966386555,0.09105397807369972,0.06826472167051154,0.01723688737965732,0.14235645057282484,0.10860723512166487,0.08988955361378603
C1,no,Insulin,48.319327731092436,0.09105397807556152,0.06826472167339527,0.017236887380343298,0.14235645057217636,0.10860723512117593,0.08988955361336345
C1,no,Insulin,48.739495798319325,0.09105397807742333,0.068264721676279,0.017236887381029273,0.14235645057152788,0.108607235120687,0.08988955361294086
C1,no,Insulin,49.15966386554622,0.09105397807928511,0.06826472167916275,0.01723688738171525,0.1423564505708794,0.10860723512019806,0.08988955361251828
C1,no,Insulin,49.57983193277311,0.0910539780797452,0.0682647216798771,0.017236887381884676,0.14235645057071242,0.10860723512006953,0.08988955361240794
C1,no,Insulin,50.0,0.09105397807977898,0.06826472167993168,0.017236887381897013,0.14235645057069188,0.10860723512005062,0.08988955361239255
