,,,Slide ID,d,f,b,a,c,e
,,,Antibody Name,d,f,b,a,c,e
,,,HUGO ID,d,f,b,a,c,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,8.080808080808081,0.07699455229132643,0.016654920106942382,0.030689512679986635,0.04784248858718485,0.10888737434064029,0.02580139482591054
C1,no,Insulin,8.585858585858587,0.07686292027089905,0.016605371439968274,0.030617922184774334,0.04767762309450538,0.10869652854365909,0.02570786833349962
C1,no,Insulin,9.090909090909092,0.07677077404107807,0.016570739840035136,0.030567793357161217,0.04756299529202768,0.1085614209485474,0.025642659122449903
C1,no,Insulin,9.595959595959597,0.07670626760429067,0.016546521344783943,0.03053268729604612,0.04748317447521374,0.10846594996988154,0.0255971307595892
C1,no,Insulin,10.101010101010102,0.07666111198625793,0.016529579440165375,0.030508101660534765,0.04742752791035837,0.10839859670875834,0.025565314803707464
C1,no,Insulin,10.606060606060607,0.07662949970989408,0.016517723658865596,0.030490881486755304,0.04738869729200968,0.10835114068716398,0.02554306618409924
C1,no,Insulin,11.111111111111112,0.07660737786559486,0.01650942773667457,0.030478823726241094,0.047361588459545224,0.10831774823735445,0.02552750482018151
C1,no,Insulin,11.616161616161618,0.07659187756930717,0.016503618680752473,0.030470377226808173,0.047342629274464226,0.10829425675363948,0.025516606164767006
C1,no,Insulin,12.121212121212121,0.07658100880267507,0.016499551496582845,0.030464458734845934,0.04732938049771531,0.10827775551140237,0.025508979954368894
C1,no,Insulin,12.626262626262626,0.07657341675651892,0.01649670191337084,0.030460310982184217,0.047320117516378594,0.10826616290207654,0.025503640775720104
C1,no,Insulin,13.131313131313131,0.07656809930251442,0.016494707967054857,0.03045740872461903,0.04731363486743445,0.10825802436312297,0.02549990172668839
C1,no,Insulin,13.636363636363637,0.07656437351254455,0.01649331137577207,0.030455375270619492,0.04730909865021955,0.10825231467486528,0.025497283215525107
C1,no,Insulin,14.141414141414142,0.07656176304938565,0.016492332935744633,0.030453950345363832,0.047305922850439254,0.10824830874218852,0.02549544882084903
C1,no,Insulin,14.646464646464647,0.07655993611739077,0.016491648211260902,0.03045295300987795,0.047303701557325786,0.10824550187715123,0.025494165100116744
C1,no,Insulin,15.151515151515152,0.07655865901672061,0.016491169568009983,0.030452255761864173,0.04730214943991706,0.10824353778458065,0.025493267730650564
C1,no,Insulin,15.656565656565657,0.07655776113104198,0.016490833048722186,0.030451765512854147,0.04730105849179562,0.10824215585491753,0.025492636801713573
C1,no,Insulin,16.161616161616163,0.07655713243473802,0.01649059742689717,0.030451422222458016,0.04730029487412597,0.10824118760978517,0.025492195045106286
C1,no,Insulin,16.666666666666668,0.07655669304690751,0.01649043273091374,0.030451182243965116,0.047299761325051155,0.1082405105036205,0.02549188629371479
C1,no,Insulin,17.171717171717173,0.07655638464754412,0.01649031702842481,0.030451013645390625,0.04729938669285354,0.1082400347855811,0.02549166944843645
C1,no,Insulin,17.67676767676768,0.07655616772912417,0.01649023541326768,0.030450894731429937,0.047299122636914596,0.10823969922440745,0.025491516566907308
C1,no,Insulin,18.181818181818183,0.07655601586200228,0.016490177905147223,0.030450810983398618,0.04729893674396614,0.10823946258649884,0.025491408909206446
C1,no,Insulin,18.68686868686869,0.07655590850366345,0.016490136963186918,0.03045075143012164,0.04729880420783104,0.10823929342688667,0.02549133218427459
C1,no,Insulin,19.191919191919194,0.07655583962624012,0.016490110493142304,0.030450713015566087,0.04729871803705721,0.1082391830139778,0.025491282382001792
C1,no,Insulin,19.6969696969697,0.07655578636085215,0.01649009133728576,0.030450685176873587,0.047298654138401376,0.10823910207427519,0.0254912456969809
C1,no,Insulin,20.202020202020204,0.07655574397094034,0.016490078513516707,0.030450666298932318,0.047298609862565774,0.10823904806398654,0.02549122047218379
C1,no,Insulin,20.70707070707071,0.07655571401984529,0.016490068817503863,0.030450651977639263,0.04729857798851414,0.10823900883095464,0.02549120205656259
C1,no,Insulin,21.212121212121215,0.07655569857584851,0.016490061404153853,0.030450641167357472,0.047298556437212584,0.10823898034507291,0.025491189172794408
C1,no,Insulin,21.71717171717172,0.0765556868373217,0.016490056223969207,0.03045063360908037,0.04729854089888211,0.10823896007067936,0.0254911799700655
C1,no,Insulin,22.222222222222225,0.07655567892437298,0.016490052755481797,0.030450628553009094,0.04729853042294544,0.10823894640839779,0.025491173779032275
C1,no,Insulin,22.72727272727273,0.07655567329466569,0.016490050494978793,0.030450625256452292,0.04729852334796915,0.10823893730759954,0.025491169641011623
C1,no,Insulin,23.232323232323235,0.07655566873912421,0.01649004868010453,0.030450622609526887,0.047298517649830576,0.108238929987308,0.025491166311294368
C1,no,Insulin,23.73737373737374,0.07655566603620381,0.016490047717637214,0.03045062120612268,0.04729851446666683,0.10823892596961966,0.025491164478467738
C1,no,Insulin,24.242424242424242,0.07655566399508992,0.016490046976470808,0.03045062012578993,0.047298512033986335,0.10823892288876355,0.0254911630748582
C1,no,Insulin,24.747474747474747,0.07655566281292175,0.016490046561084857,0.030450619520909,0.04729851064390047,0.10823892113639277,0.025491162277219
C1,no,Insulin,25.252525252525253,0.07655566149774479,0.01649004610585507,0.030450618858063994,0.047298509109114754,0.10823891920618213,0.025491161398357706
C1,no,Insulin,25.757575757575758,0.07655566163546439,0.016490046161112923,0.03045061893921952,0.04729850927675508,0.10823891942077123,0.02549116149740578
C1,no,Insulin,26.262626262626263,0.07655566175396997,0.016490046208433275,0.030450619008692264,0.047298509420867746,0.1082389196051459,0.025491161582451242
C1,no,Insulin,26.767676767676768,0.07655566180172241,0.016490046226524856,0.030450619035144736,0.047298509478343014,0.10823891967825995,0.025491161615933965
C1,no,Insulin,27.272727272727273,0.07655566184947486,0.016490046244616433,0.030450619061597208,0.04729850953581829,0.10823891975137401,0.025491161649416692
C1,no,Insulin,27.77777777777778,0.07655566189722732,0.01649004626270801,0.03045061908804968,0.047298509593293556,0.10823891982448805,0.025491161682899416
C1,no,Insulin,28.282828282828284,0.07655566194497977,0.016490046280799586,0.030450619114502156,0.04729850965076882,0.1082389198976021,0.02549116171638214
C1,no,Insulin,28.78787878787879,0.07655566199273221,0.016490046298891167,0.030450619140954628,0.0472985097082441,0.10823891997071616,0.025491161749864866
C1,no,Insulin,29.292929292929294,0.07655566201674086,0.01649004630793767,0.03045061915416848,0.04729850973718234,0.10823892000752176,0.025491161766687538
C1,no,Insulin,29.7979797979798,0.0765556620329571,0.016490046314015714,0.0304506191630376,0.04729850975675515,0.10823892003241145,0.025491161778042625
C1,no,Insulin,30.303030303030305,0.07655566204917334,0.016490046320093755,0.03045061917190672,0.04729850977632795,0.10823892005730114,0.025491161789397712
C1,no,Insulin,30.80808080808081,0.0765556620653896,0.016490046326171796,0.03045061918077584,0.04729850979590076,0.10823892008219081,0.0254911618007528
C1,no,Insulin,31.313131313131315,0.07655566208160584,0.01649004633224984,0.03045061918964496,0.047298509815473566,0.1082389201070805,0.025491161812107883
C1,no,Insulin,31.81818181818182,0.07655566209332988,0.016490046336644065,0.030450619196056926,0.04729850982962532,0.10823892012507673,0.02549116182031774
C1,no,Insulin,32.323232323232325,0.07655566209417483,0.016490046336960478,0.03045061919651822,0.04729850983064854,0.10823892012637856,0.025491161820910577
C1,no,Insulin,32.82828282828283,0.07655566209501977,0.01649004633727689,0.030450619196979518,0.047298509831671755,0.1082389201276804,0.025491161821503416
C1,no,Insulin,33.333333333333336,0.0765556620958647,0.016490046337593305,0.030450619197440815,0.04729850983269497,0.10823892012898224,0.025491161822096254
C1,no,Insulin,33.83838383838384,0.07655566209670965,0.01649004633790972,0.030450619197902113,0.04729850983371818,0.10823892013028408,0.025491161822689092
C1,no,Insulin,34.343434343434346,0.07655566209755459,0.016490046338226132,0.030450619198363407,0.047298509834741397,0.10823892013158591,0.02549116182328193
C1,no,Insulin,34.84848484848485,0.07655566209839954,0.016490046338542546,0.030450619198824705,0.04729850983576461,0.10823892013288774,0.02549116182387477
C1,no,Insulin,35.35353535353536,0.07655566209924447,0.016490046338858956,0.030450619199286003,0.04729850983678783,0.10823892013418959,0.025491161824467604
C1,no,Insulin,35.85858585858586,0.0765556621000894,0.01649004633917537,0.030450619199747297,0.04729850983781104,0.10823892013549143,0.025491161825060442
C1,no,Insulin,36.36363636363637,0.07655566210093435,0.016490046339491783,0.030450619200208594,0.047298509838834255,0.10823892013679326,0.02549116182565328
C1,no,Insulin,36.86868686868687,0.07655566210177929,0.016490046339808197,0.030450619200669892,0.04729850983985747,0.1082389201380951,0.02549116182624612
C1,no,Insulin,37.37373737373738,0.07655566210262423,0.01649004634012461,0.030450619201131186,0.04729850984088069,0.10823892013939694,0.025491161826838957
C1,no,Insulin,37.87878787878788,0.07655566210346917,0.016490046340441024,0.030450619201592484,0.047298509841903896,0.10823892014069877,0.025491161827431795
C1,no,Insulin,38.38383838383839,0.07655566210431411,0.016490046340757437,0.03045061920205378,0.04729850984292711,0.10823892014200061,0.025491161828024633
C1,no,Insulin,38.88888888888889,0.07655566210515904,0.01649004634107385,0.03045061920251508,0.04729850984395033,0.10823892014330244,0.02549116182861747
C1,no,Insulin,39.3939393939394,0.076555662106004,0.01649004634139026,0.030450619202976374,0.047298509844973545,0.10823892014460429,0.025491161829210306
C1,no,Insulin,39.8989898989899,0.07655566210684893,0.016490046341706675,0.03045061920343767,0.047298509845996754,0.10823892014590612,0.025491161829803145
C1,no,Insulin,40.40404040404041,0.07655566210769386,0.016490046342023088,0.03045061920389897,0.04729850984701997,0.10823892014720796,0.025491161830395983
C1,no,Insulin,40.909090909090914,0.07655566210853881,0.016490046342339502,0.030450619204360263,0.04729850984804319,0.10823892014850979,0.02549116183098882
C1,no,Insulin,41.41414141414142,0.07655566210938375,0.016490046342655915,0.03045061920482156,0.0472985098490664,0.10823892014981162,0.02549116183158166
C1,no,Insulin,41.919191919191924,0.0765556621102287,0.01649004634297233,0.03045061920528286,0.04729850985008961,0.10823892015111347,0.025491161832174498
C1,no,Insulin,42.42424242424243,0.07655566211107363,0.016490046343288742,0.030450619205744153,0.04729850985111283,0.1082389201524153,0.025491161832767336
C1,no,Insulin,42.929292929292934,0.07655566211191857,0.016490046343605153,0.03045061920620545,0.047298509852136045,0.10823892015371714,0.02549116183336017
C1,no,Insulin,43.43434343434344,0.07655566211276352,0.016490046343921566,0.030450619206666748,0.04729850985315926,0.10823892015501897,0.02549116183395301
C1,no,Insulin,43.939393939393945,0.07655566211360845,0.01649004634423798,0.030450619207128042,0.04729850985418247,0.10823892015632082,0.025491161834545847
C1,no,Insulin,44.44444444444445,0.07655566211445339,0.016490046344554393,0.03045061920758934,0.047298509855205687,0.10823892015762265,0.025491161835138686
C1,no,Insulin,44.949494949494955,0.07655566211529834,0.016490046344870807,0.030450619208050637,0.0472985098562289,0.10823892015892449,0.025491161835731524
C1,no,Insulin,45.45454545454546,0.07655566211614327,0.01649004634518722,0.030450619208511935,0.04729850985725212,0.10823892016022632,0.025491161836324362
C1,no,Insulin,45.959595959595966,0.07655566211698821,0.016490046345503634,0.03045061920897323,0.04729850985827533,0.10823892016152817,0.0254911618369172
C1,no,Insulin,46.46464646464647,0.07655566211783316,0.016490046345820047,0.030450619209434527,0.047298509859298545,0.10823892016283,0.025491161837510035
C1,no,Insulin,46.969696969696976,0.07655566211867809,0.016490046346136458,0.030450619209895825,0.04729850986032176,0.10823892016413184,0.025491161838102874
C1,no,Insulin,47.47474747474748,0.07655566211952303,0.01649004634645287,0.03045061921035712,0.04729850986134498,0.10823892016543367,0.025491161838695712
C1,no,Insulin,47.979797979797986,0.07655566212036798,0.016490046346769285,0.030450619210818416,0.047298509862368186,0.1082389201667355,0.02549116183928855
C1,no,Insulin,48.484848484848484,0.07655566212121291,0.016490046347085698,0.030450619211279714,0.0472985098633914,0.10823892016803735,0.02549116183988139
C1,no,Insulin,48.98989898989899,0.07655566212205786,0.016490046347402112,0.03045061921174101,0.04729850986441462,0.10823892016933918,0.025491161840474227
C1,no,Insulin,49.494949494949495,0.0765556621229028,0.016490046347718525,0.030450619212202306,0.047298509865437835,0.10823892017064102,0.025491161841067065
C1,no,Insulin,50.0,0.07655566212374773,0.01649004634803494,0.030450619212663604,0.047298509866461044,0.10823892017194285,0.025491161841659903
