,,,Slide ID,c,a,d,b,e
,,,Antibody Name,c,a,d,b,e
,,,HUGO ID,c,a,d,b,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.2780641128854219,0.5192934918982332,0.8212543546057789,0.29872635374900725,0.5728131981896099
C1,no,Insulin,0.5050505050505051,0.2311107490391052,0.2945024716322765,0.4551476445755164,0.2418388177268974,0.2700835165963453
C1,no,Insulin,1.0101010101010102,0.21748734524623398,0.22718455843640523,0.29784925145168867,0.21580231918627601,0.1382292318721208
C1,no,Insulin,1.5151515151515151,0.21389995053643418,0.2053455265140816,0.230459775822912,0.20418236066044115,0.07843209881893012
C1,no,Insulin,2.0202020202020203,0.2131943302224995,0.19768137985960457,0.2016813329917239,0.19912533829526233,0.04994636932342579
C1,no,Insulin,2.5252525252525255,0.2132195521113808,0.19482237458469004,0.18943872494576017,0.19698928271974186,0.03563762557556914
C1,no,Insulin,3.0303030303030303,0.2133656415145074,0.19371735291112055,0.18425371641153632,0.19612038347460786,0.02808080027799162
C1,no,Insulin,3.5353535353535355,0.21348542846127677,0.19328613683992427,0.18206846864032147,0.19578414107882497,0.023918834796198513
C1,no,Insulin,4.040404040404041,0.21356099231264267,0.19312019861498875,0.18115222095449865,0.19566306098492078,0.021552596225036597
C1,no,Insulin,4.545454545454546,0.21360350478456816,0.1930587227770844,0.1807700502947599,0.1956243986449241,0.020176942105724845
C1,no,Insulin,5.050505050505051,0.21362584740511908,0.1930375036062487,0.18061145660145642,0.19561494043896235,0.019365217369296576
C1,no,Insulin,5.555555555555556,0.21363703469548168,0.19303111232911221,0.180545948674954,0.1956145254511653,0.01888165023295748
C1,no,Insulin,6.0606060606060606,0.2136424225450638,0.1930297616213581,0.18051899873175423,0.19561613717995127,0.01859184143886369
C1,no,Insulin,6.565656565656566,0.2136449296288107,0.19302987406287622,0.18050794145709234,0.1956176776136016,0.018417503003976876
C1,no,Insulin,7.070707070707071,0.21364605844175202,0.19303025635202128,0.18050341085579072,0.19561872863733915,0.018312384541419185
C1,no,Insulin,7.575757575757576,0.21364654973048597,0.19303057674836477,0.18050155254610728,0.19561935305318537,0.01824891138953706
C1,no,Insulin,8.080808080808081,0.21364675560926424,0.19303078524751477,0.18050078715534068,0.19561969537305854,0.01821055178715669
C1,no,Insulin,8.585858585858587,0.21364683820714048,0.1930309055340775,0.18050046839289235,0.1956198728007167,0.018187353456835503
C1,no,Insulin,9.090909090909092,0.21364686943385477,0.19303097084446452,0.18050033566212423,0.19561996126152328,0.01817332050387955
C1,no,Insulin,9.595959595959597,0.21364688017920586,0.19303100414120858,0.18050027942522703,0.1956200037137381,0.018164829614864448
C1,no,Insulin,10.101010101010102,0.21364688346782984,0.1930310211015619,0.18050025507469275,0.19562002343963183,0.01815969106290568
C1,no,Insulin,10.606060606060607,0.21364688383716673,0.19303102794377092,0.1805002441700231,0.19562003224646676,0.01815658090424495
C1,no,Insulin,11.111111111111112,0.21364688398750453,0.19303103292178067,0.1805002396300565,0.19562003616732607,0.018154698567360218
C1,no,Insulin,11.616161616161618,0.21364688336846258,0.1930310328822033,0.18050023717078906,0.1956200376991277,0.018153559177746467
C1,no,Insulin,12.121212121212121,0.21364688328337747,0.1930310341296578,0.1805002362828272,0.19562003836618733,0.018152869568779543
C1,no,Insulin,12.626262626262626,0.21364688319586106,0.19303103460106114,0.1805002358537472,0.19562003861458324,0.018152452175770793
C1,no,Insulin,13.131313131313131,0.21364688313069885,0.1930310347430966,0.1805002356458234,0.19562003869803885,0.018152199535538937
C1,no,Insulin,13.636363636363637,0.21364688309523933,0.1930310347979869,0.1805002355445116,0.19562003872229847,0.018152046176769562
C1,no,Insulin,14.141414141414142,0.21364688307726423,0.19303103481931327,0.180500235495642,0.19562003872618944,0.01815195275070431
C1,no,Insulin,14.646464646464647,0.21364688306941407,0.19303103482583614,0.1805002354751885,0.19562003872203845,0.018151897453849573
C1,no,Insulin,15.151515151515152,0.21364688306566051,0.19303103482467077,0.180500235467073,0.19562003871728012,0.018151864810310427
C1,no,Insulin,15.656565656565657,0.21364688306309723,0.19303103482093636,0.1805002354619539,0.19562003871606137,0.018151844799237735
C1,no,Insulin,16.161616161616163,0.21364688306116997,0.19303103481696787,0.18050023545742275,0.19562003871756406,0.018151832226474967
C1,no,Insulin,16.666666666666668,0.2136468830600046,0.1930310348144377,0.1805002354540485,0.19562003871922937,0.018151824370397533
C1,no,Insulin,17.171717171717173,0.21364688305969437,0.19303103481510897,0.18050023545247487,0.1956200387196592,0.018151819550047743
C1,no,Insulin,17.67676767676768,0.21364688306019133,0.1930310348197604,0.18050023545239266,0.19562003871932404,0.018151816606634022
C1,no,Insulin,18.181818181818183,0.21364688306121346,0.19303103482643477,0.18050023545285326,0.19562003871918168,0.018151814797808873
C1,no,Insulin,18.68686868686869,0.21364688306207594,0.19303103483102602,0.18050023545304228,0.19562003871934538,0.01815181367945982
C1,no,Insulin,19.191919191919194,0.21364688306203164,0.19303103483034653,0.18050023545273453,0.1956200387194025,0.01815181298739992
C1,no,Insulin,19.6969696969697,0.21364688306093715,0.19303103482463949,0.18050023545219823,0.19562003871917927,0.01815181255999942
C1,no,Insulin,20.202020202020204,0.21364688305944365,0.1930310348174264,0.18050023545179122,0.19562003871885725,0.01815181229560276
C1,no,Insulin,20.70707070707071,0.21364688305887877,0.19303103481407677,0.18050023545125685,0.19562003871870134,0.018151811961067063
C1,no,Insulin,21.212121212121215,0.21364688305853066,0.19303103481196895,0.18050023545089636,0.1956200387186048,0.01815181170464601
C1,no,Insulin,21.71717171717172,0.21364688305839932,0.1930310348111029,0.18050023545070984,0.19562003871856765,0.018151811526339597
C1,no,Insulin,22.222222222222225,0.21364688305848478,0.19303103481147865,0.18050023545069724,0.19562003871858985,0.01815181142614783
C1,no,Insulin,22.72727272727273,0.21364688305878698,0.1930310348130962,0.18050023545085858,0.19562003871867142,0.018151811404070704
C1,no,Insulin,23.232323232323235,0.213646883059306,0.19303103481595554,0.18050023545119387,0.19562003871881234,0.018151811460108223
C1,no,Insulin,23.73737373737374,0.2136468830598904,0.19303103481920328,0.18050023545159055,0.19562003871897113,0.01815181155270276
C1,no,Insulin,24.242424242424242,0.21364688305995969,0.1930310348195654,0.18050023545161695,0.1956200387189885,0.018151811522413294
C1,no,Insulin,24.747474747474747,0.21364688306003043,0.1930310348199554,0.18050023545165725,0.19562003871900618,0.018151811511122364
C1,no,Insulin,25.252525252525253,0.2136468830601027,0.19303103482037326,0.18050023545171143,0.19562003871902417,0.018151811518829962
C1,no,Insulin,25.757575757575758,0.21364688306017648,0.193031034820819,0.18050023545177948,0.1956200387190425,0.0181518115455361
C1,no,Insulin,26.262626262626263,0.21364688306025179,0.19303103482129258,0.1805002354518614,0.1956200387190611,0.018151811591240765
C1,no,Insulin,26.767676767676768,0.21364688306032856,0.19303103482179404,0.1805002354519572,0.19562003871908004,0.018151811655943966
C1,no,Insulin,27.272727272727273,0.21364688306058535,0.19303103482331335,0.180500235452178,0.19562003871914768,0.018151811716682845
C1,no,Insulin,27.77777777777778,0.21364688306056218,0.19303103482320078,0.180500235452172,0.19562003871913983,0.018151811735518254
C1,no,Insulin,28.282828282828284,0.213646883060539,0.1930310348230882,0.18050023545216598,0.19562003871913197,0.018151811754353663
C1,no,Insulin,28.78787878787879,0.21364688306051582,0.19303103482297562,0.18050023545215998,0.1956200387191241,0.018151811773189072
C1,no,Insulin,29.292929292929294,0.21364688306049268,0.19303103482286305,0.18050023545215396,0.19562003871911623,0.01815181179202448
C1,no,Insulin,29.7979797979798,0.2136468830604695,0.19303103482275047,0.18050023545214797,0.19562003871910838,0.01815181181085989
C1,no,Insulin,30.303030303030305,0.21364688306044632,0.1930310348226379,0.18050023545214194,0.19562003871910053,0.018151811829695295
C1,no,Insulin,30.80808080808081,0.21364688306043672,0.19303103482259112,0.18050023545213947,0.19562003871909722,0.01815181183771025
C1,no,Insulin,31.313131313131315,0.21364688306043647,0.19303103482258988,0.1805002354521394,0.1956200387190971,0.018151811838246004
C1,no,Insulin,31.81818181818182,0.2136468830604362,0.19303103482258863,0.18050023545213933,0.19562003871909703,0.018151811838781763
C1,no,Insulin,32.323232323232325,0.21364688306043594,0.19303103482258735,0.18050023545213925,0.19562003871909692,0.01815181183931752
C1,no,Insulin,32.82828282828283,0.2136468830604357,0.1930310348225861,0.18050023545213917,0.1956200387190968,0.018151811839853278
C1,no,Insulin,33.333333333333336,0.21364688306043544,0.19303103482258485,0.1805002354521391,0.1956200387190967,0.018151811840389033
C1,no,Insulin,33.83838383838384,0.2136468830604352,0.1930310348225836,0.18050023545213903,0.19562003871909658,0.01815181184092479
C1,no,Insulin,34.343434343434346,0.21364688306043494,0.19303103482258233,0.18050023545213897,0.19562003871909647,0.018151811841460547
C1,no,Insulin,34.84848484848485,0.2136468830604347,0.19303103482258108,0.1805002354521389,0.19562003871909636,0.018151811841996303
C1,no,Insulin,35.35353535353536,0.21364688306043444,0.19303103482257983,0.1805002354521388,0.19562003871909625,0.018151811842532062
C1,no,Insulin,35.85858585858586,0.2136468830604342,0.19303103482257855,0.18050023545213875,0.19562003871909617,0.018151811843067817
C1,no,Insulin,36.36363636363637,0.21364688306043395,0.1930310348225773,0.18050023545213867,0.19562003871909606,0.018151811843603573
C1,no,Insulin,36.86868686868687,0.2136468830604337,0.19303103482257605,0.1805002354521386,0.19562003871909595,0.01815181184413933
C1,no,Insulin,37.37373737373738,0.21364688306043345,0.1930310348225748,0.18050023545213853,0.19562003871909583,0.018151811844675087
C1,no,Insulin,37.87878787878788,0.21364688306043317,0.19303103482257353,0.18050023545213845,0.19562003871909572,0.018151811845210846
C1,no,Insulin,38.38383838383839,0.21364688306043292,0.19303103482257228,0.1805002354521384,0.1956200387190956,0.0181518118457466
C1,no,Insulin,38.88888888888889,0.21364688306043267,0.19303103482257103,0.1805002354521383,0.1956200387190955,0.018151811846282357
C1,no,Insulin,39.3939393939394,0.21364688306043242,0.19303103482256978,0.18050023545213825,0.1956200387190954,0.018151811846818116
C1,no,Insulin,39.8989898989899,0.21364688306043217,0.1930310348225685,0.18050023545213817,0.1956200387190953,0.01815181184735387
C1,no,Insulin,40.40404040404041,0.21364688306043192,0.19303103482256725,0.18050023545213809,0.1956200387190952,0.01815181184788963
C1,no,Insulin,40.909090909090914,0.21364688306043167,0.193031034822566,0.18050023545213803,0.19562003871909509,0.018151811848425386
C1,no,Insulin,41.41414141414142,0.21364688306043142,0.19303103482256473,0.18050023545213795,0.19562003871909497,0.01815181184896114
C1,no,Insulin,41.919191919191924,0.21364688306043117,0.19303103482256348,0.18050023545213786,0.19562003871909486,0.0181518118494969
C1,no,Insulin,42.42424242424243,0.21364688306043092,0.19303103482256223,0.1805002354521378,0.19562003871909475,0.018151811850032656
C1,no,Insulin,42.929292929292934,0.21364688306043067,0.19303103482256098,0.18050023545213773,0.19562003871909464,0.018151811850568415
C1,no,Insulin,43.43434343434344,0.21364688306043042,0.1930310348225597,0.18050023545213767,0.19562003871909453,0.01815181185110417
C1,no,Insulin,43.939393939393945,0.21364688306043014,0.19303103482255846,0.1805002354521376,0.19562003871909445,0.018151811851639926
C1,no,Insulin,44.44444444444445,0.2136468830604299,0.1930310348225572,0.1805002354521375,0.19562003871909434,0.018151811852175685
C1,no,Insulin,44.949494949494955,0.21364688306042964,0.19303103482255593,0.18050023545213745,0.19562003871909422,0.01815181185271144
C1,no,Insulin,45.45454545454546,0.2136468830604294,0.19303103482255468,0.18050023545213736,0.1956200387190941,0.0181518118532472
C1,no,Insulin,45.959595959595966,0.21364688306042914,0.19303103482255343,0.1805002354521373,0.195620038719094,0.018151811853782954
C1,no,Insulin,46.46464646464647,0.2136468830604289,0.19303103482255218,0.18050023545213723,0.1956200387190939,0.01815181185431871
C1,no,Insulin,46.969696969696976,0.21364688306042864,0.1930310348225509,0.18050023545213714,0.19562003871909378,0.01815181185485447
C1,no,Insulin,47.47474747474748,0.2136468830604284,0.19303103482254966,0.1805002354521371,0.19562003871909367,0.018151811855390224
C1,no,Insulin,47.979797979797986,0.21364688306042814,0.1930310348225484,0.180500235452137,0.1956200387190936,0.018151811855925983
C1,no,Insulin,48.484848484848484,0.2136468830604279,0.19303103482254716,0.18050023545213695,0.19562003871909348,0.01815181185646174
C1,no,Insulin,48.98989898989899,0.21364688306042764,0.19303103482254588,0.18050023545213686,0.19562003871909336,0.018151811856997494
C1,no,Insulin,49.494949494949495,0.2136468830604274,0.19303103482254463,0.18050023545213678,0.19562003871909325,0.018151811857533253
C1,no,Insulin,50.0,0.21364688306042715,0.19303103482254338,0.18050023545213673,0.19562003871909314,0.01815181185806901
