Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Gold_5_16_10_2018_14_23.sif,5,KM3,BESTFIT,100,1,1,15,2,7,0.3333333333333333,0.125,0.64,0.32,0.010555008273018727
Gold_4_16_10_2018_14_23.sif,4,KM3,BESTFIT,100,1,2,8,1,5,0.6666666666666666,0.2857142857142857,0.625,0.3125,0.2219167619785609
Gold_6_16_10_2018_14_23.sif,6,KM3,BESTFIT,100,0,2,21,5,8,0.2857142857142857,0.2,0.6388888888888888,0.3194444444444444,0.008705531728897115
