,,,Slide ID,a,c,b,d
,,,Antibody Name,a,c,b,d
,,,HUGO ID,a,c,b,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5671545401032146,0.4930229901761788,0.10181628194264758,0.7067308577269467
C1,no,Insulin,1.0204081632653061,0.39494645909624815,0.2428953740280544,0.1752263427321603,0.4369356981206893
C1,no,Insulin,2.0408163265306123,0.32252862675051824,0.20377916150184763,0.17030380457133637,0.3888501435044548
C1,no,Insulin,3.0612244897959187,0.29062950712627234,0.18996573966563055,0.16315650202568271,0.3722689239397273
C1,no,Insulin,4.081632653061225,0.27618884944383926,0.18367240210109628,0.1591369747774526,0.36476008173388413
C1,no,Insulin,5.1020408163265305,0.2695569631608392,0.1807181546750421,0.15715409688449647,0.3612089742735101
C1,no,Insulin,6.122448979591837,0.2664895558242255,0.17933392785245592,0.15621094980248199,0.35953399309964956
C1,no,Insulin,7.142857142857143,0.2650659693702771,0.178687357974615,0.1557679958345503,0.3587485643474734
C1,no,Insulin,8.16326530612245,0.2644042258145366,0.1783858820986206,0.1555609991170025,0.35838161157589443
C1,no,Insulin,9.183673469387756,0.26409638658409457,0.17824544274971735,0.15546447828145338,0.3582105024664987
C1,no,Insulin,10.204081632653061,0.26395313781340457,0.17818004557944134,0.15541951276188987,0.35813078750229893
C1,no,Insulin,11.224489795918368,0.26388645250089365,0.17814959222432003,0.15539856957013634,0.35809365879193933
C1,no,Insulin,12.244897959183675,0.26385541853798206,0.17813541777304967,0.15538882069009097,0.3580763755431452
C1,no,Insulin,13.26530612244898,0.2638409712976575,0.17812881841179334,0.1553842817133854,0.3580683284854625
C1,no,Insulin,14.285714285714286,0.26383424837181774,0.17812574806477297,0.1553821695781848,0.35806458420096554
C1,no,Insulin,15.306122448979592,0.26383111788421004,0.17812431678365426,0.15538118594733746,0.35806283999933847
C1,no,Insulin,16.3265306122449,0.26382966313312395,0.17812365522158474,0.1553807291522223,0.35806203136266673
C1,no,Insulin,17.346938775510203,0.2638289845534679,0.17812334185766202,0.15538051527241348,0.35806164970118065
C1,no,Insulin,18.367346938775512,0.26382866828283774,0.1781231978206431,0.15538041627741384,0.3580614753587435
C1,no,Insulin,19.387755102040817,0.2638285205911821,0.17812313128396165,0.15538036990232257,0.35806139348604527
C1,no,Insulin,20.408163265306122,0.2638284514488878,0.17812309974019472,0.15538034818027874,0.35806135499375225
C1,no,Insulin,21.42857142857143,0.26382842059948614,0.17812308545108582,0.15538033848312272,0.3580613377340901
C1,no,Insulin,22.448979591836736,0.26382840603019186,0.17812307829582472,0.1553803339029398,0.3580613295272591
C1,no,Insulin,23.46938775510204,0.26382839888545334,0.17812307406994154,0.15538033166290402,0.35806132554111286
C1,no,Insulin,24.48979591836735,0.2638283942179842,0.17812307211856432,0.1553803301981081,0.3580613229692409
C1,no,Insulin,25.510204081632654,0.26382839238873856,0.17812307217052947,0.15538032962440176,0.35806132204131275
C1,no,Insulin,26.53061224489796,0.2638283912978064,0.1781230721234185,0.15538032928218307,0.35806132148147135
C1,no,Insulin,27.551020408163264,0.26382839123360163,0.17812307224842416,0.15538032926210962,0.35806132146496156
C1,no,Insulin,28.571428571428573,0.2638283910823185,0.1781230723281743,0.15538032921470046,0.35806132139870644
C1,no,Insulin,29.591836734693878,0.26382839158522065,0.17812307247356332,0.15538032937257162,0.358061321670581
C1,no,Insulin,30.612244897959183,0.2638283917572444,0.17812307252931603,0.1553803294265823,0.3580613217641332
C1,no,Insulin,31.63265306122449,0.26382839182559864,0.17812307255698423,0.15538032944805183,0.3580613218018141
C1,no,Insulin,32.6530612244898,0.26382839189395285,0.17812307258465243,0.15538032946952132,0.358061321839495
C1,no,Insulin,33.673469387755105,0.26382839196230706,0.17812307261232063,0.15538032949099084,0.35806132187717593
C1,no,Insulin,34.69387755102041,0.2638283920306613,0.17812307263998883,0.15538032951246036,0.35806132191485684
C1,no,Insulin,35.714285714285715,0.2638283920990155,0.17812307266765703,0.15538032953392986,0.35806132195253776
C1,no,Insulin,36.734693877551024,0.2638283921673697,0.17812307269532524,0.15538032955539938,0.3580613219902187
C1,no,Insulin,37.755102040816325,0.2638283922357239,0.17812307272299344,0.15538032957686887,0.3580613220278996
C1,no,Insulin,38.775510204081634,0.263828392277655,0.1781230727401153,0.15538032959003936,0.3580613220510301
C1,no,Insulin,39.79591836734694,0.26382839228694566,0.17812307274420933,0.1553803295929581,0.3580613220561864
C1,no,Insulin,40.816326530612244,0.2638283922962363,0.17812307274830336,0.15538032959587683,0.3580613220613427
C1,no,Insulin,41.83673469387755,0.26382839230552696,0.1781230727523974,0.15538032959879558,0.3580613220664991
C1,no,Insulin,42.85714285714286,0.2638283923148176,0.1781230727564914,0.15538032960171433,0.3580613220716554
C1,no,Insulin,43.87755102040816,0.26382839232410826,0.17812307276058542,0.15538032960463308,0.35806132207681174
C1,no,Insulin,44.89795918367347,0.26382839233339894,0.17812307276467945,0.15538032960755183,0.3580613220819681
C1,no,Insulin,45.91836734693878,0.26382839234268957,0.17812307276877348,0.15538032961047055,0.35806132208712443
C1,no,Insulin,46.93877551020408,0.2638283923507678,0.17812307277233358,0.15538032961300843,0.3580613220916079
C1,no,Insulin,47.95918367346939,0.26382839235096384,0.1781230727724222,0.15538032961307002,0.358061322091717
C1,no,Insulin,48.9795918367347,0.2638283923511599,0.17812307277251085,0.1553803296131316,0.35806132209182606
C1,no,Insulin,50.0,0.2638283923513559,0.1781230727725995,0.1553803296131932,0.3580613220919351
