,,,Slide ID,a,b,d,e,c
,,,Antibody Name,a,b,d,e,c
,,,HUGO ID,a,b,d,e,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9062382785337371,0.8211602153665892,0.7206908379924961,0.5927521118164399,0.609332605210515
C1,no,Insulin,1.0204081632653061,0.33994510708504544,0.17284973547195093,0.08917887429672534,0.19693399238701817,0.17274699891552242
C1,no,Insulin,2.0408163265306123,0.14911420056247285,0.09426473581722351,0.030693517160500693,0.10255084478250502,0.06491868862646587
C1,no,Insulin,3.0612244897959187,0.07866016882977513,0.07289245540753671,0.017824726116736727,0.06796642426931851,0.032731367260033305
C1,no,Insulin,4.081632653061225,0.050314098854213264,0.06278067121153737,0.012721114566498494,0.051858758418368456,0.020983233142069166
C1,no,Insulin,5.1020408163265305,0.03788756364746091,0.05694843623637819,0.010258227440926278,0.04356248192988519,0.015902435655743053
C1,no,Insulin,6.122448979591837,0.03196846475739053,0.05349169581328796,0.008969391113101579,0.0390567420031286,0.01342396203479545
C1,no,Insulin,7.142857142857143,0.028940010929039823,0.051442850317604705,0.008261555659914783,0.03652511119747536,0.012116873061764384
C1,no,Insulin,8.16326530612245,0.0273039424698646,0.050228401778026954,0.007860521820595451,0.03507071816066183,0.011393352908870103
C1,no,Insulin,9.183673469387756,0.026386437456778267,0.049507717754606856,0.007628803582552702,0.03422332165352818,0.010980897751209827
C1,no,Insulin,10.204081632653061,0.025859397219121928,0.049079508659580134,0.007493280297660641,0.03372523959452852,0.010741562071755877
C1,no,Insulin,11.224489795918368,0.025552148573030214,0.048824829321563575,0.007413430334484481,0.03343090151848651,0.010601199688455507
C1,no,Insulin,12.244897959183675,0.025371456777890836,0.048673280391449525,0.007366178600266898,0.033256420926646386,0.01051836662784109
C1,no,Insulin,13.26530612244898,0.025264606940072855,0.04858304229514611,0.007338136062883343,0.033152764659281735,0.010469287299342343
C1,no,Insulin,14.285714285714286,0.025201240577902944,0.0485293065042721,0.007321470584373106,0.03309112405135283,0.010440148099465283
C1,no,Insulin,15.306122448979592,0.025163587110341345,0.04849730319103592,0.007311555193525899,0.03305443579790847,0.010422822369824017
C1,no,Insulin,16.3265306122449,0.025141194814805024,0.048478223669829346,0.007305655471482704,0.033032602011827214,0.010412513576385271
C1,no,Insulin,17.346938775510203,0.02512786751938656,0.048466884331630364,0.007302141556833183,0.033019597539557695,0.010406377639384299
C1,no,Insulin,18.367346938775512,0.02511992824361047,0.048460118452543055,0.007300048023891492,0.03301184802336364,0.010402721889376257
C1,no,Insulin,19.387755102040817,0.02511521120498918,0.04845609652671674,0.007298804024476232,0.03300724300377036,0.010400549631722147
C1,no,Insulin,20.408163265306122,0.02511239545037105,0.048453696345934764,0.007298061337504482,0.03300449386831382,0.010399252879766075
C1,no,Insulin,21.42857142857143,0.02511071969678208,0.048452266979907836,0.007297619384991861,0.033002857612868024,0.010398481111851175
C1,no,Insulin,22.448979591836736,0.025109720331496114,0.04845141340914335,0.0072973558187291124,0.03300188175173086,0.010398020855712642
C1,no,Insulin,23.46938775510204,0.025109124025615857,0.048450905248237384,0.007297198483768143,0.03300129948228279,0.010397746216702763
C1,no,Insulin,24.48979591836735,0.025108768939885458,0.04845060243296012,0.007297104815808518,0.03300095274403214,0.010397582677219576
C1,no,Insulin,25.510204081632654,0.025108562073523893,0.04845042684184909,0.0072970502343001524,0.03300075073965986,0.010397487401639583
C1,no,Insulin,26.53061224489796,0.02510844699658225,0.04845032850105354,0.007297019882683247,0.03300063836482541,0.010397434401468513
C1,no,Insulin,27.551020408163264,0.025108371944806366,0.048450263619089114,0.007297000098405743,0.03300056507576047,0.010397399835580839
C1,no,Insulin,28.571428571428573,0.025108321059455454,0.04845021985157022,0.007296986681006153,0.03300051538643888,0.010397376399702006
C1,no,Insulin,29.591836734693878,0.025108288998020426,0.0484501929758449,0.007296978217224627,0.033000484078481884,0.010397361633285819
C1,no,Insulin,30.612244897959183,0.025108270709065798,0.04845017784092315,0.007296973386682649,0.033000466218590895,0.01039735321001871
C1,no,Insulin,31.63265306122449,0.025108261270542387,0.048450169893809535,0.007296970895629721,0.0330004570011137,0.010397348862978615
C1,no,Insulin,32.6530612244898,0.02510825682815706,0.04845016612620793,0.007296969723421047,0.03300045266282638,0.010397346816944951
C1,no,Insulin,33.673469387755105,0.025108254053942847,0.048450163413370696,0.007296968996234438,0.03300044995391196,0.010397345539234895
C1,no,Insulin,34.69387755102041,0.025108253302466296,0.048450162648792684,0.007296968799711873,0.03300044922013351,0.010397345193130627
C1,no,Insulin,35.714285714285715,0.025108251680060447,0.04845016119867335,0.007296968372796237,0.03300044763597903,0.010397344445926406
C1,no,Insulin,36.734693877551024,0.025108251013674216,0.048450160588640066,0.0072969681976580904,0.03300044698533297,0.010397344139026144
C1,no,Insulin,37.755102040816325,0.02510824958045947,0.04845015937778566,0.0072969678194640284,0.03300044558579237,0.010397343478945798
