,,,Slide ID,d,b,a,e,c
,,,Antibody Name,d,b,a,e,c
,,,HUGO ID,d,b,a,e,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.2792301785046112,0.5981241210665322,0.9046620558398706,0.28680424371067514,0.9518444294726724
C1,no,Insulin,0.5050505050505051,0.17914133839161728,0.4563649258486576,0.661417621309309,0.32856208246221275,0.4317299518309107
C1,no,Insulin,1.0101010101010102,0.12780138775040792,0.3959486035417896,0.5113028204152725,0.34158603475662713,0.2876600277630794
C1,no,Insulin,1.5151515151515151,0.09882317128580177,0.3621069044053022,0.41692571733184347,0.3400565913034606,0.24629887749749238
C1,no,Insulin,2.0202020202020203,0.08122049845944078,0.33966515734248176,0.35654002982885746,0.3321047651009194,0.23257597920021447
C1,no,Insulin,2.5252525252525255,0.069959849845085,0.3238034236324308,0.31730228375093833,0.3221728462784647,0.22665036804862707
C1,no,Insulin,3.0303030303030303,0.06250558354963585,0.312454162769334,0.29147898243410497,0.3125034509748007,0.2233034302149746
C1,no,Insulin,3.5353535353535355,0.057463921308395234,0.3043763567121352,0.27431294706412584,0.30407528713184767,0.22109119872186772
C1,no,Insulin,4.040404040404041,0.054010073970003646,0.29867941043811197,0.26281514215611274,0.29718006524127666,0.219541780684233
C1,no,Insulin,4.545454545454546,0.05162711295773422,0.29469585199476517,0.2550710391654557,0.2917667517296256,0.21844392033954188
C1,no,Insulin,5.050505050505051,0.04997733353183768,0.29192939710986004,0.24983432872339745,0.2876379143399102,0.21766902493987902
C1,no,Insulin,5.555555555555556,0.04883383431535996,0.29001802389805875,0.2462831709212024,0.2845550504428789,0.2171260807768233
C1,no,Insulin,6.0606060606060606,0.04804142689575212,0.28870234075355106,0.24387027882960513,0.28229016035307697,0.21674827462430019
C1,no,Insulin,6.565656565656566,0.04749286608175881,0.28779907193324944,0.24222855866898496,0.28064709898296497,0.2164868288022296
C1,no,Insulin,7.070707070707071,0.04711364281018649,0.2871801038950403,0.24111048451293698,0.27946706362786045,0.21630664652630038
C1,no,Insulin,7.575757575757576,0.046851886467375856,0.2867564979456919,0.24034853852847454,0.27862641113042724,0.2161828371015961
C1,no,Insulin,8.080808080808081,0.046671487338665774,0.2864668481117817,0.23982905497743426,0.2780314832223374,0.2160979425682721
C1,no,Insulin,8.585858585858587,0.046547337307351604,0.2862689137249778,0.2394747700091273,0.27761274402811764,0.2160398182964628
C1,no,Insulin,9.090909090909092,0.046462009041876466,0.28613371110645447,0.23923309903823245,0.27731934782198053,0.21600006268919922
C1,no,Insulin,9.595959595959597,0.04640343012014447,0.28604138468233226,0.23906822173002626,0.2771145524324937,0.21597288979832138
C1,no,Insulin,10.101010101010102,0.04636325820087182,0.28597835524557347,0.23895573515907784,0.276972065113344,0.2159543278619185
C1,no,Insulin,10.606060606060607,0.04633572895604836,0.285935325878055,0.238878973135839,0.27687318882753553,0.21594165006947114
C1,no,Insulin,11.111111111111112,0.04631687860742021,0.2859059538933865,0.2388265941900541,0.2768047335693546,0.21593299445217665
C1,no,Insulin,11.616161616161618,0.04630397874980016,0.28588590853390566,0.2387908505851129,0.2767574336656339,0.215927084426618
C1,no,Insulin,12.121212121212121,0.046295155207510576,0.2858722242963871,0.2387664586356546,0.27672480448973463,0.21592305124335395
C1,no,Insulin,12.626262626262626,0.04628912254161113,0.2858628877243213,0.23874981274898358,0.27670232898112196,0.21592029944334673
C1,no,Insulin,13.131313131313131,0.0462849993383764,0.2858565155046952,0.23873845322814735,0.2766868659641405,0.21591841422133307
C1,no,Insulin,13.636363636363637,0.04628218202381178,0.28585216174829076,0.23873070090311538,0.27667623902857313,0.21591714419315589
C1,no,Insulin,14.141414141414142,0.04628025741932276,0.2858491958574144,0.23872541041577308,0.2766689421851297,0.2159162628928193
C1,no,Insulin,14.646464646464647,0.046278943033896035,0.2858471709361071,0.23872180026729128,0.2766639364083617,0.2159156644052059
C1,no,Insulin,15.151515151515152,0.04627804494693913,0.2858457879981686,0.23871933515210067,0.27666050254103364,0.21591525612856535
C1,no,Insulin,15.656565656565657,0.04627743141436234,0.28584484364994256,0.23871765198922118,0.2766581484673225,0.21591497758031
C1,no,Insulin,16.161616161616163,0.046277015417229554,0.2858442036145883,0.2387165112601371,0.2766565471450065,0.21591478881692502
C1,no,Insulin,16.666666666666668,0.04627672933975515,0.2858437636010593,0.23871572701587176,0.27665544328649355,0.21591465909351143
C1,no,Insulin,17.171717171717173,0.0462765336594619,0.28584346270506045,0.23871519072739597,0.27665468649356245,0.2159145703562795
C1,no,Insulin,17.67676767676768,0.04627640049581753,0.28584325797690424,0.23871482588379722,0.27665417023733463,0.21591450991555847
C1,no,Insulin,18.181818181818183,0.04627631006881728,0.2858431189531892,0.23871457818036648,0.27665381897982205,0.21591446886541216
C1,no,Insulin,18.68686868686869,0.046276247219682945,0.2858430223094379,0.23871440601780458,0.27665357466178087,0.21591444040177135
C1,no,Insulin,19.191919191919194,0.04627620411256785,0.28584295603880944,0.2387142879396439,0.2766534068939214,0.21591442103915812
C1,no,Insulin,19.6969696969697,0.04627617490341889,0.2858429111922322,0.23871420794887782,0.27665329299147035,0.21591440810627852
C1,no,Insulin,20.202020202020204,0.046276155140753686,0.28584288093943855,0.23871415385540887,0.2766532156965322,0.2159143994635952
C1,no,Insulin,20.70707070707071,0.04627614196153557,0.2858428608429785,0.2387141177939289,0.276653164041644,0.2159143935810665
C1,no,Insulin,21.212121212121215,0.046276132730552116,0.2858428468290339,0.2387140925303402,0.2766531278636209,0.21591438904090043
C1,no,Insulin,21.71717171717172,0.046276125099835454,0.28584283513225667,0.23871407164733804,0.27665309794906534,0.2159143854863499
C1,no,Insulin,22.222222222222225,0.046276119835296115,0.28584282698109137,0.23871405723801087,0.27665307730115346,0.21591438302563637
C1,no,Insulin,22.72727272727273,0.046276117149073724,0.28584282271578887,0.2387140498820962,0.27665306675169626,0.21591438168873475
C1,no,Insulin,23.232323232323235,0.04627611463438027,0.28584281878945483,0.2387140429975045,0.27665305688060127,0.21591438048744116
C1,no,Insulin,23.73737373737374,0.04627611314487863,0.2858428164601362,0.23871403891883514,0.27665305102907817,0.21591437977226133
C1,no,Insulin,24.242424242424242,0.04627611286726275,0.28584281600296463,0.238714038156659,0.27665304992784107,0.21591437961985
C1,no,Insulin,24.747474747474747,0.04627611147984136,0.2858428138290183,0.23871403435719932,0.27665304447571665,0.21591437895021745
C1,no,Insulin,25.252525252525253,0.04627611201990418,0.2858428146661505,0.23871403583468487,0.2766530465893571,0.21591437920238965
C1,no,Insulin,25.757575757575758,0.046276112559966984,0.2858428155032827,0.23871403731217042,0.2766530487029975,0.21591437945456188
C1,no,Insulin,26.262626262626263,0.046276112805690224,0.2858428158823445,0.23871403798449356,0.2766530496655074,0.21591437956771933
C1,no,Insulin,26.767676767676768,0.04627611303106421,0.2858428162297375,0.23871403860115156,0.2766530505484336,0.21591437967126592
C1,no,Insulin,27.272727272727273,0.046276113256438184,0.28584281657713045,0.23871403921780956,0.27665305143135976,0.21591437977481254
C1,no,Insulin,27.77777777777778,0.046276113444815865,0.285842816867405,0.2387140397332477,0.276653052169434,0.21591437986126683
C1,no,Insulin,28.282828282828284,0.04627611353887015,0.28584281701205405,0.23871403999062218,0.2766530525382029,0.21591437990414367
C1,no,Insulin,28.78787878787879,0.046276113632924436,0.2858428171567031,0.23871404024799667,0.2766530529069718,0.2159143799470205
C1,no,Insulin,29.292929292929294,0.04627611372697872,0.2858428173013522,0.23871404050537115,0.2766530532757407,0.21591437998989735
C1,no,Insulin,29.7979797979798,0.046276113771429414,0.28584281736969974,0.2387140406270108,0.2766530534500567,0.21591438001014307
C1,no,Insulin,30.303030303030305,0.046276113786512,0.28584281739287243,0.23871404066828777,0.27665305350924563,0.21591438001698993
C1,no,Insulin,30.80808080808081,0.04627611380159459,0.2858428174160451,0.23871404070956478,0.27665305356843456,0.21591438002383678
C1,no,Insulin,31.313131313131315,0.04627611381667718,0.2858428174392178,0.23871404075084177,0.27665305362762344,0.21591438003068364
C1,no,Insulin,31.81818181818182,0.046276113831759766,0.28584281746239043,0.23871404079211875,0.27665305368681237,0.2159143800375305
C1,no,Insulin,32.323232323232325,0.046276113846842354,0.2858428174855631,0.23871404083339576,0.2766530537460013,0.21591438004437735
C1,no,Insulin,32.82828282828283,0.04627611386192495,0.2858428175087358,0.23871404087467274,0.27665305380519023,0.2159143800512242
C1,no,Insulin,33.333333333333336,0.04627611387700754,0.2858428175319085,0.23871404091594972,0.2766530538643791,0.21591438005807106
C1,no,Insulin,33.83838383838384,0.046276113892090125,0.2858428175550812,0.23871404095722673,0.27665305392356804,0.21591438006491792
C1,no,Insulin,34.343434343434346,0.04627611390717271,0.28584281757825386,0.2387140409985037,0.27665305398275697,0.21591438007176475
C1,no,Insulin,34.84848484848485,0.0462761139222553,0.28584281760142655,0.2387140410397807,0.27665305404194585,0.2159143800786116
C1,no,Insulin,35.35353535353536,0.04627611393733789,0.28584281762459923,0.2387140410810577,0.2766530541011348,0.21591438008545846
