,,,Slide ID,d,b,f,a,c,e
,,,Antibody Name,d,b,f,a,c,e
,,,HUGO ID,d,b,f,a,c,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,36.86868686868687,0.3141229127872491,0.037568770464013176,0.2143295313345505,0.21442221501189646,0.2792670513209359,0.24659030177510471
C1,no,Insulin,37.37373737373738,0.3141229127872525,0.03756877046401448,0.21432953133455152,0.21442221501189854,0.2792670513222626,0.24659030177513705
C1,no,Insulin,37.87878787878788,0.314122912787256,0.03756877046401578,0.21432953133455254,0.2144222150119006,0.2792670513235893,0.24659030177516936
C1,no,Insulin,38.38383838383839,0.31412291278725946,0.037568770464017076,0.21432953133455354,0.21442221501190267,0.279267051324916,0.2465903017752017
C1,no,Insulin,38.88888888888889,0.3141229127872629,0.037568770464018374,0.21432953133455457,0.21442221501190475,0.2792670513262428,0.246590301775234
C1,no,Insulin,39.3939393939394,0.3141229127872664,0.03756877046401968,0.2143295313345556,0.21442221501190684,0.2792670513275695,0.2465903017752663
C1,no,Insulin,39.8989898989899,0.31412291278726984,0.037568770464020976,0.21432953133455662,0.21442221501190892,0.27926705132889623,0.24659030177529864
C1,no,Insulin,40.40404040404041,0.31412291278727333,0.03756877046402227,0.21432953133455765,0.214422215011911,0.279267051330223,0.24659030177533095
C1,no,Insulin,40.909090909090914,0.3141229127872768,0.03756877046402358,0.21432953133455868,0.21442221501191308,0.2792670513315497,0.24659030177536329
C1,no,Insulin,41.41414141414142,0.3141229127872802,0.037568770464024875,0.2143295313345597,0.21442221501191516,0.27926705133287644,0.2465903017753956
C1,no,Insulin,41.919191919191924,0.3141229127872837,0.03756877046402617,0.2143295313345607,0.21442221501191724,0.27926705133420315,0.24659030177542793
C1,no,Insulin,42.42424242424243,0.31412291278728716,0.03756877046402748,0.21432953133456173,0.21442221501191933,0.2792670513355299,0.24659030177546024
C1,no,Insulin,42.929292929292934,0.3141229127872906,0.037568770464028775,0.21432953133456276,0.2144222150119214,0.27926705133685664,0.24659030177549257
C1,no,Insulin,43.43434343434344,0.3141229127872941,0.03756877046403007,0.21432953133456378,0.2144222150119235,0.27926705133818336,0.24659030177552488
C1,no,Insulin,43.939393939393945,0.31412291278729754,0.03756877046403137,0.2143295313345648,0.21442221501192557,0.2792670513395101,0.24659030177555719
C1,no,Insulin,44.44444444444445,0.314122912787301,0.037568770464032675,0.21432953133456584,0.21442221501192765,0.27926705134083685,0.24659030177558952
C1,no,Insulin,44.949494949494955,0.3141229127873045,0.03756877046403397,0.21432953133456686,0.21442221501192973,0.27926705134216356,0.24659030177562183
C1,no,Insulin,45.45454545454546,0.3141229127873079,0.03756877046403527,0.21432953133456786,0.21442221501193182,0.2792670513434903,0.24659030177565416
C1,no,Insulin,45.959595959595966,0.3141229127873114,0.037568770464036574,0.2143295313345689,0.2144222150119339,0.279267051344817,0.24659030177568647
C1,no,Insulin,46.46464646464647,0.31412291278731486,0.03756877046403787,0.21432953133456992,0.21442221501193598,0.27926705134614377,0.2465903017757188
C1,no,Insulin,46.969696969696976,0.3141229127873183,0.03756877046403917,0.21432953133457094,0.21442221501193806,0.2792670513474705,0.24659030177575111
C1,no,Insulin,47.47474747474748,0.3141229127873218,0.037568770464040474,0.21432953133457197,0.21442221501194011,0.2792670513487972,0.24659030177578342
C1,no,Insulin,47.979797979797986,0.31412291278732524,0.03756877046404177,0.214329531334573,0.2144222150119422,0.2792670513501239,0.24659030177581576
C1,no,Insulin,48.484848484848484,0.3141229127873287,0.03756877046404307,0.21432953133457402,0.21442221501194428,0.2792670513514507,0.24659030177584806
C1,no,Insulin,48.98989898989899,0.3141229127873322,0.03756877046404437,0.21432953133457502,0.21442221501194636,0.2792670513527774,0.2465903017758804
C1,no,Insulin,49.494949494949495,0.3141229127873356,0.03756877046404567,0.21432953133457605,0.21442221501194844,0.2792670513541041,0.2465903017759127
C1,no,Insulin,50.0,0.31412291278733906,0.03756877046404697,0.21432953133457708,0.21442221501195052,0.27926705135543084,0.24659030177594504
