NON $ % + - . 0 1 2 3
#NON	e	h	g	f	d	c	i	b	a
0.0	0.8088842620139557	0.39756056382251703	0.8029681898454962	0.4137827801202878	0.6592354644879734	0.9216218572255663	0.3044869169527722	0.6217082456834431	0.6093906528785934
0.5050505050505051	0.5065194344401408	0.2753305826134673	0.3931257811055165	0.2897128859908581	0.20999001724423952	0.46260079131167475	0.20322127910745422	0.233953923489898	0.24251946864042925
1.0101010101010102	0.333606925937668	0.2103203862832619	0.20059309743379714	0.21554100300160037	0.07871049582505545	0.2343862539817458	0.15219715834699993	0.10336441924282186	0.1259678292244911
1.5151515151515151	0.2333712165896657	0.17318472968547372	0.10789952918165392	0.16460624523151102	0.035982520864965714	0.12064664918259267	0.11913364252242564	0.052249856685541565	0.07749269083348778
2.0202020202020203	0.17352127834157388	0.1494428970219844	0.061637376537230365	0.1276556685602957	0.019680542523467837	0.06351128681192747	0.0949373270638513	0.029063940917540266	0.053422191167052456
2.5252525252525255	0.13619501164895786	0.13236789156191928	0.03748462730705436	0.10028108851702595	0.01223348022117248	0.034447974747736705	0.0764827041536273	0.017274539947608185	0.03999609522146802
3.0303030303030303	0.11164414673804847	0.11894096993072018	0.02420692536289003	0.07977024579122463	0.008254063640295552	0.01940279335785009	0.06223094763952023	0.010790979625913697	0.03169448567172093
3.5353535353535355	0.09455903746629557	0.10780802001792722	0.016496188639590056	0.06427013520442043	0.0058747899744399975	0.011431452409000634	0.051172299963556746	0.007025992528527187	0.026069262057395487
4.040404040404041	0.0820270703813773	0.09833399603545032	0.011775496470699106	0.05247449550840464	0.004346613147458779	0.007084396167753918	0.04256691001288503	0.0047516521773110845	0.021987373043648166
4.545454545454546	0.07242732765889297	0.09019225083901067	0.008749222888156105	0.043452514355714164	0.0033212405936205685	0.0046329002727822964	0.035860885469389606	0.0033354100411707556	0.01889575486020614
5.050505050505051	0.06483762786010966	0.08319136983307593	0.006735546067693347	0.03653132320193741	0.002614004126588114	0.003198725095469754	0.03063526975074353	0.0024307535415951684	0.016499792007606023
5.555555555555556	0.05871509174278775	0.07719999241463237	0.005356013512941633	0.03121396803736148	0.0021166576689257495	0.0023272161246002078	0.026567505342636046	0.001839236288326739	0.014623106356400259
6.0606060606060606	0.05372270447894349	0.07211187602165373	0.004388946897910352	0.02712549962967332	0.0017614161144178147	0.0017774028003690616	0.023404846234448166	0.001443645132968336	0.01314699038761966
6.565656565656566	0.04963520481846344	0.06782958171382276	0.003698170271521576	0.023978994943058884	0.0015041225914453915	0.0014180158575845786	0.020947469873834904	0.0011731807611628476	0.011984332879550441
7.070707070707071	0.04628888760644316	0.06425821035486853	0.003196776590204691	0.021553675064121803	0.0013153292146507402	0.0011753544663687797	0.01903745613411098	0.0009842808053005946	0.01106804786335546
7.575757575757576	0.04355572437595425	0.06130473157148296	0.002827676656681028	0.019679875419883464	0.0011750938004513995	0.0010067176414525181	0.01755085594543282	0.0008496745932996903	0.010345459977731033
8.080808080808081	0.0413305863569403	0.0588799740250685	0.002552524477269882	0.018227794782196032	0.0010697410369885632	0.0008865582374971676	0.016391250060245242	0.0007519803484057452	0.00977505046090479
8.585858585858587	0.03952507937484292	0.05690114212593516	0.002345086460451791	0.017098562107559723	0.0009897762235636465	0.0007990959484126939	0.015484193833009462	0.0006799037338337376	0.009324154020521941
9.090909090909092	0.038064449315691654	0.055293761595094824	0.0021871304721638716	0.016217095300076218	0.0009285242226510053	0.000734283222784457	0.014772497824074981	0.0006259602402740663	0.008967150155435104
9.595959595959597	0.03688575509595691	0.053992729408943806	0.002065802596164746	0.015526494962737437	0.0008812333485771393	0.0006855354962399498	0.014212397511355643	0.0005850897057443927	0.008684019466772394
10.101010101010102	0.035936420609720486	0.05294240326268348	0.0019719034364708435	0.014983504135831792	0.000844471357689036	0.000648417866489939	0.013770295636981568	0.000553800385855383	0.008459095577300405
10.606060606060607	0.0351729205520326	0.052096053361346886	0.0018987699776661538	0.014555216923902142	0.0008157314728073883	0.0006198737418654179	0.013420424682489804	0.000529639683152259	0.008280141367671325
11.111111111111112	0.03455951156137756	0.05141497205471958	0.0018414996159692657	0.014216432724563218	0.0007931543924517509	0.0005977409389173423	0.0131428913687106	0.0005108479596400682	0.008137562481067485
11.616161616161618	0.034067040633113624	0.05086739251844603	0.0017964505832526562	0.013947788197508804	0.0007753484804162633	0.0005804658307216342	0.012922298081018673	0.0004961460933560928	0.008023827991501255
12.121212121212121	0.033671843332221535	0.05042741642225517	0.0017608826477652825	0.013734308988199714	0.0007612593995336991	0.0005669096866421691	0.012746658382871385	0.00048458832111561586	0.007933005868546577
12.626262626262626	0.033354776137196195	0.050074032076849774	0.001732708027494446	0.013564343947116213	0.0007500792724500959	0.0005562220461174136	0.012606596437730483	0.0004754637651602765	0.007860409734422934
13.131313131313131	0.033100434746625274	0.04979027874451749	0.0017103363389347542	0.013428829245344895	0.0007411889416327676	0.0005477678801027142	0.01249477566432136	0.0004682382430997012	0.007802340236589864
13.636363636363637	0.03289641961929918	0.04956247045006218	0.001692536530024388	0.013320647908481408	0.0007341069547433777	0.0005410619806986931	0.012405410954746367	0.0004625019761913134	0.0077558605707863035
