NON $ % + - . 0 1
#NON	c	b	a	d	f	g	e
0.0	0.6685679934863274	0.8340199284778184	0.9710589470221136	0.7046897690210281	0.14287309304871498	0.9753857343961523	0.40833982659630585
0.5050505050505051	0.37175600632117395	0.5309168724253798	0.5397617676356825	0.4345253512798636	0.09413584200978434	0.48245411005880334	0.34993623146405095
1.0101010101010102	0.25529687813323626	0.38773708184044425	0.31335872096497314	0.3494384987332493	0.0735379856704464	0.24817077714564972	0.30628424673426125
1.5151515151515151	0.20614116815915698	0.3179496900034753	0.19462061941623227	0.3179926873201361	0.06401038673235043	0.1367354761486172	0.27494528817113845
2.0202020202020203	0.18405227667482155	0.283249498170656	0.13220058759043835	0.30338483962754775	0.05905383004344785	0.08351968555731744	0.2534445574507429
2.5252525252525255	0.17372621194821639	0.26588771343833506	0.09920626025070706	0.29514837964115737	0.05617381938641625	0.05791127089940737	0.23930648967732376
3.0303030303030303	0.1688275484425571	0.2572519490683338	0.08163864163286132	0.29004636804561784	0.0543950268584906	0.04545563759004353	0.23034485719442663
3.5353535353535355	0.16651764779607983	0.25302330579200993	0.07221164765877994	0.2868219901956199	0.05327994387114174	0.039319392679126125	0.22483704586036732
4.040404040404041	0.16545351881478051	0.2510026359797703	0.06711546765339332	0.28480998971598853	0.05258796401141959	0.03625419415028276	0.22153864984475927
4.545454545454546	0.16498310162753393	0.25006975228029615	0.06434283427259138	0.2835826813616592	0.05216687192014065	0.034701630811755695	0.21960663956617218
5.050505050505051	0.16478876688398328	0.24965983017397667	0.0628266774813463	0.28285156481646795	0.0519160841065377	0.03390493656458909	0.21849667393544658
5.555555555555556	0.1647177605575371	0.24949307866399428	0.0619945783873697	0.2824254785174007	0.05176977734920503	0.0334914314605013	0.21786998599318333
6.0606060606060606	0.16469846410841732	0.24943423653629873	0.06153689323480778	0.28218200729553605	0.051686032655667055	0.033274811110982634	0.21752181618755567
6.565656565656566	0.164698583590233	0.2494199917874795	0.06128493170672566	0.2820453458768466	0.051638929647086974	0.03316054700916641	0.21733133952808437
7.070707070707071	0.1647043936042666	0.24942198811396174	0.061146267877416	0.2819698946240191	0.051612865660099344	0.03310000164424518	0.2172286999206891
7.575757575757576	0.1647106172361081	0.24942833936293698	0.06107006407821965	0.2819288900092146	0.05159866795614991	0.03306785153699766	0.21717423599328178
8.080808080808081	0.16471561052829478	0.24943459534684984	0.061028284063093664	0.28190694957887436	0.05159105239082422	0.033050779980526516	0.21714579634483744
