NON $ % + -
#NON	d	c	a	b
0.0	0.1785072236371058	0.8601108735509173	0.1847341885817665	0.6892637978365375
0.5050505050505051	0.18189088351506713	0.4143345124529161	0.24310336398006435	0.19797868396788332
1.0101010101010102	0.13911028674944304	0.25137785497164894	0.21825720107448238	0.06172072060193138
1.5151515151515151	0.09530736534583403	0.18761609297947943	0.19311173370787318	0.020936160858371196
2.0202020202020203	0.06208237277682041	0.16119914641806032	0.17781788070708163	0.007696501175210435
2.5252525252525255	0.03957780200277065	0.14987393141366812	0.16987105463198615	0.0030430069525636703
3.0303030303030303	0.025103603807471443	0.1449375356646355	0.16604184696247962	0.0012825823587815448
3.5353535353535355	0.016002788994105913	0.14277071036621267	0.16427005720304205	0.0005714994557103947
4.040404040404041	0.010316958342581936	0.14181702094781976	0.16346837680766585	0.0002673430770451537
4.545454545454546	0.0067525020953699355	0.14139688258767402	0.16311007717295906	0.00013059118977629933
5.050505050505051	0.0044966013790108195	0.14121173363217357	0.1629509975537226	6.634675085010428e-05
5.555555555555556	0.003050074975227259	0.1411301444660121	0.16288062728360356	3.495985614815794e-05
6.0606060606060606	0.0021082781567505473	0.14109418803325782	0.1628495544491175	1.9065188139275475e-05
6.565656565656566	0.0014850534573208778	0.14107834135179062	0.16283584655804545	1.0742948159452827e-05
7.070707070707071	0.0010657593822798923	0.14107136085112462	0.16282980518550733	6.247467333406278e-06
7.575757575757576	0.0007789171601883453	0.14106828825693607	0.16282714529297554	3.745848654216223e-06
8.080808080808081	0.000579501748139142	0.14106693191456998	0.16282597100199292	2.3121067343762422e-06
8.585858585858587	0.00043857681069218665	0.14106633456262008	0.1628254537944634	1.4680850665165717e-06
9.090909090909092	0.0003375071536362578	0.14106607089180956	0.16282522549260547	9.577703789110137e-07
9.595959595959597	0.0002639202885531052	0.14106595488059043	0.1628251250414586	6.415324484935897e-07
10.101010101010102	0.00020953969366335854	0.14106590320928172	0.1628250803002728	4.4030213400021504e-07
10.606060606060607	0.00016880391954497503	0.14106588052091293	0.1628250606547393	3.0952748286796627e-07
11.111111111111112	0.00013792017016587969	0.14106587074189259	0.16282505218719873	2.2274383903299484e-07
11.616161616161618	0.00011422283839434885	0.14106586652813777	0.16282504853856242	1.6390407770570756e-07
12.121212121212121	9.579362736255102e-05	0.14106586452613154	0.1628250468050483	1.2303664537269876e-07
12.626262626262626	8.130343332790946e-05	0.1410658636506468	0.16282504604697987	9.418515067771802e-08
13.131313131313131	6.979804358913703e-05	0.1410658632810381	0.16282504572693604	7.346705316965792e-08
13.636363636363637	6.0563093112455615e-05	0.14106586307770455	0.16282504555086905	5.829832154294202e-08
14.141414141414142	5.3091549647874114e-05	0.14106586300053103	0.162825045484048	4.7032379347992626e-08
14.646464646464647	4.698488851606923e-05	0.14106586298267085	0.1628250454685847	3.8541399345435235e-08
15.151515151515152	4.1947337313018415e-05	0.14106586297509802	0.162825045462027	3.2044259389640455e-08
15.656565656565657	3.7759886346324646e-05	0.1410658629676971	0.1628250454556182	2.6999853413745244e-08
16.161616161616163	3.425845845060714e-05	0.14106586296314927	0.16282504545168067	2.3039591381227194e-08
16.666666666666668	3.131045065889169e-05	0.141065862962717	0.16282504545130683	1.989935684135085e-08
17.171717171717173	2.8817241757417734e-05	0.14106586296426604	0.16282504545264825	1.7384032831321474e-08
17.67676767676768	2.669307872611771e-05	0.1410658629655342	0.16282504545374618	1.534633716288474e-08
18.181818181818183	2.4871733804460388e-05	0.14106586296600088	0.16282504545415016	1.3678309989784435e-08
18.68686868686869	2.330204617389826e-05	0.14106586296578694	0.1628250454539649	1.230067538376685e-08
19.191919191919194	2.1942907378134344e-05	0.14106586296538862	0.16282504545362006	1.1153641478136558e-08
19.6969696969697	2.0761131277436743e-05	0.14106586296522786	0.1628250454534809	1.0192333801898485e-08
