NON $ % + - . 0
#NON	b	e	d	a	c	f
0.0	0.4803985069257931	0.26620965524534956	0.9413993396245572	0.4474343485711949	0.2172663959527973	0.7425672800793247
0.5050505050505051	0.2931699951202762	0.19754088056780683	0.43898562613188935	0.26428183860611704	0.13264849616277213	0.3592049829816789
1.0101010101010102	0.20281728606717403	0.16316386864371757	0.25940505743138903	0.1834062058485479	0.08543736756428905	0.231258505793834
1.5151515151515151	0.15496458341121386	0.14070137472973915	0.1928290169369396	0.14172444454849586	0.05906446034236291	0.1862009209907628
2.0202020202020203	0.12730400941059358	0.12439181839251423	0.1658883385037813	0.11735607761200496	0.04407146180655257	0.16810143245524847
2.5252525252525255	0.11023323285854662	0.11245624099669484	0.1532047745131744	0.10198252329528674	0.035291678018096136	0.15910057602702785
3.0303030303030303	0.09924155945621711	0.10387625978278053	0.14608382930092112	0.09190341013915315	0.029971187176983487	0.1535905635807964
3.5353535353535355	0.09197814221124571	0.09781231143578079	0.14150965190548093	0.08516892448531425	0.026640487995118884	0.1497849754893587
4.040404040404041	0.08710089205343025	0.09357289798853909	0.13835621728985859	0.08062144651215979	0.024497735310743916	0.14704113630528323
4.545454545454546	0.0837920638913031	0.09062605602708096	0.1361245422124495	0.07752928437586869	0.02308967469447248	0.14505202609029574
5.050505050505051	0.08153186484516496	0.08858298968693772	0.13453733911262042	0.07541590000139396	0.022149732301953603	0.14362006987121984
5.555555555555556	0.07998074506981821	0.08716782307176436	0.1334117070048742	0.07396584252843783	0.02151512191595415	0.142598517138286
6.0606060606060606	0.07891282038833544	0.08618772878168265	0.13261720926844026	0.07296798076692328	0.021083194565776557	0.14187546059255768
6.565656565656566	0.07817593084723	0.08550884618192428	0.13205895381385754	0.07227979413157971	0.020787546301132286	0.14136675387108327
7.070707070707071	0.0776666826167045	0.08503849683204624	0.13166812105053377	0.07180442248222887	0.02058437724376787	0.14101041338890008
7.575757575757576	0.07731438461728897	0.08471256030051214	0.1313952567239306	0.07147568358707522	0.02044437507793105	0.14076157764478234
8.080808080808081	0.07707049181264522	0.08448666446626252	0.1312051362326197	0.07124816763997184	0.020347715475910678	0.1405881886152605
8.585858585858587	0.07690154615844048	0.08433005951295552	0.13107285823069179	0.07109059809910274	0.02028088854522096	0.14046755184878632
9.090909090909092	0.07678448310654754	0.08422149385293129	0.1309809086896717	0.0709814365040766	0.020234643515161636	0.14038369511873927
9.595959595959597	0.07670334803631926	0.08414621850637483	0.1309170457647672	0.07090578546944681	0.020202622365305276	0.14032545479660866
10.101010101010102	0.07664710802508252	0.08409402793716102	0.13087271067481204	0.07085335135874007	0.020180440316901818	0.14028502383177532
10.606060606060607	0.0766081235021627	0.08405784439499489	0.1308419462802233	0.07081700719115738	0.02016507088921977	0.14025696903000084
11.111111111111112	0.07658109061569454	0.08403275078248561	0.13082059825540357	0.07079180620342226	0.02015441662991044	0.1402375015310339
11.616161616161618	0.07656233519061013	0.0840153394616255	0.13080577952638014	0.07077432227085487	0.020147026254706425	0.14022398826652419
12.121212121212121	0.07654933504812272	0.08400327014428484	0.1307955043410149	0.07076220367434623	0.02014190455226637	0.1402146183354267
12.626262626262626	0.07654032178521843	0.08399490190969576	0.13078837897062823	0.07075380169881944	0.02013835392562147	0.1402081208179075
13.131313131313131	0.07653407093432532	0.08398909862210945	0.130783435826802	0.07074797500564486	0.020135891498455228	0.14020361313328134
13.636363636363637	0.07652973547620208	0.08398507247434413	0.13078000858070332	0.07074393334145898	0.02013418420089766	0.14020048789628373
