,,,Slide ID,d,a,b,c
,,,Antibody Name,d,a,b,c
,,,HUGO ID,d,a,b,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9729603637885544,0.7913447520195809,0.9450880834613267,0.37617156189782486
C1,no,Insulin,0.5050505050505051,0.6247695739195029,0.2732167382837045,0.6304224836015772,0.2863629261686049
C1,no,Insulin,1.0101010101010102,0.4607273894772054,0.11856005805825032,0.45273825930967065,0.2325402586984107
C1,no,Insulin,1.5151515151515151,0.3789590569021993,0.06677282851498813,0.3514060446140884,0.19756086849257268
C1,no,Insulin,2.0202020202020203,0.3349729347506161,0.04712983864414618,0.2932309924801455,0.17352981735762515
C1,no,Insulin,2.5252525252525255,0.30958914279483846,0.03879307123473969,0.2595482769968411,0.156686300944263
C1,no,Insulin,3.0303030303030303,0.2942275779942809,0.034909647876546795,0.23982524139111752,0.14491648199311194
C1,no,Insulin,3.5353535353535355,0.2846961741413015,0.032956503302620566,0.228130397824694,0.13679424452240163
C1,no,Insulin,4.040404040404041,0.27872136507029077,0.03191042465439073,0.22111232414893467,0.13126908265638804
C1,no,Insulin,4.545454545454546,0.27496606489008774,0.03132174772981505,0.21685755859915762,0.1275598031009118
C1,no,Insulin,5.050505050505051,0.27260714072073355,0.03097816116398566,0.21425727062968147,0.12509730926074236
C1,no,Insulin,5.555555555555556,0.27112778696291256,0.030772510543666528,0.21265860893556168,0.12347755072694985
C1,no,Insulin,6.0606060606060606,0.2702016486073372,0.030647383890494033,0.21167156171478863,0.12242015638049555
C1,no,Insulin,6.565656565656566,0.26962271451358655,0.03057047278036527,0.21106035410243462,0.12173417017223999
C1,no,Insulin,7.070707070707071,0.26926123696201865,0.030522909154831763,0.21068112420760865,0.12129143071666548
C1,no,Insulin,7.575757575757576,0.2690357289591093,0.03049339224152588,0.2104455204341513,0.1210069197404139
C1,no,Insulin,8.080808080808081,0.2688951341514274,0.030475039783848093,0.21029902529816552,0.1208247610740856
C1,no,Insulin,8.585858585858587,0.2688075115952396,0.030463616881119114,0.21020788199842008,0.12070849523312491
C1,no,Insulin,9.090909090909092,0.2687529198488338,0.030456503834556725,0.2101511586993281,0.120634487431786
C1,no,Insulin,9.595959595959597,0.26871891498329437,0.030452074059887597,0.21011585071611216,0.1205874899189334
C1,no,Insulin,10.101010101010102,0.2686977338657293,0.03044931427800211,0.2100938662451431,0.1205577040336453
C1,no,Insulin,10.606060606060607,0.26868454292572674,0.03044759572131218,0.21008017922669026,0.1205388612961162
C1,no,Insulin,11.111111111111112,0.26867632789623286,0.030446524999727387,0.2100716560298075,0.12052695966264819
C1,no,Insulin,11.616161616161618,0.26867121257209986,0.030445858439845513,0.21006634977242009,0.12051945346327167
C1,no,Insulin,12.121212121212121,0.26866802560252734,0.030445443096478782,0.21006304366443745,0.12051472312188005
C1,no,Insulin,12.626262626262626,0.2686660422859216,0.03044518437676587,0.2100609863292613,0.12051174807287003
C1,no,Insulin,13.131313131313131,0.2686648074865702,0.03044502353054161,0.2100597056580075,0.12050987820139489
C1,no,Insulin,13.636363636363637,0.2686640394025613,0.03044492329377971,0.2100589087441721,0.12050870512664516
C1,no,Insulin,14.141414141414142,0.26866356138425307,0.030444860899492283,0.21005841313355425,0.12050796953782807
C1,no,Insulin,14.646464646464647,0.26866326217567876,0.030444821980200223,0.21005810280726878,0.12050750610649943
C1,no,Insulin,15.151515151515152,0.26866307589310423,0.030444797696182985,0.21005790935864255,0.12050721557060219
C1,no,Insulin,15.656565656565657,0.26866296041010973,0.03044478259112572,0.2100577896415494,0.12050703445691369
C1,no,Insulin,16.161616161616163,0.26866288728322224,0.03044477306863464,0.21005771410147706,0.12050691948177651
C1,no,Insulin,16.666666666666668,0.2686628416957957,0.030444767191438463,0.21005766683215393,0.12050684734486021
C1,no,Insulin,17.171717171717173,0.26866281373917805,0.030444763545538395,0.21005763747025716,0.12050680253399848
C1,no,Insulin,17.67676767676768,0.2686627969804759,0.030444761294072684,0.21005761982453902,0.12050677545504583
C1,no,Insulin,18.181818181818183,0.26866278612281014,0.030444759845954447,0.21005760876770005,0.12050675814701955
C1,no,Insulin,18.68686868686869,0.26866277958215296,0.030444759025378968,0.21005760232099216,0.12050674781941055
C1,no,Insulin,19.191919191919194,0.26866277574429837,0.030444758586388433,0.21005759849899378,0.12050674168367381
C1,no,Insulin,19.6969696969697,0.268662773434755,0.03044475831032958,0.21005759595715326,0.12050673780245007
C1,no,Insulin,20.202020202020204,0.26866277195498584,0.030444758081781976,0.21005759417920272,0.12050673522418023
C1,no,Insulin,20.70707070707071,0.26866277074783784,0.030444757898662425,0.21005759272985933,0.12050673311999212
C1,no,Insulin,21.212121212121215,0.2686627697651869,0.030444757761039477,0.2100575915667036,0.12050673141438396
C1,no,Insulin,21.71717171717172,0.2686627691277146,0.030444757675337913,0.21005759086516176,0.12050673034684883
C1,no,Insulin,22.222222222222225,0.26866276883542084,0.03044475764155773,0.21005759062523383,0.12050672991738673
C1,no,Insulin,22.72727272727273,0.26866276875245826,0.030444757638066856,0.2100575906491254,0.12050672986299542
C1,no,Insulin,23.232323232323235,0.26866276852541815,0.03044475760858926,0.2100575904222726,0.12050672949947222
C1,no,Insulin,23.73737373737374,0.26866276843190784,0.03044475759733054,0.21005759034887236,0.12050672936426766
C1,no,Insulin,24.242424242424242,0.26866276847192727,0.030444757604290683,0.21005759042892472,0.12050672945738175
C1,no,Insulin,24.747474747474747,0.26866276864547645,0.030444757629469694,0.21005759066242963,0.12050672977881446
C1,no,Insulin,25.252525252525253,0.2686627685401641,0.030444757617908234,0.21005759059811702,0.12050672963979363
C1,no,Insulin,25.757575757575758,0.26866276866445116,0.03044475763387995,0.21005759073194571,0.12050672984588319
C1,no,Insulin,26.262626262626263,0.26866276878873824,0.03044475764985167,0.21005759086577444,0.12050673005197277
C1,no,Insulin,26.767676767676768,0.2686627689130253,0.030444757665823385,0.21005759099960314,0.12050673025806233
C1,no,Insulin,27.272727272727273,0.26866276897229635,0.030444757673439942,0.21005759106329663,0.12050673035627735
C1,no,Insulin,27.77777777777778,0.268662768982999,0.030444757674815,0.21005759107459748,0.12050673037390756
C1,no,Insulin,28.282828282828284,0.2686627689937016,0.030444757676190055,0.21005759108589836,0.12050673039153777
C1,no,Insulin,28.78787878787879,0.2686627690044042,0.03044475767756511,0.2100575910971992,0.12050673040916798
C1,no,Insulin,29.292929292929294,0.26866276901510683,0.03044475767894017,0.21005759110850006,0.1205067304267982
C1,no,Insulin,29.7979797979798,0.2686627690258095,0.030444757680315227,0.21005759111980093,0.12050673044442842
C1,no,Insulin,30.303030303030305,0.2686627690365121,0.030444757681690283,0.21005759113110178,0.12050673046205863
C1,no,Insulin,30.80808080808081,0.2686627690472147,0.03044475768306534,0.21005759114240263,0.12050673047968884
C1,no,Insulin,31.313131313131315,0.2686627690579173,0.030444757684440396,0.2100575911537035,0.12050673049731905
C1,no,Insulin,31.81818181818182,0.26866276906861997,0.030444757685815452,0.21005759116500436,0.12050673051494927
C1,no,Insulin,32.323232323232325,0.26866276907932257,0.03044475768719051,0.2100575911763052,0.12050673053257949
C1,no,Insulin,32.82828282828283,0.2686627690900252,0.030444757688565565,0.21005759118760609,0.1205067305502097
C1,no,Insulin,33.333333333333336,0.26866276910072784,0.03044475768994062,0.21005759119890693,0.12050673056783992
C1,no,Insulin,33.83838383838384,0.26866276911143044,0.030444757691315678,0.21005759121020778,0.12050673058547012
C1,no,Insulin,34.343434343434346,0.26866276912213305,0.030444757692690737,0.21005759122150866,0.12050673060310034
C1,no,Insulin,34.84848484848485,0.26866276913283565,0.030444757694065794,0.2100575912328095,0.12050673062073056
C1,no,Insulin,35.35353535353536,0.2686627691435383,0.03044475769544085,0.21005759124411036,0.12050673063836077
C1,no,Insulin,35.85858585858586,0.2686627691542409,0.030444757696815906,0.21005759125541124,0.12050673065599099
C1,no,Insulin,36.36363636363637,0.2686627691649435,0.030444757698190963,0.21005759126671208,0.1205067306736212
C1,no,Insulin,36.86868686868687,0.2686627691756462,0.03044475769956602,0.21005759127801293,0.12050673069125141
C1,no,Insulin,37.37373737373738,0.2686627691863488,0.030444757700941075,0.2100575912893138,0.12050673070888163
C1,no,Insulin,37.87878787878788,0.2686627691970514,0.03044475770231613,0.21005759130061466,0.12050673072651184
C1,no,Insulin,38.38383838383839,0.268662769207754,0.030444757703691188,0.2100575913119155,0.12050673074414206
C1,no,Insulin,38.88888888888889,0.2686627692099811,0.03044475770397765,0.21005759131425913,0.12050673074780803
C1,no,Insulin,39.3939393939394,0.26866276921089705,0.030444757704095715,0.21005759131521712,0.12050673074931381
C1,no,Insulin,39.8989898989899,0.2686627692118129,0.03044475770421378,0.21005759131617513,0.1205067307508196
C1,no,Insulin,40.40404040404041,0.26866276921272886,0.030444757704331842,0.2100575913171331,0.12050673075232539
C1,no,Insulin,40.909090909090914,0.2686627692136448,0.030444757704449908,0.21005759131809112,0.12050673075383117
C1,no,Insulin,41.41414141414142,0.2686627692145607,0.03044475770456797,0.2100575913190491,0.12050673075533695
C1,no,Insulin,41.919191919191924,0.26866276921547666,0.030444757704686035,0.21005759132000712,0.12050673075684273
C1,no,Insulin,42.42424242424243,0.2686627692163926,0.030444757704804096,0.2100575913209651,0.12050673075834853
C1,no,Insulin,42.929292929292934,0.26866276921730853,0.03044475770492216,0.21005759132192312,0.12050673075985431
C1,no,Insulin,43.43434343434344,0.26866276921822446,0.030444757705040227,0.2100575913228811,0.12050673076136009
