,,,Slide ID,d,c,a,b,e
,,,Antibody Name,d,c,a,b,e
,,,HUGO ID,d,c,a,b,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5744440305497174,0.5364974767747871,0.5966359950356,0.7509669408198997,0.9698148171813578
C1,no,Insulin,0.5050505050505051,0.4277588146972388,0.2433539403873076,0.4393781495553063,0.5332911653166845,0.4423043498571425
C1,no,Insulin,1.0101010101010102,0.3353147516404006,0.1613030259883428,0.3339592587076782,0.39347427040225774,0.30106322887425024
C1,no,Insulin,1.5151515151515151,0.274498806574622,0.13265039192328806,0.26696330612758495,0.30687465637798,0.2516762822935987
C1,no,Insulin,2.0202020202020203,0.23362869614396886,0.11902732856957353,0.22554547572237174,0.25437613719352803,0.2276600416167743
C1,no,Insulin,2.5252525252525255,0.20607312944147219,0.11104751718892465,0.20015719279699715,0.22280432235076578,0.21332856693847002
C1,no,Insulin,3.0303030303030303,0.18763261236466192,0.10599170611960353,0.18460607860991837,0.20385947253823922,0.20419838281263408
C1,no,Insulin,3.5353535353535355,0.17544354239685053,0.10274150245323484,0.17507302939226438,0.19250291260872218,0.19836575878415566
C1,no,Insulin,4.040404040404041,0.16749698936360782,0.10066441051889391,0.16922974884154277,0.18570623679653672,0.19469416465862635
C1,no,Insulin,4.545454545454546,0.16238576767943694,0.09935065388146341,0.16565339268328969,0.1816492568285839,0.19242082257300339
C1,no,Insulin,5.050505050505051,0.15913901505706396,0.09852800147310306,0.16347014203680404,0.17923598426890644,0.19103318138817119
C1,no,Insulin,5.555555555555556,0.15709969783341285,0.09801733161026924,0.16214168961731157,0.17780617940062396,0.19019588033516943
C1,no,Insulin,6.0606060606060606,0.15583161314083385,0.09770266612736446,0.16133627247152038,0.17696266791607201,0.18969534407162783
C1,no,Insulin,6.565656565656566,0.15505014841841167,0.0975099904836032,0.16084976578902563,0.17646721466104162,0.18939840426539814
C1,no,Insulin,7.070707070707071,0.1545724297605575,0.09739264534629218,0.16055696744267217,0.17617747962976496,0.18922337680593546
C1,no,Insulin,7.575757575757576,0.15428251208353583,0.09732151762774854,0.16038137141544806,0.17600878732918462,0.18912079599241235
C1,no,Insulin,8.080808080808081,0.15410773107516962,0.09727858589480655,0.16027641988297894,0.1759109982886532,0.1890609853729548
C1,no,Insulin,8.585858585858587,0.1540030036605682,0.0972527715146294,0.1602138940850152,0.17585455825979704,0.18902628096636015
C1,no,Insulin,9.090909090909092,0.1539406075023845,0.097237303724738,0.1601767573747316,0.1758221242765464,0.18900623739162475
C1,no,Insulin,9.595959595959597,0.1539036247667368,0.09722806390481202,0.1601547622842912,0.17580356552169846,0.1889947114931323
C1,no,Insulin,10.101010101010102,0.1538818162156702,0.09722256169504516,0.1601417715109313,0.17579299371727625,0.1889881147662154
C1,no,Insulin,10.606060606060607,0.15386901647839932,0.09721929295786075,0.16013411924524382,0.17578699939567455,0.18898435386574114
C1,no,Insulin,11.111111111111112,0.15386153961955484,0.09721735814789119,0.16012962240714218,0.1757836158757909,0.18898222311669033
C1,no,Insulin,11.616161616161618,0.15385719097812686,0.09721621289576747,0.16012698693066788,0.17578171621572025,0.18898101650648874
C1,no,Insulin,12.121212121212121,0.15385467338939784,0.09721553902735974,0.16012544525019934,0.17578065452637354,0.18898034094513114
C1,no,Insulin,12.626262626262626,0.1538532221463713,0.0972151427400926,0.16012454560422043,0.17578006461224965,0.18897996352450158
C1,no,Insulin,13.131313131313131,0.15385238916936717,0.0972149099604583,0.16012402174364637,0.17577973879186737,0.18897975344119494
C1,no,Insulin,13.636363636363637,0.15385191289426153,0.09721477351798531,0.16012371712521967,0.17577955984919175,0.18897963726381756
C1,no,Insulin,14.141414141414142,0.15385164486238012,0.09721469450070702,0.16012354219314678,0.17577946359031618,0.188979574263248
C1,no,Insulin,14.646464646464647,0.1538514912067162,0.09721464789911492,0.16012343980709381,0.175779410656012,0.18897953932800401
C1,no,Insulin,15.151515151515152,0.15385140147783968,0.09721461996318487,0.16012337880631478,0.1757793807983445,0.18897951947849456
C1,no,Insulin,15.656565656565657,0.15385135253581486,0.09721460407844423,0.16012334443548162,0.1757793656571429,0.18897950930606427
C1,no,Insulin,16.161616161616163,0.15385132580299288,0.09721459499679072,0.16012332493665687,0.17577935809662265,0.18897950418707352
C1,no,Insulin,16.666666666666668,0.15385131142607614,0.09721458984283052,0.16012331398603963,0.1757793543834828,0.18897950161992252
C1,no,Insulin,17.171717171717173,0.15385130378500061,0.09721458690327,0.1601233078770738,0.17577935262772681,0.1889795003120263
C1,no,Insulin,17.67676767676768,0.15385129954975554,0.09721458515931622,0.1601233043498019,0.17577935175684414,0.18897949958175442
C1,no,Insulin,18.181818181818183,0.15385129723495014,0.09721458414318994,0.16012330232735425,0.17577935133943434,0.18897949919625132
C1,no,Insulin,18.68686868686869,0.15385129596337233,0.09721458357365612,0.16012330114897122,0.17577935113518356,0.18897949904154793
C1,no,Insulin,19.191919191919194,0.15385129526423666,0.09721458327979053,0.1601233004500753,0.17577935102831446,0.18897949903934944
