0,Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
9,Ecoli_12_9.sif,12,KM3,BESTFIT,100,5,6,34,4,100,0.6,0.0566037736,0.2777777778,0.4756703078,-0.0843643454
9,Ecoli_10_9.sif,10,KM3,BESTFIT,100,4,7,27,0,66,1,0.095890411,0.34,0.5479452055,0.1668506864
,,,,,,,,,,,,,,,
,Mean_Nodes,11.9555555556,,,,,,,,,,,,,
,Mean_Runtime,4.8222222222,,,,,,,,,,,,,
,Mean_BACC,0.5015834858,,,,,,,,,,,,,
,Mean_MCC,0.0044028339,,,,,,,,,,,,,
,Mean_ACC,0.6216309595,,,,,,,,,,,,,
,Mean_Precision,0.3654203821,,,,,,,,,,,,,
,Mean_Recall,0.0769455603,,,,,,,,,,,,,
