NON $ % + - . 0
#NON	b	f	a	e	d	c
0.8403361344537815	0.17645630769910414	0.1588768644254358	0.3000014396821791	0.19833211498531375	0.34414263087409397	0.196767004023711
1.2605042016806722	0.08485451820595855	0.1667584725656584	0.24767952284581418	0.19374599817972293	0.21452856725938943	0.18381009041810087
1.680672268907563	0.04398309774184952	0.17653814160373513	0.22137693079911128	0.1997576309141194	0.13374622800463404	0.175222427032108
2.100840336134454	0.02434659101535002	0.18732657414052567	0.21018120404487448	0.20855547573271624	0.08345917543675667	0.16948211415855896
2.5210084033613445	0.014222665514636591	0.19843993415042543	0.20755013385994275	0.21754472026731173	0.05217537257455297	0.16562178056838908
2.9411764705882355	0.008662117081146788	0.20936858056706267	0.20956510298378475	0.22585430726493616	0.032705420032673675	0.1630146498454143
3.361344537815126	0.005440132198309584	0.21975353956219362	0.2138938721954073	0.2332151477114287	0.02056931967006921	0.16124865882104994
3.7815126050420167	0.0034916728198190862	0.2293632377974206	0.21916864717887008	0.2395859986882149	0.01298551037966695	0.16004997355577624
4.201680672268908	0.0022745825315053664	0.23806925010666447	0.22460920968698814	0.2450185899481227	0.008230873380295477	0.15923520270735073
4.621848739495799	0.0014963448056659807	0.24582233799786507	0.22979232587932497	0.24960276859255326	0.0052386521641588895	0.1586808488561779
5.042016806722689	0.0009905996618037455	0.25263048059537296	0.23450962697448136	0.25344110158418015	0.003347843198720844	0.15830342684343762
5.46218487394958	0.0006583753907566903	0.258540108998051	0.23867969690178448	0.25663606019455854	0.00214797602008092	0.15804634890694522
5.882352941176471	0.0004386234852904747	0.26362105647882716	0.24229374195553752	0.2592834939322239	0.0013833606992296361	0.15787118816713192
6.302521008403361	0.00029264273488173497	0.2679551711411784	0.24538222409612212	0.2614696057853712	0.0008941096210137007	0.15775181640931565
6.722689075630252	0.00019541887503468923	0.27162817701231284	0.24799465021106973	0.263269945439969	0.0005798237177264692	0.15767045254076784
7.142857142857143	0.00013057208663466642	0.2747241734737843	0.25018757601461455	0.2647495231316988	0.0003771869128240082	0.15761498978479094
7.563025210084033	8.728434227733033e-05	0.2773222117809745	0.25201774992384424	0.26596355988768305	0.00024608465708811204	0.15757718077208402
7.983193277310924	5.837339164693285e-05	0.27949440766986844	0.253538446305309	0.2669585184815785	0.0001609886598209701	0.15755140512012353
8.403361344537815	3.90567302107423e-05	0.2813051347638523	0.25479773358275776	0.2677732206954973	0.00010558544931303068	0.15753383195572143
8.823529411764707	2.61463585575874e-05	0.2828108648244667	0.25583784110551444	0.268439903843964	6.941357827705636e-05	0.1575218509005667
9.243697478991598	1.7514579671238814e-05	0.2840605007981012	0.25669520668413176	0.26898523046563777	4.573598448549899e-05	0.15751368237800684
9.663865546218487	1.1740879945105042e-05	0.28509596177390983	0.25740086757356434	0.26943118096974494	3.019900613395297e-05	0.15750811312260748
10.084033613445378	7.87684435857748e-06	0.2859528861487414	0.2579810080611878	0.2697958281134283	1.998036387050703e-05	0.157504315999117
