clusterdepth,Networkname,BESTFIT,FULLFIT,REVEAL
1,Network_faure_cellcycleKM1.sif,0.5363825364,0.5363825364,0.5883575884
2,Network_faure_cellcycleKM2.sif,0.4844074844,0.5623700624,0.5623700624
3,Network_faure_cellcycleKM3.sif,0.5883575884,0.5103950104,0.4844074844
4,Network_faure_cellcycleKM4.sif,0.5363825364,0.5103950104,0.4844074844
5,Network_faure_cellcycleKM5.sif,0.4584199584,0.4844074844,0.5623700624
6,Network_faure_cellcycleKM6.sif,0.4911642412,0.5363825364,0.5103950104
7,Network_faure_cellcycleKM7.sif,0.5103950104,0.5171517672,0.4844074844
8,Network_faure_cellcycleKM8.sif,0.5363825364,0.5103950104,0.4911642412
9,Network_faure_cellcycleKM9.sif,0.4844074844,0.5171517672,0.5103950104
10,Network_faure_cellcycleKM10.sif,0.5103950104,0.4844074844,0.5103950104
