,,,Slide ID,Rb,CycA,CycB,p27,CycE,CycD,Cdc20,E2F,UbcH10,cdh1
,,,Antibody Name,Rb,CycA,CycB,p27,CycE,CycD,Cdc20,E2F,UbcH10,cdh1
,,,HUGO ID,Rb,CycA,CycB,p27,CycE,CycD,Cdc20,E2F,UbcH10,cdh1
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8503191238695664,0.28190894406284783,0.24955930116773573,0.21213438154609066,0.37132335895174284,0.09083803907097354,0.207876158427321,0.9178361389193433,0.8622121988102696,0.618659690416215
C1,no,Insulin,0.5050505050505051,0.6470115552168942,0.19079252193929136,0.4716049038869113,0.1220679791704081,0.3300559022570048,0.21303594180124347,0.28930095708686215,0.6819773415445943,0.4544681636468646,0.673328059815447
C1,no,Insulin,1.0101010101010102,0.570105132777998,0.14542355762635512,0.531489482187333,0.08185652717317321,0.3042239004626271,0.2832360762235576,0.3283605440636922,0.5490734263073288,0.26257738855514157,0.6867781813037128
C1,no,Insulin,1.5151515151515151,0.5419191264535853,0.12156918602403469,0.5467225155357556,0.06376805766577724,0.28627981377031475,0.31767424554835055,0.3426225956875908,0.4757476541111231,0.16799300297756348,0.6935459015957388
C1,no,Insulin,2.0202020202020203,0.5321561378377243,0.1085167235335455,0.5501371807522409,0.05540608628943374,0.2738236570067283,0.333703450786107,0.3473044595800934,0.4355980165397387,0.11927080078847369,0.6978980909216501
C1,no,Insulin,2.5252525252525255,0.5292200162914543,0.10121874481887388,0.5506442938612558,0.05148641953067437,0.26550213679329643,0.3410098624709629,0.34871500211646345,0.41369135963722065,0.09312288996659973,0.7007130140791816
C1,no,Insulin,3.0303030303030303,0.5286760189072249,0.09710300290528681,0.5505489984372046,0.0496544247516661,0.2601702878816659,0.3443107344597719,0.34909427680922794,0.4017600787204446,0.07859357221908496,0.7024715939662626
C1,no,Insulin,3.5353535353535355,0.5288582547297027,0.09477882198100346,0.550394334334868,0.048812595916880926,0.2568726989491583,0.34579618270145385,0.3491740169853634,0.3952681915567141,0.07030169611103729,0.7035370629319431
C1,no,Insulin,4.040404040404041,0.5291765776044035,0.09346915060514259,0.550280493886061,0.04843703441769853,0.2548891717424367,0.3464635007545436,0.34917718394302943,0.39173808197234106,0.06547977556888128,0.7041683912414136
C1,no,Insulin,4.545454545454546,0.5294503542484905,0.09273375428929316,0.5502091552028463,0.04827681892420846,0.25372136170586157,0.34676305319778833,0.3491662447433007,0.38981945428569725,0.06264110611247226,0.7045365883473462
C1,no,Insulin,5.050505050505051,0.5296453595000243,0.09232243176414529,0.5501669236519111,0.04821310092957016,0.253045073557108,0.3468974711038275,0.3491562531210396,0.38877720355842477,0.060957414001159504,0.704748836236813
C1,no,Insulin,5.555555555555556,0.5297724551471447,0.09209325161386397,0.5501425199159327,0.04819077252836975,0.2526584320204516,0.34695777963351593,0.34914947785401146,0.38821135317921945,0.05995451112967606,0.7048700941599804
C1,no,Insulin,6.0606060606060606,0.5298511388295833,0.09196601452228882,0.5501285835089267,0.048185048763271385,0.25243961206754095,0.346984836344959,0.3491453168686182,0.38790435123739836,0.059355821485991625,0.7049388713052499
C1,no,Insulin,6.565656565656566,0.5298982585180494,0.09189560684434529,0.5501206824354772,0.048185248584579524,0.2523167693752981,0.34699697369571775,0.3491428694776975,0.38773791441607636,0.058998111079922456,0.7049776478406445
C1,no,Insulin,7.070707070707071,0.5299258319466716,0.09185676262038493,0.5501162267288554,0.04818705194806282,0.2522482590437259,0.34700241889937555,0.3491414596756052,0.3876477562856193,0.058784355321523,0.7049994011485944
C1,no,Insulin,7.575757575757576,0.5299416998102859,0.09183539026342824,0.5501137239094256,0.048188893363278765,0.25221025659077007,0.3470048619345189,0.34914066057151283,0.3875989603496828,0.05865666222174545,0.7050115427498777
C1,no,Insulin,8.080808080808081,0.5299507167461738,0.09182366022125922,0.5501123254426992,0.04819032910260864,0.2521892714378687,0.3470059579803766,0.3491402088164242,0.38757257451537236,0.058580423307294856,0.7050182980807042
C1,no,Insulin,8.585858585858587,0.5299557910863222,0.09181723676944703,0.5501115464393458,0.04819132775873764,0.2521777273068384,0.34700644967991223,0.3491399554938012,0.3875583195382542,0.058534935332022454,0.7050220418716547
C1,no,Insulin,9.090909090909092,0.5299586244929702,0.0918137269177197,0.5501111140823532,0.0481919795202554,0.25217139812735984,0.3470066702142751,0.349139814126877,0.3875506261671802,0.0585078162284935,0.7050241098291911
C1,no,Insulin,9.595959595959597,0.5299601966198102,0.09181181293339878,0.5501108749140429,0.04819238781569786,0.2521679382130701,0.3470067691329127,0.3491397355563181,0.3875464781926789,0.058491661244220894,0.7050252486603253
C1,no,Insulin,10.101010101010102,0.5299610658175161,0.09181076926544375,0.5501107428040605,0.04819263656342384,0.2521660482974453,0.3470068136945226,0.3491396919648765,0.387544239671708,0.058482034665607835,0.7050258751987812
C1,no,Insulin,10.606060606060607,0.529961542816439,0.09181020335694431,0.5501106702733183,0.04819278500548164,0.25216502216685543,0.34700683341589056,0.34913966794499224,0.3875430380026981,0.05847631296101434,0.7050262177892476
C1,no,Insulin,11.111111111111112,0.5299618042956291,0.09180989580860426,0.5501106304345752,0.04819287198999723,0.2521644641374445,0.3470068424019244,0.3491396547043185,0.3875423905900102,0.05847290963285847,0.7050264053332235
C1,no,Insulin,11.616161616161618,0.5299619471974703,0.09180972912140802,0.5501106086203956,0.04819292247569538,0.2521641615053733,0.34700684636975665,0.34913964742531955,0.38754204272257203,0.058470886515619755,0.7050265077104917
