NON $ % + - .
#NON	a	d	e	b	c
0.0	0.017856287527834636	0.6961325003778118	0.9931283552434369	0.6576509020066182	0.045713425242766115
0.5050505050505051	0.19543839885046974	0.3505326442353089	0.4309110747383411	0.3653645001401881	0.20879678065046078
1.0101010101010102	0.2739560431632756	0.26855397666095	0.31057461315881646	0.23695517962906418	0.25534228895540306
1.5151515151515151	0.30229774434832907	0.25017940169758585	0.2849389737798931	0.18757579290286294	0.2681154786941273
2.0202020202020203	0.31201169501464004	0.2469045815069616	0.2798902973573756	0.17017907512190242	0.2720795763037129
2.5252525252525255	0.3153457932694097	0.24675814787149083	0.27917480618142737	0.16440011943739088	0.2736577099834722
3.0303030303030303	0.31654812881176	0.2470374443200848	0.2792725808925644	0.16257143167119556	0.2744411787044256
3.5353535353535355	0.3170229190280021	0.24725374903732658	0.2794527222895975	0.1620252743842803	0.2748721944017862
4.040404040404041	0.3172316393953045	0.24737723203679574	0.27958721876072706	0.16187762214306814	0.2751148379564799
4.545454545454546	0.3173321985911417	0.2474421428232334	0.2796717044389298	0.16184646373727343	0.2752505968114755
5.050505050505051	0.3173836469997077	0.24747562280945526	0.27972127343594705	0.1618455665853865	0.2753256548683569
5.555555555555556	0.3174108232708223	0.24749295860024148	0.2797493591755121	0.16185029146207988	0.27536673084742785
6.0606060606060606	0.31742538606759063	0.24750202825291998	0.27976495326556255	0.16185454018524162	0.2753890515239264
6.565656565656566	0.31743322841810834	0.24750681908439603	0.27977350278853536	0.161857385769948	0.27540112328860095
7.070707070707071	0.3174374573876984	0.24750936923591144	0.2797781537524954	0.1618590972551359	0.2754076350591976
7.575757575757576	0.31743973850534485	0.24751073387473838	0.2797806735674546	0.16186007776011463	0.27541114489979623
8.080808080808081	0.3174409682385751	0.24751146619624909	0.2797820350011762	0.16186062495255954	0.2754130353065165
8.585858585858587	0.317441628863821	0.2475118586955793	0.27978276719814266	0.16186092491251303	0.2754140501216712
9.090909090909092	0.31744198874411067	0.2475120724541973	0.27978316600766606	0.1618610889851676	0.2754146026186435
9.595959595959597	0.31744218548062636	0.2475121891173996	0.2797833841588867	0.1618611798386518	0.27541490462949186
10.101010101010102	0.31744228604221625	0.2475122485633896	0.2797834960334674	0.1618612278949515	0.27541505911320624
10.606060606060607	0.31744234128401433	0.24751228132720524	0.27978355743272676	0.16186125384436975	0.2754151438460021
11.111111111111112	0.3174423694075452	0.2475122979797405	0.27978358851329505	0.16186126658610378	0.275415186794157
11.616161616161618	0.3174423846798151	0.2475123069534618	0.2797836053270596	0.1618612735640746	0.27541521015185483
12.121212121212121	0.31744239322106255	0.24751231202428123	0.2797836148071212	0.16186127778110032	0.27541522339523344
12.626262626262626	0.3174423979078208	0.24751231489347916	0.2797836200889556	0.16186128018623255	0.27541523069677587
13.131313131313131	0.3174424005234142	0.24751231645788896	0.27978362303560406	0.16186128134514807	0.2754152346405841
