NON $ % + -
#NON	c	d	a	b
0.0	0.6605393291465314	0.4401038750230196	0.9972820507107131	0.7097957468884248
0.5050505050505051	0.37348751031809635	0.28200562424221887	0.31644677610393035	0.4336575011582056
1.0101010101010102	0.24513398561658273	0.18429250530041194	0.12663675726688395	0.27666622246338424
1.5151515151515151	0.18297389404976266	0.12285011324160215	0.06662403708214781	0.1862309547614794
2.0202020202020203	0.15080845072663043	0.08367302363573914	0.04313667995325799	0.13477572060029236
2.5252525252525255	0.13332226688897422	0.05842290550190284	0.03146510190854591	0.1052364211742684
3.0303030303030303	0.12348772336648009	0.04197848917256231	0.024525165150042594	0.08751530267770066
3.5353535353535355	0.1178325851067872	0.03113284503815851	0.019933341955415074	0.07612608879944695
4.040404040404041	0.11453494552490424	0.023867195473843417	0.01670248781462944	0.06823703500767721
4.545454545454546	0.1125953704530028	0.018911103939212536	0.014341819184493424	0.0624067927190724
5.050505050505051	0.11144856875912168	0.015464060938597783	0.012573648272179362	0.057889985020895166
5.555555555555556	0.11076835385653216	0.013018836744043256	0.011226219439709395	0.05428408993969291
6.0606060606060606	0.11036412476038647	0.01125080616952234	0.010186310102556335	0.05135580910134067
6.565656565656566	0.11012363229703832	0.009949375101836301	0.009375798110819218	0.04895698804581841
7.070707070707071	0.10998045596553067	0.008975706806172682	0.008739001454814264	0.04698430384831651
7.575757575757576	0.10989518157253501	0.00823664680191642	0.008235311927627137	0.04535998771342896
8.080808080808081	0.10984438063758459	0.007668532000559571	0.007834610621165972	0.04402245987593119
8.585858585858587	0.10981411287042718	0.007227040443977733	0.007514258363047015	0.04292158177351003
9.090909090909092	0.1097960891160199	0.006880770552055603	0.00725706167186624	0.04201601313694673
9.595959595959597	0.1097853373683648	0.006607007488431413	0.007049802184884022	0.04127149052307659
10.101010101010102	0.10977893122476759	0.006389154581842436	0.006882261335275494	0.040659626754243276
10.606060606060607	0.10977511240059543	0.006214833899274327	0.006746471463182491	0.040156941312472196
11.111111111111112	0.10977283649541482	0.00607470696931607	0.0066361661609353065	0.03974403905631276
11.616161616161618	0.10977148113070491	0.0059616389969183526	0.006546394510432922	0.039404926933513
12.121212121212121	0.10977067255487628	0.005870114914460413	0.006473218230528736	0.03912643907117512
12.626262626262626	0.10977019113388596	0.0057958400741771905	0.00641349116114997	0.03889774747711282
13.131313131313131	0.10976990490771392	0.005735433863594441	0.006364687560673833	0.0387099477171449
13.636363636363637	0.10976973374918897	0.005686216827222853	0.0063247719709543845	0.03855572407606254
14.141414141414142	0.10976963114395046	0.005646058073990709	0.006292100523524839	0.03842907053739286
14.646464646464647	0.10976957007125172	0.005613252631576806	0.006265342068884017	0.03832505577304121
15.151515151515152	0.10976953404464966	0.005586428650879613	0.006243415781489827	0.03823963180454903
15.656565656565657	0.10976951256631202	0.005564476522368386	0.006225440968762845	0.03816947348421087
16.161616161616163	0.1097694994233507	0.005546498282666355	0.0062106996723090505	0.03811185060085994
16.666666666666668	0.10976949133553437	0.0055317665791494415	0.0061986064879102154	0.03806452212513438
17.171717171717173	0.10976948650546506	0.0055196903132893466	0.006188683474510303	0.038025648008363
17.67676767676768	0.10976948373864094	0.005509787834016887	0.006180540041911246	0.037993718379525074
18.181818181818183	0.10976948209381604	0.005501665034261567	0.0061738559350173255	0.03796749222761908
18.68686868686869	0.10976948102732023	0.005494999949203326	0.006168368577869466	0.03794595002481749
19.191919191919194	0.10976948032413518	0.005489529701042283	0.00616386297462007	0.037928254418124356
19.6969696969697	0.10976947990295081	0.00548503946702383	0.006160163176731203	0.03791371814117313
20.202020202020204	0.10976947968416381	0.005481353329245039	0.006157124993753744	0.037901777232763764
20.70707070707071	0.10976947957466134	0.005478327039064321	0.006154630076572343	0.03789196872309611
21.212121212121215	0.10976947952957276	0.0054758426953696775	0.006152581534434156	0.03788391313361121
21.71717171717172	0.1097694794879359	0.005473802850882919	0.006150899252909681	0.037877296845261685
22.222222222222225	0.10976947943818112	0.005472127576803153	0.006149517486657289	0.0378718619272057
22.72727272727273	0.10976947939243839	0.005470751591000853	0.006148382422960196	0.037867397195399076
23.232323232323235	0.1097694793583082	0.00546962136007727	0.0061474500040089265	0.03786372924990122
23.73737373737374	0.10976947934554031	0.005468692814937865	0.006146683936541919	0.03786071521597274
24.242424242424242	0.10976947934654632	0.005467930065677955	0.006146054577885862	0.03785823901898712
24.747474747474747	0.10976947935290418	0.005467303583835847	0.0061455376696684634	0.03785620477420786
25.252525252525253	0.10976947935918169	0.005466789363943611	0.006145113367367308	0.0378545348650563
25.757575757575758	0.1097694793571288	0.005466366870710455	0.006144764726228755	0.03785316293792904
26.262626262626263	0.10976947934930734	0.005466020263704389	0.00614447869355365	0.03785203743367298
26.767676767676768	0.10976947934221828	0.005465735187538645	0.006144243438589394	0.0378511117208954
27.272727272727273	0.10976947933482997	0.005465501127730715	0.006144050280777775	0.037850351659326445
27.77777777777778	0.10976947933446787	0.005465308506184395	0.00614389132496128	0.037849726036162885
28.282828282828284	0.10976947933699599	0.0054651502327729634	0.006143760712016063	0.03784921192132644
28.78787878787879	0.10976947934111461	0.005465020074338369	0.006143653295699299	0.0378487891023482
29.292929292929294	0.1097694793447089	0.005464913148363389	0.0061435650491204015	0.03784844175414032
29.7979797979798	0.10976947934526594	0.0054648253250274914	0.0061434925640306715	0.037848156504260995
30.303030303030305	0.10976947934422185	0.005464753175849478	0.006143433017221124	0.03784792217485953
30.80808080808081	0.10976947933989249	0.005464694184818663	0.006143384327674057	0.03784773063193678
31.313131313131315	0.1097694793356553	0.005464645807037408	0.006143344400550081	0.037847573543728426
31.81818181818182	0.10976947933418418	0.005464605972754363	0.006143311530380472	0.03784744414194836
