clusterdepth,Networkname,BESTFIT,FULLFIT,REVEAL
1,Network_faure_cellcycleKM1.sif,0.1538461538,0.1538461538,0.2307692308
2,Network_faure_cellcycleKM2.sif,0.0769230769,0.1923076923,0.1923076923
3,Network_faure_cellcycleKM3.sif,0.2307692308,0.1153846154,0.0769230769
4,Network_faure_cellcycleKM4.sif,0.1538461538,0.1153846154,0.0769230769
5,Network_faure_cellcycleKM5.sif,0.0384615385,0.0769230769,0.1923076923
6,Network_faure_cellcycleKM6.sif,0.0769230769,0.1538461538,0.1153846154
7,Network_faure_cellcycleKM7.sif,0.1153846154,0.1153846154,0.0769230769
8,Network_faure_cellcycleKM8.sif,0.1538461538,0.1153846154,0.0769230769
9,Network_faure_cellcycleKM9.sif,0.0769230769,0.1153846154,0.1153846154
10,Network_faure_cellcycleKM10.sif,0.1153846154,0.0769230769,0.1153846154
