clusterdepth,Networkname,BESTFIT,FULLFIT,REVEAL
1,Network_faure_cellcycleKM1.sif,0.1063908423,0.1063908423,0.2583777598
2,Network_faure_cellcycleKM2.sif,-0.0455960753,0.182384301,0.182384301
3,Network_faure_cellcycleKM3.sif,0.2583777598,0.0303973835,-0.0455960753
4,Network_faure_cellcycleKM4.sif,0.1063908423,0.0303973835,-0.0455960753
5,Network_faure_cellcycleKM5.sif,-0.121589534,-0.0455960753,0.182384301
6,Network_faure_cellcycleKM6.sif,-0.0270853488,0.1063908423,0.0303973835
7,Network_faure_cellcycleKM7.sif,0.0303973835,0.0525774417,-0.0455960753
8,Network_faure_cellcycleKM8.sif,0.1063908423,0.0303973835,-0.0270853488
9,Network_faure_cellcycleKM9.sif,-0.0455960753,0.0525774417,0.0303973835
10,Network_faure_cellcycleKM10.sif,0.0303973835,-0.0455960753,0.0303973835
