,,,Slide ID,Cdc20,CycB,UbcH10,CycE,CycA,E2F,CycD,cdh1,p27,Rb
,,,Antibody Name,Cdc20,CycB,UbcH10,CycE,CycA,E2F,CycD,cdh1,p27,Rb
,,,HUGO ID,Cdc20,CycB,UbcH10,CycE,CycA,E2F,CycD,cdh1,p27,Rb
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.40461854248663875,0.34630390654174303,0.612187444993744,0.5674355053017286,0.6945822762989289,0.12650580010650503,0.915415919180251,0.7996003777716538,0.6162842395723507,0.668819723779575
C1,no,Insulin,0.16722408026755853,0.3507935996982534,0.37324438184434006,0.49516476127863596,0.45736043974422813,0.48576769363919575,0.17357115524733208,0.7416114665730906,0.79006795135559,0.5115183646843159,0.603475235023206
C1,no,Insulin,0.33444816053511706,0.31634870853789937,0.3939573932645719,0.4022238770761475,0.3792870306455539,0.34874592475968313,0.21180271505458942,0.6101603746621442,0.7826469356177947,0.4271756375253285,0.5587385892618975
C1,no,Insulin,0.5016722408026756,0.2944651584704135,0.40971184246355846,0.3282579908646861,0.3239232649570171,0.25906189448684225,0.24289499844529686,0.5100128751478422,0.7771356005674525,0.3590631211671933,0.5295035494499448
C1,no,Insulin,0.6688963210702341,0.2806841150295896,0.4215405696798433,0.26929307377960593,0.28472091123135373,0.2005599295398156,0.2681163161984874,0.43313780811806113,0.7732238506596428,0.30385613261611183,0.5117279602145763
C1,no,Insulin,0.8361204013377926,0.27209673083669533,0.430301208380698,0.22221697723619988,0.25701577594599434,0.16255258545705453,0.28845109750606696,0.37367689218824296,0.7705631775752095,0.2589253472006478,0.5022477496214763
C1,no,Insulin,1.0033444816053512,0.26681294152174945,0.43670280842007864,0.1845777266378267,0.23747392493587113,0.13797355817170323,0.3046970534118226,0.3273380538514988,0.7688206298563633,0.2221951318814143,0.4986215782875021
C1,no,Insulin,1.1705685618729098,0.2636113340346231,0.441321462273768,0.15443408724069185,0.2237117612670274,0.12215856007152234,0.31752651593485737,0.2909604550294148,0.7677122631598594,0.19202821589594923,0.49899664571123786
C1,no,Insulin,1.3377926421404682,0.2617079474223842,0.4446149202155637,0.13024482185624917,0.2140278631612117,0.11203664024976165,0.3275209777119857,0.2622026439870166,0.7670168592566973,0.16713266129190288,0.5019918061825318
C1,no,Insulin,1.5050167224080266,0.2606036640537817,0.4469387021172281,0.11078553098596403,0.2072110622523051,0.10559255682075679,0.3351879257623522,0.2393188172547,0.7665747460959693,0.14648758436255893,0.5065969969288656
C1,no,Insulin,1.6722408026755853,0.2599837400817105,0.44856307583251587,0.09508461108852535,0.20240221600329852,0.10150925462068155,0.340968149144199,0.2209981058518485,0.7662781587584911,0.1292844190839863,0.512088690213314
C1,no,Insulin,1.839464882943144,0.25965189376564357,0.449689552838001,0.08237255482944535,0.19899437505108683,0.09893014940398723,0.3452395555636687,0.20624885580072588,0.7660587845112695,0.11488082698729948,0.5179606801319186
C1,no,Insulin,2.0066889632107023,0.2594873156387422,0.45046579812057935,0.07204107877391554,0.19656070017882593,0.09730136506196913,0.34832084855624473,0.19431508345672918,0.7658760452852458,0.10276472652111719,0.523868836285173
C1,no,Insulin,2.1739130434782608,0.25941680521097055,0.45099835630252805,0.06360997474929406,0.19480249274149194,0.09626722209928569,0.3504762807153834,0.1846159318996062,0.7657076676203214,0.092526303238781,0.5295879670083806
C1,no,Insulin,2.3411371237458196,0.259396851532106,0.4513630395219577,0.05670030754797538,0.1935118259703292,0.09560118955572175,0.3519214697003886,0.17670160041363867,0.7655427932679126,0.08383625092184309,0.5349787612242376
C1,no,Insulin,2.508361204013378,0.25940221141909353,0.45161311294764617,0.0510129041740811,0.19254476528970196,0.09516041408736045,0.3528297848511893,0.17022109920124154,0.7653772719181813,0.07642884610828807,0.5399628495620235
C1,no,Insulin,2.6755852842809364,0.25941870234155456,0.45178556531476055,0.04631123250164751,0.19180224983659938,0.09485588614998564,0.3533387704969248,0.16489851635079664,0.7652106086647233,0.07008875893660138,0.5445042459912349
C1,no,Insulin,2.842809364548495,0.2594387109528947,0.4519058026515152,0.042407875150569464,0.19121650531069645,0.09463296372674923,0.3535562029062573,0.1605154410189043,0.7650440752346207,0.06464075079769582,0.5485957097475703
C1,no,Insulin,3.0100334448160533,0.2594584273649479,0.4519910949638026,0.03915390458363496,0.19074142719438017,0.09445870890643095,0.3535655387299675,0.1568978472734281,0.7648795978638424,0.05994160030894332,0.552248841299365
C1,no,Insulin,3.177257525083612,0.25947617426248815,0.45205306598287076,0.03643057328471384,0.19034581497665495,0.09431372364780607,0.35343065121960504,0.15390623933426908,0.7647191452614684,0.055873756378308985,0.555486985899377
C1,no,Insulin,3.3444816053511706,0.25949141518976615,0.45209946525776246,0.03414283153256534,0.19000863715540212,0.09418691900010863,0.35319983821629863,0.15142818729815574,0.7645644241396455,0.05234033048491074,0.5583402190164921
C1,no,Insulin,3.511705685618729,0.2595041814655934,0.45213541290557935,0.03221427866608876,0.18971574048109566,0.09407219962152724,0.35290914570973114,0.14937262987385316,0.7644167578045838,0.04926113208140516,0.5608418664840918
C1,no,Insulin,3.678929765886288,0.2595147518263583,0.45216426395787035,0.030583230344380593,0.18945757861501947,0.09396638703874027,0.3525850805496861,0.14766548956591433,0.7642770674848262,0.046569517173336676,0.5630261414349361
C1,no,Insulin,3.8461538461538463,0.2595234809288545,0.4521882022997461,0.029199650874854665,0.18922765545508857,0.09386793564014369,0.35224679506496387,0.14624626793925152,0.7641459061950185,0.04420987250099811,0.5649265878405141
C1,no,Insulin,4.013377926421405,0.2595307169995992,0.45220864114843057,0.028022766193361796,0.18902147773771613,0.09377616813852677,0.35190782343400173,0.1450653936747518,0.7640235171127667,0.04213560665707835,0.5665751096798424
C1,no,Insulin,4.1806020066889635,0.2595367640186564,0.4522264939154365,0.027019192678848447,0.18883584668176276,0.09369081625823447,0.3515774512196937,0.14408212862171993,0.7639098961913432,0.040307532798615826,0.5680013964621874
C1,no,Insulin,4.3478260869565215,0.2595418717042116,0.4522423541426353,0.026161464964824147,0.18866839010937872,0.09361176665109218,0.35126179049111417,0.14326290333521344,0.7638048532288042,0.038692560600471305,0.5692326349702691
C1,no,Insulin,4.51505016722408,0.259546238042959,0.45225661045428617,0.025426889571342298,0.18851726520852571,0.09353893179651468,0.3509646030824844,0.14258000171147903,0.7637080649049763,0.037262646645470375,0.5702934225378761
C1,no,Insulin,4.682274247491639,0.2595500154171172,0.4522695244816454,0.024796629452767612,0.1883809601945381,0.09347218204228852,0.3506879419578896,0.14201049335343005,0.7636191186044122,0.035993934009188475,0.5712057926493969
C1,no,Insulin,4.849498327759197,0.2595533197069365,0.4522812784957485,0.0242549833114398,0.18825817605163464,0.09341132635464904,0.35043263633858235,0.14153537790010048,0.7635375478361016,0.034866054608571555,0.5719893316383085
C1,no,Insulin,5.016722408026756,0.25955623842260733,0.4522920055939878,0.0237888135533255,0.18814775453283344,0.09335611254152512,0.35019865728948474,0.14113889283940778,0.7634628591970294,0.033861560145839256,0.5726613405776593
C1,no,Insulin,5.183946488294314,0.2595588374630738,0.4523018096465211,0.02338707768815191,0.18804863293301222,0.09330623578063565,0.3499854005563834,0.1408079370863748,0.7633945529710681,0.03296544499050444,0.5732370185112977
C1,no,Insulin,5.351170568561873,0.2595611670779138,0.4523107746811953,0.023040471015716324,0.18795982630011562,0.09326135665338246,0.3497918802288292,0.14053162191931734,0.7633321370139287,0.03216476988769134,0.5737296652411302
C1,no,Insulin,5.518394648829432,0.25956326592776174,0.4523189726442328,0.022741123692750182,0.18788041297477012,0.09322111381505709,0.34961688306666766,0.14030088564683607,0.7632751369004491,0.03144833838165446,0.5741508725915787
C1,no,Insulin,5.68561872909699,0.25956516394082035,0.45232646798275644,0.022482359098396423,0.18780952724574404,0.09318513497396544,0.3494590777301922,0.14010818097595912,0.7632231022377088,0.030806432097157464,0.5745107081092217
C1,no,Insulin,5.852842809364549,0.25956688505888303,0.45233331909178,0.022258497824004932,0.18774635934898387,0.09315304996899203,0.34931709007585593,0.13994721903546412,0.7631756105124353,0.03023059100120793,0.574817894088433
C1,no,Insulin,6.020066889632107,0.259568449036846,0.4523395793496021,0.022064696797704654,0.1876901553650808,0.09312449979796487,0.34918955592444234,0.13981275726700781,0.7631322689244682,0.02971342972517412,0.5750799701474356
C1,no,Insulin,6.187290969899665,0.25956987222860145,0.4523452982433268,0.021896818510577568,0.1876402155247845,0.09309914075822404,0.34907515613206874,0.1397004255482383,0.7630927145499332,0.029248485550403467,0.5753034366817088
C1,no,Insulin,6.354515050167224,0.2595711685212649,0.45235052176801094,0.021751313234267516,0.18759589392548404,0.09307664930486863,0.3489726437712217,0.13960656981038472,0.7630566140827952,0.02883008019443475,0.5754938924141504
C1,no,Insulin,6.521739130434782,0.25957235005266605,0.4523552919994063,0.02162514104487595,0.18755659886861528,0.09305672514933747,0.3488808486453114,0.1395281481954985,0.7630236620655801,0.028453224041263197,0.5756561480798957
C1,no,Insulin,6.688963210702341,0.25957342757254365,0.4523596478270573,0.021515688208707782,0.1875217901509691,0.09303909207990967,0.3487986896291217,0.13946262016961267,0.762993579704752,0.028113515922425836,0.5757943327524045
C1,no,Insulin,6.8561872909699,0.2595744106149981,0.4523636251759819,0.021420704146111122,0.18749097665523878,0.09302349768932205,0.3487251763927508,0.13940786311018769,0.7629661129992986,0.02780706519291066,0.5759119855638114
C1,no,Insulin,7.023411371237458,0.2595753075419709,0.45236725719682164,0.021338249441921496,0.1874637134294043,0.09300971217522369,0.34865940768798326,0.13936210424934917,0.7629410307645046,0.027530426564743155,0.5760121347229668
C1,no,Insulin,7.190635451505017,0.25957612607522784,0.4523705739706583,0.021266651658395485,0.18743960045619298,0.09299752929210284,0.3486005661687502,0.1393238644133771,0.7629181227603852,0.027280543780521388,0.576097370617399
C1,no,Insulin,7.357859531772576,0.2595768732758955,0.4523736030066079,0.02120446592558499,0.18741827885228377,0.09298676438835014,0.3485479149099118,0.1392919074465829,0.7628971979293414,0.027054699424141113,0.5761699070515034
C1,no,Insulin,7.525083612040134,0.25957755552223144,0.45237636953155697,0.021150443776865445,0.18739942735606066,0.09297725238830937,0.34850079176100357,0.13926520130074993,0.7628780826368248,0.026850474345477875,0.5762316326495073
C1,no,Insulin,7.6923076923076925,0.2595781784366704,0.4523788965996899,0.02110350411692229,0.18738275909005211,0.09296884567710471,0.3484586033420862,0.13924288215699612,0.7628606188896448,0.026665709627576827,0.5762841592790783
C1,no,Insulin,7.8595317725752505,0.25957874717113816,0.4523812051510457,0.021062710438900758,0.18736801899247385,0.0929614133995442,0.34842081883910936,0.13922422750650698,0.7628446629568731,0.026498476041612394,0.5763288618876531
C1,no,Insulin,8.02675585284281,0.25957926651159274,0.4523833140674548,0.02102725294459184,0.18735498094755668,0.09295483997179899,0.3483869631652174,0.13920863592659827,0.7628300839740818,0.02634704937340257,0.5763669110145003
C1,no,Insulin,8.193979933110368,0.25957974086589686,0.45238524068436414,0.020996430330022374,0.18734344464106223,0.09294902355210129,0.3483566131176303,0.13919560559761862,0.7628167629125223,0.026209885988625774,0.5763993019184251
C1,no,Insulin,8.361204013377927,0.25958017431105423,0.4523870009168672,0.020969632709848737,0.18733323276660147,0.09294387453402386,0.34832939161041376,0.13918471486444023,0.7628045913217423,0.026085599368513186,0.5764268844691052
C1,no,Insulin,8.528428093645484,0.2595805702988964,0.45238860926766233,0.020946332879440144,0.18732418857098193,0.09293931320661032,0.34830496357158713,0.13917561342408313,0.7627934703446391,0.025972947185752403,0.5764503775310339
C1,no,Insulin,8.695652173913043,0.25958093189395914,0.4523900789469667,0.02092607128206926,0.18731617352304858,0.09293526901686086,0.3482830306588968,0.13916800568769747,0.7627833096675791,0.02587081038913224,0.5764703954583028
C1,no,Insulin,8.862876254180602,0.25958126212942234,0.45239142167451707,0.020908450898952078,0.18730906621382096,0.09293168056863085,0.3482633268564249,0.13916164745689086,0.762774026881205,0.02577818450776144,0.5764874584647068
C1,no,Insulin,9.03010033444816,0.2595815638260914,0.4523926482316912,0.020893125956148804,0.18730275968297366,0.0929284941069327,0.3482456154450986,0.13915633329249263,0.7627655467382669,0.02569416382176394,0.5765020104337523
C1,no,Insulin,9.19732441471572,0.25958183965847975,0.4523937687953061,0.020879796443642833,0.18729715977989445,0.09292566307353008,0.34822968637538676,0.13915189181945536,0.7627578007159572,0.025617932634515957,0.5765144277946987
C1,no,Insulin,9.364548494983278,0.25958209182146597,0.4523947925913734,0.020868202090939068,0.18729218355500213,0.09292314590765875,0.3482153526748347,0.13914818011738356,0.7627507260669796,0.02554875577063159,0.576525029337232
C1,no,Insulin,9.531772575250836,0.25958232203368437,0.45239572808357653,0.020858115704913426,0.1872877575429941,0.09292090519912383,0.348202447482706,0.13914507740766088,0.7627442652267188,0.025485968372995868,0.5765340871233984
C1,no,Insulin,9.698996655518394,0.2595825321069264,0.4523965826637994,0.02084934090865736,0.18728381770930577,0.09291890845503688,0.3481908222314039,0.13914248402483073,0.7627383655648673,0.025428971426333796,0.576541830888653
C1,no,Insulin,9.866220735785953,0.25958272387847586,0.45239736274100806,0.020841706539253487,0.18728030793073708,0.09291712709716513,0.34818034391273617,0.13914031629630386,0.7627329787932688,0.025377222928876078,0.5765484570585997
