NON $ % + - .
#NON	b	c	e	a	d
0.0	0.7093916568740567	0.05407809536651176	0.3319230186531058	0.7119727828961867	0.4474116628036824
1.0204081632653061	0.1720993805809193	0.06902760096217624	0.16158228287454213	0.21665133785781157	0.28924729740003663
2.0408163265306123	0.1182319613646579	0.05289886674332986	0.1141496139844259	0.12964480377797147	0.20480440018275237
3.0612244897959187	0.11448032978385853	0.044424105635427556	0.10297890180324466	0.11690642748664812	0.1674684786751125
4.081632653061225	0.11639488363617481	0.041332252505693855	0.10172682762316916	0.1167997280761892	0.1535874483270836
5.1020408163265305	0.11775768014533519	0.040375687495378815	0.10205207003337714	0.11777996201293928	0.14899026912268556
6.122448979591837	0.1183440863586275	0.04010938551251906	0.10233507006582257	0.11832281121333413	0.1475889154277068
7.142857142857143	0.11855291774764934	0.04004156645216884	0.10246278291719783	0.11853898646167271	0.1471900068111452
8.16326530612245	0.11861956024468981	0.040025841171016485	0.10250951854819061	0.11861304417429007	0.1470834987784422
9.183673469387756	0.11863920914920091	0.04002262272541054	0.1025247426611852	0.11863610020630311	0.1470569155408885
10.204081632653061	0.11864462657184122	0.040022098168936523	0.10252931222336013	0.11864276986503416	0.1470508008331391
11.224489795918368	0.11864602521483802	0.040022062648957135	0.10253059029664097	0.1186445765953079	0.14704954930134173
12.244897959183675	0.11864636092032765	0.040022082219367774	0.102530926875139	0.11864503474312137	0.14704934312868423
13.26530612244898	0.1186464328079546	0.04002209563911212	0.10253100832118434	0.11864514076542493	0.14704932939433904
14.285714285714286	0.11864644627951301	0.0400221009528085	0.1025310264501179	0.11864516304134853	0.14704933607222548
15.306122448979592	0.11864644865488828	0.04002210272128504	0.10253103049798674	0.11864516768432334	0.1470493399979674
16.3265306122449	0.11864644914420548	0.04002210348173158	0.10253103173235706	0.11864516897996297	0.14704934210993106
17.346938775510203	0.11864644905938922	0.040022103722564886	0.10253103189923385	0.1186451690756971	0.14704934297470942
18.367346938775512	0.11864644890296909	0.040022103784613315	0.10253103181606422	0.11864516892367931	0.1470493433069344
19.387755102040817	0.11864644872797292	0.040022103702905536	0.10253103156828547	0.11864516862361896	0.14704934317909313
20.408163265306122	0.1186464486359497	0.04002210366685292	0.10253103144503581	0.11864516847176694	0.14704934313468015
21.42857142857143	0.11864644862785316	0.04002210359535727	0.10253103136431974	0.11864516839966345	0.1470493429050381
22.448979591836736	0.11864644863050881	0.04002210359041256	0.10253103136176722	0.11864516839890331	0.1470493428865593
23.46938775510204	0.11864644863316447	0.04002210358546786	0.10253103135921472	0.11864516839814315	0.14704934286808052
24.48979591836735	0.11864644863582012	0.040022103580523154	0.10253103135666221	0.11864516839738301	0.14704934284960172
25.510204081632654	0.11864644863847577	0.040022103575578456	0.10253103135410971	0.11864516839662285	0.14704934283112292
26.53061224489796	0.11864644864113141	0.04002210357063375	0.1025310313515572	0.11864516839586271	0.14704934281264415
27.551020408163264	0.11864644864378707	0.04002210356568905	0.1025310313490047	0.11864516839510256	0.14704934279416534
28.571428571428573	0.11864644864644272	0.04002210356074434	0.10253103134645218	0.1186451683943424	0.14704934277568654
29.591836734693878	0.11864644864909837	0.04002210355579964	0.10253103134389968	0.11864516839358226	0.14704934275720777
30.612244897959183	0.11864644865175401	0.04002210355085494	0.10253103134134717	0.1186451683928221	0.14704934273872897
31.63265306122449	0.11864644865440967	0.04002210354591024	0.10253103133879467	0.11864516839206196	0.14704934272025016
32.6530612244898	0.11864644865706532	0.04002210354096553	0.10253103133624217	0.1186451683913018	0.1470493427017714
33.673469387755105	0.11864644865972097	0.04002210353602083	0.10253103133368965	0.11864516839054166	0.1470493426832926
34.69387755102041	0.11864644866087262	0.04002210353408463	0.10253103133279548	0.11864516839039092	0.1470493426759666
35.714285714285715	0.11864644866120236	0.0400221035337925	0.10253103133280754	0.1186451683905732	0.1470493426747353
36.734693877551024	0.1186464486615321	0.040022103533500365	0.1025310313328196	0.11864516839075548	0.14704934267350397
37.755102040816325	0.11864644866186183	0.04002210353320824	0.10253103133283165	0.11864516839093776	0.14704934267227268
38.775510204081634	0.11864644866219157	0.0400221035329161	0.1025310313328437	0.11864516839112003	0.14704934267104136
39.79591836734694	0.1186464486625213	0.040022103532623976	0.10253103133285575	0.11864516839130232	0.14704934266981007
40.816326530612244	0.11864644866285105	0.04002210353233184	0.10253103133286781	0.1186451683914846	0.14704934266857878
41.83673469387755	0.11864644866318079	0.040022103532039714	0.10253103133287986	0.11864516839166687	0.14704934266734745
42.85714285714286	0.11864644866351053	0.04002210353174758	0.10253103133289192	0.11864516839184916	0.14704934266611616
43.87755102040816	0.11864644866384026	0.04002210353145545	0.10253103133290396	0.11864516839203144	0.14704934266488484
44.89795918367347	0.11864644866417	0.04002210353116332	0.10253103133291602	0.11864516839221372	0.14704934266365355
45.91836734693878	0.11864644866449973	0.04002210353087119	0.10253103133292807	0.118645168392396	0.14704934266242223
46.93877551020408	0.11864644866477353	0.040022103530628794	0.10253103133293824	0.11864516839254749	0.1470493426614004
47.95918367346939	0.11864644866477657	0.04002210353062704	0.10253103133293931	0.11864516839254997	0.14704934266139214
48.9795918367347	0.11864644866477962	0.04002210353062528	0.10253103133294038	0.11864516839255246	0.1470493426613839
50.0	0.11864644866478266	0.04002210353062353	0.10253103133294145	0.11864516839255494	0.14704934266137562
