NON $ % + - . 0
#NON	f	e	a	c	b	d
0.0	0.5918285690403212	0.6267422604719578	0.39654077709388236	0.6662121214431442	0.24927310122348045	0.4016182733685826
0.5050505050505051	0.4214831472188635	0.375945240931549	0.38014177363393864	0.3876332545131361	0.17064122126484885	0.1600824371776219
1.0101010101010102	0.31217309019421813	0.2358232332326644	0.35215711336511657	0.2711129640640351	0.12266850819327683	0.07749706668782422
1.5151515151515151	0.23885191550688442	0.1565201137689561	0.3216837006071518	0.21255082855770896	0.09331168308353728	0.04537665420771023
2.0202020202020203	0.18823197229533956	0.11127947895749656	0.29267780111585884	0.17942130453833144	0.07564100949634119	0.031207705769933366
2.5252525252525255	0.15281703879380445	0.08527817813499426	0.2667694057114791	0.15956299084321626	0.06505785998871694	0.024243744576799068
3.0303030303030303	0.12801601826696854	0.07020336541412814	0.24456063811076917	0.14734386305401173	0.05867883558896516	0.020522884461300503
3.5353535353535355	0.11076692329635343	0.06137414744545503	0.22616657064507376	0.1397264087929297	0.05478871232799323	0.01841219627037592
4.040404040404041	0.09889610927281185	0.05614571902789094	0.21141987353854755	0.1349410831102794	0.05238759011983602	0.017164924172159028
4.545454545454546	0.09081855619427208	0.05301505248098754	0.19996253811019182	0.13191973713523444	0.05089050346784819	0.01640760883626559
5.050505050505051	0.08537956454957571	0.051120615683692194	0.19131906612593863	0.13000556818238898	0.049950019703903295	0.015939581360823487
5.555555555555556	0.08175024432370671	0.049963209531873026	0.18496968428597987	0.12878999371333896	0.049356068106658636	0.015647009067515778
6.0606060606060606	0.07934658445760291	0.049250145158797734	0.1804129217091211	0.12801682402476336	0.04897962591994958	0.015462769970826089
6.565656565656566	0.07776435761023898	0.048807707224844066	0.17720705327656744	0.1275245355032796	0.04874048426647234	0.015346205228938028
7.070707070707071	0.0767279533070893	0.04853155956881245	0.17498889337870974	0.1272108694016689	0.048588333136160865	0.01527223391760339
7.575757575757576	0.07605175771992814	0.048358375808239505	0.1734751751336342	0.1270109233555492	0.04849143384409753	0.015225202234209555
8.080808080808081	0.07561198357481658	0.04824934785831189	0.17245384100463232	0.1268834314482127	0.048429684098764025	0.0151952623461988
8.585858585858587	0.07532670834173076	0.04818050067369296	0.17177109861899212	0.1268021231111939	0.04839031768572977	0.015176187997424283
9.090909090909092	0.07514204241269075	0.04813692198169421	0.17131814355057987	0.1267502609801629	0.048365213778290464	0.01516402972049548
9.595959595959597	0.07502271416643257	0.048109287722252564	0.17101949695003257	0.12671717970492588	0.04834920312756431	0.015156277614334718
10.101010101010102	0.07494572171109179	0.048091740343886476	0.17082359440597236	0.1266960796360402	0.04833899297344497	0.015151334079989061
10.606060606060607	0.07489609901025489	0.048080583600820515	0.170695608945504	0.12668261641188058	0.04833247737636135	0.015148180842021661
11.111111111111112	0.07486415158094858	0.04807348511171675	0.17061228177607532	0.12667402885185206	0.048328322447132734	0.015146169421440809
11.616161616161618	0.07484360167223272	0.04806896562584856	0.17055818159416372	0.1266685495917598	0.04832567085461381	0.015144886382219523
12.121212121212121	0.07483039312412197	0.04806608680990101	0.17052313907310235	0.12666505488956334	0.048323980310220886	0.015144067831882083
12.626262626262626	0.0748219091677332	0.04806425231600907	0.17050048497474168	0.1266628247669428	0.04832290098205406	0.015143545698766452
13.131313131313131	0.07481646326484226	0.04806308308971121	0.17048586400865895	0.12666140226891606	0.048322212643189075	0.01514321261577312
13.636363636363637	0.07481296912910278	0.04806233766452196	0.17047643995004783	0.12666049480375116	0.048321773553331025	0.015143000122236157
14.141414141414142	0.07481072710649353	0.0480618620803509	0.17047036949647082	0.12665991556140377	0.0483214932887285	0.015142864483339853
14.646464646464647	0.07480928918406961	0.04806155864324944	0.17046646315374642	0.12665954583106404	0.048321314382148706	0.015142777910776686
15.151515151515152	0.07480836992413764	0.048061365616977283	0.17046395814375612	0.12665931053297946	0.048321200503473924	0.015142722824163077
15.656565656565657	0.07480778025911573	0.04806124231229812	0.17046234765769544	0.1266591602835624	0.048321127861368156	0.015142687620141045
16.161616161616163	0.07480740246692201	0.04806116362102722	0.17046131359450692	0.1266590643693786	0.04832108147877578	0.015142665150996567
16.666666666666668	0.07480716100004765	0.0480611134831376	0.17046065119474904	0.12665900297733101	0.04832105154437251	0.015142650862570729
17.171717171717173	0.07480700655756184	0.048061081500140476	0.17046022692564824	0.12665896373502816	0.04832103233451754	0.015142641757499378
17.67676767676768	0.07480690750165046	0.048061061141054434	0.1704599545731635	0.12665893941211476	0.04832102102723405	0.015142635886859513
18.181818181818183	0.07480684405182943	0.04806104824664316	0.17045977983754632	0.12665892465842502	0.048321014790545985	0.015142632092104012
18.68686868686869	0.07480680355515248	0.04806103986472355	0.1704596680953497	0.12665891393823314	0.048321009151306375	0.015142629754698817
19.191919191919194	0.07480677761178535	0.048061034263292085	0.1704595964030796	0.12665890527797807	0.04832100326356842	0.015142628365560892
19.6969696969697	0.07480676092495891	0.04806103094811534	0.1704595503461486	0.12665890183408385	0.048321002144992464	0.015142627349943887
20.202020202020204	0.07480675021373406	0.048061029145027995	0.1704595208808038	0.12665890204842822	0.0483210044917482	0.01514262655762856
20.70707070707071	0.07480674341509198	0.04806102754444944	0.17045950197437398	0.12665889871221797	0.04832100159431861	0.015142626259433321
21.212121212121215	0.07480673890701395	0.048061026583120135	0.17045948947022943	0.12665889724847942	0.04832100061612599	0.015142626018307211
21.71717171717172	0.07480673584061799	0.04806102594568965	0.17045948096686983	0.126658896372511	0.04832100010102826	0.015142625847554858
22.222222222222225	0.07480673388797217	0.04806102554961496	0.1704594755516641	0.12665889588455137	0.04832099986044592	0.01514262573498208
22.72727272727273	0.0748067327008835	0.04806102531248533	0.17045947225792665	0.1266588956122974	0.04832099974446957	0.015142625665298233
23.232323232323235	0.07480673173334276	0.04806102511968149	0.17045946957270625	0.1266588953930513	0.04832099965315821	0.015142625608396455
23.73737373737374	0.07480673162195638	0.048061025100562406	0.17045946926056552	0.1266588953865502	0.04832099966560528	0.015142625601000366
24.242424242424242	0.07480673158128198	0.04806102509295968	0.17045946914639845	0.12665889537953015	0.048320999664298155	0.015142625598569036
24.747474747474747	0.07480673154060757	0.048061025085356965	0.17045946903223141	0.12665889537251013	0.048320999662991033	0.015142625596137705
25.252525252525253	0.07480673149993318	0.04806102507775424	0.17045946891806435	0.12665889536549008	0.048320999661683905	0.015142625593706376
25.757575757575758	0.07480673146099673	0.048061025070470755	0.17045946880877477	0.12665889535872885	0.04832099966038092	0.015142625591381274
26.262626262626263	0.07480673144639499	0.04806102506765721	0.17045946876777887	0.12665889535559124	0.04832099965913591	0.015142625590543581
26.767676767676768	0.07480673143179327	0.048061025064843665	0.170459468726783	0.12665889535245364	0.0483209996578909	0.015142625589705886
27.272727272727273	0.07480673141719153	0.048061025062030124	0.1704594686857871	0.12665889534931607	0.04832099965664589	0.015142625588868194
27.77777777777778	0.0748067314040347	0.048061025059494764	0.17045946864884803	0.12665889534648736	0.04832099965552212	0.015142625588113476
28.282828282828284	0.074806731403191	0.04806102505933003	0.17045946864648007	0.12665889534629116	0.04832099965543161	0.015142625588065865
28.78787878787879	0.0748067314023473	0.048061025059165284	0.1704594686441121	0.12665889534609498	0.04832099965534109	0.015142625588018255
29.292929292929294	0.07480673140150361	0.04806102505900054	0.1704594686417441	0.12665889534589878	0.04832099965525058	0.015142625587970644
29.7979797979798	0.07480673140065991	0.048061025058835805	0.17045946863937614	0.12665889534570257	0.04832099965516007	0.015142625587923033
30.303030303030305	0.07480673139981621	0.04806102505867106	0.17045946863700817	0.12665889534550637	0.04832099965506956	0.015142625587875422
30.80808080808081	0.07480673139897252	0.04806102505850632	0.1704594686346402	0.12665889534531016	0.04832099965497904	0.015142625587827812
31.313131313131315	0.07480673139812882	0.04806102505834158	0.17045946863227224	0.12665889534511396	0.04832099965488853	0.015142625587780201
31.81818181818182	0.07480673139728512	0.04806102505817684	0.17045946862990427	0.12665889534491775	0.04832099965479802	0.01514262558773259
32.323232323232325	0.07480673139644142	0.0480610250580121	0.1704594686275363	0.12665889534472155	0.0483209996547075	0.01514262558768498
32.82828282828283	0.07480673139559774	0.04806102505784736	0.17045946862516834	0.12665889534452535	0.04832099965461699	0.01514262558763737
33.333333333333336	0.07480673139475404	0.048061025057682616	0.17045946862280037	0.12665889534432914	0.04832099965452648	0.015142625587589758
33.83838383838384	0.07480673139391034	0.04806102505751788	0.17045946862043238	0.12665889534413294	0.04832099965443597	0.015142625587542148
34.343434343434346	0.07480673139306665	0.048061025057353136	0.1704594686180644	0.12665889534393673	0.04832099965434545	0.015142625587494537
34.84848484848485	0.07480673139222295	0.04806102505718839	0.17045946861569644	0.12665889534374053	0.04832099965425494	0.015142625587446926
35.35353535353536	0.07480673139137925	0.04806102505702366	0.17045946861332847	0.12665889534354433	0.04832099965416443	0.015142625587399315
35.85858585858586	0.07480673139053556	0.048061025056858914	0.1704594686109605	0.12665889534334812	0.04832099965407391	0.015142625587351705
36.36363636363637	0.07480673138969186	0.04806102505669417	0.17045946860859254	0.12665889534315192	0.0483209996539834	0.015142625587304094
36.86868686868687	0.07480673138884816	0.048061025056529434	0.17045946860622457	0.1266588953429557	0.04832099965389289	0.015142625587256483
37.37373737373738	0.07480673138800448	0.04806102505636469	0.1704594686038566	0.1266588953427595	0.04832099965380238	0.015142625587208873
37.87878787878788	0.07480673138716078	0.048061025056199955	0.17045946860148864	0.12665889534256333	0.04832099965371186	0.015142625587161262
38.38383838383839	0.07480673138631708	0.04806102505603521	0.17045946859912064	0.12665889534236713	0.04832099965362135	0.015142625587113651
38.88888888888889	0.07480673138547339	0.04806102505587047	0.17045946859675268	0.12665889534217092	0.04832099965353084	0.015142625587066041
39.3939393939394	0.07480673138462969	0.04806102505570573	0.1704594685943847	0.12665889534197472	0.048320999653440326	0.01514262558701843
39.8989898989899	0.07480673138378599	0.04806102505554099	0.17045946859201674	0.12665889534177852	0.04832099965334981	0.015142625586970819
40.40404040404041	0.07480673138294229	0.048061025055376246	0.17045946858964878	0.1266588953415823	0.0483209996532593	0.015142625586923208
40.909090909090914	0.0748067313820986	0.04806102505521151	0.1704594685872808	0.1266588953413861	0.048320999653168786	0.015142625586875598
41.41414141414142	0.0748067313812549	0.048061025055046766	0.17045946858491284	0.1266588953411899	0.04832099965307827	0.015142625586827987
41.919191919191924	0.0748067313804112	0.04806102505488202	0.17045946858254488	0.1266588953409937	0.04832099965298776	0.015142625586780376
42.42424242424243	0.07480673137956752	0.04806102505471729	0.1704594685801769	0.1266588953407975	0.04832099965289725	0.015142625586732766
42.929292929292934	0.07480673137872382	0.04806102505455254	0.17045946857780891	0.1266588953406013	0.048320999652806736	0.015142625586685155
43.43434343434344	0.07480673137788012	0.04806102505438781	0.17045946857544095	0.1266588953404051	0.04832099965271622	0.015142625586637544
43.939393939393945	0.07480673137703643	0.048061025054223064	0.17045946857307298	0.12665889534020888	0.04832099965262571	0.015142625586589933
44.44444444444445	0.07480673137619273	0.04806102505405832	0.17045946857070501	0.12665889534001268	0.048320999652535196	0.015142625586542323
44.949494949494955	0.07480673137534903	0.048061025053893584	0.17045946856833705	0.12665889533981647	0.04832099965244468	0.015142625586494712
45.45454545454546	0.07480673137450534	0.04806102505372884	0.17045946856596908	0.12665889533962027	0.04832099965235417	0.0151426255864471
45.959595959595966	0.07480673137366164	0.0480610250535641	0.1704594685636011	0.12665889533942407	0.048320999652263656	0.015142625586399491
46.46464646464647	0.07480673137352567	0.048061025053537515	0.17045946856321956	0.12665889533939223	0.04832099965224879	0.015142625586391827
46.969696969696976	0.0748067313734769	0.048061025053527946	0.17045946856308275	0.12665889533938063	0.048320999652243256	0.015142625586389086
47.47474747474748	0.07480673137342814	0.048061025053518384	0.17045946856294591	0.12665889533936905	0.04832099965223772	0.015142625586386344
47.979797979797986	0.07480673137337937	0.048061025053508816	0.1704594685628091	0.12665889533935745	0.04832099965223218	0.015142625586383603
48.484848484848484	0.0748067313733306	0.04806102505349925	0.1704594685626723	0.12665889533934585	0.048320999652226644	0.01514262558638086
48.98989898989899	0.07480673137328184	0.048061025053489685	0.1704594685625355	0.12665889533933428	0.04832099965222111	0.01514262558637812
49.494949494949495	0.07480673137323307	0.048061025053480116	0.17045946856239869	0.12665889533932267	0.04832099965221557	0.015142625586375377
50.0	0.0748067313731843	0.04806102505347055	0.17045946856226188	0.12665889533931107	0.04832099965221003	0.015142625586372636
