NON $ % + - .
#NON	b	c	e	a	d
0.0	0.19882273091314429	0.4729445385523443	0.6609673713191339	0.05501446929056186	0.3334766953740784
0.5050505050505051	0.14100468961237692	0.15337486297422764	0.3003970961249965	0.11429902601275184	0.12924547417781893
1.0101010101010102	0.09652552055135188	0.061555191909571066	0.1387117253038272	0.10495865704548434	0.05525738584007994
1.5151515151515151	0.06470661783498104	0.030235052932895433	0.06542221594154801	0.08123429037095635	0.02641831907625401
2.0202020202020203	0.042906637426395604	0.01733087721671623	0.03180177714201686	0.0598589391033135	0.01419653051450387
2.5252525252525255	0.02830895843329463	0.010973655662122028	0.0160898070453061	0.044109163776261145	0.008459956470731248
3.0303030303030303	0.018641298694256965	0.0073502861255612985	0.008534899486890644	0.03320034602557223	0.005438913808867408
3.5353535353535355	0.012268254341955913	0.005064205252008339	0.00475687964479604	0.02564968184261471	0.0036654344727589617
4.040404040404041	0.008073113770054218	0.0035311476534006466	0.0027750823319025236	0.020257562723364864	0.0025334649527377255
4.545454545454546	0.0053117583697817475	0.0024699211557222493	0.0016808217662094777	0.016240230459584788	0.0017711497974283474
5.050505050505051	0.0034935209619381576	0.0017251365122141979	0.0010466600013351876	0.01312915513752773	0.001242507507580052
5.555555555555556	0.0022959746296895866	0.0012004775998464175	0.000663959090021726	0.010651393621549632	0.0008709524866083209
6.0606060606060606	0.0015072875616917564	0.0008314359481340908	0.00042591437658649756	0.008644416658323741	0.0006086935422223982
6.565656565656566	0.00098811995351815	0.000572903060071581	0.0002747970731047163	0.007005251856226033	0.00042370416797694676
7.070707070707071	0.0006466770733885454	0.0003927279591273218	0.00017766773922085478	0.005662967416889259	0.00029363092534761246
7.575757575757576	0.0004224075333566108	0.0002678617346829079	0.00011483509849904309	0.0045645388505046215	0.00020256679076357512
8.080808080808081	0.00027533719394558877	0.00018181384365569084	7.408869839084379e-05	0.0036678819125374636	0.00013911954510796275
8.585858585858587	0.0001790712308740509	0.00012283966646695952	4.767012223879735e-05	0.002938357904066352	9.513056366233354e-05
9.090909090909092	0.0001161942128243853	8.263402755835013e-05	3.057360980298585e-05	0.0023469805556758836	6.478113731881088e-05
9.595959595959597	7.521539780279685e-05	5.535826262272808e-05	1.9540443998614143e-05	0.001869334894056054	4.393898143381203e-05
10.101010101010102	4.857015125353441e-05	3.694078854230931e-05	1.244378447821498e-05	0.0014849476560400829	2.9689825274442283e-05
10.606060606060607	3.129047236804668e-05	2.456145754813872e-05	7.89672634342872e-06	0.0011766604819973257	1.9990846467660254e-05
11.111111111111112	2.0117363334212892e-05	1.627824999199814e-05	4.995629284273961e-06	0.0009302209438196602	1.3417826765176266e-05
11.616161616161618	1.289975314447188e-05	1.0751426609653837e-05	3.148544521151577e-06	0.0007337794446915641	8.975907914359245e-06
12.121212121212121	8.244530187770908e-06	7.074380258285535e-06	1.975689109686291e-06	0.0005776016900708575	5.982765556359694e-06
12.626262626262626	5.259715574473188e-06	4.642295181946346e-06	1.2365134633662712e-06	0.00045372204229323157	3.9768683861620496e-06
13.131313131313131	3.3468033388761102e-06	3.0370563903014638e-06	7.711847731645187e-07	0.00035572290922159834	2.635627726728848e-06
13.636363636363637	2.123926820573352e-06	1.981099558394828e-06	4.792391878546058e-07	0.0002784217680429055	1.7418085952663308e-06
14.141414141414142	1.3440393742261545e-06	1.2882327689721699e-06	2.9672780662478963e-07	0.00021751628243758873	1.14760030445878e-06
14.646464646464647	8.476508887249025e-07	8.346280052669532e-07	1.829737807323729e-07	0.0001695662917264305	7.534126186361031e-07
15.151515151515152	5.331215416485447e-07	5.391676218882479e-07	1.1243334061268944e-07	0.00013197705739710682	4.932139653416521e-07
15.656565656565657	3.3576963700535145e-07	3.483139365341418e-07	6.920922272148709e-08	0.00010253953533433051	3.227588336119047e-07
16.161616161616163	2.1109438808832764e-07	2.2460363324453096e-07	4.2496701610740766e-08	7.958422243065399e-05	2.1083465900165807e-07
16.666666666666668	1.3257885201505414e-07	1.4465885068976835e-07	2.6055425211361144e-08	6.171408814277505e-05	1.3755783657311192e-07
17.171717171717173	8.322796881175404e-08	9.310026319476453e-08	1.596237258636602e-08	4.7822136838408094e-05	8.967810113477008e-08
17.67676767676768	5.21982480843954e-08	5.985162327745163e-08	9.766057004122337e-09	3.7028130487243696e-05	5.839905485789549e-08
18.181818181818183	3.2679524293150347e-08	3.841027325816491e-08	5.961085950664569e-09	2.8644864078603217e-05	3.796690275361819e-08
