NON $ % + - . 0 1 2
#NON	e	c	d	b	a	g	f	h
0.0	0.2740719203895503	0.8940689067018472	0.002782441735203034	0.6173051962192422	0.5148194180136572	0.17162028338730495	0.12474537214984249	0.4363036336969708
0.5050505050505051	0.2432785460540712	0.47655614347156244	0.06140363890809226	0.3149143780981535	0.28461476257182516	0.25606413298626657	0.17630798154777377	0.3285236542725179
1.0101010101010102	0.20508321334860466	0.31226270216659535	0.0633129444834586	0.16065159565353454	0.16409447097199406	0.25842887838899764	0.2007411332014486	0.2575741352723263
1.5151515151515151	0.17671654259279565	0.2436862088062177	0.053756247458069485	0.08195540350926236	0.0991434744219042	0.24778958209872146	0.20961900400683983	0.20798377096073536
2.0202020202020203	0.15884241317955972	0.21101300996786101	0.04412223070227745	0.04180903448475137	0.06317684742992857	0.23617468628334595	0.21085137965286274	0.1717765129991424
2.5252525252525255	0.14806635853517933	0.19219730829314433	0.03660967776951393	0.021328616505554007	0.042710812613947644	0.22546550995222067	0.20899869861402873	0.14467430575324203
3.0303030303030303	0.14133846574582687	0.17926040489403242	0.031127089729287134	0.010880658567988089	0.030723680831437134	0.21585581505613194	0.20628650056177145	0.12419426159299586
3.5353535353535355	0.1367769732119614	0.16932921268482257	0.02718765828291325	0.005550698900455057	0.023485392798375363	0.20737679164736475	0.20361973921197374	0.10872609186970353
4.040404040404041	0.13339949048258673	0.16134759808547203	0.024358046272042824	0.0028316537272640016	0.018978487614909917	0.20006549790986197	0.2012805369427245	0.09710875252138984
4.545454545454546	0.1307406379599967	0.1548819369540934	0.022318963967870524	0.0014445509227096142	0.016089186432529316	0.19392825807594255	0.1993061351837711	0.0884474362050019
5.050505050505051	0.12858914349483833	0.14969319014160937	0.02084429907685747	0.0007369307971855444	0.014187356317255005	0.188913942127018	0.19765933422088972	0.08203549129037498
5.555555555555556	0.1268429704618807	0.14559297018019773	0.01977436683049234	0.00037594364913289083	0.012906475329327765	0.1849172199441911	0.19629210666721575	0.07731622836796556
6.0606060606060606	0.12544004189206528	0.1424048009278533	0.01899589086834431	0.0001917866120259333	0.012027019844904757	0.18179837820984793	0.19516298216606717	0.07385737866328046
6.565656565656566	0.12433001308489264	0.13996145829479797	0.018428140641745507	9.783941754170703e-05	0.011413607952248698	0.17940609998793386	0.19423813301030868	0.07132906581190619
7.070707070707071	0.12346569588085103	0.13811121994798514	0.018013311925312032	4.991244395941531e-05	0.01098036597953665	0.1775954394250134	0.19348874904466706	0.06948351710010174
7.575757575757576	0.1228024288257557	0.13672316282995184	0.01770981262018116	2.5462420629578875e-05	0.01067137952252915	0.17623852940408105	0.19288891931424842	0.06813695927522224
8.080808080808081	0.12229962834192731	0.1356891010497946	0.01748757010550704	1.2989177386285697e-05	0.01044937185374417	0.17522887336074483	0.1924147581081669	0.06715431350271418
8.585858585858587	0.12192215728414744	0.13492264176705318	0.01732474553124581	6.626081603552901e-06	0.010288974015785324	0.1744813091915496	0.1920443785801867	0.06643686710433354
9.090909090909092	0.12164086506139934	0.13435654386762763	0.017205421072952764	3.3798311424745383e-06	0.010172616451495968	0.1739296465315752	0.19175818648223594	0.06591270441055774
9.595959595959597	0.12143238017666139	0.13393944085137144	0.01711796464728031	1.7241510185035464e-06	0.01008795855269928	0.1735234395274636	0.19153914404186342	0.06552949745476974
10.101010101010102	0.12127845390159861	0.13363262789685806	0.017053866255139164	8.796148767521185e-07	0.010026235232624529	0.17322477946568204	0.19137285925739653	0.06524917898518462
10.606060606060607	0.12116511245058052	0.1334071903291766	0.017006887484830074	4.4899559808215587e-07	0.009981166343847056	0.1730053959551469	0.1912474884979031	0.0650440226577022
11.111111111111112	0.12108180546068566	0.13324167370567236	0.01697246024054378	2.2917725315527134e-07	0.009948224092939372	0.1728443605672705	0.1911535016257095	0.064893821092378
