NON $ % + - .
#NON	a	b	e	c	d
0.0	0.46208880026975285	0.8363849982321607	0.9131772403717802	0.9858980037329882	0.2832434735996856
0.5050505050505051	0.38696374534245404	0.5503310577414358	0.6528560144240652	0.4627254259512047	0.25170805187870426
1.0101010101010102	0.32249267621889105	0.3950738282786624	0.4895530005940281	0.27602090153331943	0.22967702089785222
1.5151515151515151	0.2779365024387505	0.307940760640918	0.38887911186736945	0.207060367738158	0.2122257161784239
2.0202020202020203	0.2512556463548861	0.257364342863762	0.32898001026743495	0.17982330608883212	0.19957363505989126
2.5252525252525255	0.23656712281855666	0.22729627908131855	0.29441294653240896	0.16804271217220837	0.19139973697278165
3.0303030303030303	0.22880136617438496	0.20922664248086842	0.2748474923549655	0.1624881580004938	0.186568104883167
3.5353535353535355	0.22475495637610232	0.1983610501149607	0.2638954156191109	0.15970855000716294	0.1838711218091773
4.040404040404041	0.22265103393027072	0.19186085873215877	0.2578053598555896	0.15827301989672496	0.18241426900408267
4.545454545454546	0.22155460491689893	0.1880016108984467	0.254434351197456	0.15752167862545996	0.18164044694187942
5.050505050505051	0.2209815443889743	0.18572906930833313	0.2525752344799764	0.15712670948758223	0.18123254900236485
5.555555555555556	0.22068135039811887	0.18440150580513495	0.2515532247980833	0.15691890937745198	0.1810181678036245
6.0606060606060606	0.22052386970087803	0.1836316952129227	0.2509930384657509	0.15680961129866422	0.18090558697670958
6.565656565656566	0.22044118680220798	0.18318829844399712	0.2506868045746118	0.15675214508302754	0.18084646660516074
7.070707070707071	0.22039776133215944	0.1829344628593509	0.25051981678349783	0.15672194244074925	0.18081541832814868
7.575757575757576	0.22037494774857433	0.18278993960765966	0.2504289604951741	0.1567060712706793	0.180799108786898
8.080808080808081	0.22036296161944827	0.18270805983569693	0.2503796277680506	0.15669773162618714	0.1807905403159085
8.585858585858587	0.22035666390289843	0.18266187719653143	0.25035289121144905	0.15669334962532375	0.18078603852709219
9.090909090909092	0.2203533549957679	0.18263593436135783	0.2503384259043543	0.15669104718882101	0.1807836732038479
9.595959595959597	0.2203516172459138	0.1826214201772328	0.2503306153462152	0.15668983799219263	0.18078243099663507
10.101010101010102	0.22035070351378797	0.18261332091206373	0.25032639988554195	0.1566892021822844	0.18078177786101282
10.606060606060607	0.2203502226356956	0.1826088115856296	0.2503241258035759	0.15668886759201706	0.18078143411366213
11.111111111111112	0.2203499712298864	0.18260631826361112	0.250322907078449	0.15668869263617208	0.18078125441412438
11.616161616161618	0.2203498386177748	0.18260493752752813	0.2503222504855518	0.15668860037716648	0.18078115961645938
12.121212121212121	0.22034976932816322	0.1826041781186964	0.25032189945518435	0.15668855211556376	0.18078111011413658
12.626262626262626	0.22034973250249493	0.18260375772162868	0.2503217095969009	0.15668852648731899	0.18078108375451818
13.131313131313131	0.22034971300128375	0.1826035259516341	0.2503216074001059	0.15668851299410347	0.18078106983687475
13.636363636363637	0.22034970279079846	0.18260339760669247	0.25032155235302606	0.156688505784698	0.18078106258711454
14.141414141414142	0.22034969787222158	0.18260333095307138	0.2503215247474603	0.15668850223137223	0.18078105899760888
14.646464646464647	0.22034969527296472	0.18260329519726226	0.2503215102187152	0.15668850051995442	0.18078105700322314
15.151515151515152	0.22034969363787696	0.18260327474786558	0.2503215018315686	0.15668849964160905	0.18078105588819093
15.656565656565657	0.22034969270025795	0.1826032630412454	0.25032149705390905	0.15668849901762597	0.18078105548249968
16.161616161616163	0.22034969238701177	0.1826032565167207	0.2503214945469341	0.15668849846762462	0.18078105534477748
16.666666666666668	0.22034969231841903	0.18260325289754173	0.2503214932129158	0.1566884982482883	0.1807810549661931
17.171717171717173	0.2203496922085772	0.18260325057294222	0.25032149231797984	0.15668849823711004	0.18078105459816274
17.67676767676768	0.22034969218134368	0.18260324882666845	0.2503214916913695	0.15668849808549218	0.18078105450233115
18.181818181818183	0.2203496920784463	0.18260324802673447	0.2503214913671643	0.15668849805786403	0.18078105453805013
18.68686868686869	0.22034969195534085	0.18260324778723247	0.2503214912322253	0.15668849809416285	0.18078105462684005
19.191919191919194	0.22034969190514317	0.1826032474601855	0.2503214910965809	0.15668849809353755	0.18078105463692581
19.6969696969697	0.22034969186421066	0.18260324748847154	0.2503214910900726	0.15668849812491764	0.18078105465837283
20.202020202020204	0.2203496917886289	0.18260324744983303	0.25032149104599344	0.15668849817165462	0.18078105469640987
20.70707070707071	0.2203496918016072	0.18260324767351208	0.2503214911301512	0.15668849818890787	0.180781054696317
21.212121212121215	0.22034969181458552	0.18260324789719112	0.25032149121430897	0.15668849820616113	0.18078105469622413
21.71717171717172	0.2203496918240576	0.18260324805996836	0.2503214912755318	0.1566884982185872	0.18078105469629357
22.222222222222225	0.22034969182527714	0.18260324807940426	0.2503214912827739	0.15668849821965183	0.18078105469674502
22.72727272727273	0.22034969182649666	0.18260324809884018	0.250321491290016	0.15668849822071648	0.18078105469719646
23.232323232323235	0.2203496918277162	0.18260324811827608	0.2503214912972581	0.1566884982217811	0.18078105469764788
23.73737373737374	0.2203496918289357	0.182603248137712	0.2503214913045002	0.15668849822284575	0.18078105469809932
24.242424242424242	0.22034969183015524	0.18260324815714793	0.2503214913117423	0.1566884982239104	0.18078105469855074
24.747474747474747	0.22034969183137476	0.18260324817658383	0.2503214913189844	0.15668849822497502	0.18078105469900219
25.252525252525253	0.22034969183259429	0.18260324819601975	0.2503214913262265	0.15668849822603967	0.1807810546994536
25.757575757575758	0.2203496918338138	0.18260324821545568	0.2503214913334686	0.1566884982271043	0.18078105469990505
