NON $ % + - . 0
#NON	b	e	f	a	c	d
0.0	0.47193373761108715	0.6881013065381266	0.3213480769243403	0.3630595173793384	0.5730605456226032	0.7445334036995354
0.33557046979865773	0.27977569671708036	0.40355743575526776	0.2660989713365793	0.2185509640951895	0.40890816515928113	0.43470892818055584
0.6711409395973155	0.17372171946239218	0.24589642632436934	0.22915218727365516	0.13944140556567655	0.30340111212279464	0.29895687589924197
1.0067114093959733	0.11457865573591837	0.15789641639751176	0.2008604128039059	0.0955107133763931	0.23349466285626586	0.2308098491095256
1.342281879194631	0.08100698079314436	0.10817654682084656	0.17827171012573623	0.07054728409767934	0.18621621489162085	0.1916572664332896
1.6778523489932886	0.06145872551175478	0.07957500778333729	0.1604261787683437	0.055898906408394684	0.1538679717084436	0.1669430009743179
2.0134228187919465	0.04972093023620325	0.0627414752141322	0.14666957670432776	0.04697557368577959	0.13159858017025566	0.1505168709811549
2.348993288590604	0.042441523982402356	0.052574787673114645	0.13630084413808272	0.041332299928815056	0.11621030752029705	0.1393091990347492
2.684563758389262	0.037786361000145346	0.04626789133685252	0.1286130116260043	0.037642422578896856	0.10554353404612987	0.1315466715941177
3.0201342281879198	0.034727671164527324	0.042252251485253474	0.12297372952303139	0.03516316399573833	0.0981252524558268	0.1261133615192687
3.3557046979865772	0.032671887371312026	0.03963331228254784	0.11886384204188427	0.033461984945558174	0.09294762629193856	0.12227821824014934
3.691275167785235	0.031264703980553386	0.037888597103245304	0.11587947433985216	0.032276343900724674	0.08932018904224895	0.11955245471595374
4.026845637583893	0.030287588971109825	0.03670501424436472	0.11371646883596732	0.03144058492119937	0.08676911234339009	0.1176045143945715
4.3624161073825505	0.0296015834062802	0.03588995275778436	0.11215008870755887	0.03084664056657038	0.08496837938237069	0.1162065733136711
4.697986577181208	0.029115911947810467	0.03532183061588734	0.11101606325884292	0.03042208294682803	0.08369288109520483	0.11520020777811174
5.033557046979866	0.028769903638649286	0.034922024708917164	0.11019502007995916	0.030117344434696946	0.0827865419129829	0.11447410087008338
5.369127516778524	0.02852224100677623	0.03463857260808282	0.10960047464714764	0.0298979649890666	0.08214067870571576	0.11394937218966306
5.704697986577181	0.028344351996761472	0.03443645940444874	0.10916984842327922	0.029739701162654304	0.0816792615072551	0.11356975275748206
6.0402684563758395	0.028216253285051195	0.03429172288343967	0.10885787132725352	0.0296253572145046	0.0813488798144553	0.11329489516820077
