NON $ % + -
#NON	c	d	b	a
0.0	0.6654344703906553	0.2614690422397392	0.7771021111139093	0.47679558973065894
0.33557046979865773	0.3315861840907685	0.2380795012438953	0.40801323381481663	0.32036302810535183
0.6711409395973155	0.17156703692931313	0.21212718846360018	0.22928247654018785	0.2152138772655013
1.0067114093959733	0.09217374376961421	0.18614759971343925	0.13762053086954482	0.14445674594979888
1.342281879194631	0.0513185564798075	0.16146672140115853	0.08738240259869368	0.09687635930644253
1.6778523489932886	0.029514374297236433	0.13875844999171855	0.05793234663871485	0.0649265312619202
2.0134228187919465	0.017465472628529544	0.11832498259084755	0.03960398497114435	0.04350331289447065
2.348993288590604	0.010590513717393241	0.10024561478126665	0.027640584518801716	0.029154141023315268
2.684563758389262	0.006553938859845905	0.08446251479047512	0.019554560981999487	0.0195489181499215
3.0201342281879198	0.004124261654430113	0.0708348302001083	0.013955772291498334	0.013119872156140348
3.3557046979865772	0.002630619946556554	0.05917517982686929	0.010016102012063767	0.008815164549015049
3.691275167785235	0.0016961438084856523	0.04927495858019349	0.007214375174326661	0.005930697030201841
4.026845637583893	0.001103040794247804	0.04092171577009369	0.005208134435819995	0.003995861043412601
4.3624161073825505	0.0007222090627832154	0.033910595713316345	0.0037651173527268405	0.0026963559489402407
4.697986577181208	0.00047540374202171464	0.028051363960131356	0.0027242735778925044	0.0018223236895727462
5.033557046979866	0.0003142689111133398	0.02317206784977779	0.001972173197728637	0.0012335449458584428
5.369127516778524	0.00020845161014732913	0.01912046765732412	0.001428127822301834	0.0008362927780561355
5.704697986577181	0.00013864023001774507	0.015763944004160937	0.0010343388788761553	0.0005678355714706935
6.0402684563758395	9.24139807333905e-05	0.01298839533085224	0.0007492134794407304	0.0003861269557823774
6.375838926174497	6.171472785223249e-05	0.01069661782186232	0.0005427341573939621	0.0002629425889595793
6.7114093959731544	4.1278334480711906e-05	0.008806449407377298	0.0003931983684267905	0.00017930547985781266
7.046979865771813	2.7647065224057595e-05	0.0072488757571415345	0.0002848993520393315	0.0001224352564945806
7.38255033557047	1.8539789221796128e-05	0.005966214883541549	0.0002064636440091693	8.371028889711012e-05
7.718120805369128	1.2446373367357138e-05	0.00491044717549253	0.0001496538769388258	5.730477012158672e-05
8.053691275167786	8.364311591003038e-06	0.004041722490075299	0.00010850399948055687	3.9275708951844997e-05
8.389261744966444	5.626572931650591e-06	0.003327052206195741	7.869336702341554e-05	2.6950193848494227e-05
8.724832214765101	3.7885101223097806e-06	0.0027391810561283236	5.709337412237948e-05	1.8513531615547126e-05
9.060402684563758	2.5532282787436736e-06	0.002255622638788515	4.1438688084157596e-05	1.2731789979918585e-05
9.395973154362416	1.722384910324402e-06	0.0018578502503063521	3.009039323164809e-05	8.765450018659686e-06
9.731543624161075	1.1628540649965638e-06	0.0015306246957479818	2.1859810294025296e-05	6.040638426518205e-06
10.067114093959733	7.859199562277478e-07	0.0012614220262613777	1.5890283462659e-05	4.167702882464929e-06
10.40268456375839	5.316873406794539e-07	0.0010398840872671575	1.1557617754217844e-05	2.8785611845266115e-06
10.738255033557047	3.6008547455722447e-07	0.0008575547894027018	8.412043360704292e-06	1.990456352400399e-06
11.073825503355705	2.4391055881288474e-07	0.0007074164300292955	6.1245617245150175e-06	1.3769186547306062e-06
11.409395973154362	1.6535538195610474e-07	0.0005837749166846779	4.461757965166612e-06	9.533707154278026e-07
11.74496644295302	1.1223837940075809e-07	0.000481869921818284	3.252486909027756e-06	6.608901589433496e-07
12.080536912751679	7.623105808517667e-08	0.00039788235593392205	2.3722310551007004e-06	4.584689896710291e-07
12.416107382550337	5.181672657142611e-08	0.000328666095263381	1.7313576645259056e-06	3.1832007939141136e-07
12.751677852348994	3.525929608828092e-08	0.0002716008019000309	1.2645515057746793e-06	2.2124445773617916e-07
13.087248322147651	2.401423895867266e-08	0.00022452586789588347	9.242213587528968e-07	1.5391349620999176e-07
13.422818791946309	1.6364983211520336e-08	0.00018567174248789207	6.758505203984401e-07	1.0714449524818949e-07
13.758389261744966	1.1155582238915986e-08	0.00015358969078533668	4.944236305450958e-07	7.461959279449186e-08
14.093959731543626	7.610996463577788e-09	0.00012709069351541592	3.619034087440623e-07	5.2010976170072735e-08
14.429530201342283	5.19909501232565e-09	0.00010521914746265795	2.6514831985395284e-07	3.629373416758134e-08
14.76510067114094	3.5555844977008213e-09	8.713144302982182e-05	1.9438454751533977e-07	2.535243798729533e-08
15.100671140939598	2.433720410845576e-09	7.219369585452621e-05	1.426324638764205e-07	1.772546559938937e-08
15.436241610738255	1.6670757674245678e-09	5.984051272710643e-05	1.0472801016131312e-07	1.2402590934342008e-08
15.771812080536913	1.1431428651401022e-09	4.961693313043286e-05	7.694429491663788e-08	8.686467824808546e-09
16.107382550335572	7.847062819363401e-10	4.117010239102803e-05	5.6597266187148475e-08	6.090289190780282e-09
16.44295302013423	5.393147672537618e-10	3.417201983916737e-05	4.166223340470216e-08	4.274905869541346e-09
16.778523489932887	3.720599072197751e-10	2.8381308162414194e-05	3.0726848319205067e-08	3.009976380605557e-09
17.114093959731544	2.574434099153856e-10	2.3593038903510387e-05	2.2708003010107034e-08	2.12481975765121e-09
17.449664429530202	1.782984208612165e-10	1.9624199374995284e-05	1.6803080280131038e-08	1.5015945347254534e-09
17.78523489932886	1.2376786890366405e-10	1.632042925662042e-05	1.2442316156640997e-08	1.0632005430483247e-09
