NON $ % + - . 0
#NON	a	d	f	c	e	b
0.0	0.7384482244431979	0.5485677373580056	0.1311456825655397	0.9290270765152551	0.7691307388032992	0.6110479951271908
0.5050505050505051	0.42300742489314846	0.3215902427755588	0.08594746045298823	0.4770084740164077	0.3642440494475674	0.3998102429522935
1.0101010101010102	0.2957464994496953	0.2326736024735171	0.05792895749356451	0.25459632316350933	0.1900932831066524	0.2864833357960093
1.5151515151515151	0.24296774374722988	0.18073884378604246	0.04104017433380379	0.14314531097729946	0.11107847802642523	0.22599662641598
2.0202020202020203	0.22122349514582865	0.1427531437216871	0.03048133773410276	0.08576860672052948	0.07234268388287965	0.19468282202659817
2.5252525252525255	0.21289247856391535	0.11396550554802759	0.023584601035237907	0.055189189447334266	0.05154202377603348	0.17944457807650113
3.0303030303030303	0.2103946860609634	0.0926579284999014	0.018915877043742424	0.038200495859598164	0.03932831242227629	0.17287633929708154
3.5353535353535355	0.21034884684870742	0.07726914975468713	0.01566884805031095	0.028310213167365022	0.03159644356501209	0.17081147738085312
4.040404040404041	0.21123147202046574	0.0662870457469748	0.013364814857919325	0.022265249084436407	0.026419381441264902	0.17094818852585916
4.545454545454546	0.21236686282063594	0.05844727003535441	0.011704605256430843	0.018394466505236923	0.02281537898024796	0.1720472448319613
5.050505050505051	0.21347043779462127	0.05280228047288883	0.010493053594933044	0.01581113525464552	0.020238565538443637	0.17346497647213466
5.555555555555556	0.21443712430749318	0.048685738859348786	0.009598926465785442	0.014025971585208529	0.018360667457666926	0.17488546854168702
6.0606060606060606	0.21524212647383892	0.045642801942276524	0.00893225321157524	0.012757072414855486	0.016972064131820265	0.1761691049805204
6.565656565656566	0.2158942870654931	0.04336508143755572	0.008430524325357337	0.011834731885134038	0.015933203598933264	0.17726797378906856
7.070707070707071	0.21641440842216716	0.04164175872574206	0.008049801828073262	0.011152424119256868	0.015148455915292075	0.1781792976043428
7.575757575757576	0.216825524978598	0.04032642308044293	0.0077588373478482305	0.01064071202316927	0.014550874469096461	0.17892037309962863
8.080808080808081	0.21714887342192685	0.039315469732798765	0.0075351313295685465	0.010252805274516693	0.014092766880922585	0.17951551281674832
8.585858585858587	0.2174025520490953	0.038534186858972606	0.007362280144682567	0.009956276096279101	0.013739641057354753	0.17998964408557794
