NON $ % + - . 0 1
#NON	b	d	e	g	f	c	a
0.0	0.8286655003321515	0.40452600006627837	0.7068643849811777	0.9270950546360984	0.21460522842531082	0.890965862029522	0.13860162041167134
0.5050505050505051	0.46798569202026064	0.19370747050665016	0.30466927958640255	0.46981519103818065	0.20803577326371853	0.43559622546266635	0.1175810121512947
1.0101010101010102	0.3172702607569937	0.09485622696288089	0.1509756151009692	0.2863924528212215	0.1853251351240074	0.2725010571297979	0.09033244147157193
1.5151515151515151	0.2504093844231906	0.04796016216924488	0.0855894288955154	0.20916644546435495	0.16724153389742535	0.21064913046445585	0.0663682310957645
2.0202020202020203	0.21934517108797336	0.025386816257571308	0.05460160562045264	0.17520521676635858	0.15588626415985585	0.18570295083911226	0.04801766413947394
2.5252525252525255	0.2044892127822526	0.01427028484191044	0.03827498465416438	0.15975529284121015	0.14945572633399418	0.17507498739116378	0.034813614448291355
3.0303030303030303	0.19727223947814895	0.008615738603778882	0.02880722999203852	0.15255355347734925	0.14601412333628874	0.17034768420115454	0.0255862178641487
3.5353535353535355	0.1937389115253472	0.005622612565994481	0.022892923507866522	0.1491395722440309	0.14423253990143764	0.16817754597671122	0.019225629129106508
4.040404040404041	0.19200277922519965	0.00396765898155499	0.01901305078825371	0.14750237783618197	0.14332859669473128	0.16715885332689442	0.014868492148758551
4.545454545454546	0.19114834652107743	0.0030120374154893486	0.016395087306554545	0.14671097627680255	0.14287545772358198	0.16667321148079423	0.011891297733746064
5.050505050505051	0.1907275546624084	0.0024377832151861326	0.014602438921078363	0.1463262960165222	0.14264993656822492	0.166439216846099	0.009858169253489773
5.555555555555556	0.19052026965090837	0.0020806553325824787	0.013366126450630225	0.14613858673960808	0.1425381772532359	0.16632565279093148	0.008469049692723846
6.0606060606060606	0.1904181468562478	0.0018522512434053957	0.012510690418152379	0.14604673651715278	0.14248293071632417	0.16627026249086857	0.007518909479673146
6.565656565656566	0.19036783346589137	0.0017029432217306431	0.011917952750780484	0.14600170513021177	0.14245566022186956	0.1662431565479825	0.006868126325289026
7.070707070707071	0.19034304498429203	0.0016037129828032973	0.01150702075658559	0.1459795965393523	0.14244221026572373	0.16622986189077676	0.006421723309936275
7.575757575757576	0.1903308314704874	0.0015369512919433898	0.011222053242766636	0.14596873076240724	0.14243557938164197	0.16622333113976318	0.006115051386973966
8.080808080808081	0.19032481422482628	0.001491637897540149	0.011024455579387327	0.1459633870211661	0.14243231148541818	0.16622011994647842	0.005904092008045186
