NON $ % + - . 0 1 2
#NON	f	g	h	d	c	a	e	b
0.0	0.5714533005757758	0.8907399449855347	0.35533001347227433	0.6082335922721047	0.681090533583565	0.7585652361712424	0.14829444306543038	0.27538964879973316
0.5050505050505051	0.21339977061039775	0.40603651607630514	0.22244267702955225	0.36245606584214884	0.23817886178020392	0.45836422751556316	0.15890838041554062	0.2092731741817128
1.0101010101010102	0.09849309811198483	0.19459490647814112	0.18280951345352275	0.24572210500370734	0.10650633856395328	0.3110783837365565	0.14394900888424655	0.1514904313187807
1.5151515151515151	0.05417381519245759	0.09966461016435751	0.16403085482622642	0.1856002173888502	0.058267705713576194	0.2324392801517286	0.12497576658836325	0.11105587890375383
2.0202020202020203	0.0337807559847165	0.05546600370815182	0.15077253907949492	0.15152188365692648	0.03645254165710057	0.18670120831754378	0.10841465229794436	0.08480818546668731
2.5252525252525255	0.023087498374628878	0.033940511506505795	0.14016589084109965	0.13037800541333053	0.024975379576560687	0.1580431269696788	0.09545859525780365	0.06771509838278093
3.0303030303030303	0.0169966805965621	0.02289867887406242	0.1315702204730925	0.1162361671097676	0.018383282658633406	0.13895019995072186	0.08564731467894753	0.05626545204997706
3.5353535353535355	0.013342233481266038	0.016913415215161626	0.12467469781042766	0.10624305117647052	0.01440204184131988	0.1256173861485934	0.07826756177914297	0.048409393793524956
4.040404040404041	0.011067538684221114	0.013488165400869166	0.11923498418081122	0.09894318139902102	0.011914459870619738	0.11601523665069172	0.07273700075881881	0.04294870314402822
4.545454545454546	0.009608866635308964	0.011427554285400788	0.11502872675284984	0.09353249981069628	0.01031625797366458	0.10899027157292271	0.0686217508145927	0.0391316912337842
5.050505050505051	0.008649062255634422	0.010132894300481234	0.11183990805082143	0.0895131386582282	0.009263777717947095	0.10382610725553787	0.06558796366918321	0.03645517259111608
5.555555555555556	0.008003371409382632	0.009289781694247585	0.109462108699222	0.0865388436205586	0.008555531731071304	0.10003446558353378	0.0633705651827735	0.03457199570293588
6.0606060606060606	0.007560980941935602	0.008724972442149244	0.10771028571428984	0.08435030116778774	0.008070261704792641	0.09726018442431762	0.061759906452184994	0.033241416993101645
6.565656565656566	0.0072534632110839055	0.008338363236548659	0.1064296452621754	0.08274830841638761	0.007732963956068963	0.09523754088750713	0.0605942022328997	0.03229694596386928
7.070707070707071	0.007037316960663723	0.008069475266469148	0.10549765211725508	0.08158031986902647	0.007495917608280266	0.09376704492153196	0.05975188032076874	0.03162355584551823
7.575757575757576	0.00688413830165137	0.007880287025955224	0.10482098320628194	0.08073104986616361	0.007327952522484327	0.09269999493083303	0.05914344170941915	0.031141601910585463
8.080808080808081	0.006774930432744238	0.007746070459442369	0.10433026558349962	0.08011458927697991	0.007208220000263191	0.09192660686097878	0.05870384516836851	0.030795605334314996
