NON $ % + -
#NON	a	b	c	d
8.585858585858587	0.16953292719888152	0.14973249663401567	0.2408168938531356	0.1586476417036217
9.090909090909092	0.1695328908862675	0.14972342388143714	0.24081336594166602	0.15864765746492482
9.595959595959597	0.16953288047175463	0.1497182185273037	0.24081148707836209	0.15864766637012007
10.101010101010102	0.1695328780510686	0.14971524194213273	0.24081048432232185	0.15864767077564365
10.606060606060607	0.16953287821440943	0.14971354840596376	0.24080995182707401	0.158647672887884
11.111111111111112	0.16953287835867004	0.14971258725469772	0.24080966754300598	0.15864767379915523
11.616161616161618	0.16953287864959923	0.14971204398462942	0.24080951618123683	0.15864767416690914
12.121212121212121	0.16953287875859246	0.14971173630554271	0.24080943489735834	0.15864767435399163
12.626262626262626	0.16953287875762438	0.14971156231638136	0.24080939125524173	0.1586476743863976
13.131313131313131	0.16953287883853832	0.14971146313944528	0.24080936775362088	0.15864767443557032
13.636363636363637	0.16953287887131424	0.1497114099696052	0.24080935604726145	0.1586476744623852
14.141414141414142	0.1695328788430019	0.1497113808311136	0.2408093499696184	0.15864767444758998
14.646464646464647	0.1695328788186933	0.14971136388839354	0.24080934644017626	0.15864767442603736
15.151515151515152	0.1695328788199086	0.14971135395424223	0.24080934435768256	0.15864767442366584
15.656565656565657	0.16953287882541965	0.14971134826794005	0.24080934319819386	0.15864767443228925
16.161616161616163	0.16953287882347814	0.14971134504645292	0.24080934257585485	0.15864767443599817
16.666666666666668	0.16953287882123833	0.14971134320518026	0.24080934223643158	0.15864767443361588
17.171717171717173	0.1695328788228789	0.14971134215562917	0.24080934204760468	0.1586476744318835
17.67676767676768	0.16953287882433543	0.14971134156121468	0.24080934194159836	0.1586476744324725
18.181818181818183	0.16953287882384244	0.14971134120129248	0.2408093418781104	0.15864767443324412
18.68686868686869	0.169532878825905	0.14971134078990592	0.2408093418048081	0.15864767443467975
19.191919191919194	0.16953287882718912	0.1497113404970628	0.24080934175318702	0.15864767443556577
19.6969696969697	0.16953287882769474	0.14971134032276312	0.24080934172324717	0.15864767443590216
20.202020202020204	0.16953287882742193	0.14971134026700686	0.2408093417149885	0.15864767443568897
