Networkname,Timepoints,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Gold_7_14_10_2018_13_41.sif,Namespace(dir='100'),4,32,4,9,0.5,0.3076923076923077,0.7346938775510204,0.5982905982905983,0.2348161585354807
Gold_6_14_10_2018_13_41.sif,Namespace(dir='100'),2,20,6,8,0.25,0.2,0.6111111111111112,0.48461538461538467,-0.033149677206589796
Gold_8_14_10_2018_13_41.sif,Namespace(dir='100'),1,47,5,11,0.16666666666666666,0.08333333333333333,0.75,0.4935897435897436,-0.017167540087486825
Gold_9_14_10_2018_13_41.sif,Namespace(dir='100'),0,58,7,16,0.0,0.0,0.7160493827160493,0.4461538461538462,-0.1525936541433597
