,,,Slide ID,a,b,c,d
,,,Antibody Name,a,b,c,d
,,,HUGO ID,a,b,c,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6523337619840808,0.7948865657319385,0.1594355574359263,0.36871566315823734
C1,no,Insulin,0.5050505050505051,0.4752705978970593,0.3722756198570053,0.388913133469976,0.21474276744163842
C1,no,Insulin,1.0101010101010102,0.3940910433486433,0.26221087450884006,0.522520821787691,0.1586405015560297
C1,no,Insulin,1.5151515151515151,0.36138514419024653,0.23824483510280162,0.599260825224623,0.13807795822259694
C1,no,Insulin,2.0202020202020203,0.35094506583217033,0.23582495336238002,0.6419402078063645,0.13110326189418509
C1,no,Insulin,2.5252525252525255,0.348609795886825,0.23748209752460672,0.6648678151403078,0.12924179402474695
C1,no,Insulin,3.0303030303030303,0.3485768457899738,0.23914534910304416,0.6768568503429881,0.12911443856721377
C1,no,Insulin,3.5353535353535355,0.34895885804361576,0.24021368854933522,0.6830119556342197,0.12943508838787626
C1,no,Insulin,4.040404040404041,0.349280661997763,0.2408132924430284,0.6861348735211734,0.12977304497039927
C1,no,Insulin,4.545454545454546,0.3494825410527948,0.2411306369415532,0.6877077267502921,0.13002186347294944
C1,no,Insulin,5.050505050505051,0.3495958478186435,0.24129380794566122,0.6884963382837075,0.1301814137746299
C1,no,Insulin,5.555555555555556,0.34965610260104574,0.24137645782752457,0.6888906727519081,0.13027641874326443
C1,no,Insulin,6.0606060606060606,0.349687235891102,0.2414179916361385,0.6890875409925138,0.130330446570555
C1,no,Insulin,6.565656565656566,0.34970306537161255,0.2414387748973444,0.6891857317682806,0.13036023129553279
C1,no,Insulin,7.070707070707071,0.3497110431425704,0.24144915344362175,0.6892346849591725,0.1303762933657947
C1,no,Insulin,7.575757575757576,0.34971504297447525,0.24145432957094437,0.6892590813011742,0.13038481577356367
C1,no,Insulin,8.080808080808081,0.34971704272453363,0.24145690965170136,0.6892712374445337,0.1303892822463633
C1,no,Insulin,8.585858585858587,0.34971804091336545,0.24145819547033512,0.6892772939066826,0.13039160088780347
C1,no,Insulin,9.090909090909092,0.34971853858814556,0.24145883577554583,0.6892803111068657,0.13039279547726715
C1,no,Insulin,9.595959595959597,0.34971878623610836,0.24145915534562898,0.689281815029281,0.13039340748701722
C1,no,Insulin,10.101010101010102,0.3497189103863231,0.24145931393727837,0.6892825632827275,0.1303937191919012
C1,no,Insulin,10.606060606060607,0.349718971443332,0.2414593931148061,0.689282935863835,0.13039387744611483
C1,no,Insulin,11.111111111111112,0.349719002423789,0.24145943259235256,0.6892831220706008,0.13039395764768055
C1,no,Insulin,11.616161616161618,0.3497190177472085,0.24145945224638615,0.6892832147463619,0.13039399812457272
C1,no,Insulin,12.121212121212121,0.34971902537260124,0.2414594620409526,0.6892832609133008,0.13039401851901233
C1,no,Insulin,12.626262626262626,0.3497190291095121,0.24145946685496492,0.6892832836077178,0.13039402865543218
C1,no,Insulin,13.131313131313131,0.3497190309362893,0.24145946920128283,0.6892832946613564,0.1303940336312114
C1,no,Insulin,13.636363636363637,0.349719031885475,0.24145947041396512,0.6892833003689418,0.1303940361983146
C1,no,Insulin,14.141414141414142,0.3497190323745604,0.24145947104140536,0.6892833033248325,0.13039403752981357
C1,no,Insulin,14.646464646464647,0.3497190326204431,0.24145947136016113,0.6892833048301308,0.13039403821373174
C1,no,Insulin,15.151515151515152,0.34971903278508204,0.24145947157418313,0.6892833058414656,0.13039403867496327
C1,no,Insulin,15.656565656565657,0.3497190329228142,0.24145947175341767,0.6892833066885183,0.1303940390610978
C1,no,Insulin,16.161616161616163,0.34971903299624296,0.24145947184832542,0.6892833071361852,0.13039403926536883
C1,no,Insulin,16.666666666666668,0.3497190330053683,0.24145947185890643,0.6892833071844665,0.13039403928777626
C1,no,Insulin,17.171717171717173,0.3497190329848733,0.24145947183084834,0.6892833070500249,0.1303940392269224
C1,no,Insulin,17.67676767676768,0.3497190329997434,0.24145947184975594,0.6892833071388208,0.13039403926755752
C1,no,Insulin,18.181818181818183,0.3497190329965128,0.24145947184519917,0.6892833071168564,0.13039403925768106
C1,no,Insulin,18.68686868686869,0.3497190329751815,0.24145947181717803,0.6892833069841315,0.130394039197293
C1,no,Insulin,19.191919191919194,0.34971903294975787,0.24145947178327423,0.6892833068229045,0.130394039124248
C1,no,Insulin,19.6969696969697,0.34971903293671014,0.24145947176647575,0.6892833067437705,0.13039403908801342
C1,no,Insulin,20.202020202020204,0.3497190329236624,0.24145947174967727,0.6892833066646364,0.13039403905177885
C1,no,Insulin,20.70707070707071,0.34971903291061474,0.2414594717328788,0.6892833065855024,0.13039403901554425
C1,no,Insulin,21.212121212121215,0.3497190328981201,0.24145947171679247,0.6892833065097231,0.13039403898084556
C1,no,Insulin,21.71717171717172,0.3497190328976833,0.24145947171623036,0.6892833065070751,0.13039403897962787
C1,no,Insulin,22.222222222222225,0.34971903289724643,0.24145947171566826,0.6892833065044272,0.13039403897841018
C1,no,Insulin,22.72727272727273,0.34971903289680956,0.24145947171510615,0.6892833065017793,0.1303940389771925
C1,no,Insulin,23.232323232323235,0.3497190328963727,0.24145947171454404,0.6892833064991313,0.13039403897597482
C1,no,Insulin,23.73737373737374,0.34971903289593587,0.24145947171398194,0.6892833064964833,0.13039403897475713
C1,no,Insulin,24.242424242424242,0.349719032895499,0.24145947171341983,0.6892833064938354,0.13039403897353946
C1,no,Insulin,24.747474747474747,0.3497190328950621,0.24145947171285773,0.6892833064911874,0.13039403897232177
C1,no,Insulin,25.252525252525253,0.3497190328946253,0.24145947171229562,0.6892833064885395,0.13039403897110408
