,,,Slide ID,b,e,f,g,d,a,c
,,,Antibody Name,b,e,f,g,d,a,c
,,,HUGO ID,b,e,f,g,d,a,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,21.212121212121215,0.2934805266346466,0.19022737762634934,0.4087637288921801,0.3572965997034664,0.2668839526105838,0.7108152230121434,0.1744134122790847
C1,no,Insulin,21.71717171717172,0.2934805266349566,0.1902273776290574,0.4087637288917087,0.35729659970322286,0.2668839526206949,0.7108152230118137,0.17441341228535737
C1,no,Insulin,22.222222222222225,0.2934805266350271,0.19022737763489916,0.4087637288916018,0.35729659970316974,0.2668839525804618,0.7108152230117384,0.17441341226052565
C1,no,Insulin,22.72727272727273,0.2934805266351129,0.19022737763594885,0.40876372889144175,0.3572965997030804,0.26688395258154546,0.7108152230116395,0.17441341226121027
C1,no,Insulin,23.232323232323235,0.29348052663521407,0.19022737763220648,0.4087637288912286,0.3572965997029549,0.2668839526239458,0.7108152230115171,0.17441341228741125
C1,no,Insulin,23.73737373737374,0.29348052663533053,0.19022737762367203,0.40876372889096224,0.3572965997027932,0.2668839527076629,0.7108152230113711,0.1744134123391286
C1,no,Insulin,24.242424242424242,0.2934805266354623,0.1902273776103455,0.4087637288906428,0.3572965997025953,0.2668839528326968,0.7108152230112017,0.17441341241636235
C1,no,Insulin,24.747474747474747,0.29348052663568264,0.19022737760987912,0.4087637288902295,0.35729659970236166,0.2668839528600661,0.7108152230109478,0.1744134124332978
C1,no,Insulin,25.252525252525253,0.29348052663565716,0.1902273776049404,0.4087637288902409,0.3572965997023607,0.26688395289949035,0.7108152230109679,0.1744134124576434
C1,no,Insulin,25.757575757575758,0.2934805266356317,0.19022737760000166,0.40876372889025225,0.3572965997023598,0.26688395293891454,0.7108152230109881,0.174413412481989
C1,no,Insulin,26.262626262626263,0.2934805266356062,0.19022737759506295,0.4087637288902636,0.35729659970235883,0.2668839529783388,0.7108152230110082,0.1744134125063346
C1,no,Insulin,26.767676767676768,0.2934805266355807,0.1902273775901242,0.40876372889027496,0.35729659970235783,0.26688395301776296,0.7108152230110283,0.17441341253068018
C1,no,Insulin,27.272727272727273,0.2934805266355591,0.1902273775859332,0.4087637288902846,0.35729659970235705,0.26688395305122564,0.7108152230110453,0.17441341255134432
C1,no,Insulin,27.77777777777778,0.2934805266355588,0.19022737758578098,0.40876372889028484,0.3572965997023571,0.2668839530524863,0.7108152230110456,0.17441341255212278
C1,no,Insulin,28.282828282828284,0.2934805266355584,0.19022737758562877,0.40876372889028506,0.3572965997023571,0.266883953053747,0.7108152230110459,0.17441341255290124
C1,no,Insulin,28.78787878787879,0.293480526635558,0.19022737758547656,0.4087637288902853,0.35729659970235716,0.26688395305500767,0.7108152230110463,0.17441341255367968
C1,no,Insulin,29.292929292929294,0.2934805266355576,0.19022737758532435,0.4087637288902855,0.3572965997023572,0.26688395305626833,0.7108152230110466,0.17441341255445814
C1,no,Insulin,29.7979797979798,0.29348052663555724,0.19022737758517214,0.4087637288902857,0.3572965997023572,0.266883953057529,0.7108152230110468,0.1744134125552366
C1,no,Insulin,30.303030303030305,0.29348052663555685,0.19022737758501992,0.40876372889028595,0.3572965997023573,0.2668839530587897,0.7108152230110472,0.17441341255601503
C1,no,Insulin,30.80808080808081,0.29348052663555646,0.1902273775848677,0.40876372889028617,0.35729659970235733,0.26688395306005036,0.7108152230110475,0.1744134125567935
C1,no,Insulin,31.313131313131315,0.29348052663555607,0.1902273775847155,0.4087637288902864,0.35729659970235733,0.266883953061311,0.7108152230110478,0.17441341255757195
C1,no,Insulin,31.81818181818182,0.2934805266355557,0.1902273775845633,0.4087637288902866,0.3572965997023574,0.26688395306257173,0.7108152230110482,0.17441341255835038
C1,no,Insulin,32.323232323232325,0.29348052663555535,0.19022737758441108,0.4087637288902869,0.35729659970235744,0.2668839530638324,0.7108152230110485,0.17441341255912884
C1,no,Insulin,32.82828282828283,0.29348052663555496,0.19022737758425887,0.4087637288902871,0.35729659970235744,0.26688395306509305,0.7108152230110487,0.17441341255990728
C1,no,Insulin,33.333333333333336,0.2934805266355546,0.19022737758410665,0.40876372889028734,0.3572965997023575,0.26688395306635376,0.710815223011049,0.17441341256068574
C1,no,Insulin,33.83838383838384,0.2934805266355542,0.19022737758395444,0.40876372889028756,0.3572965997023575,0.2668839530676144,0.7108152230110494,0.1744134125614642
C1,no,Insulin,34.343434343434346,0.2934805266355538,0.19022737758380226,0.4087637288902878,0.35729659970235755,0.2668839530688751,0.7108152230110497,0.17441341256224263
C1,no,Insulin,34.84848484848485,0.2934805266355534,0.19022737758365005,0.408763728890288,0.3572965997023576,0.2668839530701358,0.71081522301105,0.1744134125630211
C1,no,Insulin,35.35353535353536,0.293480526635553,0.19022737758349784,0.4087637288902882,0.3572965997023576,0.26688395307139645,0.7108152230110504,0.17441341256379955
C1,no,Insulin,35.85858585858586,0.29348052663555263,0.19022737758334562,0.40876372889028845,0.35729659970235766,0.2668839530726571,0.7108152230110506,0.17441341256457799
C1,no,Insulin,36.36363636363637,0.2934805266355523,0.1902273775831934,0.40876372889028867,0.3572965997023577,0.26688395307391777,0.7108152230110509,0.17441341256535645
C1,no,Insulin,36.86868686868687,0.2934805266355519,0.1902273775830412,0.4087637288902889,0.3572965997023577,0.2668839530751785,0.7108152230110513,0.1744134125661349
C1,no,Insulin,37.37373737373738,0.2934805266355515,0.190227377582889,0.4087637288902891,0.3572965997023578,0.26688395307643914,0.7108152230110516,0.17441341256691334
C1,no,Insulin,37.87878787878788,0.29348052663555113,0.19022737758273678,0.40876372889028934,0.35729659970235783,0.2668839530776998,0.7108152230110519,0.1744134125676918
C1,no,Insulin,38.38383838383839,0.29348052663555074,0.19022737758258457,0.40876372889028956,0.35729659970235783,0.2668839530789605,0.7108152230110523,0.17441341256847026
C1,no,Insulin,38.88888888888889,0.29348052663555035,0.19022737758243236,0.4087637288902898,0.3572965997023579,0.26688395308022117,0.7108152230110525,0.1744134125692487
C1,no,Insulin,39.3939393939394,0.29348052663554997,0.19022737758228014,0.40876372889029,0.35729659970235794,0.26688395308148183,0.7108152230110528,0.17441341257002715
C1,no,Insulin,39.8989898989899,0.2934805266355496,0.19022737758212793,0.4087637288902902,0.35729659970235794,0.26688395308274254,0.7108152230110532,0.17441341257080561
C1,no,Insulin,40.40404040404041,0.2934805266355492,0.19022737758197572,0.4087637288902905,0.357296599702358,0.2668839530840032,0.7108152230110535,0.17441341257158405
C1,no,Insulin,40.909090909090914,0.29348052663554886,0.1902273775818235,0.4087637288902907,0.357296599702358,0.26688395308526386,0.7108152230110538,0.1744134125723625
C1,no,Insulin,41.41414141414142,0.29348052663554847,0.1902273775816713,0.40876372889029094,0.35729659970235805,0.2668839530865246,0.710815223011054,0.17441341257314097
C1,no,Insulin,41.919191919191924,0.2934805266355481,0.19022737758151909,0.40876372889029117,0.3572965997023581,0.26688395308778523,0.7108152230110544,0.1744134125739194
C1,no,Insulin,42.42424242424243,0.2934805266355477,0.19022737758136687,0.4087637288902914,0.3572965997023581,0.2668839530890459,0.7108152230110547,0.17441341257469786
C1,no,Insulin,42.929292929292934,0.2934805266355473,0.19022737758121466,0.4087637288902916,0.35729659970235816,0.26688395309030655,0.710815223011055,0.17441341257547632
C1,no,Insulin,43.43434343434344,0.2934805266355469,0.19022737758106245,0.40876372889029183,0.3572965997023582,0.26688395309156726,0.7108152230110554,0.17441341257625476
C1,no,Insulin,43.939393939393945,0.2934805266355465,0.19022737758091024,0.40876372889029206,0.3572965997023582,0.2668839530928279,0.7108152230110557,0.17441341257703322
C1,no,Insulin,44.44444444444445,0.29348052663554614,0.19022737758075803,0.4087637288902923,0.3572965997023583,0.2668839530940886,0.7108152230110559,0.17441341257781168
C1,no,Insulin,44.949494949494955,0.29348052663554575,0.19022737758060582,0.4087637288902925,0.35729659970235833,0.2668839530953493,0.7108152230110563,0.1744134125785901
C1,no,Insulin,45.45454545454546,0.2934805266355454,0.1902273775804536,0.4087637288902927,0.35729659970235833,0.26688395309660995,0.7108152230110566,0.17441341257936857
C1,no,Insulin,45.959595959595966,0.293480526635545,0.1902273775803014,0.40876372889029294,0.3572965997023584,0.2668839530978706,0.7108152230110569,0.17441341258014703
C1,no,Insulin,46.46464646464647,0.29348052663554464,0.19022737758014918,0.40876372889029317,0.3572965997023584,0.2668839530991313,0.7108152230110573,0.17441341258092546
C1,no,Insulin,46.969696969696976,0.29348052663554425,0.19022737757999697,0.4087637288902934,0.35729659970235844,0.266883953100392,0.7108152230110576,0.17441341258170392
C1,no,Insulin,47.47474747474748,0.29348052663554386,0.19022737757984476,0.4087637288902936,0.3572965997023585,0.26688395310165264,0.7108152230110578,0.17441341258248239
C1,no,Insulin,47.979797979797986,0.29348052663554347,0.19022737757969255,0.4087637288902939,0.3572965997023585,0.26688395310291335,0.7108152230110582,0.17441341258326082
C1,no,Insulin,48.484848484848484,0.2934805266355431,0.19022737757954034,0.4087637288902941,0.35729659970235855,0.266883953104174,0.7108152230110585,0.17441341258403928
C1,no,Insulin,48.98989898989899,0.2934805266355427,0.19022737757938812,0.40876372889029433,0.3572965997023586,0.26688395310543467,0.7108152230110588,0.17441341258481774
C1,no,Insulin,49.494949494949495,0.29348052663554236,0.1902273775792359,0.40876372889029455,0.3572965997023586,0.2668839531066954,0.7108152230110591,0.17441341258559617
C1,no,Insulin,50.0,0.29348052663554197,0.1902273775790837,0.4087637288902948,0.35729659970235866,0.26688395310795604,0.7108152230110594,0.17441341258637463
