,,,Slide ID,a,d,g,c,f,e,h,b
,,,Antibody Name,a,d,g,c,f,e,h,b
,,,HUGO ID,a,d,g,c,f,e,h,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.03369079296238575,0.07751298751410185,0.5649982368249439,0.22028352241447713,0.41852057158847056,0.6852317776807636,0.40792883198384544,0.5332601820731195
C1,no,Insulin,0.5050505050505051,0.03636212341632178,0.03683729113890574,0.2821679367744408,0.1769606204544909,0.35848542859533533,0.381585861323952,0.15766224710983429,0.30736984406063883
C1,no,Insulin,1.0101010101010102,0.035847258089866635,0.02367809088002293,0.1895940485194054,0.14121906032056608,0.30620957277047445,0.2407485431724872,0.09664651865694474,0.17716721319481996
C1,no,Insulin,1.5151515151515151,0.033721793345920674,0.01824159929334587,0.15830634132061838,0.1231339876713404,0.2674470485568781,0.1745939116522174,0.08090025624488414,0.10211874085861254
C1,no,Insulin,2.0202020202020203,0.03113370462207059,0.015413253246382269,0.14800457973821854,0.11545571836068588,0.2420116332139166,0.14374100438288173,0.07535923916378594,0.058860988084266305
C1,no,Insulin,2.5252525252525255,0.02870892386723135,0.01373898206608105,0.1442696132253716,0.11196965604433887,0.22701066694078745,0.12957252961825472,0.07211917205470172,0.033927327295502845
C1,no,Insulin,3.0303030303030303,0.02668231414385317,0.012680622382171672,0.1423862506314512,0.1099455645553564,0.2188797274575981,0.12309070859853735,0.06959291721399304,0.01955562908737697
C1,no,Insulin,3.5353535353535355,0.02507897188106296,0.011977534275926674,0.14103452993631158,0.1084758263558781,0.21470223327662052,0.12004974107832538,0.06751227251898928,0.011271819459485563
C1,no,Insulin,4.040404040404041,0.023842638169408344,0.01148885454472105,0.1399139079706923,0.10730266361546498,0.21259169156813268,0.11852599520776363,0.06582225263334544,0.006497052786575344
C1,no,Insulin,4.545454545454546,0.02289954940555817,0.01113637531673458,0.1389730965699526,0.10635138674316051,0.21149902653067612,0.11767944822450041,0.06447690467350696,0.0037448888740303004
C1,no,Insulin,5.050505050505051,0.02218262532690299,0.010875377673222034,0.13819963085745074,0.10558702100650538,0.2108954836968874,0.1171515217436141,0.06342128353434398,0.002158547251443293
C1,no,Insulin,5.555555555555556,0.021637641491806654,0.01067888819722522,0.1375771950747253,0.10498034250940054,0.21053042652109746,0.11678904222288257,0.06260022125917739,0.0012441856438162977
C1,no,Insulin,6.0606060606060606,0.021222789846535025,0.010529519526357055,0.13708399819304407,0.10450352320529266,0.21028856210581545,0.11652406519815989,0.061964747078788567,0.0007171481230205612
C1,no,Insulin,6.565656565656566,0.02090643148424713,0.010415353157728293,0.13669714448499087,0.10413130808657066,0.21011665639632596,0.11632370381763549,0.061474222318071814,0.000413364584402067
C1,no,Insulin,7.070707070707071,0.02066475975359054,0.010327833478607037,0.13639563946959748,0.10384205084021986,0.20998895916848764,0.11616980155981217,0.06109611510072601,0.00023826360117674422
