NON $ % + -				
#NON	b	a	d	c
0.0	0.04498554130030297	0.11905205800247454	0.06097142361875241	0.32167219594746876
0.5050505050505051	0.12375464976304525	0.14688374375927912	0.06028909202268157	0.6718805262131587
1.0101010101010102	0.17600968540629175	0.18581779666210174	0.07068659744778481	0.7946438118317309
1.5151515151515151	0.2047759558297791	0.2154446238865199	0.07972717714248892	0.8331784177801247
2.0202020202020203	0.21939195916510756	0.23450521902812196	0.08558473933689999	0.8427577168406672
2.5252525252525255	0.22639464207662993	0.24578321917939003	0.08896391780565861	0.843465320341236
3.0303030303030303	0.22956134269081604	0.25209778479434575	0.0908006174185103	0.8421056663053506
3.5353535353535355	0.23089762294441885	0.25548277801948766	0.09176296912237547	0.8407147395159896
4.040404040404041	0.2314082590940827	0.25722844330431854	0.0922534091927188	0.8397318372967024
4.545454545454546	0.2315712178217556	0.2580953939402135	0.09249703243113609	0.8391299652792191
5.050505050505051	0.23160162907699858	0.2585092076287264	0.0926147971610552	0.838790531669811
5.555555555555556	0.23158991271372836	0.2586980251478371	0.09266995516740971	0.8386100169002005
6.0606060606060606	0.23157045723970562	0.2587794898498419	0.09269480688874565	0.8385185973490691
6.565656565656566	0.2315541451540041	0.25881199921367337	0.09270544807803584	0.8384743926543629
7.070707070707071	0.23154294867229297	0.25882341293044	0.0927096850138115	0.8384540447455526
7.575757575757576	0.23153601793334072	0.25882642070351225	0.09271117931655921	0.8384452065724893
8.080808080808081	0.23153201059149459	0.2588264860341377	0.092711583069299	0.8384416611239137
8.585858585858587	0.2315298104950228	0.25882578276357177	0.09271160332547826	0.8384404107280482
9.090909090909092	0.23152865446049373	0.2588250694470539	0.09271152093337567	0.8384400789665841
9.595959595959597	0.23152807103997158	0.2588245428002384	0.0927114345636153	0.8384400703635151
10.101010101010102	0.23152778839181418	0.25882420215517643	0.09271136977498191	0.8384401475114395
10.606060606060607	0.2315276578695286	0.2588240002840233	0.09271132796483963	0.8384402258783062
11.111111111111112	0.2315275997055171	0.2588238865032224	0.09271130297269417	0.8384402835426563
11.616161616161618	0.2315275767763611	0.2588238266323657	0.09271128912543564	0.8384403206705678
12.121212121212121	0.2315275682555377	0.2588237953737775	0.09271128157583641	0.838440343095366
12.626262626262626	0.2315275658948899	0.25882378005717493	0.09271127771431921	0.8384403556850122
13.131313131313131	0.2315275658863478	0.25882377314309946	0.09271127587585402	0.8384403623037749
13.636363636363637	0.23152756637091862	0.2588237701594546	0.09271127503732611	0.8384403655922097
14.141414141414142	0.23152756668045474	0.25882376884156455	0.09271127465766278	0.8384403671292026
14.646464646464647	0.23152756684148634	0.258823768232871	0.09271127448111416	0.8384403678550268
15.151515151515152	0.23152756698277954	0.2588237676827864	0.09271127432157111	0.8384403685072184
15.656565656565657	0.23152756709466826	0.2588237673166473	0.0927112742137495	0.8384403689571116
16.161616161616163	0.23152756717225517	0.25882376718195205	0.09271127417090426	0.8384403691548525
16.666666666666668	0.23152756721554027	0.2588237672787006	0.09271127419303538	0.8384403691004412
17.171717171717173	0.2315275672447411	0.25882376738300705	0.09271127421841638	0.8384403690263241
17.67676767676768	0.23152756727091775	0.2588237673723944	0.0927112742132797	0.8384403690596615
18.181818181818183	0.23152756727896787	0.2588237674141031	0.09271127422373446	0.8384403690268178
18.68686868686869	0.23152756726889145	0.25882376750813346	0.09271127424978064	0.8384403689277933
