,,,Slide ID,f,a,c,e,b,d
,,,Antibody Name,f,a,c,e,b,d
,,,HUGO ID,f,a,c,e,b,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.8033640095812539,0.042158576717452045,0.606022375447522,0.2820894685174431,0.7486894930435131,0.576034239729981
C1,no,Insulin,0.42016806722689076,0.43198353544590085,0.1356836744383117,0.23679228417985382,0.24830304148325105,0.5010179779301658,0.2316165124673695
C1,no,Insulin,0.8403361344537815,0.23934667226400094,0.16829326197841163,0.10728301431202793,0.23174601227095742,0.3394384373362648,0.10664533108290827
C1,no,Insulin,1.2605042016806722,0.13625761795180483,0.1704048171757733,0.0573202435140274,0.22421480868808383,0.23460509923342193,0.05756796909793823
C1,no,Insulin,1.680672268907563,0.0801735648047974,0.15837790592882897,0.035840471577948445,0.22128966155163862,0.16745753581866082,0.03639392401647773
C1,no,Insulin,2.100840336134454,0.04927474967926986,0.14124914411707154,0.02545953363465258,0.22064658496197795,0.12493241753563562,0.026208013351999616
C1,no,Insulin,2.5210084033613445,0.03199821033627881,0.12381795514458811,0.019810829998741866,0.22108987784800155,0.09810229251249429,0.0206979241235579
C1,no,Insulin,2.9411764705882355,0.022135580898224122,0.10835289490156895,0.01637329324185734,0.22201442385588877,0.08105034789354554,0.017353507936236006
C1,no,Insulin,3.361344537815126,0.016343629853910833,0.09564545868700607,0.014077470151943048,0.22311669276431725,0.06999933030930931,0.015115791517160934
C1,no,Insulin,3.7815126050420167,0.012821650946091124,0.08568831609989172,0.012441136562739407,0.22424445430305906,0.06262014551683674,0.0135126010078551
C1,no,Insulin,4.201680672268908,0.01059655093239811,0.07810935302691034,0.011230027554008277,0.22532117176062083,0.05751532443402741,0.012317915642667954
C1,no,Insulin,4.621848739495799,0.009136819117407487,0.07243113722011149,0.010317271449429479,0.22630909169599503,0.05385945514957598,0.011411104385947179
C1,no,Insulin,5.042016806722689,0.008146192421394945,0.06820435571978133,0.009624533924780333,0.22719146180063252,0.051164668387124274,0.010718275383464414
C1,no,Insulin,5.46218487394958,0.007454564277965294,0.06505911352960436,0.00909773577235667,0.22796370605493363,0.04913642935055568,0.010188309745584835
C1,no,Insulin,5.882352941176471,0.006960643634095446,0.06271150551053328,0.008696997597917219,0.22862862735895573,0.047589439083861755,0.009783160235137483
C1,no,Insulin,6.302521008403361,0.006601697134265428,0.06095135576316456,0.008392103619371505,0.22919345016907358,0.04640067692898989,0.009473652763879377
C1,no,Insulin,6.722689075630252,0.006337353370887187,0.0596254595648527,0.008160018048192335,0.2296678179328122,0.04548393624499556,0.009237281776602027
C1,no,Insulin,7.142857142857143,0.0061407165274203175,0.05862244388413527,0.007983207786320624,0.2300623964462828,0.044776100398286056,0.00905673756883561
C1,no,Insulin,7.563025210084033,0.005993331906818133,0.057861004556344846,0.007848368199286406,0.23038792401209307,0.04422956814690579,0.008918768755386186
C1,no,Insulin,7.983193277310924,0.005882226591482184,0.057281348580008044,0.00774542321470711,0.23065460468434754,0.043807823659120795,0.008813266973246095
C1,no,Insulin,8.403361344537815,0.005798101772615879,0.056839094853710664,0.007666744748374824,0.230871759424381,0.04348261768924265,0.0087325347336324
C1,no,Insulin,8.823529411764707,0.005734192489776206,0.05650113030957605,0.007606554144210912,0.23104766343430927,0.04323204320496547,0.008670714117363474
C1,no,Insulin,9.243697478991598,0.005685516878975714,0.0562425338730013,0.007560470078316375,0.23118950546884373,0.04303910067013954,0.008623347183407497
