NON $ % + -
#NON	b	a	c	d
0.0	0.7652615219091908	0.6364494603714022	0.31937828149861835	0.1826904539222044
0.5050505050505051	0.4299196964415297	0.32487574006957504	0.2676961762811419	0.2013870289635032
1.0101010101010102	0.2852086140308174	0.17948450938341393	0.2472614091873468	0.20566825950523923
1.5151515151515151	0.22298757178835543	0.11149630308060651	0.23915963267478768	0.20583648188949089
2.0202020202020203	0.19636013103677175	0.07966420748529598	0.23599327752901972	0.20519045021599286
2.5252525252525255	0.18502820630524106	0.06474937123571954	0.234787948921761	0.20461350372987425
3.0303030303030303	0.18023569130579847	0.057758406692957426	0.2343460316469917	0.2042443318053708
3.5353535353535355	0.17822263030022095	0.05448128169633233	0.23419239272605327	0.20403799241374038
4.040404040404041	0.1773832584476611	0.05294531787012831	0.2341431763892378	0.20393117121977694
4.545454545454546	0.17703601937204286	0.052225677287666375	0.23412960982344835	0.20387863819306057
5.050505050505051	0.17689357468377262	0.05188867537229727	0.2341271177337679	0.20385377486424597
5.555555555555556	0.17683566530087136	0.051730957144886236	0.23412748212451587	0.2038423662159421
6.0606060606060606	0.1768123490942013	0.051657194940675825	0.23412824177945632	0.2038372691110088
6.565656565656566	0.17680305814804897	0.05162272191428004	0.23412881567466243	0.20383504629885676
7.070707070707071	0.17679939727146346	0.05160662223646186	0.23412916126246738	0.20383409905082386
7.575757575757576	0.17679797279357123	0.05159910904370942	0.2341293482715712	0.20383370461169076
8.080808080808081	0.1767974255194467	0.05159560399584341	0.23412944307396885	0.20383354420430339
8.585858585858587	0.17679721976986518	0.0515939724410137	0.2341294890624775	0.20383348087906678
9.090909090909092	0.17679714318049167	0.05159321279929306	0.23412951050229194	0.20383345661055915
9.595959595959597	0.17679711555741404	0.05159286008313201	0.23412952024134376	0.20383344768235542
10.101010101010102	0.17679710475690333	0.05159269248566027	0.23412952459460948	0.203833444337609
10.606060606060607	0.1767971012881299	0.051592615226417435	0.23412952647764884	0.20383344330930642
11.111111111111112	0.17679710050163694	0.051592580982737724	0.23412952723714223	0.2038334431085915
11.616161616161618	0.1767971002369132	0.05159256528602462	0.23412952752989144	0.203833443092464
12.121212121212121	0.1767971000511081	0.05159255751588895	0.23412952765849154	0.20383344308080195
12.626262626262626	0.17679709997734935	0.05159255379238473	0.23412952771535597	0.2038334430796755
13.131313131313131	0.1767970999596212	0.05159255202685817	0.2341295277397954	0.2038334430847236
