NON $ % + -
#NON	b	c	a	d
0.0	0.8671492879483002	0.23157503970982096	0.9405113862719736	0.45263727360088124
0.5050505050505051	0.35283502811011513	0.2742256335054148	0.4338673434256117	0.20302954537285048
1.0101010101010102	0.15050606190591911	0.2649809043688841	0.28646619965457476	0.1053183981395244
1.5151515151515151	0.06830914504632188	0.2556787095988837	0.24067737362085734	0.06429733777801631
2.0202020202020203	0.03372577642228237	0.25218644343697144	0.22583809304336944	0.045958882198572575
2.5252525252525255	0.01857906782229977	0.25182380220358835	0.2211405416881895	0.03733610813844581
3.0303030303030303	0.01163221195774849	0.25244472229786286	0.21985243343111305	0.033137590156130874
3.5353535353535355	0.00828700655989656	0.25314440605327126	0.21965547937145738	0.03105109213123704
4.040404040404041	0.006602228555620364	0.2536703780618217	0.21975116617174276	0.030003881850770332
4.545454545454546	0.005723129447748723	0.2540106127784351	0.21988387937375115	0.02947646467162809
5.050505050505051	0.005253214050679733	0.2542140851015486	0.2199872479246384	0.029210827498152805
5.555555555555556	0.004998385403456341	0.2543300930640354	0.22005499523531763	0.02907725117436092
6.0606060606060606	0.004859167501191473	0.2543941568255794	0.2200957971528154	0.02901023045195852
6.565656565656566	0.004782885427849129	0.25442874670211096	0.22011917171735937	0.028976684101817567
7.070707070707071	0.004741073449595761	0.25444711186480196	0.22013212438029264	0.02895993262128697
7.575757575757576	0.004718174124918657	0.25445673338561586	0.22013913767819998	0.028951582644392904
8.080808080808081	0.004705655190180299	0.2544617322945358	0.220142866915634	0.028947430013476983
8.585858585858587	0.0046988249710416315	0.2544642981429504	0.22014482964061097	0.02894536911009301
9.090909090909092	0.004695105388527619	0.2544656125509031	0.22014584739955229	0.028944347524418233
9.595959595959597	0.00469308385404174	0.2544662801187579	0.2201463717706866	0.02894384186213314
10.101010101010102	0.004691985194578145	0.25446661840565826	0.22014664055903296	0.02894359130768734
10.606060606060607	0.004691396731065245	0.25446678635619524	0.22014677534536656	0.028943469479271653
11.111111111111112	0.004691071972468965	0.25446687339581187	0.22014684570431522	0.0289434069775213
11.616161616161618	0.0046908966010372885	0.25446691691304973	0.22014688111910666	0.028943376323182606
12.121212121212121	0.004690802283170116	0.25446693840581447	0.22014689849411836	0.028943361755650605
12.626262626262626	0.004690752918579117	0.2544669487897993	0.22014690662840092	0.028943354944079874
13.131313131313131	0.004690727472277866	0.25446695356005755	0.22014691037416195	0.028943351838714198
13.636363636363637	0.004690713375795523	0.25446695584807427	0.22014691257008867	0.028943350170029986
14.141414141414142	0.004690705439819302	0.2544669567504911	0.2201469140806082	0.02894334923850013
14.646464646464647	0.004690700924110412	0.25446695700610644	0.2201469150777645	0.02894334874187065
15.151515151515152	0.004690697633412783	0.25446695751844317	0.22014691556059965	0.028943348373347447
15.656565656565657	0.0046906961607646805	0.25446695801710273	0.2201469155377713	0.0289433482226919
16.161616161616163	0.004690695231739189	0.25446695833050464	0.22014691551245533	0.02894334813325852
16.666666666666668	0.0046906948764357794	0.25446695846270134	0.22014691547276768	0.028943348108746967
17.171717171717173	0.004690694547088692	0.2544669586150345	0.22014691540148332	0.028943348091477077
17.67676767676768	0.004690694900898564	0.2544669585343206	0.22014691535893285	0.02894334813593678
18.181818181818183	0.004690695218527689	0.25446695846216455	0.22014691532069655	0.028943348175755532
18.68686868686869	0.004690695273427433	0.2544669584521517	0.220146915313788	0.02894334818187364
19.191919191919194	0.004690695328327179	0.2544669584421389	0.22014691530687944	0.02894334818799174
19.6969696969697	0.004690695383226923	0.254466958432126	0.22014691529997088	0.028943348194109847
20.202020202020204	0.004690695438126668	0.2544669584221132	0.2201469152930623	0.028943348200227953
20.70707070707071	0.004690695493026412	0.2544669584121003	0.22014691528615374	0.028943348206346056
21.212121212121215	0.004690695547926157	0.2544669584020875	0.22014691527924518	0.02894334821246416
21.71717171717172	0.004690695602825901	0.25446695839207467	0.22014691527233662	0.028943348218582264
22.222222222222225	0.004690695657725646	0.2544669583820618	0.22014691526542807	0.02894334822470037
22.72727272727273	0.004690695695647785	0.25446695837522865	0.22014691526067348	0.028943348228888607
23.232323232323235	0.004690695704154841	0.2544669583739046	0.22014691525965085	0.028943348229733185
23.73737373737374	0.0046906957126618964	0.2544669583725805	0.22014691525862823	0.028943348230577762
24.242424242424242	0.004690695721168953	0.25446695837125644	0.2201469152576056	0.028943348231422337
24.747474747474747	0.004690695729676008	0.25446695836993233	0.22014691525658298	0.028943348232266915
25.252525252525253	0.004690695738183064	0.2544669583686083	0.22014691525556038	0.028943348233111493
25.757575757575758	0.00469069574669012	0.25446695836728417	0.22014691525453775	0.02894334823395607
26.262626262626263	0.0046906957551971756	0.25446695836596006	0.22014691525351512	0.02894334823480065
