NON $ % + - . 0
#NON	c	f	d	b	e	a
0.0	0.6592636784600305	0.6324307938671879	0.7357697717653693	0.6551929718350231	0.02581765291854643	0.6199769625898583
0.5050505050505051	0.3749678748401743	0.292483847859297	0.4362883975020894	0.3641839423797853	0.14886297111015456	0.38210395114625934
1.0101010101010102	0.2491051128098213	0.14071958115780783	0.2961778453562645	0.20361725994938598	0.16970412804579876	0.23437485778482767
1.5151515151515151	0.1797352009469353	0.07026090251744126	0.2294464901907598	0.11417658407026668	0.16746340263550893	0.14293705863349654
2.0202020202020203	0.13404455244033903	0.036231440711976946	0.19793974864363034	0.0640986492576947	0.16310295748975773	0.08665924072392214
2.5252525252525255	0.10087982044710239	0.01918180670365181	0.18404413064370811	0.035992465819018805	0.16110986823068305	0.05224354738751253
3.0303030303030303	0.07587862219885065	0.010363779099505534	0.17915309477660063	0.02020381992825341	0.16151917581082592	0.031331566021782484
3.5353535353535355	0.056860722390222884	0.005683633278803882	0.17881608401959337	0.01133370171984603	0.1634495348898335	0.018700932562590884
4.040404040404041	0.0424244475433736	0.0031496181922552216	0.18064182259974476	0.006352164796393271	0.16608673103883403	0.011113916391433559
4.545454545454546	0.03152527798489636	0.0017573817568192073	0.1833320075636573	0.003556262829128782	0.1688811850393218	0.00657909779587726
5.050505050505051	0.023343964408377407	0.0009846315883928916	0.18619645581893135	0.001988420834612146	0.17152011051095442	0.003880743820821817
5.555555555555556	0.0172343960386386	0.0005528542935745584	0.1888900074705653	0.0011101810175643293	0.17385503534489988	0.0022816555491629044
6.0606060606060606	0.012691605943127324	0.0003106259633294236	0.19126220228773386	0.0006188394310356959	0.17583785757413528	0.001337480212308417
6.565656565656566	0.009325844514266525	0.00017446396980075413	0.19326930760025018	0.00034435320218738737	0.17747572603576997	0.0007818686261671712
7.070707070707071	0.006839523932251945	9.788144407571161e-05	0.19492276514566467	0.0001912601404055548	0.178802518182365	0.000455916324600251
7.575757575757576	0.0050074310971617115	5.4828442510013865e-05	0.19625952341308178	0.00010602307516227611	0.17986213739075502	0.00026523327638382633
8.080808080808081	0.0036603167701524434	3.06541860309372e-05	0.1973254855372331	5.865633562682386e-05	0.18069941571496717	0.00015397503984679545
8.585858585858587	0.002671713986373479	1.7102056317896825e-05	0.19816673860697687	3.238435923365045e-05	0.1813556079496468	8.921073552947196e-05
9.090909090909092	0.001947473649174577	9.521623166305402e-06	0.19882536650871035	1.784599681400731e-05	0.18186659720517126	5.1601293124661746e-05
9.595959595959597	0.001417640280314615	5.286130340563071e-06	0.19933781641982207	9.808217952933992e-06	0.18226251954166783	2.978618170161534e-05
10.101010101010102	0.0010305127128254783	2.928018958998894e-06	0.19973458757681853	5.379781819939382e-06	0.18256807917973855	1.716837570031745e-05
10.606060606060607	0.0007481555500115274	1.6177237347843677e-06	0.2000405091566427	2.9440330465154068e-06	0.18280304991928542	9.880470622937033e-06
11.111111111111112	0.000542487609826229	8.916237376911952e-07	0.20027558157231456	1.6076112357582754e-06	0.18298322241278833	5.6786197347627675e-06
11.616161616161618	0.0003928477624624987	4.901982098573584e-07	0.20045571040307097	8.758674669500843e-07	0.1831210523772434	3.259440727090865e-06
12.121212121212121	0.0002841497004351444	2.6890256652709957e-07	0.20059338931169757	4.762578975210327e-07	0.18322624798296755	1.8689242173385894e-06
12.626262626262626	0.00020530729074291488	1.4715310797375528e-07	0.2006983809676089	2.583998924369769e-07	0.18330637071341535	1.0704467314874731e-06
13.131313131313131	0.0001480917344760268	8.00917625171179e-08	0.2007783457788644	1.3943404070350773e-07	0.18336734882561137	6.112570265438146e-07
13.636363636363637	0.00010663846924480801	4.3572220713842984e-08	0.20083914946751388	7.523626207359929e-08	0.18341368466000194	3.491736692816812e-07
14.141414141414142	7.672800163395424e-05	2.3692634063810713e-08	0.20088527166058145	4.059001049426447e-08	0.18344879355689567	1.995245729699355e-07
