,,,Slide ID,f,a,d,g,c,h,b,e
,,,Antibody Name,f,a,d,g,c,h,b,e
,,,HUGO ID,f,a,d,g,c,h,b,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.07083110698821193,0.8420916782425111,0.5183821536986559,0.8144531431364265,0.9593986168151322,0.16623727859159687,0.16306814972012085,0.34991091338269875
C1,no,Insulin,0.5050505050505051,0.17783913054929404,0.41461410351102984,0.25834728831796744,0.3994113965691381,0.37087836232113097,0.11725967280357735,0.19209291874370232,0.24414408417777725
C1,no,Insulin,1.0101010101010102,0.1844653097333488,0.21228312811626046,0.2146150171630265,0.2744483026266617,0.20842340070937893,0.08547516141411565,0.19499174274128384,0.19765271695580947
C1,no,Insulin,1.5151515151515151,0.1759278930948888,0.11595712437023822,0.20266276368427175,0.23960205590107386,0.1598917919106159,0.06516130189698575,0.19412655259582307,0.1822966416410148
C1,no,Insulin,2.0202020202020203,0.17032518586654763,0.06968986385794099,0.19726433344549393,0.22987518555207392,0.14534534596764764,0.05226582029307916,0.1929473725828713,0.1773308251653938
C1,no,Insulin,2.5252525252525255,0.16786092713074321,0.04711252180699333,0.19466259570202377,0.2269081051081204,0.14105509991894377,0.04402445210177243,0.19195269278935653,0.17552976045650703
C1,no,Insulin,3.0303030303030303,0.1669040830672602,0.0358347408374739,0.19350900759492162,0.22588542979160417,0.13978589012765433,0.038694075143932964,0.1912260338148229,0.1748008681208831
C1,no,Insulin,3.5353535353535355,0.16654528121734707,0.03002725159106465,0.19303340364229277,0.22550110192664716,0.13939805177218995,0.03520511395030815,0.1907411209561567,0.17449440759833204
C1,no,Insulin,4.040404040404041,0.16641061760660386,0.026926454121567137,0.1928454345163992,0.22535139647578423,0.1392730155027117,0.0328984047823211,0.19043627970961727,0.1743666707732431
C1,no,Insulin,4.545454545454546,0.1663595170265355,0.025203870920548023,0.19277257946367718,0.22529272256078445,0.13923032347561015,0.03136131767165714,0.19025182677831465,0.17431459529546947
C1,no,Insulin,5.050505050505051,0.16633993548270834,0.02420788050829984,0.19274452359633218,0.22526981994877898,0.13921504738413182,0.03033101462367893,0.1901428807438951,0.17429378859581457
C1,no,Insulin,5.555555555555556,0.16633238839589407,0.023610188057348117,0.1927337252763887,0.2252609248526977,0.1392094038740854,0.029637421831331428,0.19007950988722838,0.17428559191166745
