,,,Slide ID,c,b,e,d,f,a,i,h,g
,,,Antibody Name,c,b,e,d,f,a,i,h,g
,,,HUGO ID,c,b,e,d,f,a,i,h,g
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6183622995610708,0.3485542653504441,0.9129290817368069,0.2761733947484557,0.12645491733711833,0.35162803820356314,0.46272957285530636,0.9497038809419485,0.8177083350417302
C1,no,Insulin,0.5050505050505051,0.3839879303309994,0.24686297556049927,0.2872189030841861,0.22338607082464482,0.1423224858712492,0.28979852435636144,0.38069063655656393,0.5953105873077875,0.3824960428905529
C1,no,Insulin,1.0101010101010102,0.32974046777363264,0.19904995495316244,0.10777151160824681,0.19962389747764742,0.14946770825709849,0.2555978462778648,0.3288410801183774,0.37828355799969077,0.1965641545559005
C1,no,Insulin,1.5151515151515151,0.3191461444285591,0.17646080125745428,0.056050889113549426,0.1878776703149675,0.15260902850781877,0.23633843221763906,0.29640028666761814,0.24636955091187046,0.11746786838713302
C1,no,Insulin,2.0202020202020203,0.3162674285780804,0.1657411098917814,0.040925321318979885,0.1820028646571789,0.15397644891498558,0.22533782366505054,0.2765342222872517,0.16643938001664615,0.08379759799183191
C1,no,Insulin,2.5252525252525255,0.313977102388586,0.16063289530268332,0.03629762948784692,0.17914474134573272,0.1545691899239544,0.21898423413843504,0.26464830144931495,0.1180323594492578,0.06933251535065527
C1,no,Insulin,3.0303030303030303,0.31187456272310443,0.15818919541317916,0.034732853249866365,0.17781018525992232,0.15482566474647744,0.21528302130653534,0.25768383701440717,0.0887039074232951,0.06300598301946377
C1,no,Insulin,3.5353535353535355,0.310259322281575,0.15701590029055162,0.0341146433813438,0.17721634782748677,0.15493655336120254,0.2131128353522022,0.25367445633924474,0.07092595494153597,0.0601685864835574
C1,no,Insulin,4.040404040404041,0.30917214035037527,0.15645065746448006,0.0338266917859372,0.17696775408718757,0.15498448060965467,0.21183412427196519,0.25140027811656934,0.06014661700506199,0.05885714214249823
C1,no,Insulin,4.545454545454546,0.3084981700458827,0.1561774948654495,0.03367562201978584,0.1768729377310843,0.1550051924242907,0.21107794198169616,0.25012662836458827,0.05361051387893326,0.058230922188675135
C1,no,Insulin,5.050505050505051,0.30810146707275066,0.15604510586897985,0.03359126290051142,0.17684291072784378,0.15501414243169023,0.21062956289370732,0.2494213083427111,0.049647853786533455,0.0579220138747389
C1,no,Insulin,5.555555555555556,0.30787581913525985,0.1559807738814372,0.03354295902257977,0.1768380088982524,0.15501800994438936,0.21036317117007972,0.24903474331025754,0.047245979538169,0.05776492772808217
C1,no,Insulin,6.0606060606060606,0.3077505230695801,0.1559494389163834,0.03351510649030147,0.17684142479752263,0.15501968110293327,0.210204674246583,0.24882497669747478,0.045790578096098024,0.057682878824010825
C1,no,Insulin,6.565656565656566,0.3076822234608065,0.15593414295530209,0.03349904683827537,0.17684654344851797,0.1550204032572415,0.21011027286223696,0.24871227799082324,0.0449089719610698,0.05763904594220509
C1,no,Insulin,7.070707070707071,0.3076455709869554,0.15592666190189722,0.033489807220835555,0.17685109368848909,0.1550207153049087,0.21005400392576737,0.24865235819454773,0.044375117117826726,0.05761519951665448
C1,no,Insulin,7.575757575757576,0.30762618911200296,0.15592299627293146,0.03348450376487547,0.17685453571330134,0.15502085017680425,0.21002044505749679,0.24862085961108357,0.044051943781543534,0.05760203889396798
C1,no,Insulin,8.080808080808081,0.3076160967023035,0.1559211983020834,0.03348146592281417,0.17685694410116173,0.1550209083741209,0.21000042349484996,0.24860451680322876,0.043856377502749275,0.05759469769885
C1,no,Insulin,8.585858585858587,0.3076109307370821,0.1559203146508912,0.03347972823534283,0.17685855371521325,0.15502093354097063,0.20998847443906854,0.2485961658123125,0.04373806417028267,0.057590566919939516
C1,no,Insulin,9.090909090909092,0.3076083406878871,0.15591987980050098,0.033478734682891385,0.1768595985844385,0.15502094443378642,0.2099813416523468,0.24859197895445176,0.0436665077832834,0.05758822774090226
C1,no,Insulin,9.595959595959597,0.3076070761144481,0.15591966565042004,0.033478167010896745,0.17686026348298756,0.15502094913876563,0.20997708325387532,0.2485899310495927,0.0436232420322002,0.057586897099680796
