,,,Slide ID,c,b,d,e,a,f
,,,Antibody Name,c,b,d,e,a,f
,,,HUGO ID,c,b,d,e,a,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.28763307260886195,0.3493908695450947,0.2944990066295595,0.7701059638631073,0.24493549345678522,0.30422261829840813
C1,no,Insulin,0.5050505050505051,0.2605045260039434,0.18580655748077532,0.2736256564565212,0.498244050872828,0.11932290466762246,0.20523801484524654
C1,no,Insulin,1.0101010101010102,0.23391080016295204,0.11107005517335594,0.24548779125219689,0.3347640283118103,0.07582860539240213,0.1489280563084743
C1,no,Insulin,1.5151515151515151,0.21069564826757597,0.07504700166097691,0.22131940574008035,0.23542251726107255,0.057869667110085087,0.11563974475322004
C1,no,Insulin,2.0202020202020203,0.19175906608914436,0.056594845069230994,0.20288025670979454,0.17445256621451216,0.04883877693250945,0.0955037976246317
C1,no,Insulin,2.5252525252525255,0.1770465270091005,0.046555406681835707,0.18959693737048272,0.1367188682906991,0.04357968929315818,0.08318020028930148
C1,no,Insulin,3.0303030303030303,0.16605070731888102,0.04080622528096299,0.18039557133223952,0.11322086379183532,0.04028069799039754,0.07558938194103035
C1,no,Insulin,3.5353535353535355,0.1580895741298851,0.03738732778052994,0.17420785041715614,0.09852715861578544,0.03815741912292928,0.07089109498626657
C1,no,Insulin,4.040404040404041,0.15247243677933256,0.035302932321224285,0.1701364337270722,0.08931490957482952,0.036786110300494515,0.0679699022856007
C1,no,Insulin,4.545454545454546,0.14859024929316975,0.034012603061505366,0.16749750175209133,0.08352978019678398,0.035903927644179184,0.06614584114090118
C1,no,Insulin,5.050505050505051,0.1459508024972806,0.033206630452636346,0.16580360394710184,0.07989283770060407,0.03533925829465347,0.06500256463397217
C1,no,Insulin,5.555555555555556,0.14417941636791995,0.032700561624707115,0.16472272191340798,0.07760453927392343,0.034979295838059025,0.064283777435706
C1,no,Insulin,6.0606060606060606,0.14300277080056611,0.03238181436782487,0.16403535048240933,0.07616381282015636,0.03475046250374789,0.06383079014364114
C1,no,Insulin,6.565656565656566,0.14222755945161897,0.03218066723302362,0.16359902441602373,0.07525617615981053,0.03460523176502206,0.06354480006073213
C1,no,Insulin,7.070707070707071,0.14172016857759318,0.03205357102326447,0.1633223064689425,0.07468405061337029,0.03451314139611452,0.063364001032322
C1,no,Insulin,7.575757575757576,0.14138982483287432,0.0319731953987988,0.16314687707277972,0.07432322636977068,0.03445477052257337,0.06324959166915618
C1,no,Insulin,8.080808080808081,0.14117567559052915,0.031922330820642615,0.16303567329881946,0.07409554481786558,0.034417775978574504,0.06317713957362854
