,,,Slide ID,e,d,c,a,f,b
,,,Antibody Name,e,d,c,a,f,b
,,,HUGO ID,e,d,c,a,f,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.32314016944056234,0.0016064326587742483,0.35283474876223564,0.5808241634107786,0.05899237153027137,0.8271766602571045
C1,no,Insulin,0.5050505050505051,0.2807586403475055,0.12251628573276993,0.2649035780637015,0.425593996353711,0.12155071300522585,0.361842408638468
C1,no,Insulin,1.0101010101010102,0.2225551019751732,0.12478768447939258,0.26972609614483617,0.31354393223861987,0.1569865731815167,0.213080314892798
C1,no,Insulin,1.5151515151515151,0.18758232574440697,0.11119491752204412,0.2826596145553834,0.2403065280683189,0.17474502140312764,0.15633812625238944
C1,no,Insulin,2.0202020202020203,0.16835874528322986,0.09993365386675279,0.2912202512609643,0.1940919716128324,0.18326536074438934,0.12944315097899142
C1,no,Insulin,2.5252525252525255,0.15723526834272641,0.09234986808216898,0.29581313690376343,0.16517337002496513,0.18727998895466047,0.11424770490280939
C1,no,Insulin,3.0303030303030303,0.15025353076877565,0.08734576122861541,0.2980965171979021,0.14698408807315905,0.1891565238720023,0.10478350603456407
C1,no,Insulin,3.5353535353535355,0.145625332532021,0.08399935412921775,0.2991938037589541,0.13542866817124383,0.19003047860575825,0.09863926875343855
C1,no,Insulin,4.040404040404041,0.14248953733271333,0.08173877188457644,0.29971245961833476,0.12801294304983593,0.19043682437837342,0.09459147247809446
C1,no,Insulin,4.545454545454546,0.14035882569841546,0.08020866937879767,0.2999555552257295,0.12321367780369762,0.1906256086690892,0.09191357886516277
C1,no,Insulin,5.050505050505051,0.13891748737062226,0.07917598405814939,0.3000689969871243,0.12008797162752752,0.19071328592264108,0.09014081940075835
C1,no,Insulin,5.555555555555556,0.13794824809348175,0.0784821593968259,0.30012181360551926,0.11804301458622841,0.19075400084977492,0.08896767584873747
C1,no,Insulin,6.0606060606060606,0.137299868358951,0.07801805777524787,0.30014636965103847,0.11670095660591559,0.1907729034699306,0.08819174955441082
C1,no,Insulin,6.565656565656566,0.1368678640511432,0.07770875021379259,0.3001577805270902,0.11581832996603499,0.19078168010693866,0.08767877589455073
C1,no,Insulin,7.070707070707071,0.13658084809318222,0.07750317667854746,0.30016308054781293,0.1152370334870568,0.19078575517454388,0.08733975806199647
C1,no,Insulin,7.575757575757576,0.13639053991664965,0.07736682296449339,0.3001655417222458,0.1148538382164034,0.1907876470222036,0.08711576055719292
C1,no,Insulin,8.080808080808081,0.1362645201777416,0.07727650611131749,0.3001666848266491,0.11460106750720507,0.1907885255753585,0.08696777930518028
C1,no,Insulin,8.585858585858587,0.13618114344233886,0.07721673864081759,0.30016721551882347,0.11443425736967593,0.19078893341521813,0.08687002477107839
C1,no,Insulin,9.090909090909092,0.13612601649811742,0.07717721556277868,0.30016746193285,0.11432415080478096,0.19078912277787458,0.08680545796627609
C1,no,Insulin,9.595959595959597,0.13608959117180294,0.07715109769132084,0.30016757545185707,0.11425147771138365,0.19078921000997573,0.08676282184920892
C1,no,Insulin,10.101010101010102,0.13606551647014997,0.07713383319264168,0.30016762986391904,0.11420347342460116,0.1907892518269241,0.08673465503487732
C1,no,Insulin,10.606060606060607,0.13604960752001508,0.07712242748063311,0.3001676538928956,0.1141717834981801,0.190789270287278,0.08671605296897766
C1,no,Insulin,11.111111111111112,0.13603910784681877,0.07711489305586341,0.30016766587268234,0.11415085065083615,0.19078927949817084,0.08670376836220468
C1,no,Insulin,11.616161616161618,0.13603214854274323,0.0771099133018013,0.30016767066712824,0.11413703064217533,0.19078928317572452,0.08669565293473068
C1,no,Insulin,12.121212121212121,0.13602757708294805,0.07710662870247988,0.30016767321959936,0.11412790284415679,0.19078928513880478,0.08669029376111842
C1,no,Insulin,12.626262626262626,0.13602455086072948,0.0771044570733731,0.30016767440777303,0.11412187418114422,0.1907892860533827,0.08668675555867701
C1,no,Insulin,13.131313131313131,0.13602255028687676,0.07710302201403929,0.300167674961052,0.11411788993925734,0.19078928647894453,0.08668441667402531
C1,no,Insulin,13.636363636363637,0.136021234054782,0.07710207797174728,0.300167675213777,0.11411526899301756,0.19078928667324874,0.0866828779454226
C1,no,Insulin,14.141414141414142,0.13602036125825412,0.07710145195284855,0.3001676753378481,0.11411353108853202,0.19078928676865337,0.08668185763956522
C1,no,Insulin,14.646464646464647,0.13601978480349886,0.07710103857098614,0.3001676753938053,0.11411238348187602,0.19078928681165008,0.08668118385181764
C1,no,Insulin,15.151515151515152,0.13601940537025198,0.07710076649500852,0.30016767541733824,0.11411162799252585,0.19078928682968,0.086680740217628
C1,no,Insulin,15.656565656565657,0.1360191530498601,0.07710058539428802,0.3001676754322512,0.11411112492152725,0.1907892868411096,0.08668044477484192
C1,no,Insulin,16.161616161616163,0.13601898588349215,0.0771004651163235,0.30016767544181416,0.11411079086680692,0.19078928684850813,0.0866802486425129
C1,no,Insulin,16.666666666666668,0.1360188722038986,0.07710038336585803,0.3001676754447878,0.1141105642779987,0.19078928685087562,0.08668011571341697
C1,no,Insulin,17.171717171717173,0.1360188028738819,0.07710033377552737,0.30016767544010475,0.11411042760950538,0.19078928684736546,0.0866800356921935
C1,no,Insulin,17.67676767676768,0.13601875119393306,0.07710029839385389,0.3001676754374911,0.11411033062369912,0.19078928684527163,0.0866799789411842
C1,no,Insulin,18.181818181818183,0.13601871536590687,0.07710027405389439,0.3001676754368058,0.11411026358474007,0.19078928684463756,0.08667993963572744
C1,no,Insulin,18.68686868686869,0.13601869489500287,0.07710025860196637,0.3001676754371244,0.11411021977116678,0.19078928684487104,0.08667991372873508
C1,no,Insulin,19.191919191919194,0.13601868238544146,0.07710024867265325,0.3001676754377405,0.1141101912416082,0.19078928684535315,0.08667989679623957
C1,no,Insulin,19.6969696969697,0.13601867960725936,0.07710024533064921,0.30016767543881656,0.11411018080189958,0.19078928684621707,0.08667989046047295
C1,no,Insulin,20.202020202020204,0.13601867270387627,0.0771002402852727,0.30016767543898243,0.11411016669759559,0.19078928684634894,0.08667988216371109
C1,no,Insulin,20.70707070707071,0.13601867088369607,0.077100238935992,0.3001676754392331,0.11411016295842291,0.19078928684655355,0.08667987997681506
C1,no,Insulin,21.212121212121215,0.13601867089497505,0.07710023897668901,0.30016767543944256,0.11411016313067665,0.19078928684672272,0.086679880094857
C1,no,Insulin,21.71717171717172,0.13601866955052477,0.07710023848175201,0.3001676754392984,0.1141101621453384,0.19078928684660287,0.08667987958867085
C1,no,Insulin,22.222222222222225,0.13601866923178735,0.07710023860604083,0.30016767543917183,0.11411016278087051,0.19078928684649762,0.08667988001502172
C1,no,Insulin,22.72727272727273,0.1360186680123757,0.07710023803856918,0.300167675438952,0.11411016143423197,0.19078928684631602,0.08667987926252259
C1,no,Insulin,23.232323232323235,0.13601866589811348,0.07710023674759195,0.3001676754386775,0.11411015799796226,0.19078928684609053,0.08667987726575094
C1,no,Insulin,23.73737373737374,0.13601866474066424,0.07710023591708587,0.3001676754385325,0.11411015568076292,0.19078928684597357,0.08667987589913667
C1,no,Insulin,24.242424242424242,0.13601866398150683,0.07710023520260016,0.3001676754385364,0.11411015356922578,0.19078928684598007,0.08667987463529098
C1,no,Insulin,24.747474747474747,0.13601866309464353,0.0771002342906018,0.3001676754385165,0.11411015081888676,0.1907892868459684,0.08667987297816686
C1,no,Insulin,25.252525252525253,0.13601866286952138,0.07710023388487426,0.30016767543860584,0.11411014951664672,0.19078928684604582,0.08667987218312366
C1,no,Insulin,25.757575757575758,0.13601866263623844,0.0771002335701641,0.300167675438665,0.11411014853573631,0.1907892868460968,0.08667987158878204
C1,no,Insulin,26.262626262626263,0.13601866231408588,0.07710023329644218,0.3001676754386774,0.11411014774040398,0.19078928684610746,0.08667987111546
C1,no,Insulin,26.767676767676768,0.13601866218758765,0.07710023324007692,0.300167675438702,0.11411014760921656,0.19078928684612684,0.08667987104406168
C1,no,Insulin,27.272727272727273,0.13601866225674375,0.07710023340106832,0.3001676754387389,0.11411014814217407,0.1907892868461549,0.08667987137458709
C1,no,Insulin,27.77777777777778,0.1360186622774745,0.0771002334568266,0.30016767543875944,0.1141101483288477,0.1907892868461707,0.08667987149083438
