,,,Slide ID,e,d,c,a,f,b
C1,no,Insulin,28.282828282828284,0.13601866233341592,0.0771002335178899,0.3001676754387734,0.11411014851546952,0.1907892868461814,0.08667987160395038
C1,no,Insulin,28.78787878787879,0.13601866246032693,0.0771002336315193,0.3001676754387849,0.11411014885007256,0.19078928684619012,0.08667987180421186
C1,no,Insulin,29.292929292929294,0.13601866263836856,0.07710023381519919,0.3001676754388115,0.11411014940659253,0.19078928684621022,0.08667987214028472
C1,no,Insulin,29.7979797979798,0.13601866274576835,0.07710023388818299,0.30016767543881,0.11411014960665433,0.19078928684620902,0.0866798722571432
C1,no,Insulin,30.303030303030305,0.13601866285316816,0.0771002339611668,0.30016767543880857,0.11411014980671612,0.1907892868462078,0.0866798723740017
C1,no,Insulin,30.80808080808081,0.13601866296056797,0.0771002340341506,0.30016767543880707,0.1141101500067779,0.1907892868462066,0.08667987249086019
C1,no,Insulin,31.313131313131315,0.13601866304406646,0.07710023409093113,0.3001676754388059,0.11411015016244888,0.1907892868462057,0.0866798725817955
C1,no,Insulin,31.81818181818182,0.13601866305016153,0.07710023409523799,0.30016767543880585,0.11411015017436206,0.19078928684620566,0.08667987258877972
C1,no,Insulin,32.323232323232325,0.1360186630562566,0.07710023409954485,0.3001676754388058,0.11411015018627525,0.1907892868462056,0.08667987259576396
C1,no,Insulin,32.82828282828283,0.13601866306235164,0.07710023410385171,0.30016767543880574,0.11411015019818843,0.19078928684620558,0.08667987260274819
C1,no,Insulin,33.333333333333336,0.1360186630684467,0.07710023410815857,0.3001676754388057,0.11411015021010162,0.19078928684620552,0.08667987260973242
C1,no,Insulin,33.83838383838384,0.13601866307454177,0.07710023411246544,0.3001676754388056,0.1141101502220148,0.1907892868462055,0.08667987261671664
C1,no,Insulin,34.343434343434346,0.13601866308063684,0.0771002341167723,0.30016767543880557,0.114110150233928,0.19078928684620547,0.08667987262370087
C1,no,Insulin,34.84848484848485,0.1360186630867319,0.07710023412107916,0.3001676754388055,0.11411015024584117,0.1907892868462054,0.0866798726306851
C1,no,Insulin,35.35353535353536,0.13601866309282698,0.07710023412538602,0.3001676754388055,0.11411015025775435,0.19078928684620539,0.08667987263766934
C1,no,Insulin,35.85858585858586,0.13601866309892205,0.07710023412969289,0.30016767543880546,0.11411015026966755,0.19078928684620533,0.08667987264465356
C1,no,Insulin,36.36363636363637,0.13601866310501712,0.07710023413399975,0.3001676754388054,0.11411015028158072,0.1907892868462053,0.08667987265163779
C1,no,Insulin,36.86868686868687,0.1360186631111122,0.0771002341383066,0.30016767543880535,0.11411015029349392,0.19078928684620525,0.08667987265862202
C1,no,Insulin,37.37373737373738,0.13601866311720726,0.07710023414261347,0.3001676754388053,0.1141101503054071,0.19078928684620522,0.08667987266560626
C1,no,Insulin,37.87878787878788,0.13601866312330232,0.07710023414692034,0.30016767543880524,0.11411015031732029,0.1907892868462052,0.08667987267259047
C1,no,Insulin,38.38383838383839,0.1360186631293974,0.0771002341512272,0.3001676754388052,0.11411015032923347,0.19078928684620514,0.08667987267957471
C1,no,Insulin,38.88888888888889,0.13601866313549246,0.07710023415553406,0.3001676754388051,0.11411015034114665,0.1907892868462051,0.08667987268655894
C1,no,Insulin,39.3939393939394,0.13601866314158753,0.07710023415984092,0.30016767543880507,0.11411015035305984,0.19078928684620505,0.08667987269354317
C1,no,Insulin,39.8989898989899,0.1360186631476826,0.07710023416414778,0.30016767543880507,0.11411015036497302,0.19078928684620503,0.08667987270052739
C1,no,Insulin,40.40404040404041,0.13601866315377767,0.07710023416845464,0.300167675438805,0.11411015037688621,0.19078928684620497,0.08667987270751162
C1,no,Insulin,40.909090909090914,0.13601866315987274,0.0771002341727615,0.30016767543880496,0.11411015038879939,0.19078928684620494,0.08667987271449586
C1,no,Insulin,41.41414141414142,0.1360186631659678,0.07710023417706836,0.3001676754388049,0.11411015040071258,0.19078928684620491,0.08667987272148008
C1,no,Insulin,41.919191919191924,0.13601866317206288,0.07710023418137524,0.30016767543880485,0.11411015041262576,0.19078928684620486,0.08667987272846431
C1,no,Insulin,42.42424242424243,0.13601866317815794,0.0771002341856821,0.3001676754388048,0.11411015042453894,0.19078928684620483,0.08667987273544854
C1,no,Insulin,42.929292929292934,0.136018663184253,0.07710023418998896,0.30016767543880474,0.11411015043645213,0.19078928684620478,0.08667987274243277
C1,no,Insulin,43.43434343434344,0.13601866319034808,0.07710023419429582,0.3001676754388047,0.11411015044836531,0.19078928684620475,0.08667987274941699
C1,no,Insulin,43.939393939393945,0.13601866319644315,0.07710023419860268,0.3001676754388046,0.1141101504602785,0.1907892868462047,0.08667987275640122
C1,no,Insulin,44.44444444444445,0.13601866320253822,0.07710023420290954,0.3001676754388046,0.11411015047219168,0.19078928684620466,0.08667987276338546
C1,no,Insulin,44.949494949494955,0.1360186632086333,0.0771002342072164,0.30016767543880457,0.11411015048410487,0.1907892868462046,0.08667987277036969
C1,no,Insulin,45.45454545454546,0.13601866321472836,0.07710023421152326,0.3001676754388045,0.11411015049601805,0.19078928684620458,0.08667987277735391
C1,no,Insulin,45.959595959595966,0.13601866322082343,0.07710023421583014,0.30016767543880446,0.11411015050793123,0.19078928684620455,0.08667987278433814
C1,no,Insulin,46.46464646464647,0.1360186632269185,0.077100234220137,0.3001676754388044,0.11411015051984442,0.1907892868462045,0.08667987279132237
C1,no,Insulin,46.969696969696976,0.13601866323301356,0.07710023422444386,0.30016767543880435,0.1141101505317576,0.19078928684620447,0.0866798727983066
C1,no,Insulin,47.47474747474748,0.13601866323910863,0.07710023422875072,0.3001676754388043,0.1141101505436708,0.19078928684620441,0.08667987280529083
C1,no,Insulin,47.979797979797986,0.1360186632452037,0.07710023423305758,0.30016767543880424,0.11411015055558398,0.1907892868462044,0.08667987281227506
C1,no,Insulin,48.484848484848484,0.13601866325129874,0.07710023423736444,0.3001676754388042,0.11411015056749717,0.19078928684620433,0.08667987281925929
C1,no,Insulin,48.98989898989899,0.1360186632573938,0.0771002342416713,0.3001676754388041,0.11411015057941035,0.1907892868462043,0.08667987282624351
C1,no,Insulin,49.494949494949495,0.13601866326348888,0.07710023424597816,0.3001676754388041,0.11411015059132353,0.19078928684620428,0.08667987283322774
C1,no,Insulin,50.0,0.13601866326958395,0.07710023425028503,0.30016767543880407,0.11411015060323672,0.19078928684620422,0.08667987284021197
